time,all_num_万华化学,all_dic_score,万华化学舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,14,10.00,0.88,12,12.00,2,-2.00
2021-01-02,13,5.00,0.68,9,9.00,4,-4.00
2021-01-03,8,0.00,-0.58,4,4.00,4,-4.00
2021-01-04,57,19.00,0.24,38,38.00,19,-19.00
2021-01-05,59,15.00,0.03,37,37.00,22,-22.00
2021-01-06,113,15.00,0.09,64,64.00,49,-49.00
2021-01-07,257,101.00,0.49,179,179.00,78,-78.00
2021-01-08,76,22.00,0.02,49,49.00,27,-27.00
2021-01-09,19,5.00,0.63,12,12.00,7,-7.00
2021-01-10,21,7.00,0.76,14,14.00,7,-7.00
2021-01-11,67,5.00,0.18,36,36.00,31,-31.00
2021-01-12,93,9.00,0.30,51,51.00,42,-42.00
2021-01-13,80,16.00,0.21,48,48.00,32,-32.00
2021-01-14,66,20.00,0.40,43,43.00,23,-23.00
2021-01-15,52,12.00,0.34,32,32.00,20,-20.00
2021-01-16,23,-1.00,-0.02,11,11.00,12,-12.00
2021-01-17,21,7.00,0.14,14,14.00,7,-7.00
2021-01-18,36,2.00,0.02,19,19.00,17,-17.00
2021-01-19,38,14.00,0.51,26,26.00,12,-12.00
2021-01-20,52,4.00,-0.16,28,28.00,24,-24.00
2021-01-21,71,19.00,0.29,45,45.00,26,-26.00
2021-01-22,64,18.00,0.43,41,41.00,23,-23.00
2021-01-23,16,8.00,0.79,12,12.00,4,-4.00
2021-01-24,16,8.00,0.36,12,12.00,4,-4.00
2021-01-25,58,-2.00,-0.25,28,28.00,30,-30.00
2021-01-26,55,23.00,0.86,39,39.00,16,-16.00
2021-01-27,59,7.00,0.06,33,33.00,26,-26.00
2021-01-28,44,-4.00,-0.11,20,20.00,24,-24.00
2021-01-29,41,7.00,0.21,24,24.00,17,-17.00
2021-01-30,8,4.00,0.78,6,6.00,2,-2.00
2021-01-31,8,0.00,-0.24,4,4.00,4,-4.00
2021-02-01,127,27.00,0.13,77,77.00,50,-50.00
2021-02-02,81,13.00,0.07,47,47.00,34,-34.00
2021-02-03,78,30.00,0.43,54,54.00,24,-24.00
2021-02-04,170,24.00,0.15,97,97.00,73,-73.00
2021-02-05,107,-1.00,0.01,53,53.00,54,-54.00
2021-02-06,31,1.00,0.24,16,16.00,15,-15.00
2021-02-07,42,12.00,0.29,27,27.00,15,-15.00
2021-02-08,113,35.00,0.18,74,74.00,39,-39.00
2021-02-09,95,17.00,0.18,56,56.00,39,-39.00
2021-02-10,70,12.00,0.27,41,41.00,29,-29.00
2021-02-11,7,5.00,0.83,6,6.00,1,-1.00
2021-02-12,6,0.00,-0.14,3,3.00,3,-3.00
2021-02-13,8,6.00,0.75,7,7.00,1,-1.00
2021-02-14,14,4.00,0.53,9,9.00,5,-5.00
2021-02-15,8,6.00,0.66,7,7.00,1,-1.00
2021-02-16,10,-4.00,0.44,3,3.00,7,-7.00
2021-02-17,14,4.00,0.71,9,9.00,5,-5.00
2021-02-18,93,5.00,-0.46,49,49.00,44,-44.00
2021-02-19,120,20.00,0.38,70,70.00,50,-50.00
2021-02-20,29,5.00,-0.03,17,17.00,12,-12.00
2021-02-21,16,8.00,0.46,12,12.00,4,-4.00
2021-02-22,106,4.00,0.15,55,55.00,51,-51.00
2021-02-23,106,14.00,0.27,60,60.00,46,-46.00
2021-02-24,124,0.00,0.07,62,62.00,62,-62.00
2021-02-25,134,22.00,0.05,78,78.00,56,-56.00
2021-02-26,138,14.00,-0.03,76,76.00,62,-62.00
2021-02-27,32,6.00,0.20,19,19.00,13,-13.00
2021-02-28,30,2.00,0.06,16,16.00,14,-14.00
2021-03-01,199,7.00,0.13,103,103.00,96,-96.00
2021-03-02,252,-24.00,-0.21,114,114.00,138,-138.00
2021-03-03,103,33.00,0.20,68,68.00,35,-35.00
2021-03-04,312,-8.00,0.09,152,152.00,160,-160.00
2021-03-05,216,-2.00,0.14,107,107.00,109,-109.00
2021-03-06,43,11.00,0.37,27,27.00,16,-16.00
2021-03-07,35,-1.00,0.01,17,17.00,18,-18.00
2021-03-08,159,55.00,0.74,107,107.00,52,-52.00
