time,no,review,score,read_volume,label
2022/6/30,1,"['半年报', '业绩', '怎么样']",0.0,494,1
2022/6/30,2,"['群益', '证券', '维持', '万华', '化学', '买进', '(', 'Buy', ')', '评级', ' ', '目标价']",0.0,839,1
2022/6/30,3,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '这', '走势', '明摆着', '明天', '三个']",0.0,478,1
2022/6/30,4,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '这一波', '能', '到', '多少', '，', '赶紧', '让', '我', '回本']",0.0,414,1
2022/6/30,5,"['拉高', '给', '合成', '国际', '减持', '?']",0.0,617,-1
2022/6/30,6,"['用', '万华', '化学', '来', '打个', '比喻', '：', '其实', '它', '就是', '一尊', '陶瓷', '菩萨', '，', '摆着']",0.0,489,1
2022/6/30,7,"['88', '---', '98', '！', '万华', '仍', '在', '箱体', '整理', '中', '！']",0.0,1193,1
2022/6/30,8,"['98.15', '出货']",0.0,206,1
2022/6/30,9,"['98', '元', '一直', '压单', '啥意思', '？']",-1.0,558,-1
2022/6/30,10,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '上', '一百', '。', '就', '那么', '难', '吗']",0.0,240,1
2022/6/30,11,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '你', '疯了', '昨天', '没买', '你']",0.0,229,1
2022/6/30,12,"['100', '元', '都', '不', '给', '我', '[', '哭', ']']",0.0,206,-1
2022/6/30,13,"['百川', '盈孚', '：', '异', '丁醛', '市场', '深跌', '之后', '迎来', '小幅', '反转', '20220630', '本']",-1.0,444,1
2022/6/30,15,"['这种', '股拿住', '就', '行', '[', '吃瓜', ']', '美滋滋']",0.0,206,1
2022/6/30,16,"['上', '一百', '上', '一百', '，', '让', '大家', '瞅', '瞅']",0.0,218,1
2022/6/30,17,"['知足者', '常乐', '！']",0.0,431,-1
2022/6/30,18,"['需求', '边际', '改善', '之后', '，', '受益', '于', '国内', '资源', '成本优势', '的', '化工产品']",3.0,247,-1
2022/6/30,19,"['年线', '有压力']",-1.0,280,-1
2022/6/30,22,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '这', '周能', '看到', '100', '吗']",0.0,339,1
2022/6/30,23,"['我', '卖', '了', '就', '涨起来', '了']",0.0,196,-1
2022/6/30,25,"['真是', '五', '无穷', '六绝', '七', '翻身', '吗', '，', '消费', '回暖', '，', '万华', '是', '原材料', '的', '龙']",2.0,223,1
2022/6/30,26,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '大家', '跟', '我', '一起', '喊', '，', '100', '，', '100', '，', '100']",0.0,171,1
2022/6/30,29,"['$', '凯赛', '生物', '(', 'SH688065', ')', '$', '$', '新', '日', '恒力', '(', 'SH600165', ')', '$', '$', '万华', '化学', '(']",0.0,651,1
2022/6/30,30,"['赶紧', '杀到', '90', '以下']",0.0,414,-1
2022/6/30,31,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '万华', '的', '股东', '都', '有', '大病', '，', '动不动', '就', '减']",-1.0,622,-1
2022/6/30,32,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '减持', '怕', '啥', '？', '市场', '就', '怕', '没', '流通股', '[', '旺']",-1.0,171,-1
2022/6/30,33,"['，', '继续', '压单', '，', '压到', '跌', '为止']",-2.0,203,1
2022/6/30,34,"['95', '～', '98', '卖掉', '，', '腰斩', '再', '腰斩', '行情', '。', '已经', '头部', '出货', '了', '，', '套牢', '的']",-3.0,1113,1
2022/6/30,35,"['注意', '！', '万华', '化学', '：', '合成', '国际', '拟', '减持', '不', '超过', '约', '3140', '万股']",-2.0,1399,1
2022/6/30,36,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '不', '畏惧', '减持', '，', '说明', '市场', '不缺', '资金', '，']",-1.0,187,-1
2022/6/30,37,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '今天', '上', '100', '[', '鼓掌', ']']",0.0,312,1
2022/6/30,38,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '加油', '万万']",1.0,167,1
2022/6/30,39,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '赚钱', '难', '啊']",0.0,380,1
2022/6/30,40,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '今天', '明显', '没人在', '这']",1.0,186,1
2022/6/30,41,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '明天', '补涨']",1.0,318,1
2022/6/30,42,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '看好', '的', '买入', '，', '横有', '多长', '，', '竖有', '多', '高']",1.0,396,1
2022/6/30,43,"['万华', '化学', '06', '月', '29', '日获', '沪', '股通', '增持', '238.27', '万股']",1.0,261,1
