time,no,review,score,read_volume,label
2022/6/30,14,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '已', '下车', '，', '留下', '的', '朋友', '发财', '！']",9.0,443,1
2022/6/30,20,"['跌', '快点', '，', '没用', '的', '东西']",-7.0,193,-1
2022/6/30,21,"['国内', '稳', '增长', '及', '复工', '复产', '的', '趋势', '下', '，', '化工', '有望', '迎来', '边际', '复苏']",8.0,252,1
2022/6/30,24,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '无量', '寿佛']",7.0,180,1
2022/6/30,27,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '就', '这么', '点量', '，', '主力', '拉', '涨停', '才', '有人', '气']",8.0,175,1
2022/6/30,28,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '无耻', '，', '昨天晚上', '发', '利空', '打压', '吸筹', '[']",-11.0,598,-1
2022/6/29,62,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '站', '起来', '，', '闪', '我', '一下', '吧']",7.0,183,1
2022/6/29,66,"['563000', '重仓股', '万华', '：', '发力', '方向', '围绕', '高端', '化工', '新', '材料', '，', '例如']",6.0,387,1
2022/6/28,74,"['减持', '和', '提价', '一起', '公告', '！', '这个', '资本', '游戏', '耍', '的', '炉火纯青', ' ', '！', '意']",8.0,638,1
2022/6/28,79,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '真相', '是', ':', '主力', '还是', '那个', '渣', '男', '，', '不断']",7.0,578,1
2022/6/28,80,"['万华', '化学', '：', '7', '月份', '开始', '上调', '纯', 'MD', 'I', '挂牌价']",-6.0,1598,-1
2022/6/28,82,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '一个', '坚持', '，', '一个', '提价', '，', '真是', '配合', '的']",6.0,198,1
2022/6/28,83,"['600309', ':', '万华', '化学', '2022', '年', '7', '月份', '中国', '地区', 'MD', 'I', '价格', '公告']",-7.0,1149,-1
2022/6/28,85,"['万华', '今天', '恶意', '砸盘']",-8.0,159,-1
2022/6/28,87,"['万华', '化学', '：', '7', '月份', '纯', 'MD', 'I', '挂牌价', '上调', '1000', '元', '/', '吨']",-6.0,358,-1
2022/6/28,94,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '突破', '年线', '只是', '时间', '问题', '，', '躺', '好', '等', '发']",6.0,551,1
2022/6/28,99,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '哈哈', '，', '这么', '不', '给', '大盘', '面子', '吗', '？']",7.0,175,1
2022/6/28,103,"['都', '买', '了', '吧', '，', '我', '就', '放心', '了', '，', '走', '了', '，', '明儿', '见', '~', '~', '嘎嘎', '嘎']",7.0,182,1
2022/6/28,107,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '万华', '这种', '股', '一般', '只有', '做', 't', '高手', '能', '赚']",9.0,466,1
2022/6/28,128,['压制'],-7.0,366,-1
2022/6/27,138,"['做', '空客', '付出', '了', '惨重', '代价', '啊', '。']",-8.0,578,-1
2022/6/27,149,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '感谢', '主力', '，', '96.5', '减了', '半仓', '[', '亲', ']']",10.0,841,1
2022/6/27,155,"['不', '低于', '95.99', '放心', '吃', '肉', '～', '～', '嘎嘎', '嘎']",-7.0,198,-1
2022/6/27,160,"['高手', '指点']",9.0,440,1
2022/6/27,161,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '这个', '庄太', '恶心']",-5.0,506,-1
2022/6/27,164,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '付', '不起', '的', '阿斗']",-8.0,201,-1
2022/6/27,167,"['万华', '化学', '7', '月份', 'MD', 'II', '将', '大幅度', '提价', '。']",-7.0,524,-1
2022/6/24,190,"['he', '，', 'tui', '，', '恶心']",-5.0,235,-1
2022/6/24,194,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '压制', '不住', '啦']",-8.0,227,-1
2022/6/24,195,"['这股', '像', '极了', '骗人', '进厂', '的', '中介']",-9.0,468,-1
2022/6/23,226,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '今天', '必然', '红', '的', '发紫']",9.0,337,1
2022/6/23,228,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '神仙', '打架']",6.0,232,1
2022/6/22,242,"['国海', '证券', '给予', '万华', '化学', '买入', '评级', ' ', '事件', '点评', '：', 'MD', 'I', '出口', '欧洲']",-7.0,1157,-1
2022/6/22,244,"['明天', '小华', '跌停', '谢罪', '最为', '坨', '当', '~', '~', '哈哈哈']",6.0,371,1
2022/6/22,275,"['坊间', '闻传', '光明', '曼陀罗', '昨儿', '吃到', '了', '一大', '坨', '化学', '肉', '，', '前来', '贺喜']",10.0,245,1
2022/6/21,279,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '合成', '国际', '这家', '皮包公司', '真是', '害人']",-7.0,228,-1
2022/6/21,280,"['百川', '盈孚', '：', '供方', '指导价', '上调', '纯', 'MD', 'I', '市场', '涨势', '难止', '20220621']",-5.0,992,-1
2022/6/21,283,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '不', '开心', '啊', '，', '今天', '竟然', '不是', '大阳线']",-6.0,408,-1
2022/6/21,285,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '果然', '是', '大盘', '逆子', '[', '发呆', ']']",-7.0,470,-1
2022/6/21,289,"['中国', 'A50ETF563000', '重仓股', '：', '凭借', '在', 'MD', 'I', '领域', '取']",-7.0,663,-1
2022/6/20,296,"['563000', '中国', 'A50ETF', '重仓股', '万华', '的', 'MD', 'I', '生产', '具有']",-7.0,461,-1
2022/6/20,297,"['主力', '出货', '太', '明显', '了', '，', '建议', '等到', '88', '买入', '，', '，', '，']",10.0,444,1
2022/6/20,301,"['百川', '盈孚', '：', '供方', '指导价', '均', '上调', '聚合', 'MD', 'I', '市场', '推']",-6.0,556,-1
2022/6/20,302,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '洗得', '差不多', '了', '，', '主力', '大哥', '，', '可以', '直']",7.0,510,1
2022/6/20,306,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '哈哈', '，', '可以', '差不多', '左右', '上车', '了', '，', '别']",7.0,720,1
2022/6/20,325,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '你', '这个', '无语', '子']",-5.0,441,-1
2022/6/20,328,"['冲', '啊', 'V', '形大', '反转', '一定', '会', '涨停', '冲向', '100', '大卖', '，', '气死', '那些', '不坚定']",-5.0,249,-1
2022/6/20,331,"['今天', '高低', '走', '是', '必须', '的']",7.0,224,1
2022/6/18,351,"['芒格', '讲', '人', '一生', '抓住', '那么', '几只', '股', '，', '就够', '富裕', '了', '。', '希望', '万华', '的']",5.0,844,1
2022/6/17,357,"['六百', '妹', '~', '~', '实至名归', '~', '~', '嘎嘎', '嘎']",7.0,238,1
2022/6/17,359,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '向着', '100', '元', '，', '冲', '鸭', '！']",-5.0,616,-1
2022/6/17,361,"['有时候', '看看', '基金', '经理', '的', '仓', '，', '感觉', '莫名其妙', '。', '真是', '不是', '自己']",-5.0,450,-1
2022/6/17,365,"['今日', '收盘', '最好', '能收', '95.15', '以上']",9.0,535,1
2022/6/17,366,"['这', '阶段', '，', '拿住', '各种', '茅', '，', '少看', '少动', '。', '才能', '赚大钱', '[', '旺柴', ']']",6.0,249,1
2022/6/17,371,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '震荡', '上升', '突破', '100', '，', '年底', '或者', '23', '年']",10.0,527,1
2022/6/17,375,"['量', '不行', '啊']",-7.0,193,-1
2022/6/17,380,"['能', '涨停', '，', '牛气', '一把', '吗', '？']",6.0,400,1
2022/6/17,381,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '一点半', '没', '强势', '，', '就', '后力', '不够', '了']",-5.0,459,-1
2022/6/17,386,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '龙头', '就是', '龙头', '不服', '不行']",-6.0,207,-1
2022/6/17,388,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '给力', '[', '强壮', ']']",6.0,192,1
2022/6/17,398,"['563000', '重仓股', '万华', '：', '经历', '过', '多轮', '供给', '侧', '改革', '洗礼', '，', '拥有', '超']",14.0,279,1
2022/6/17,402,"['主力', '就是', '主力', '摸不透', '主力', '的', '逻辑', '啊']",21.0,199,1
2022/6/16,417,"['看', '我', '88.88', '元卖', '了', '就', '这样', '涨', '啊', '？', '天理难容', '啊', '！']",-8.0,1217,-1
2022/6/16,418,"['怂', '的', '一塌糊涂', '~', '~', '嘎嘎', '嘎']",-9.0,188,-1
2022/6/16,424,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '[', '生气', ']', '[', '生气', ']', '[', '生气', ']', '[', '生气', ']', '[', '生气', ']']",-25.0,208,-1
2022/6/16,431,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '卧倒', '装死', '[', '俏皮', ']', '进二退', '一', '，', '进三退']",5.0,211,1
2022/6/16,432,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '今天', '万华', '冲高', '失败', '没有', '突破', '压力', '位']",-8.0,510,-1
2022/6/16,446,"['万华', '化学', '好比', '是', '一个', '未成熟', '的', '桃子', '，', '好看', '不', '好吃', '，', '没', '几个']",-7.0,595,-1
2022/6/16,447,"['要涨', '啊', '涨', '啊', '要涨', '啊', '涨', '啊', '要涨', '啊', '涨', '啊']",6.0,181,1
2022/6/16,458,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '今天', '涨', '这么', '多', '，', '不', '随便', '发个', '公告', '，']",16.0,575,1
2022/6/15,465,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '朋友', '们', '，', '不管', '你', '的', '买入价', '是', '多少', '，']",8.0,532,1
2022/6/15,478,"['成交', '放大', '，', '三亿', '流入', '，', '万华', '精彩', '还', '在', '后续', '！']",7.0,302,1
2022/6/15,479,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '重要', '的', '事情', '说', '三遍', '，', '持有', '持有', '持有']",7.0,868,1
2022/6/15,480,"['tdi', '龙头', '，', '进入', '爆发', '期', '，', '目标', '120', '元', '！', '开盘', '能', '上车', '快上', '，', '晚']",-6.0,1069,-1
2022/6/15,481,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '心如止水', '，', '涨', '也好', '、', '跌', '也罢', '，', '都', '稳']",5.0,217,1
2022/6/15,482,"['少年', '歌行', '风花雪月', '篇']",-5.0,227,-1
2022/6/15,485,"['涨停', '涨停', '涨停', '涨停', '涨停', '涨停', '涨停']",7.0,394,1
2022/6/15,488,"['涨停', '涨停', '涨停', '涨停', '涨停', '涨停', '涨停']",7.0,157,1
2022/6/15,493,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '万华', '，', '国之', '重器', '，', '勇于', '担当', '，', '值得']",8.0,209,1
2022/6/15,511,"['$', '万华', '化学', '(', 'SH600309', ')', '$', '强势', '洗盘', '，', '放心', '，', '慢慢', '会', '回来', '的']",7.0,692,1
