time,all_num_上海银行,all_dic_score,上海银行舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,5,1.00,0.49,3,3.00,2,-2.00
2021-01-02,3,1.00,0.52,2,2.00,1,-1.00
2021-01-03,3,1.00,0.33,2,2.00,1,-1.00
2021-01-04,33,21.00,0.73,27,27.00,6,-6.00
2021-01-05,22,0.00,0.24,11,11.00,11,-11.00
2021-01-06,25,7.00,0.05,16,16.00,9,-9.00
2021-01-07,33,5.00,0.40,19,19.00,14,-14.00
2021-01-08,31,5.00,0.39,18,18.00,13,-13.00
2021-01-09,25,11.00,0.55,18,18.00,7,-7.00
2021-01-10,25,7.00,0.48,16,16.00,9,-9.00
2021-01-11,80,14.00,0.66,47,47.00,33,-33.00
2021-01-12,46,6.00,0.30,26,26.00,20,-20.00
2021-01-13,34,8.00,0.29,21,21.00,13,-13.00
2021-01-14,24,14.00,0.82,19,19.00,5,-5.00
2021-01-15,58,18.00,0.48,38,38.00,20,-20.00
2021-01-16,21,9.00,0.32,15,15.00,6,-6.00
2021-01-17,6,4.00,0.89,5,5.00,1,-1.00
2021-01-18,40,8.00,0.34,24,24.00,16,-16.00
2021-01-19,24,10.00,0.61,17,17.00,7,-7.00
2021-01-20,21,7.00,0.67,14,14.00,7,-7.00
2021-01-21,45,11.00,0.54,28,28.00,17,-17.00
2021-01-22,47,5.00,0.18,26,26.00,21,-21.00
2021-01-23,15,3.00,0.29,9,9.00,6,-6.00
2021-01-24,19,7.00,0.43,13,13.00,6,-6.00
2021-01-25,77,11.00,0.14,44,44.00,33,-33.00
2021-01-26,132,22.00,0.38,77,77.00,55,-55.00
2021-01-27,242,24.00,0.51,133,133.00,109,-109.00
2021-01-28,82,16.00,0.04,49,49.00,33,-33.00
2021-01-29,45,11.00,0.18,28,28.00,17,-17.00
2021-01-30,10,6.00,-0.84,8,8.00,2,-2.00
2021-01-31,16,12.00,0.88,14,14.00,2,-2.00
2021-02-01,34,8.00,0.31,21,21.00,13,-13.00
2021-02-02,41,17.00,0.51,29,29.00,12,-12.00
2021-02-03,47,15.00,0.37,31,31.00,16,-16.00
2021-02-04,40,12.00,0.64,26,26.00,14,-14.00
2021-02-05,63,21.00,0.48,42,42.00,21,-21.00
2021-02-06,9,-3.00,-0.44,3,3.00,6,-6.00
2021-02-07,14,2.00,0.22,8,8.00,6,-6.00
2021-02-08,34,14.00,0.71,24,24.00,10,-10.00
2021-02-09,47,5.00,0.80,26,26.00,21,-21.00
2021-02-10,80,8.00,0.35,44,44.00,36,-36.00
2021-02-11,8,2.00,0.70,5,5.00,3,-3.00
2021-02-12,3,-1.00,-0.51,1,1.00,2,-2.00
2021-02-13,5,3.00,0.64,4,4.00,1,-1.00
2021-02-14,3,1.00,0.68,2,2.00,1,-1.00
2021-02-15,3,1.00,0.51,2,2.00,1,-1.00
2021-02-16,3,1.00,0.60,2,2.00,1,-1.00
2021-02-17,2,2.00,1.00,2,2.00,0,0.00
2021-02-18,27,3.00,0.38,15,15.00,12,-12.00
2021-02-19,38,12.00,0.71,25,25.00,13,-13.00
2021-02-20,11,3.00,0.63,7,7.00,4,-4.00
2021-02-21,4,0.00,-0.34,2,2.00,2,-2.00
2021-02-22,18,-2.00,0.03,8,8.00,10,-10.00
2021-02-23,29,11.00,0.54,20,20.00,9,-9.00
2021-02-24,26,-4.00,-0.80,11,11.00,15,-15.00
2021-02-25,33,-1.00,-0.73,16,16.00,17,-17.00
2021-02-26,53,-1.00,-0.43,26,26.00,27,-27.00
2021-02-27,14,8.00,0.70,11,11.00,3,-3.00
2021-02-28,8,6.00,0.82,7,7.00,1,-1.00
2021-03-01,29,5.00,0.35,17,17.00,12,-12.00
2021-03-02,21,5.00,-0.58,13,13.00,8,-8.00
2021-03-03,34,10.00,0.89,22,22.00,12,-12.00
2021-03-04,11,3.00,0.44,7,7.00,4,-4.00
2021-03-05,29,-1.00,0.24,14,14.00,15,-15.00
2021-03-06,9,5.00,0.67,7,7.00,2,-2.00
2021-03-07,4,2.00,0.71,3,3.00,1,-1.00
2021-03-08,29,-7.00,-0.29,11,11.00,18,-18.00
2021-03-09,18,2.00,-0.65,10,10.00,8,-8.00
2021-03-10,22,12.00,0.86,17,17.00,5,-5.00
2021-03-11,18,4.00,0.44,11,11.00,7,-7.00
2021-03-12,14,10.00,-0.42,12,12.00,2,-2.00
2021-03-13,6,4.00,0.79,5,5.00,1,-1.00
2021-03-14,5,1.00,0.22,3,3.00,2,-2.00
2021-03-15,32,14.00,0.26,23,23.00,9,-9.00
2021-03-16,18,-2.00,0.02,8,8.00,10,-10.00
2021-03-17,11,3.00,0.48,7,7.00,4,-4.00
2021-03-18,11,3.00,0.36,7,7.00,4,-4.00
2021-03-19,17,5.00,0.50,11,11.00,6,-6.00
2021-03-20,4,2.00,0.73,3,3.00,1,-1.00
2021-03-21,4,2.00,0.67,3,3.00,1,-1.00
2021-03-22,18,4.00,0.38,11,11.00,7,-7.00
2021-03-23,30,2.00,0.15,16,16.00,14,-14.00
2021-03-24,17,3.00,0.44,10,10.00,7,-7.00
2021-03-25,8,0.00,-0.03,4,4.00,4,-4.00
2021-03-26,14,8.00,0.64,11,11.00,3,-3.00
2021-03-27,4,2.00,0.38,3,3.00,1,-1.00
2021-03-28,6,4.00,0.63,5,5.00,1,-1.00
2021-03-29,24,6.00,0.41,15,15.00,9,-9.00
2021-03-30,17,7.00,0.78,12,12.00,5,-5.00
2021-03-31,19,1.00,0.58,10,10.00,9,-9.00
2021-04-01,18,6.00,0.70,12,12.00,6,-6.00
2021-04-02,14,2.00,-0.31,8,8.00,6,-6.00
2021-04-03,3,3.00,1.00,3,3.00,0,0.00
2021-04-05,6,0.00,0.10,3,3.00,3,-3.00
2021-04-06,13,1.00,0.34,7,7.00,6,-6.00
2021-04-07,17,3.00,0.46,10,10.00,7,-7.00
2021-04-08,27,-1.00,0.15,13,13.00,14,-14.00
2021-04-09,30,10.00,0.40,20,20.00,10,-10.00
2021-04-10,9,7.00,0.69,8,8.00,1,-1.00
2021-04-11,4,2.00,0.51,3,3.00,1,-1.00
2021-04-12,5,3.00,0.74,4,4.00,1,-1.00
2021-04-13,23,5.00,0.21,14,14.00,9,-9.00
2021-04-14,28,-2.00,0.07,13,13.00,15,-15.00
2021-04-15,21,7.00,0.37,14,14.00,7,-7.00
2021-04-16,22,10.00,0.65,16,16.00,6,-6.00
2021-04-17,4,4.00,1.00,4,4.00,0,0.00
2021-04-18,8,8.00,1.00,8,8.00,0,0.00
2021-04-19,53,-1.00,-0.33,26,26.00,27,-27.00
2021-04-20,55,-5.00,-0.08,25,25.00,30,-30.00
2021-04-21,31,9.00,0.29,20,20.00,11,-11.00
2021-04-22,43,7.00,0.24,25,25.00,18,-18.00
2021-04-23,46,20.00,0.57,33,33.00,13,-13.00
2021-04-24,18,12.00,0.85,15,15.00,3,-3.00
2021-04-25,16,8.00,-0.02,12,12.00,4,-4.00
2021-04-26,36,20.00,0.86,28,28.00,8,-8.00
2021-04-27,40,10.00,0.53,25,25.00,15,-15.00
2021-04-28,18,6.00,0.27,12,12.00,6,-6.00
2021-04-29,36,14.00,0.66,25,25.00,11,-11.00
2021-04-30,81,5.00,-0.00,43,43.00,38,-38.00
2021-05-01,5,3.00,0.82,4,4.00,1,-1.00
