time,no,review,score,read_volume,label
2022/6/30,1,"['$', '上海银行', '(', 'SH601229', ')', '$', '到', '目前为止', '，', '伤害', '银行', '连跌', '6', '年', '，']",-4.0,214,-1
2022/6/30,2,"['上证', '上半年', '跌', '了', '6.5%', '，', '上海银行', '上半年', '跌', '了', '8.13%', '，', '一支']",-2.0,442,1
2022/6/30,3,"['上海银行', '，', '一支', '可以', '跌', '一辈子', '的', '股票', '，', '要', '珍惜', '它', '。']",-1.0,281,1
2022/6/30,4,"['7', '月', '几号', '分红']",0.0,571,-1
2022/6/30,5,"['$', '上海银行', '(', 'SH601229', ')', '$', '：', '这', '拉西', '今', '658', '试探', '买', '了', '一', '万股', '想']",0.0,199,1
2022/6/30,6,"['咬住不放', '，', '过', '几个', '月', '解禁', '的', '原始股', '成本', '拿', '了', '六年', '都', '6.29', '，']",0.0,380,-1
2022/6/30,7,"['$', '上海银行', '(', 'SH601229', ')', '$', '买', '这', '货纯', '是', '避险', '作用', '的', '。']",0.0,288,1
2022/6/30,8,"['上海银行', '首次', '发布', '环境', '信息', '披露', '报告', ' ', '加大', '布局', '清洁', '能源']",2.0,795,1
2022/6/30,10,"['分红', '公告', '迟迟', '不', '出', '资金', '急跌', '后', '长时间', '磨底', '吸筹']",1.0,310,1
2022/6/30,11,"['7', '月', '发', '分红', '公告', '吗', '？']",0.0,491,1
2022/6/30,12,"['上海银行', '持续', '激活', '“', '绿色', '基因', '”', ' ', '去年', '融资', '规']",0.0,742,1
2022/6/30,13,"['$', '上海银行', '(', 'SH601229', ')', '$', '今天', '收盘', '跌', '一分', '。']",-1.0,186,1
2022/6/30,14,"['涨得少', '的', '都', '在', '拼命', '往上', '冲', '，', '只有', '这', '上海银行', '在']",0.0,185,1
2022/6/30,15,"['散户', '团结一心', '，', '红盘']",0.0,183,1
2022/6/30,16,"['今天', '成交量', '已经', '创', '2', '月', '新低', '了', '，', '尾盘', '不是', '大拉', '3']",-1.0,162,-1
2022/6/30,17,"['大', '新闻', '！', '上', '银月线', '要', '收红', '，', '说明', '我行', '已经', '启动']",0.0,213,-1
2022/6/30,18,"['6.56', '全卖', '了', '，', '可以', '涨', '了', '吧']",1.0,189,1
2022/6/30,19,"['下来', '吧', '，', '6.32', '才', '是', '你', '的', '位置', '，', '没事', '涨', '这么', '高干']",0.0,199,1
2022/6/30,20,"['$', '上海银行', '(', 'SH601229', ')', '$', '我', '受不了', '了', '，', '兄弟', '们', '再']",0.0,187,1
2022/6/30,22,"['涨', '这么', '多', '，', '是', '该', '停', '一停', '了', '，', '不然', '谁', '受得了', '。']",1.0,141,-1
2022/6/30,23,"['每次', '都', '跑', '不', '赢', '行业', '板块', '？']",0.0,176,-1
2022/6/30,25,"['真是', '个', '大', '蜗牛']",0.0,175,-1
2022/6/30,27,"['$', '上海银行', '(', 'SH601229', ')', '$', '根据', '华', '安徽', '赢', '的', '统计', '，']",0.0,359,1
2022/6/30,28,"['这', '一年', '200', '多个', '交易日', '，', '有', '200', '天是', '低开', '。']",-1.0,250,-1
2022/6/30,29,"['$', '上海银行', '(', 'SH601229', ')', '$', '涨', '了', '三天', '可能', '不够', '明天']",-4.0,267,-1
2022/6/30,30,"['上海银行', '06', '月', '29', '日获', '沪', '股通', '增持', '65.07', '万股']",1.0,297,1
2022/6/30,31,"['上海银行', '：', '连续', '3', '日', '融资', '净', '买入', '累计', '2634.24', '万元', '（', '06', '-', '29']",0.0,250,1
2022/6/29,32,"['跌点', '吧', '，', '别', '再涨', '了', '，', '谁', '能', '想到', '它', '还', '能', '到', '6.57', '，', '不敢', '想象', '，']",-1.0,333,1
2022/6/29,33,"['$', '上海银行', '(', 'SH601229', ')', '$', '宁波', '银行', '上市', '以后', '上涨', '了', '10', '倍', '，', '今']",1.0,358,1
2022/6/29,34,['转发'],0.0,188,-1
2022/6/29,35,"['连涨', '三天', '涨', '了', '六分', '钱', '，', '明天', '能', '不能', '给力', '点']",1.0,265,1
2022/6/29,36,"['突然', '涨', '这么', '多', '，', '排名', '第三', '，', '只', '输给', '招行', '和', '浦发', '，', '有点', '不敢']",1.0,340,1
2022/6/29,37,"['涨得', '有点', '吓人', '啊', '，', '再', '这么', '涨', '下去', '还', '得', '了', '，', '还是', '跌一跌', '比较']",-0.5,246,1
2022/6/29,38,"['疯了', '吧', '，', '又', '涨', '这么', '多', '，', '这', '是', '要', '上', '20', '的', '节奏', '吗', '？']",1.0,252,1
2022/6/29,39,"['$', '上海银行', '(', 'SH601229', ')', '$', '垃圾']",-1.0,202,-1
2022/6/29,40,"['大盘', '都', '跌', '0.8%', '了', '，', '快', '绿', '吧', '。']",-1.0,258,1
2022/6/29,41,"['上', '银', '明天', '还', '得', '涨', '，']",0.5,209,-1
2022/6/29,42,"['6.56', '卖', '了']",0.0,203,-1
2022/6/29,43,"['$', '上海银行', '(', 'SH601229', ')', '$', '这', '家伙', '厉害']",0.0,191,-1
2022/6/29,44,"['从来', '没有', '领涨', '过', '，', '真是', '服了', '，', '没', '人', '拉升', '股价', '，', '机构', '呢', '？', '港']",-4.0,348,1
2022/6/29,45,"['6.56', '出完', '了']",0.0,284,-1
2022/6/29,46,"['601229', ':', '上海银行', '关于', '实施', '2021', '年度', '权益', '分派', '时', '“', '上银转']",0.0,2812,1
2022/6/29,48,"['$', '上海银行', '(', 'SH601229', ')', '$', '分红', '之前', '应该', '就是', '这个', '鬼', '样子']",0.0,202,1
2022/6/29,49,"['$', '上海银行', '(', 'SH601229', ')', '$', '这次', '处理', '了', '那么', '多', '银行', '，', '上海银行']",0.0,201,-1
2022/6/29,50,"['$', '上海银行', '(', 'SH601229', ')', '$', '亏损', '终于', '减到', '十个', '点', '以内', '了', '[', '大笑', ']']",-1.0,177,1
2022/6/29,51,"['转债', '溢价', '率', '70%', '，', '也', '就', '上', '银', '这种', '垃圾股', '才', '有', '那么', '高', '吧', '，', '正']",-1.0,177,1
2022/6/29,52,"['凉凉', '喽', '，', 't', '飞', '喽', '，', '6.5', '还有', '机会', '买到', '吗']",1.0,260,-1
2022/6/29,53,"['$', '上海银行', '(', 'SH601229', ')', '$', '不', '给', '我', '进', '，', '我去', '格力', '减肥', '到', '去', '了']",0.0,169,1
2022/6/29,54,"['为什', '吗', '上海银行', '送股', '从来不', '提前', '弃权', '？']",1.0,180,-1
2022/6/29,55,"['复工', '半月', ' ', '上海', '银行业', '经历', '“', '压力', '测试', '”']",-1.0,1006,1
2022/6/29,56,"['感觉', '上海银行', '涨', '的', '都', '是', '假涨', '，', '每天', '都', '是', '尾盘', '拉', '一下', '，', '第二']",1.0,137,1
2022/6/29,57,"['上海银行', '06', '月', '28', '日', '被', '沪', '股通', '减持', '326.3', '万股']",-1.0,272,1
2022/6/29,58,"['上海银行', '：', '融资', '净', '买入', '1734.93', '万元', '，', '融资', '余额', '8.77', '亿元']",0.0,249,1
2022/6/29,60,"['今年', '二季度']",0.0,600,1
2022/6/28,61,"['不管', '是', '准备', '继续', '持有', '还是', '想', '逃顶', '的', '，', '这', '股', '基本', '没涨', '是', '事实']",-1.0,212,1
2022/6/28,62,"['$', '上海银行', '(', 'SH601229', ')', '$']",0.0,468,1
2022/6/28,63,"['从', '底部', '6.3', '到', '6.55', '已经', '涨', '了', '2', '毛', '5', '啦', '，', '感觉', '差不多', '要', '回调', '了']",0.0,252,-1
2022/6/28,64,"['6.39', '之下', '砸锅卖铁', '都', '要', '补仓', '！']",0.0,1229,-1
