time,no,review,score,read_volume,label
2022/6/30,9,"['中收', '表现', '亮眼', '，', '看好', '公司', '财富', '管理', '转型', '稳步', '推']",6.0,3214,1
2022/6/30,21,"['鄙视', '上海银行']",-7.0,195,-1
2022/6/30,24,"['瘟神', '，', '我', '现在', '只能', '长期', '持有', '拿', '分红', '了', '。', '吗', '但']",-5.0,191,-1
2022/6/30,26,"['上海银行', '：', '创新', '供应链', '金融', ' ', '助力', '餐饮', '堂食', '有']",6.0,563,1
2022/6/29,47,"['放心', '买入', '，', '上面', '没有', '压单', '，', '短期', '看好', '看好', '填权']",10.0,309,1
2022/6/29,59,"['说', '的', '真好', '点赞', '，', '比唱', '的', '好听', '，', '敢', '紧卖', '了', '吧', '，']",7.0,240,1
2022/6/28,76,"['说明', '上海', '的', '房地产', '不行', '了']",-7.0,173,-1
2022/6/28,77,"['主力', '的', '筹码', '越', '砸', '越少', '，', '都', '被', '散户', '买', '走', '了']",7.0,173,1
2022/6/28,88,"['$', '上海银行', '(', 'SH601229', ')', '$', '重仓', '上', '银绿得', '不行', '[', '滴汗', ']', '割割', '补补']",-7.0,351,-1
2022/6/28,92,"['举手', '投降', '，', '认输', '，', '亏了', '10', '多个', '点', '清仓', '卖出', '！', '大盘', '创小', '新高']",-5.0,637,-1
2022/6/27,95,"['天天', '喊', '吃', '红利', '，', '买', '这', '支股', '有', '几个', '想', '真正', '吃', '红利', '的', '？', '上海', '银']",7.0,1226,1
2022/6/27,110,"['难怪', '被', '银行', 'ETF', '抛弃', '烂泥', '扶不上', '墙', '的', '东西']",-8.0,163,-1
2022/6/26,125,"['人们', '似乎', '忘记', '了', '这个', '银行', '？', '这', '主力', '也', '是', '够', '狠', '，', '用近', '六年', '时']",7.0,1064,1
2022/6/26,127,"['哥', '，', '牛市', '好像', '要来', '了', '，', '另', '一个', '不要脸', '的', '人保', '已经', '解套', '了', '，']",-5.0,441,-1
2022/6/24,142,"['放心', '吧', '，', '6.48', '和', '6.47', '有', '万手', '拖单', '，', '破', '不了', '。', '稳']",7.0,229,1
2022/6/24,150,"['$', '上海银行', '(', 'SH601229', ')', '$', '不要脸', '，', '拿', '这么', '多钱', '对得起', '股价', '吗']",-7.0,217,-1
2022/6/22,198,"['$', '上海银行', '(', 'SH601229', ')', '$', '这个', '换手', '啊', '真的', '是', '冻住', '了', '套', '的', '死死']",-9.0,193,-1
2022/6/22,199,"['半死不活', '的', '股', '，', '退市', '好', '了', '，', '别', '在', '这里', '丢人现眼']",13.0,205,1
2022/6/22,203,"['认真', '工作', '、', '勤俭节约', '、', '谨慎', '理财', '、', '及时', '存钱', '。']",11.0,242,1
2022/6/21,206,"['$', '上海银行', '(', 'SH601229', ')', '$', '上', '银', '发债', '成本低', '，', '才能', '多', '盈利', '。']",9.0,209,1
2022/6/21,212,"['$', '上海银行', '(', 'SH601229', ')', '$', '上海银行', '象样', '走', '几步', '好难', '哦', '！', '究竟']",5.0,402,1
2022/6/21,217,"['$', '上海银行', '(', 'SH601229', ')', '$', '看到', '有', '朋友', '说', '上海银行', '现阶段', '非常']",9.0,246,1
2022/6/20,224,"['快速', '再来', '个', '新低', '，', '必涨']",5.0,266,1
2022/6/20,225,"['其实', '大家', '也', '不要', '骂', '了', '，', '这个', '股', '最好', '来', '几个', '跌停板', '，', '估计', '3']",10.0,237,1
2022/6/20,227,"['主力', '都', '去', '哪里', '玩', '了']",7.0,189,1
2022/6/20,230,"['我', '都', '说', '啦', '，', '6.52', '几百', '手', '相当于', '10', '万手', '，', '主力', '已经', '卖', '了', '快', '7']",7.0,421,1
2022/6/20,233,"['$', '上海银行', '(', 'SH601229', ')', '$', '上海银行', '上市', '6', '年', '，', '一路', '高歌猛进']",5.0,247,1
2022/6/20,236,"['指数', '涨', '你', '也', '不涨', '，', '版块', '涨', '你', '也', '是', '应付', '。', '知道', '你', '还要', '走', '5', '浪']",-5.0,213,-1
2022/6/17,271,"['老态龙钟', '一身', '的', '毛病', '涨不动', '了']",-8.0,243,-1
2022/6/17,277,"['真', '不要脸', '还有', '脸面', '开', '董事会']",-7.0,229,-1
2022/6/17,280,"['最好', '来个', '3%', '的', '下跌', '，', '以', '表示', '全体', '股东', '对', '公司', '的', '不满', '。']",5.0,186,1
2022/6/17,290,"['上市', '城商行', '支持', '实体', '经济', '透视', '：', '小微', '信贷', '普增', ' ', '宁波', '银行']",5.0,883,1
2022/6/16,303,"['新手', '来', '学习', '一下', '，', '一个', '朋友', '建议', '我', '在', '目前', '阶段', '，', '到', '股市', '里']",10.0,1142,1
2022/6/16,305,"['$', '上海银行', '(', 'SH601229', ')', '$', '主力', '吃饱喝足', '、', '志得意满', '，', '准备', '大']",12.0,524,1
2022/6/16,312,"['什么', '时候', '分红', '才能', '到', '账', '呢', '？']",5.0,530,1
2022/6/16,315,"['说实话', '，', '应该', '快见', '顶了']",7.0,529,1
2022/6/15,322,"['诸位', '吧', '友', '，', '你们', '都', '多少', '的', '本', '啊']",5.0,1627,1
2022/6/15,337,"['没用', '，', '到', '9', '元', '还', '早', '呢', '！']",-5.0,220,-1
2022/6/15,342,"['上涨', '远离', '5', '日线', '必须', '回调', '[', '笑', '哭', ']', '[', '笑', '哭', ']']",6.0,133,1
2022/6/15,344,"['上海银行', '6.64', '见', '顶了', '[', '大笑', ']']",7.0,148,1
2022/6/14,366,"['成都', '银行', '才', '是', '王道', '，', '直接', '飙', '20']",5.0,401,1
2022/6/13,385,"['券商', '保险', '银行', '股日线', '底', '背离', '洗盘', '结束', '，', '随时', '等待', '他们', '一飞']",-7.0,267,-1
2022/6/13,387,"['上海银行', '也', '是', '那', '熊', '德性']",-5.0,196,-1
2022/6/13,390,['恶心'],-5.0,186,-1
2022/6/13,406,"['开盘', '暴击', '，', '涨得', '都', '没', '人家', '一根', '毛多', '，', '跌', '起来', '比', '谁', '都', '快']",8.0,174,1
2022/6/10,430,"['今天', '单日', '成交量', '60', '万手', '，', '已经', '是', '上海银行', '的', '极致', '的', '，', '近一']",9.0,312,1
2022/6/10,433,"['完蛋', '玩意', '，', '60', '日线', '都', '不敢', '碰']",-5.0,195,-1
