id,time,review,read_volume
1,2022/6/30,哇，大盘爆涨他怒张一分,278
2,2022/6/30,完美错过本轮行情，,378
3,2022/6/30,主板拆主板再添一家 高景气周期下上港集团拟分拆锦江,903
4,2022/6/30,小鼻子小眼的股，磨磨唧唧的，一点点盈利就急着做差价,306
5,2022/6/30,垃圾就是垃圾，明天继续阴跌,130
6,2022/6/30,上港集团：拟分拆全资子公司锦江航运至上交所主板上市,930
7,2022/6/30,$上港集团(SH600018)$他们总说五穷六绝七翻身？看看这,145
8,2022/6/30,明天继续横盘阴跌，下周回来继续配合外资一起砸盘。,112
9,2022/6/30,600018:上港集团第三届监事会第十九次会议决议公告,626
10,2022/6/30,要沉的节奏吗？,190
11,2022/6/30,$上港集团(SH600018)$今天又没跟着涨，一分都没有涨，,319
12,2022/6/30,不出意外今天收盘5.87，然后明天继续阴，这种阴间公司,251
13,2022/6/30,$上港集团(SH600018)$读帖摘录(作者PZHY）：(今日)大,812
14,2022/6/30,等,286
15,2022/6/30,$上港集团(SH600018)$今天上港要争口气，涨5分，只要,305
16,2022/6/30,$上港集团(SH600018)$一路发那么多的公告有毛用，股价,335
17,2022/6/30,大家来说说这个垃圾国企，一个月了，没有一个交易日能,226
18,2022/6/30,$上港集团(SH600018)$大盘已经疯涨了，你还动也不动,293
19,2022/6/30,$上港集团(SH600018)$今天是被逼迫上涨那么2分钱,172
20,2022/6/30,怎么走得像病老汉陷在烂泥潭里？喪港,277
21,2022/6/30,这个月最后一个交易日了，怎么能翻红呢？吃席就要一路,241
22,2022/6/30,不动,221
23,2022/6/30,下跌趋势的股票永远不要碰,229
24,2022/6/30,吓不了别人的,217
25,2022/6/30,我嚓，昨晚加自选备买的上港集团，深圳能源，健之佳，,277
26,2022/6/30,$上港集团(SH600018)$调整时间有一个多月了，到头部了,251
27,2022/6/30,$上港集团(SH600018)$利空出尽，便有利好[呲牙],378
28,2022/6/30,600018:上港集团分拆所属子公司上海锦江航运(集团)股,252
