time,all_num_上港集团,all_dic_score,上港集团舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,13,7.00,0.69,10,10.00,3,-3.00
2021-01-02,7,3.00,0.42,5,5.00,2,-2.00
2021-01-03,15,5.00,0.72,10,10.00,5,-5.00
2021-01-04,59,17.00,0.38,38,38.00,21,-21.00
2021-01-05,75,7.00,0.22,41,41.00,34,-34.00
2021-01-06,67,17.00,0.33,42,42.00,25,-25.00
2021-01-07,56,14.00,0.59,35,35.00,21,-21.00
2021-01-08,82,24.00,0.36,53,53.00,29,-29.00
2021-01-09,19,11.00,0.50,15,15.00,4,-4.00
2021-01-10,11,7.00,0.75,9,9.00,2,-2.00
2021-01-11,59,21.00,0.40,40,40.00,19,-19.00
2021-01-12,90,14.00,0.22,52,52.00,38,-38.00
2021-01-13,76,6.00,0.21,41,41.00,35,-35.00
2021-01-14,118,36.00,0.34,77,77.00,41,-41.00
2021-01-15,119,31.00,0.43,75,75.00,44,-44.00
2021-01-16,34,14.00,0.65,24,24.00,10,-10.00
2021-01-17,27,13.00,0.73,20,20.00,7,-7.00
2021-01-18,86,4.00,0.23,45,45.00,41,-41.00
2021-01-19,85,23.00,0.62,54,54.00,31,-31.00
2021-01-20,80,0.00,0.07,40,40.00,40,-40.00
2021-01-21,86,22.00,0.39,54,54.00,32,-32.00
2021-01-22,93,13.00,0.50,53,53.00,40,-40.00
2021-01-23,13,-3.00,-0.38,5,5.00,8,-8.00
2021-01-24,13,5.00,0.69,9,9.00,4,-4.00
2021-01-25,79,21.00,0.36,50,50.00,29,-29.00
2021-01-26,63,3.00,0.03,33,33.00,30,-30.00
2021-01-27,48,-10.00,-0.26,19,19.00,29,-29.00
2021-01-28,74,6.00,0.59,40,40.00,34,-34.00
2021-01-29,30,18.00,0.72,24,24.00,6,-6.00
2021-01-30,21,11.00,0.54,16,16.00,5,-5.00
2021-01-31,13,3.00,-0.20,8,8.00,5,-5.00
2021-02-01,35,19.00,0.30,27,27.00,8,-8.00
2021-02-02,33,5.00,0.38,19,19.00,14,-14.00
2021-02-03,70,36.00,0.37,53,53.00,17,-17.00
2021-02-04,80,8.00,0.23,44,44.00,36,-36.00
2021-02-05,46,12.00,0.38,29,29.00,17,-17.00
2021-02-06,22,6.00,-0.02,14,14.00,8,-8.00
2021-02-07,15,5.00,0.39,10,10.00,5,-5.00
2021-02-08,30,16.00,0.61,23,23.00,7,-7.00
2021-02-09,34,8.00,0.36,21,21.00,13,-13.00
2021-02-10,34,4.00,0.32,19,19.00,15,-15.00
2021-02-11,9,1.00,0.19,5,5.00,4,-4.00
2021-02-12,5,5.00,1.00,5,5.00,0,0.00
2021-02-13,8,0.00,0.21,4,4.00,4,-4.00
2021-02-14,3,1.00,0.58,2,2.00,1,-1.00
2021-02-15,6,4.00,0.83,5,5.00,1,-1.00
2021-02-16,6,2.00,0.51,4,4.00,2,-2.00
2021-02-17,7,5.00,0.69,6,6.00,1,-1.00
2021-02-18,35,15.00,0.68,25,25.00,10,-10.00
2021-02-19,34,10.00,0.39,22,22.00,12,-12.00
2021-02-20,17,3.00,-0.10,10,10.00,7,-7.00
2021-02-21,8,6.00,0.90,7,7.00,1,-1.00
2021-02-22,33,-3.00,-0.21,15,15.00,18,-18.00
2021-02-23,37,11.00,0.45,24,24.00,13,-13.00
2021-02-24,41,7.00,0.38,24,24.00,17,-17.00
2021-02-25,36,8.00,0.26,22,22.00,14,-14.00
2021-02-26,32,20.00,0.71,26,26.00,6,-6.00
2021-02-27,9,9.00,1.00,9,9.00,0,0.00
2021-02-28,10,4.00,0.42,7,7.00,3,-3.00
2021-03-01,47,3.00,0.23,25,25.00,22,-22.00
2021-03-02,38,6.00,0.42,22,22.00,16,-16.00
2021-03-03,51,-5.00,0.07,23,23.00,28,-28.00
2021-03-04,47,9.00,-0.14,28,28.00,19,-19.00
2021-03-05,57,7.00,0.20,32,32.00,25,-25.00
2021-03-06,9,1.00,0.07,5,5.00,4,-4.00
