time,no,review,score,read_volume,label
2022/6/30,2,"['完美', '错过', '本轮', '行情', '，']",8.0,378,1
2022/6/30,43,"['盘子', '太', '大', '，', '拆分', '就是', '把', '优质', '资产', '独立', '出来', '上市', '。']",7.0,341,1
2022/6/30,50,"['主力', '先知先觉', ' ', '知道', '要', '拆分', '上市', '把', '赚钱的', '分', '出去', '。', '等', '你', '知']",11.0,289,1
2022/6/29,81,"['涨', '的', '时候', '上面', '压个', '2000', '手', '可以', '买', '一', '小时', '都', '买', '不', '掉', '，', '跌', '起来']",9.0,322,1
2022/6/29,86,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '最高', '六成', '持仓', '。', '耐心', '等待', '修复', '行情']",8.0,539,1
2022/6/29,94,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '开起', '爹爹', '不休', '模式', '，', '哈哈', '。']",6.0,202,1
2022/6/29,98,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '跟', '跌', '一把', '好手', '，', '泻', '不停']",8.0,158,1
2022/6/28,119,"['大盘', '明天', '看上', '港', '拯救', '[', '加油', ']']",6.0,367,1
2022/6/28,120,"['上港', '集团', '：', '王尔璋', '先生', '因到', '龄', '退休', '原因', ' ', '申请', '辞去', '公司', '董']",6.0,391,1
2022/6/28,124,"['发现', '真正', '有能力的', '都', '是', '不', '出声', '的', '，', '反而', '那些', '天天', '有', '时间', '在']",7.0,567,1
2022/6/28,128,"['被', '恶心', '到', '了']",-5.0,138,-1
2022/6/28,132,"['丧港', '不亡', '天理难容', '！']",-9.0,185,-1
2022/6/28,147,"['起来', '开工', '了', '，', '别睡了']",7.0,210,1
2022/6/27,165,"['上海', '股', '就是', '小气', '，', '连', '操盘手', '都', '小气', '的']",-14.0,217,-1
2022/6/27,171,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '拖累', '大盘', '的', '总归', '是', '你', '，']",-5.0,205,-1
2022/6/27,174,"['同花顺', '上港', '吧', '贼', '热闹', '。', '都', '是', '散户', '。', '你', '说', '庄能', '拉']",15.0,260,1
2022/6/27,182,"['主力', '够', '狠', '！', '加油', '，', '继续', '砸', '！']",8.0,187,1
2022/6/27,186,"['大盘', '涨得', '那么', '好', '，', '这货', '一直', '在', '跌', '，', '辜负', '了', '这么']",-5.0,397,-1
2022/6/27,189,"['连续', '一个半月', '横盘', '震荡', '这个', '价位', '，', '主力', '根本', '没']",7.0,238,1
2022/6/24,230,"['上港', '这庄', '的', '洗盘', '手法', '。', '就是', '孙大圣', '来', '。', '都', '得', '留下', '金箍棒', '。']",7.0,411,1
2022/6/24,231,"['庄把', '短线', '客洗', '出局', '就', '该', '拉升', '了', '。', '股价', '不', '持续', '放量', '我', '不怕', '哦']",-5.0,375,-1
2022/6/24,234,"['没有', '做', '对', '赛道', '，', '浪费', '半年']",7.0,421,1
2022/6/24,245,"['海立', '都', '七块', '了', '。', '上港', '也', '改', '反弹', '了', '。', '哈哈', '。', '我', '不怕', '跌', '。', '我', '还']",12.0,146,1
2022/6/24,255,"['北上', '抛弃', '了', '，', '成', '无头', '苍蝇', '了']",-8.0,190,-1
2022/6/24,269,"['看来', '还是', '要', '继续', '站岗', '，', '完全', '跑不掉', '啊', '！', '哈哈']",21.0,190,1
2022/6/23,282,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '大盘', '逆子', '！']",-7.0,343,-1
2022/6/23,296,"['要', '完蛋', '的', '节奏']",-5.0,161,-1
2022/6/23,298,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '趁', '主力', '打压', '，', '逐笔', '买入', '等', '分红']",6.0,214,1
2022/6/23,306,"['你', '说', '他', '跟', '板块', '涨跌', '嘛', '，', '你', '看跌', '的', '时候', '他', '跟', '的', '很', '认真', '，', '涨', '的']",10.0,337,1
2022/6/22,329,"['破位', '阴跌', '，', '耐心', '静静', '等待', '下', '一次', '加仓', '机会', '。', '一旦', '中美', '结束']",5.0,426,1
2022/6/22,338,"['权威', '：', '估值', '才', '6', '倍', '的', '优质', '公司', '到底', '由', '几只', '？', '？', '是', '猪', '都', '知道']",8.0,137,1
2022/6/22,361,"['两个', '招商', '，', '两个', '中远', '，', '真正', '的', '港口', '航运', '。', '上港', '是', '做', '足球', '的']",5.0,318,1
2022/6/22,369,"['看来', '没', '人', '想买', '这个', '垃圾', '，', '跌', '的', '时候', '带头', '的', '货色']",-5.0,154,-1
2022/6/22,371,"['又', '是', '怒涨', '一分', '的', '一天', '，', '真', '精彩', '啊']",7.0,153,1
2022/6/22,380,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '股东大会', '前', '，', '就', '这', '表现', '？', '要', '不要脸']",-7.0,190,-1
2022/6/21,397,"['还', '在', '幻想', '着', '上', '港', '大涨', '吗', '？', '现实', '就是', '散户', '集中', '股', '，', '主力', '机构']",8.5,495,1
2022/6/21,415,"['破位', '下跌', '喽', '，', '真牛', '，', '这', '把', '跌', '了', '快', '一个月', '了']",5.0,157,1
2022/6/21,416,"['外资', '疯狂', '跑路']",-8.0,130,-1
2022/6/21,420,"['等', '散户', '开始', '绝望', '。', '咒骂', '的', '时候', '就', '离', '反弹', '不远', '了', '。', '我', '赌', '二次']",-6.0,519,-1
2022/6/21,423,"['还', '在', '幻想', '着', '上', '港', '大涨', '吗', '？', '现实', '就是', '散户', '集中', '股', '，', '主力', '机构']",8.5,145,1
2022/6/21,431,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '只有', '卖卖', '卖', '才能', '买到', '更', '低', '的', '点']",5.0,178,1
2022/6/20,452,"['不愧', '是', '吃席', '公司']",5.0,157,1
