time,no,review,score,read_volume,label
2022/6/30,1,"['哇', '，', '大盘', '爆涨', '他', '怒', '张', '一分']",1.0,278,1
2022/6/30,2,"['完美', '错过', '本轮', '行情', '，']",8.0,378,1
2022/6/30,3,"['主板', '拆', '主板', '再添', '一家', ' ', '高', '景气', '周期', '下上', '港', '集团', '拟', '分拆', '锦江']",4.0,903,1
2022/6/30,4,"['小', '鼻子', '小眼', '的', '股', '，', '磨磨', '唧唧', '的', '，', '一点点', '盈利', '就', '急', '着', '做', '差价']",1.0,306,1
2022/6/30,5,"['垃圾', '就是', '垃圾', '，', '明天', '继续', '阴跌']",-3.0,130,-1
2022/6/30,6,"['上港', '集团', '：', '拟', '分拆', '全资', '子公司', '锦江', '航运', '至', '上交所', '主板', '上市']",0.0,930,0
2022/6/30,7,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '他们', '总说', '五穷六绝', '七', '翻身', '？', '看看', '这']",1.0,145,1
2022/6/30,8,"['明天', '继续', '横盘', '阴跌', '，', '下周', '回来', '继续', '配合', '外资', '一起', '砸盘', '。']",4.0,112,1
2022/6/30,9,"['600018', ':', '上港', '集团', '第三届', '监事会', '第十九次', '会议', '决议', '公告']",0.0,626,0
2022/6/30,10,"['要', '沉', '的', '节奏', '吗', '？']",0.0,190,0
2022/6/30,11,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '今天', '又', '没', '跟着', '涨', '，', '一分', '都', '没有', '涨', '，']",-2.0,319,-1
2022/6/30,12,"['不出意外', '今天', '收盘', '5.87', '，', '然后', '明天', '继续', '阴', '，', '这种', '阴间', '公司']",0.0,251,0
2022/6/30,13,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '读帖', '摘录', '(', '作者', 'PZHY', '）', '：', '(', '今日', ')', '大']",0.0,812,0
2022/6/30,14,['等'],0.0,286,0
2022/6/30,15,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '今天', '上港', '要', '争口气', '，', '涨', '5', '分', '，', '只要']",1.0,305,1
2022/6/30,16,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '一路发', '那么', '多', '的', '公告', '有', '毛用', '，', '股价']",0.0,335,0
2022/6/30,17,"['大家', '来说', '说', '这个', '垃圾', '国企', '，', '一个月', '了', '，', '没有', '一个', '交易日', '能']",-1.0,226,-1
2022/6/30,18,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '大盘', '已经', '疯涨', '了', '，', '你', '还动', '也', '不动']",0.0,293,0
2022/6/30,19,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '今天', '是', '被', '逼迫', '上涨', '那么', '2', '分钱']",-4.0,172,-1
2022/6/30,20,"['怎么', '走', '得', '像', '病', '老汉', '陷在', '烂泥', '潭里', '？', '喪港']",0.0,277,0
2022/6/30,21,"['这个', '月', '最后', '一个', '交易日', '了', '，', '怎么', '能', '翻红', '呢', '？', '吃席', '就要', '一路']",1.0,241,1
2022/6/30,22,"['不', '动']",0.0,221,0
2022/6/30,23,"['下跌', '趋势', '的', '股票', '永远', '不要', '碰']",-1.0,229,-1
2022/6/30,24,"['吓不了', '别人', '的']",0.0,217,0
2022/6/30,25,"['我嚓', '，', '昨晚', '加', '自选', '备买', '的', '上', '港', '集团', '，', '深圳', '能源', '，', '健之佳', '，']",0.0,277,0
2022/6/30,26,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '调整', '时间', '有', '一个多月', '了', '，', '到', '头部', '了']",0.0,251,0
2022/6/30,27,"['$', '上港', '集团', '(', 'SH600018', ')', '$', '利空', '出尽', '，', '便', '有利', '好', '[', '呲', '牙', ']']",0.0,378,0
2022/6/30,28,"['600018', ':', '上港', '集团', '分拆', '所属', '子公司', '上海', '锦江', '航运', '(', '集团', ')', '股']",0.0,252,0
2022/6/30,29,"['终于', '割肉', '了', '，', '将', '丧港', '列入', '衰股', '行列', '，', '永远', '不会', '再', '碰']",-1.0,160,-1
2022/6/30,30,"['大盘', '连续', '涨', '了', '一个多月', '，', '你', '连续', '跌', '了', '一个多月', '，', '服了', '你', '了']",0.0,224,0
2022/6/30,31,"['5.90', '都', '站', '不', '上', '留', '这个', '垃圾', '票', '还有', '何用']",1.0,565,1
