time,all_num_东方盛虹,all_dic_score,东方盛虹舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,20,10.00,0.50,15,15.00,5,-5.00
2021-01-02,4,0.00,0.00,2,2.00,2,-2.00
2021-01-03,11,9.00,0.84,10,10.00,1,-1.00
2021-01-04,2,2.00,1.00,2,2.00,0,0.00
2021-01-05,5,5.00,1.00,5,5.00,0,0.00
2021-01-06,1,-1.00,-1.00,0,0.00,1,-1.00
2021-01-07,8,4.00,0.50,6,6.00,2,-2.00
2021-01-08,13,3.00,0.23,8,8.00,5,-5.00
2021-01-09,14,12.00,0.86,13,13.00,1,-1.00
2021-01-10,11,9.00,0.82,10,10.00,1,-1.00
2021-01-11,32,22.00,0.70,27,27.00,5,-5.00
2021-01-12,22,12.00,0.51,17,17.00,5,-5.00
2021-01-13,23,13.00,0.80,18,18.00,5,-5.00
2021-01-14,67,33.00,0.59,50,50.00,17,-17.00
2021-01-15,121,33.00,0.30,77,77.00,44,-44.00
2021-01-16,18,8.00,0.69,13,13.00,5,-5.00
2021-01-17,14,6.00,0.52,10,10.00,4,-4.00
2021-01-18,63,37.00,0.71,50,50.00,13,-13.00
2021-01-19,55,17.00,0.49,36,36.00,19,-19.00
2021-01-20,89,5.00,0.14,47,47.00,42,-42.00
2021-01-21,51,21.00,0.59,36,36.00,15,-15.00
2021-01-22,33,15.00,0.68,24,24.00,9,-9.00
2021-01-23,9,9.00,1.00,9,9.00,0,0.00
2021-01-24,13,11.00,0.86,12,12.00,1,-1.00
2021-01-25,30,8.00,0.52,19,19.00,11,-11.00
2021-01-26,29,11.00,0.86,20,20.00,9,-9.00
2021-01-27,38,2.00,-0.03,20,20.00,18,-18.00
2021-01-28,33,5.00,0.35,19,19.00,14,-14.00
2021-01-29,23,13.00,0.79,18,18.00,5,-5.00
2021-01-30,6,-2.00,-0.25,2,2.00,4,-4.00
2021-01-31,7,3.00,0.69,5,5.00,2,-2.00
2021-02-01,34,14.00,0.56,24,24.00,10,-10.00
2021-02-02,24,12.00,0.70,18,18.00,6,-6.00
2021-02-03,24,12.00,0.61,18,18.00,6,-6.00
2021-02-04,20,6.00,0.27,13,13.00,7,-7.00
2021-02-05,26,10.00,0.61,18,18.00,8,-8.00
2021-02-06,5,1.00,0.14,3,3.00,2,-2.00
2021-02-07,9,1.00,0.57,5,5.00,4,-4.00
2021-02-08,31,1.00,0.38,16,16.00,15,-15.00
2021-02-09,26,-4.00,-0.00,11,11.00,15,-15.00
2021-02-10,8,2.00,0.54,5,5.00,3,-3.00
2021-02-12,2,0.00,-0.41,1,1.00,1,-1.00
2021-02-14,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-16,2,0.00,0.24,1,1.00,1,-1.00
2021-02-17,2,2.00,1.00,2,2.00,0,0.00
2021-02-18,26,6.00,0.91,16,16.00,10,-10.00
2021-02-19,16,4.00,0.38,10,10.00,6,-6.00
