time,no,review,score,read_volume,label
2022/6/30,2,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '我里', '乖乖', '原油', '跌', '这么', '厉害', '利好', '盛虹']",5.0,398,1
2022/6/30,9,"['一堆', '公告', '，', '不痛不痒', '，', '专门', '套人']",-5.0,176,-1
2022/6/30,11,"['最近', '这么', '多', '在', '推群', '的', '牛鬼蛇神', '是', '什么鬼', '啊']",-21.0,196,-1
2022/6/30,30,"['主力', '向下', '，', '散户', '向上', '。', '这', 'k', '线', '真的', '是', '教科书', '级别', '。']",9.0,362,1
2022/6/30,33,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '很', '明显', '今天', '有', '庄家', '在', '对', '倒', '，', '新', '主力']",8.0,634,1
2022/6/30,35,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '恶意', '做空']",-8.0,351,-1
2022/6/30,44,"['真', '垃圾', '，', '丢人']",-8.0,154,-1
2022/6/30,48,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '丢人现眼', '的']",-7.0,161,-1
2022/6/30,50,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '跌', '不', '下去', '了', '，', '果断', '接回来', '。']",-6.0,168,-1
2022/6/30,54,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '大盘', '的', '每次', '拉升', '都', '是', '该', '股', '主力', '出货']",8.0,146,1
2022/6/30,71,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', 'TMD', '的', '，', '讨厌', '一', '赚钱', '就', '跑', '的']",-7.0,392,-1
2022/6/30,72,"['PTA', '产能', '630', '万吨', '/', '年', '确实', '不错', ' ', '看好', '全', '产业链', '一体化', '经营', '架']",9.0,176,1
2022/6/30,75,"['昨天', '咋', '地板', '，', '今天', '不管怎么', '出', '公告', '都', '没用', '，', 'T', '我', '做定', '了', '，']",-5.0,259,-1
2022/6/30,80,"['差不多', '了', '，', '先', '收网', '了', '[', '奸笑', ']', '[', '奸笑', ']', '[', '奸笑', ']']",-21.0,301,-1
2022/6/29,100,"['涨', '一个月', '不够', '一天', '跌', '的']",-5.0,403,-1
2022/6/29,104,"['完美', '吃', '一个', '跌停板', '，', '玩意儿']",9.0,421,1
2022/6/29,106,"['$', '东方', '盛虹', '(', 'SZ000301', ')', '$', '3', '亿多', '大宗', '交易', '？', '主力', '筹码', '砸', '没', '了']",7.0,180,1
2022/6/29,113,"['又', '在', '忽悠', '卖套']",-5.0,139,-1
2022/6/29,117,"['哈哈', '，', '终于', '跌停', '了', '，', '终于', '如你所愿', '了', '[', '坏', '笑', ']']",6.0,164,1
2022/6/29,130,"['主力', '有点', '意思']",7.0,153,1
2022/6/29,140,"['放弃', '抵抗', '，', '快点', '下来']",-5.0,173,-1
2022/6/29,164,"['急拉', '都', '是', '骗人', '的', '，', '小心', '！']",-10.0,264,-1
2022/6/29,172,"['好', '企业', '，', '疫情', '期间', '投资', '扩大', '，', '疫情', '结束', '满足', '消费', '，', '真棒']",9.0,248,1
2022/6/29,175,"['机构', '也', '学贼', '了', '，', '见好', '就', '做', '波段', '，', '不在', '死', '抱团', '、', '、', '、']",5.0,127,1
2022/6/29,180,"['这盘', '洗', '的', '太深', '了', '，', '下午', '拉', '起来']",7.0,460,1
2022/6/29,190,"['涨', '四天', '两天', '跌', '完', '，', '真', '恶心']",-5.0,226,-1
2022/6/29,192,"['不切实际的', '融资', '，', '盲目', '扩张', '，', '高达', '80.4', '％', '的', '资产负债率', '，']",-7.0,297,-1
2022/6/29,193,"['别人', '有眼光', '扩大', '生产', '，', '为了', '疫情', '后', '的', '大生产', '，', '有', '远大前程']",10.0,245,1
