time,all_num_东方雨虹,all_dic_score,东方雨虹舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,4,4.00,1.00,4,4.00,0,0.00
2021-01-02,7,3.00,0.42,5,5.00,2,-2.00
2021-01-03,9,7.00,0.94,8,8.00,1,-1.00
2021-01-04,42,2.00,0.15,22,22.00,20,-20.00
2021-01-05,96,-2.00,0.34,47,47.00,49,-49.00
2021-01-06,138,12.00,0.34,75,75.00,63,-63.00
2021-01-07,105,19.00,0.43,62,62.00,43,-43.00
2021-01-08,58,6.00,0.21,32,32.00,26,-26.00
2021-01-09,25,9.00,0.45,17,17.00,8,-8.00
2021-01-10,10,2.00,0.39,6,6.00,4,-4.00
2021-01-11,77,11.00,0.52,44,44.00,33,-33.00
2021-01-12,196,34.00,0.58,115,115.00,81,-81.00
2021-01-13,72,18.00,0.66,45,45.00,27,-27.00
2021-01-14,82,8.00,0.38,45,45.00,37,-37.00
2021-01-15,49,5.00,0.40,27,27.00,22,-22.00
2021-01-16,13,3.00,0.38,8,8.00,5,-5.00
2021-01-17,11,7.00,0.89,9,9.00,2,-2.00
2021-01-18,61,9.00,0.31,35,35.00,26,-26.00
2021-01-19,68,-4.00,0.66,32,32.00,36,-36.00
2021-01-20,30,4.00,0.72,17,17.00,13,-13.00
2021-01-21,56,16.00,0.41,36,36.00,20,-20.00
2021-01-22,171,15.00,0.19,93,93.00,78,-78.00
2021-01-23,36,8.00,0.38,22,22.00,14,-14.00
2021-01-24,36,12.00,0.59,24,24.00,12,-12.00
2021-01-25,90,14.00,0.55,52,52.00,38,-38.00
2021-01-26,72,-12.00,-0.12,30,30.00,42,-42.00
2021-01-27,53,9.00,0.63,31,31.00,22,-22.00
2021-01-28,50,-6.00,0.14,22,22.00,28,-28.00
2021-01-29,45,11.00,0.20,28,28.00,17,-17.00
2021-01-30,2,2.00,1.00,2,2.00,0,0.00
2021-01-31,17,7.00,0.60,12,12.00,5,-5.00
2021-02-01,65,11.00,0.34,38,38.00,27,-27.00
2021-02-02,56,10.00,0.44,33,33.00,23,-23.00
2021-02-03,44,6.00,0.46,25,25.00,19,-19.00
2021-02-04,77,27.00,0.55,52,52.00,25,-25.00
2021-02-05,54,10.00,0.26,32,32.00,22,-22.00
2021-02-06,13,11.00,0.68,12,12.00,1,-1.00
2021-02-07,27,5.00,0.35,16,16.00,11,-11.00
2021-02-08,109,3.00,0.10,56,56.00,53,-53.00
2021-02-09,56,14.00,0.62,35,35.00,21,-21.00
2021-02-10,99,9.00,0.17,54,54.00,45,-45.00
2021-02-11,5,-3.00,-0.81,1,1.00,4,-4.00
2021-02-12,7,1.00,0.10,4,4.00,3,-3.00
2021-02-13,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-14,4,2.00,0.17,3,3.00,1,-1.00
2021-02-15,3,3.00,1.00,3,3.00,0,0.00
2021-02-16,2,2.00,1.00,2,2.00,0,0.00
2021-02-17,4,2.00,0.60,3,3.00,1,-1.00
2021-02-18,47,11.00,0.18,29,29.00,18,-18.00
2021-02-19,39,-1.00,0.03,19,19.00,20,-20.00
2021-02-20,13,5.00,0.30,9,9.00,4,-4.00
2021-02-21,12,2.00,0.72,7,7.00,5,-5.00
2021-02-22,130,-20.00,0.13,55,55.00,75,-75.00
2021-02-23,139,-3.00,0.21,68,68.00,71,-71.00
2021-02-24,198,-18.00,0.12,90,90.00,108,-108.00
2021-02-25,101,9.00,0.38,55,55.00,46,-46.00
