time,no,review,score,read_volume,label
2022/6/30,2,"['完蛋', '，', '明天', '跑不了', '了']",-5.0,448,-1
2022/6/30,4,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '这波', '只有', '突破', '了', '53', '才能', '走', '的', '远']",12.0,467,1
2022/6/30,8,"['东方', '雨虹拟', '投建', '绿色', '新', '材料', '智慧', '产业园', ' ', '建成', '达产', '预计', '年']",7.0,453,1
2022/6/30,14,"['东方', '雨虹', '现价', '51.9', '还', '在', '上涨', '吗', '，', '但', '你', '要', '记住', '，', '这是', '主力', '在']",7.5,428,1
2022/6/30,15,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '今天', '雨虹', '要', '减仓', '了', '，', '今天', '太', '坚挺', '了']",10.0,492,1
2022/6/30,33,"['东方', '雨虹', '：', '拟', '20', '亿元', '投建', '泉州', '绿色', '新', '材料', '智慧', '产业园', '项目']",7.0,7952,1
2022/6/29,51,"['拟', '20', '亿元', '投建', '泉州', '绿色', '新', '材料', '智慧', '产业园', '项目', ' ', '东方', '雨虹']",7.0,4056,1
2022/6/29,61,"['562993', '碳', '中和', '100ETF', '重仓股', '东方', '雨虹', '：', '立志', '提高', '市占率', '，']",6.0,261,1
2022/6/29,64,"['现在', '又', '是', '大盘', '起来', '了', '，', '科顺', '。', '北新', '拉升', '它', '跳水', '了']",7.0,361,1
2022/6/29,69,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '你', '是', '真牛', '啊', '，', '可惜', '我', '没', '重仓', '你', '，', '传']",7.0,183,1
2022/6/29,76,"['终于', '突破', '了', '，', '53', '见', '。']",7.0,176,1
2022/6/29,85,"['东方', '雨虹', '6', '月', '29', '日', '快速', '上涨']",6.0,239,1
2022/6/29,86,"['东方', '雨虹', '6', '月', '29', '日', '快速', '反弹']",6.0,207,1
2022/6/27,140,"['不怕', '不怕']",10.0,198,1
2022/6/25,155,"['周三', '47.74', '现在', '46.76', '，', '浪费', '行情', '！']",-7.0,610,-1
2022/6/24,156,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '今天', '格力', '最', '高涨', '了', '9', '个', '多点', '，', '最后']",9.0,686,1
2022/6/24,177,"['的', '好', '垃圾', '，', '最近', '最好的', '行情', '就', '这样', '浪费', '了']",-8.0,189,-1
2022/6/23,208,"['快', '，', '黄金', '坑', '天天', '堆', '巨量', '妖飞', '？', '银座', '股份', '二姑', '东茂', '业举', '牌', '8']",5.0,461,1
2022/6/23,209,"['整天', '忽悠', '客户', '入股', '，', '同时', '还', '让', '员工', '在', '朋友圈', '鼓吹', '自家', '股票']",-8.5,213,-1
2022/6/23,213,"['这是', '几个', '董事长', '一起', '减仓', '？', '为什么', '？', '不及', '预期', '么', '？']",-5.0,491,-1
2022/6/22,221,"['北向', '资金', '都', '是', '聪明', '资金', '，', '都', '在', '狂', '买', '。', '只有', '那些', '小散', '放弃', '宝']",5.0,433,1
2022/6/22,233,"['外资', '天天', '买', '，', '洗', '干净', '点', '，', '后面', '好多', '上涨']",6.0,292,1
2022/6/22,235,"['不', '讲武', '德', '，', '又', '说', '不', '减持', '的', '，', '今天', '亏', '1.5', '万', '清仓', '，', '11', '点', '还加']",-5.0,191,-1
2022/6/22,237,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '我', '认输', '，', '没', '亏本', '金前', '撤', '了', '，', '受不了']",-10.0,469,-1
2022/6/22,238,"['拉伸', '前放', '坏消息', '，', '特别', '是', '大宗', '交易', '，', '值得', '好好', '关注']",9.0,529,1
2022/6/22,245,"['又', '在', '洗盘', '，', '主力', '这波', '试盘', '显然', '成功', '了', '，', '拉升', '就', '在', '最近', '了']",11.0,404,1
2022/6/22,249,"['今天', '的', '歌尔', '，', '明天', '的', '雨虹', '，', '高管', '大', '减持', '，', '必定', '有大雷']",8.0,203,1
2022/6/22,251,"['不好意思', '先', '撤', '了', '，', '昨天', '47.28', '入', '的', '，', '不', '走', '不行', '，', '因为', '立讯']",7.0,226,1
2022/6/22,253,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '公司', '老板', '和', '高管', '全是', '炒股', '高手', '每次']",9.0,405,1
2022/6/22,260,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '假', '突破', '，', '真', '出货', '[', '滴汗', ']', '[', '滴汗', ']', '[', '滴']",7.0,162,1
2022/6/22,267,"['涨', '不过', '三棵树', '，', '跌比', '三棵树', '跌', '的', '多', '，', '横盘', '还', '没', '开始', '上升', '渠']",-5.5,368,-1
2022/6/21,299,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '支持', '一波']",5.0,1030,1
2022/6/21,302,"['又', '上车', '啰', '[', '俏皮', ']']",5.0,544,1
2022/6/21,306,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '吉利']",7.0,197,1
2022/6/20,327,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '感谢', '主力']",10.0,221,1
2022/6/20,330,"['雨虹', '很', '阴险', '。', '[', '吃瓜', ']']",-18.0,259,-1
2022/6/20,346,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '坑爹', '货', '本色', '不变', '啊']",5.0,168,1
2022/6/20,347,"['赶紧', '把', '墙头草', '洗', '干净']",5.0,182,1
2022/6/20,353,"['这个', '大', '上影线', '，', '大单', '流出', '了', '五个', '亿', '，', '中期', '顶了', '，', '幸好', '早上']",7.0,226,1
2022/6/20,374,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '较', '低位', '的', '突破', '放量', '就是', '正常', '的', '。']",7.0,194,1
2022/6/20,379,"['雨虹', '终于', '要', '站', '起来', '了', '，', '不', '枉费', '我', '拿', '了', '这么久', '。']",12.0,612,1
2022/6/20,389,"['东方', '雨虹', '6', '月', '20', '日', '快速', '上涨']",6.0,232,1
2022/6/18,403,"['降低成本', '往', '卷材', '加', '边角料', '，', '往', '涂料', '多', '加水', '加重', '[', '奸笑', ']']",-9.0,591,-1
2022/6/17,407,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '不要', '抱怨', '手里', '的', '不涨', '，', '涨', '的', '时候', '你']",10.0,383,1
2022/6/17,423,"['卖', '你', '卖', '的', '及时', '，', '买', '了', '泰格', '又', '四个', '点', '收益', '[', '奸笑', ']']",-7.0,254,-1
2022/6/17,427,"['主力', '什么', '时候', '才能', '做', '回人']",12.0,192,1
2022/6/17,428,"['恶心', '，', '浪费', '我们', '大好时光']",-12.0,173,-1
2022/6/17,437,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '今天', '主力', '都', '没有', '流出', '，', '还', '在', '洗盘']",7.0,348,1
2022/6/17,441,"['急跌', '慢拉', '主力', '在', '吃', '筹码']",6.0,413,1
2022/6/17,449,"['扶不起', '的', '阿斗']",-7.0,155,-1
2022/6/17,451,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '想', '问下', '各位', '老师', '，', '涨价', '是', '好事', '吗']",-5.0,168,-1
2022/6/16,458,"['是', '内资', '基金', '在', '切换', '投资', '赛道', '吗', '？', '有', '业绩', '的', '稳', '增长', '不香', '了', '，']",7.0,535,1
2022/6/16,460,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '一直', '觉得', '很', '奇怪', '，', '聪明', '资金', '这段', '时']",5.0,434,1
2022/6/16,461,"['最', '卑劣', '的', '出货', '走势', '，', '耐心', '等待', '东方', '雨虹', '的', '跌停', '到来']",-23.0,266,-1
2022/6/16,462,['漂亮'],6.0,178,1
