time,no,review,score,read_volume,label
2022/6/30,1,"['快', '走', '吧', '，', '都', '被', '人', '割', '了', '还', '在', '接盘', '。']",0.0,410,0
2022/6/30,2,"['完蛋', '，', '明天', '跑不了', '了']",-5.0,448,-1
2022/6/30,3,"['3', '只', '个股', '外资', '持股', '比例', '超', '28%', ' ', '多家', '外资', '机构', '拟', '超配', 'A股']",0.0,19269,0
2022/6/30,4,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '这波', '只有', '突破', '了', '53', '才能', '走', '的', '远']",12.0,467,1
2022/6/30,5,"['董秘', '您好', '！', '请问', '除了', '工渠', '的', '合伙人', '，', '公司', '有没有', '针对', 'C', '端']",0.0,850,0
2022/6/30,6,"['请问', '公司', '是否', '涉及', '军工', '类', '表面', '涂料', '的', '生产', '？', '公司', '光伏', '外墙']",-1.0,580,-1
2022/6/30,7,"['忘记', '昨天', '盘后', '的', '消息', '了', '50.5', '出', '了', '[', '怒', ']']",0.0,439,0
2022/6/30,8,"['东方', '雨虹拟', '投建', '绿色', '新', '材料', '智慧', '产业园', ' ', '建成', '达产', '预计', '年']",7.0,453,1
2022/6/30,9,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '还', '亏', '17', '个点', '，', '但是', '能', '不能', '带带', '恒瑞']",-0.5,328,-1
2022/6/30,10,"['明天', '会', '是', '什么', '情况', '呢', '？']",0.0,504,0
2022/6/30,11,"['跟随', '碳中', '和', 'ETF', '冲', '最后', '一波', '，', '果然', '是', '和', '去年', '套路', '一样']",0.0,276,0
2022/6/30,12,"['又', '跳水', '了', '。', '也', '是', '服了', '。', '。', '。', '就', '不能', '稳稳', '的']",-1.0,392,-1
2022/6/30,13,"['大盘', '才', '下来', '十几点', '。', '。', '。', '。']",0.0,173,0
2022/6/30,14,"['东方', '雨虹', '现价', '51.9', '还', '在', '上涨', '吗', '，', '但', '你', '要', '记住', '，', '这是', '主力', '在']",7.5,428,1
2022/6/30,15,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '今天', '雨虹', '要', '减仓', '了', '，', '今天', '太', '坚挺', '了']",10.0,492,1
2022/6/30,16,"['这是', '表演', '高台跳水', '吗']",0.0,186,0
2022/6/30,17,"['这', '大盘', '跳水', '跟', '的', '比', '谁', '都', '紧', '啊']",-1.0,152,-1
2022/6/30,18,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '这个', '价位', '，', '可以', '跑', '了', '。']",0.0,198,0
2022/6/30,19,"['大宗', '交易', '：', '东方', '雨虹', '成交', '5224.99', '万元', '，', '折价', '11.54%', '（', '06', '-']",-1.0,1214,-1
2022/6/30,20,"['果然', '没', '看错', '你', '，', '昨天', '来', '的', '，', '今天', '吃个', '大肉', '吧']",0.0,433,0
2022/6/30,21,"['54.54', '.', '54.54', '.', '54.54', '[', '鼓掌', ']', '[', '鼓掌', ']']",0.0,293,0
2022/6/30,22,"['终于', '回本', '了']",0.0,203,0
2022/6/30,23,"['终于', '回本', '了']",0.0,173,0
2022/6/30,24,"['还', '能', '买', '吗', '我', '61', '呢']",0.0,383,0
2022/6/30,25,"['东方', '雨虹', '6', '月', '30', '日', '盘中', '涨幅', '达', '5%']",1.0,203,1
2022/6/30,26,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '今日', '44', '你', '不', '买', '，', '月底', '50', '你', '别哭', '。', '我']",0.0,583,0
2022/6/30,27,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '股价', '持续', '上涨', '，', '资金', '持续', '流出', '，', '何']",1.0,190,1
2022/6/30,28,"['天天', '涨', '，', '看来', '接', '不', '回来', '了']",1.0,175,1
2022/6/30,29,"['抓住', '雨虹握', '在手', '此时此刻', '你别', '走', '正待', '上涨', '冲刺', '时莫再', '后悔']",1.0,237,1
2022/6/30,30,"['$', '东方', '雨虹', '(', 'SZ002271', ')', '$', '雨季', '大涨']",1.0,191,1
2022/6/30,31,"['我', '觉得', '雨虹', '这波冲', '53']",0.0,397,0
2022/6/30,32,"['562993', '碳', '中和', '100ETF', '重仓股', '东方', '雨虹', '：', '受益', '于', '基建', '地产', '双']",1.0,332,1
2022/6/30,33,"['东方', '雨虹', '：', '拟', '20', '亿元', '投建', '泉州', '绿色', '新', '材料', '智慧', '产业园', '项目']",7.0,7952,1
2022/6/30,34,"['562993', '碳', '中和', '100ETF', '重仓股', '的', '东方', '雨虹', '深耕', 'TPO', '防水', '卷材']",0.0,244,0
2022/6/30,35,"['562993', '碳', '中和', '100ETF', '重仓股', '东方', '雨虹', '：', '业务', '具备', '显著的', '规']",1.0,240,1
