time,all_num_中国中铁,all_dic_score,中国中铁舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,12,2.00,0.27,7,7.00,5,-5.00
2021-01-02,8,6.00,0.88,7,7.00,1,-1.00
2021-01-03,15,11.00,0.55,13,13.00,2,-2.00
2021-01-04,106,10.00,0.23,58,58.00,48,-48.00
2021-01-05,92,40.00,0.74,66,66.00,26,-26.00
2021-01-06,84,40.00,0.58,62,62.00,22,-22.00
2021-01-07,91,49.00,0.84,70,70.00,21,-21.00
2021-01-08,59,23.00,0.34,41,41.00,18,-18.00
2021-01-09,12,0.00,0.29,6,6.00,6,-6.00
2021-01-10,22,16.00,0.75,19,19.00,3,-3.00
2021-01-11,68,16.00,0.42,42,42.00,26,-26.00
2021-01-12,82,14.00,0.45,48,48.00,34,-34.00
2021-01-13,153,69.00,0.62,111,111.00,42,-42.00
2021-01-14,241,87.00,0.41,164,164.00,77,-77.00
2021-01-15,229,47.00,0.54,138,138.00,91,-91.00
2021-01-16,52,30.00,0.85,41,41.00,11,-11.00
2021-01-17,37,7.00,0.60,22,22.00,15,-15.00
2021-01-18,169,-7.00,0.24,81,81.00,88,-88.00
2021-01-19,162,32.00,0.51,97,97.00,65,-65.00
2021-01-20,114,16.00,0.47,65,65.00,49,-49.00
2021-01-21,203,27.00,0.36,115,115.00,88,-88.00
2021-01-22,138,20.00,0.41,79,79.00,59,-59.00
2021-01-23,28,10.00,0.36,19,19.00,9,-9.00
2021-01-24,26,12.00,0.90,19,19.00,7,-7.00
2021-01-25,111,11.00,0.33,61,61.00,50,-50.00
2021-01-26,111,-9.00,0.28,51,51.00,60,-60.00
2021-01-27,117,17.00,0.46,67,67.00,50,-50.00
2021-01-28,146,38.00,0.34,92,92.00,54,-54.00
2021-01-29,116,44.00,0.41,80,80.00,36,-36.00
2021-01-30,26,14.00,0.51,20,20.00,6,-6.00
2021-01-31,19,7.00,0.59,13,13.00,6,-6.00
2021-02-01,79,19.00,0.60,49,49.00,30,-30.00
2021-02-02,59,17.00,0.36,38,38.00,21,-21.00
2021-02-03,149,25.00,0.25,87,87.00,62,-62.00
2021-02-04,121,35.00,0.49,78,78.00,43,-43.00
2021-02-05,63,19.00,0.56,41,41.00,22,-22.00
2021-02-06,16,8.00,0.68,12,12.00,4,-4.00
2021-02-07,22,0.00,0.53,11,11.00,11,-11.00
2021-02-08,59,19.00,0.62,39,39.00,20,-20.00
2021-02-09,105,5.00,0.11,55,55.00,50,-50.00
2021-02-10,93,13.00,0.44,53,53.00,40,-40.00
2021-02-11,15,9.00,0.71,12,12.00,3,-3.00
2021-02-12,11,-5.00,-0.45,3,3.00,8,-8.00
2021-02-13,2,2.00,1.00,2,2.00,0,0.00
2021-02-14,5,3.00,0.81,4,4.00,1,-1.00
2021-02-15,8,4.00,0.59,6,6.00,2,-2.00
2021-02-16,9,3.00,-0.13,6,6.00,3,-3.00
2021-02-17,10,6.00,0.14,8,8.00,2,-2.00
2021-02-18,52,8.00,0.43,30,30.00,22,-22.00
2021-02-19,95,33.00,0.48,64,64.00,31,-31.00
2021-02-20,15,7.00,0.38,11,11.00,4,-4.00
2021-02-21,27,15.00,0.73,21,21.00,6,-6.00
2021-02-22,141,33.00,0.53,87,87.00,54,-54.00
2021-02-23,122,34.00,0.46,78,78.00,44,-44.00
2021-02-24,93,21.00,0.56,57,57.00,36,-36.00
2021-02-25,188,82.00,0.50,135,135.00,53,-53.00
2021-02-26,118,24.00,0.44,71,71.00,47,-47.00
2021-02-27,30,8.00,0.59,19,19.00,11,-11.00
2021-02-28,32,22.00,0.81,27,27.00,5,-5.00
2021-03-01,121,27.00,0.33,74,74.00,47,-47.00
2021-03-02,110,18.00,0.37,64,64.00,46,-46.00
2021-03-03,117,55.00,0.69,86,86.00,31,-31.00
2021-03-04,90,30.00,0.76,60,60.00,30,-30.00
2021-03-05,122,26.00,0.33,74,74.00,48,-48.00
2021-03-06,29,9.00,0.62,19,19.00,10,-10.00
2021-03-07,25,11.00,0.63,18,18.00,7,-7.00
2021-03-08,110,18.00,0.50,64,64.00,46,-46.00
2021-03-09,89,25.00,-0.00,57,57.00,32,-32.00
2021-03-10,115,21.00,0.53,68,68.00,47,-47.00
2021-03-11,137,29.00,0.40,83,83.00,54,-54.00
2021-03-12,136,50.00,0.74,93,93.00,43,-43.00
2021-03-13,21,9.00,0.59,15,15.00,6,-6.00
2021-03-14,21,13.00,0.55,17,17.00,4,-4.00
2021-03-15,136,30.00,0.70,83,83.00,53,-53.00
2021-03-16,78,8.00,0.40,43,43.00,35,-35.00
2021-03-17,65,21.00,0.43,43,43.00,22,-22.00
2021-03-18,87,3.00,0.46,45,45.00,42,-42.00
2021-03-19,122,26.00,0.50,74,74.00,48,-48.00
2021-03-20,17,7.00,0.52,12,12.00,5,-5.00
2021-03-21,11,7.00,0.39,9,9.00,2,-2.00
2021-03-22,69,17.00,0.44,43,43.00,26,-26.00
2021-03-23,54,-2.00,0.14,26,26.00,28,-28.00
2021-03-24,65,11.00,0.26,38,38.00,27,-27.00
2021-03-25,86,-6.00,0.19,40,40.00,46,-46.00
2021-03-26,129,-13.00,-0.05,58,58.00,71,-71.00
2021-03-27,14,-4.00,-0.71,5,5.00,9,-9.00
2021-03-28,20,14.00,0.85,17,17.00,3,-3.00
2021-03-29,77,25.00,0.52,51,51.00,26,-26.00
2021-03-30,162,60.00,0.60,111,111.00,51,-51.00
2021-03-31,136,36.00,0.49,86,86.00,50,-50.00
2021-04-01,190,24.00,0.35,107,107.00,83,-83.00
2021-04-02,124,10.00,0.37,67,67.00,57,-57.00
2021-04-03,12,4.00,0.53,8,8.00,4,-4.00
2021-04-04,2,2.00,1.00,2,2.00,0,0.00
2021-04-05,18,12.00,0.85,15,15.00,3,-3.00
2021-04-06,72,14.00,0.37,43,43.00,29,-29.00
2021-04-07,63,17.00,0.06,40,40.00,23,-23.00
2021-04-08,78,16.00,0.38,47,47.00,31,-31.00
2021-04-09,89,3.00,0.38,46,46.00,43,-43.00
2021-04-10,19,9.00,0.85,14,14.00,5,-5.00
2021-04-11,14,2.00,0.57,8,8.00,6,-6.00
2021-04-12,59,21.00,0.49,40,40.00,19,-19.00
2021-04-13,144,26.00,0.40,85,85.00,59,-59.00
2021-04-14,138,6.00,0.23,72,72.00,66,-66.00
2021-04-15,130,2.00,0.18,66,66.00,64,-64.00
2021-04-16,80,24.00,0.63,52,52.00,28,-28.00
2021-04-17,16,2.00,0.12,9,9.00,7,-7.00
2021-04-18,14,8.00,0.60,11,11.00,3,-3.00
2021-04-19,77,17.00,0.45,47,47.00,30,-30.00
2021-04-20,85,-3.00,0.29,41,41.00,44,-44.00
2021-04-21,78,24.00,0.60,51,51.00,27,-27.00
2021-04-22,108,16.00,0.33,62,62.00,46,-46.00
2021-04-23,143,31.00,0.42,87,87.00,56,-56.00
2021-04-24,27,13.00,0.84,20,20.00,7,-7.00
2021-04-25,25,17.00,0.74,21,21.00,4,-4.00
2021-04-26,97,19.00,0.33,58,58.00,39,-39.00
2021-04-27,127,35.00,0.57,81,81.00,46,-46.00
2021-04-28,109,11.00,0.25,60,60.00,49,-49.00
2021-04-29,95,51.00,0.46,73,73.00,22,-22.00
2021-04-30,92,18.00,0.59,55,55.00,37,-37.00
2021-05-01,12,4.00,0.66,8,8.00,4,-4.00
2021-05-02,6,0.00,-0.01,3,3.00,3,-3.00
2021-05-03,12,4.00,0.59,8,8.00,4,-4.00
2021-05-04,20,4.00,0.38,12,12.00,8,-8.00
2021-05-05,22,18.00,0.94,20,20.00,2,-2.00
2021-05-06,41,15.00,0.50,28,28.00,13,-13.00
2021-05-07,47,11.00,0.48,29,29.00,18,-18.00
2021-05-08,13,11.00,0.78,12,12.00,1,-1.00
2021-05-09,10,6.00,0.84,8,8.00,2,-2.00
2021-05-10,70,20.00,0.53,45,45.00,25,-25.00
2021-05-11,68,16.00,0.45,42,42.00,26,-26.00
2021-05-12,89,17.00,0.04,53,53.00,36,-36.00
2021-05-13,49,19.00,0.46,34,34.00,15,-15.00
2021-05-14,66,8.00,0.31,37,37.00,29,-29.00
2021-05-15,16,10.00,0.69,13,13.00,3,-3.00
2021-05-16,15,11.00,0.81,13,13.00,2,-2.00
2021-05-17,38,-2.00,0.16,18,18.00,20,-20.00
2021-05-18,80,12.00,0.36,46,46.00,34,-34.00
2021-05-19,118,22.00,0.36,70,70.00,48,-48.00
2021-05-20,77,13.00,0.27,45,45.00,32,-32.00
2021-05-21,55,27.00,0.69,41,41.00,14,-14.00
2021-05-22,9,1.00,0.12,5,5.00,4,-4.00
2021-05-23,18,6.00,0.56,12,12.00,6,-6.00
2021-05-24,37,-1.00,0.11,18,18.00,19,-19.00
2021-05-25,52,10.00,0.12,31,31.00,21,-21.00
2021-05-26,55,9.00,0.31,32,32.00,23,-23.00
