time,no,review,score,read_volume,label
2022/6/30,1,"['公告', '出', '的', '越', '多', '股票', '跌', '的', '越', '厉害', '，', '出', '利好', '消息', '就是', '想', '忽悠', '人']",-7.0,364,-1
2022/6/30,7,"['万事俱备', '只', '欠', '挖坑', '，', '等', '坑', '来', '！', '朱莉', '，', '哥', '已经', '弹尽粮绝', '，', '你']",-8.0,374,-1
2022/6/30,27,"['太', '相信', '废铁', '前面', '那', '两个', '字', '了', '，', '在', '股市', '那', '两个', '字', '是', '没有', '分量']",14.0,302,1
2022/6/30,42,"['不在', '赛道', '风口', '，', '买', '这个', '票', '太', '耽误', '事', '了', '，', '走', '了', '！']",-6.0,143,-1
2022/6/30,44,"['神经病', '公司', '神经病', '股票']",-10.0,129,-1
2022/6/30,46,"['走', '了', '9.25', '割', '全卖', '了', '浪费', '行情', '8', '元', '再来']",-7.0,400,-1
2022/6/30,55,"['现在', '是', '少数', '人', '的', '狂欢', '，', '等待', '更', '多', '的', '接盘', '侠', '，', '新能源', '，', '整车']",9.0,150,1
2022/6/30,61,"['中铁', '就是', '一个', '十足', '的', '垃圾', '极品', '公司', '，', '跌', '了', '七年', '之久', '，', '还是']",5.0,307,1
2022/6/30,64,"['外面', '随便', '抓', '一只', '，', '也', '比', '这个', '废物', '强']",-6.0,138,-1
2022/6/30,71,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '这种', '主力', '永远', '都', '赚', '不到', '大钱', '。', '算', '我']",7.0,150,1
2022/6/30,74,"['主力', '狗']",7.0,134,1
2022/6/30,75,"['中铁', '总跌', '又', '让', '股民', '无语', '了']",-5.0,181,-1
2022/6/30,80,"['铁杆', '粉丝团', '心灰意冷', '，', '外资', '疯狂', '跑路', '！', '融资', '客', '乘机而入', '！']",-8.0,492,-1
2022/6/30,83,"['中铁', '就是', '小丑', '一个']",-5.0,151,-1
2022/6/29,109,"['您好', '董秘', '，', '中吉乌', '铁路', '什么', '时候', '开始', '建设', '，', '以及', '2022', '年什']",5.0,504,1
2022/6/29,111,"['您好', '董秘', '，', '在', '十四五', '规划', '当中', '，', '规划', '提到', '了', '交通', '强国', '建设']",6.0,317,1
2022/6/29,126,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '6.8', '到', '现在', '，', '真TM', '拿个', '死尸', '了', '。']",-5.0,419,-1
2022/6/29,133,"['$', '中国', '中铁', '(', 'SH601390', ')', '$', '看看', '中国', '交建', '，', '再', '看看', '你', '，', '无语']",-5.0,147,-1
2022/6/29,138,"['今天', '都', '是', '中铁', '的', '板块', '，', '工程建设', '，', '建筑', '装饰', '，', '房地产', '开发']",8.0,187,1
