id,time,review,read_volume
1,2022/6/30,$中国化学(SH601117)$资本市场犹如炼狱，我劝各位居心,424
2,2022/6/30,$中国化学(SH601117)$我忍不住了，卧榻空了，明天给个,194
3,2022/6/30,$中国化学(SH601117)$重磅！国务院常务会议部署支持重,207
4,2022/6/30,$中国化学(SH601117)$我好想逃，却逃不掉。,475
5,2022/6/30,天然气成本比英威达低,542
6,2022/6/30,$中国化学(SH601117)$20个跌停,191
7,2022/6/30,$中国化学(SH601117)$我被中字头气的更年期都提前了。,518
8,2022/6/30,建筑业商务活动指数为56.6%，比上月上升4.4个百分点，,209
9,2022/6/30,$中国化学(SH601117)$卖吧，化学要弄员工持股，砸下来,393
10,2022/6/30,$中国化学(SH601117)$己二氢是不是弄不成了，赶紧跌吧,132
11,2022/6/30,$中国化学(SH601117)$这么好的行情跌成这个样子，我一,217
12,2022/6/30,气凝胶应用领域由航天航空拓宽到工业建筑行业,528
13,2022/6/30,试车就是把流程一步步打通,691
14,2022/6/30,$中国化学(SH601117)$撤了，太伤心了,390
15,2022/6/30,明天继续跌吧中字头的出来反着来一波,217
16,2022/6/30,这垃圾股又开始出货，不要接盘，每天阴跌,384
17,2022/6/30,一股不留全卖了，留下的发财，实在不想被这垃圾恶心了,371
18,2022/6/30,错过大好行情啊，亏大了,355
19,2022/6/30,$中国化学(SH601117)$我就不信你不是这个板块的[看多],704
20,2022/6/30,看到化学股价这鸟样，真怀疑它的各项数居业绩都是虚伪,525
21,2022/6/30,继续吹牛逼，看怎么收场,366
22,2022/6/30,这种不涨的，会一直不涨下去。除非突破10.2元，再追不,203
23,2022/6/30,公司持续大力拓展化工新材料实业与科技创新，抢抓新能,288
24,2022/6/30,开砸了吗,169
25,2022/6/30,一股不留全卖了，留下的发财，实在不想被这垃圾恶心了,141
26,2022/6/30,踏空的人可以来买化学了,185
27,2022/6/30,$中国化学(SH601117)$垃圾股直接撤离涨没它跌第一,171
28,2022/6/30,这么好的行情，不要在这个垃圾股浪费时间,107
29,2022/6/30,中国化学拓展在储能领域的技术和业务，未来可期,351
30,2022/6/30,垃圾股，跑输大盘，涨一天，跌几天，出货吧,105
31,2022/6/30,房地产在起飞，随后基建就会被房地产带动起飞,150
32,2022/6/30,$中国化学(SH601117)$走了,314
33,2022/6/30,走吧，走吧，人总要学着自己长大。走吧，走吧，留下难,137
34,2022/6/30,变成织布机这招够损,342
35,2022/6/30,$中国化学(SH601117)$公司21年扣非净利润不足5%在国企,169
36,2022/6/30,为啥呀,125
37,2022/6/30,$中国化学(SH601117)$中字头见鬼了。,324
38,2022/6/30,$中国化学(SH601117)$煤化工涨的时候，你跟跌基建板块,162
39,2022/6/30,大宗交易：中国化学成交1437.41万元，成交价9.60元（0,960
40,2022/6/30,$中国化学(SH601117)$走了,143
41,2022/6/30,$中国化学(SH601117)$千万不要买中字头,141
42,2022/6/30,唱多狗今天怎么不出来犬几声了？,269
43,2022/6/30,$中国化学(SH601117)$$中国化学(601117)$今年最惨的股,350
44,2022/6/30,$中国化学(SH601117)$风停了，猪也飞不起来了!,354
45,2022/6/30,$中国化学(SH601117)$经营生产管理已经跟不上时代的脚,289
46,2022/6/30,$中国化学(SH601117)$哈哈！狗托快删自己的唱多帖子吧,149
47,2022/6/30,$中国化学(SH601117)$大盘两个月涨了400点，可爱的垃,166
48,2022/6/30,$中国化学(SH601117)$还能涨吗一直这个区间晃动？,134
49,2022/6/30,这行情买了这个垃圾的人，绝对心挂,308
50,2022/6/30,我一卖肯定涨，但是不卖拖死主力，反正成本负。,374
51,2022/6/30,今天我是第七个发言的,153
52,2022/6/30,买了这个股票，真心感觉有点崩溃了,824
53,2022/6/30,$中国化学(SH601117)$新材料的技术问题早晚攻克的，廉,195
54,2022/6/30,真心失望，化学氧气需要吗？,164
