time,all_num_中国化学,all_dic_score,中国化学舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021/1/1,3,3,1,3,3,0,0
2021/1/2,3,-1,-0.53,1,1,2,-2
2021/1/3,17,15,0.88,16,16,1,-1
2021/1/4,64,16,0.35,40,40,24,-24
2021/1/5,73,21,0.48,47,47,26,-26
2021/1/6,53,35,0.75,44,44,9,-9
2021/1/7,44,28,0.62,36,36,8,-8
2021/1/8,37,17,0.36,27,27,10,-10
2021/1/9,14,8,0.62,11,11,3,-3
2021/1/10,5,5,1,5,5,0,0
2021/1/11,53,23,0.51,38,38,15,-15
2021/1/12,58,20,0.55,39,39,19,-19
2021/1/13,261,79,0.39,170,170,91,-91
2021/1/14,243,87,0.38,165,165,78,-78
2021/1/15,193,63,0.2,128,128,65,-65
2021/1/16,50,30,0.6,40,40,10,-10
2021/1/17,34,16,0.3,25,25,9,-9
2021/1/18,157,41,0.21,99,99,58,-58
2021/1/19,163,45,0.43,104,104,59,-59
2021/1/20,112,54,0.59,83,83,29,-29
2021/1/21,242,76,0.37,159,159,83,-83
2021/1/22,232,78,0.22,155,155,77,-77
2021/1/23,34,20,0.21,27,27,7,-7
2021/1/24,25,17,0.7,21,21,4,-4
2021/1/25,206,44,0.25,125,125,81,-81
2021/1/26,115,35,0.51,75,75,40,-40
2021/1/27,109,29,0.45,69,69,40,-40
2021/1/28,173,59,0.52,116,116,57,-57
2021/1/29,141,41,0.11,91,91,50,-50
2021/1/30,36,20,0.53,28,28,8,-8
2021/1/31,48,18,0.39,33,33,15,-15
2021/2/1,114,34,0.36,74,74,40,-40
2021/2/2,100,28,0.41,64,64,36,-36
2021/2/3,158,12,0.02,85,85,73,-73
2021/2/4,139,41,0.22,90,90,49,-49
2021/2/5,80,32,0.51,56,56,24,-24
2021/2/6,12,8,0.6,10,10,2,-2
2021/2/7,24,4,-0.05,14,14,10,-10
2021/2/8,88,42,0.58,65,65,23,-23
2021/2/9,205,87,0.26,146,146,59,-59
2021/2/10,119,49,0.32,84,84,35,-35
2021/2/11,10,6,0.19,8,8,2,-2
2021/2/12,13,11,0.62,12,12,1,-1
2021/2/13,2,2,1,2,2,0,0
2021/2/14,7,5,0.93,6,6,1,-1
2021/2/15,6,4,0.43,5,5,1,-1
2021/2/16,7,1,0.52,4,4,3,-3
2021/2/17,14,6,0.49,10,10,4,-4
2021/2/18,47,19,0.4,33,33,14,-14
2021/2/19,83,25,0.44,54,54,29,-29
2021/2/20,31,21,0.72,26,26,5,-5
2021/2/21,11,9,0.95,10,10,1,-1
2021/2/22,120,62,0.6,91,91,29,-29
2021/2/23,118,52,0.48,85,85,33,-33
2021/2/24,135,33,0.14,84,84,51,-51
2021/2/25,116,48,0.48,82,82,34,-34
2021/2/26,119,33,0.19,76,76,43,-43
2021/2/27,24,18,0.86,21,21,3,-3
2021/2/28,14,12,0.92,13,13,1,-1
2021/3/1,45,17,0.46,31,31,14,-14
2021/3/2,59,23,0.18,41,41,18,-18
2021/3/3,204,86,0.41,145,145,59,-59
2021/3/4,198,76,0.67,137,137,61,-61
2021/3/5,105,59,0.48,82,82,23,-23
2021/3/6,19,15,0.84,17,17,2,-2
2021/3/7,26,10,0.49,18,18,8,-8
2021/3/8,111,45,0.04,78,78,33,-33
2021/3/9,144,66,0.13,105,105,39,-39
2021/3/10,142,58,0.49,100,100,42,-42
2021/3/11,118,66,0.46,92,92,26,-26
2021/3/12,92,52,0.65,72,72,20,-20
2021/3/13,22,14,0.78,18,18,4,-4
2021/3/14,21,7,0.37,14,14,7,-7
2021/3/15,131,57,0.35,94,94,37,-37
2021/3/16,119,67,0.54,93,93,26,-26
2021/3/17,232,78,0.42,155,155,77,-77
2021/3/18,167,99,0.73,133,133,34,-34
2021/3/19,120,28,0.49,74,74,46,-46
2021/3/20,22,14,0.61,18,18,4,-4
2021/3/21,21,21,1,21,21,0,0
2021/3/22,65,17,0.3,41,41,24,-24
2021/3/23,74,32,0.29,53,53,21,-21
2021/3/24,68,16,0.35,42,42,26,-26
2021/3/25,100,40,0.42,70,70,30,-30
2021/3/26,39,13,0.5,26,26,13,-13
2021/3/27,13,13,1,13,13,0,0
2021/3/28,13,9,0.69,11,11,2,-2
2021/3/29,77,39,0.71,58,58,19,-19
2021/3/30,70,38,0.4,54,54,16,-16
2021/3/31,168,68,0.49,118,118,50,-50
2021/4/1,83,49,0.74,66,66,17,-17
2021/4/2,68,10,0.07,39,39,29,-29
2021/4/3,10,8,0.78,9,9,1,-1
2021/4/4,8,-2,-0.16,3,3,5,-5
2021/4/5,11,7,0.3,9,9,2,-2
2021/4/6,33,15,0.67,24,24,9,-9
2021/4/7,45,11,0.28,28,28,17,-17
2021/4/8,66,24,0.54,45,45,21,-21
2021/4/9,47,13,0.26,30,30,17,-17
2021/4/10,19,13,0.85,16,16,3,-3
2021/4/11,12,6,0.25,9,9,3,-3
2021/4/12,68,30,0.47,49,49,19,-19
2021/4/13,110,42,0.41,76,76,34,-34
2021/4/14,78,30,0.36,54,54,24,-24
2021/4/15,86,38,0.41,62,62,24,-24
2021/4/16,106,22,0.38,64,64,42,-42
2021/4/17,12,6,0.61,9,9,3,-3
2021/4/18,17,5,0.24,11,11,6,-6
2021/4/19,38,22,0.7,30,30,8,-8
2021/4/20,88,28,0.2,58,58,30,-30
2021/4/21,70,36,0.55,53,53,17,-17
2021/4/22,108,12,0.11,60,60,48,-48
2021/4/23,78,40,0.47,59,59,19,-19
2021/4/24,17,13,0.77,15,15,2,-2
2021/4/25,21,17,0.91,19,19,2,-2
2021/4/26,74,22,0.41,48,48,26,-26
2021/4/27,87,29,0.48,58,58,29,-29
2021/4/28,127,77,0.63,102,102,25,-25
2021/4/29,198,84,0.49,141,141,57,-57
2021/4/30,80,40,0.6,60,60,20,-20
2021/5/1,8,8,1,8,8,0,0
2021/5/2,5,3,0.68,4,4,1,-1
2021/5/3,6,2,0.7,4,4,2,-2
