time,no,review,score,read_volume,label
2022/6/30,2,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '我', '忍不住', '了', '，', '卧榻', '空', '了', '，', '明天', '给', '个']",0.0,194,-1
2022/6/30,4,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '我', '好', '想', '逃', '，', '却', '逃不掉', '。']",0.0,475,-1
2022/6/30,5,"['天然气', '成本', '比英', '威达', '低']",0.0,542,1
2022/6/30,6,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '20', '个', '跌停']",-1.0,191,1
2022/6/30,7,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '我', '被', '中', '字头', '气', '的', '更年期', '都', '提前', '了', '。']",0.0,518,-1
2022/6/30,8,"['建筑业', '商务活动', '指数', '为', '56.6%', '，', '比上', '月', '上升', '4.4', '个', '百分点', '，']",3.0,209,1
2022/6/30,9,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '卖', '吧', '，', '化学', '要', '弄', '员工', '持股', '，', '砸', '下来']",0.0,393,1
2022/6/30,10,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '己二氢', '是不是', '弄', '不成', '了', '，', '赶紧', '跌', '吧']",-1.0,132,1
2022/6/30,11,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '这么', '好的', '行情', '跌成', '这个', '样子', '，', '我', '一']",1.0,217,1
2022/6/30,12,"['气', '凝胶', '应用领域', '由', '航天航空', '拓宽', '到', '工业', '建筑行业']",1.0,528,1
2022/6/30,13,"['试车', '就是', '把', '流程', '一步步', '打通']",1.0,691,1
2022/6/30,14,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '撤', '了', '，', '太', '伤心', '了']",0.0,390,1
2022/6/30,15,"['明天', '继续', '跌', '吧', '中', '字头', '的', '出来', '反着', '来', '一波']",-1.0,217,1
2022/6/30,16,"['这', '垃圾股', '又', '开始', '出货', '，', '不要', '接盘', '，', '每天', '阴跌']",0.0,384,1
2022/6/30,19,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '我', '就', '不信', '你', '不是', '这个', '板块', '的', '[', '看多', ']']",-2.0,704,1
2022/6/30,21,"['继续', '吹牛', '逼', '，', '看', '怎么', '收场']",-4.0,366,-1
2022/6/30,24,"['开', '砸', '了', '吗']",0.0,169,-1
2022/6/30,26,"['踏空', '的', '人', '可以', '来', '买', '化学', '了']",-1.0,185,1
2022/6/30,27,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '垃圾股', '直接', '撤离', '涨', '没', '它', '跌', '第一']",1.0,171,1
2022/6/30,28,"['这么', '好的', '行情', '，', '不要', '在', '这个', '垃圾股', '浪费时间']",1.0,107,1
2022/6/30,29,"['中国', '化学', '拓展', '在', '储能', '领域', '的', '技术', '和', '业务', '，', '未来', '可期']",1.0,351,1
2022/6/30,30,"['垃圾股', '，', '跑输大盘', '，', '涨', '一天', '，', '跌', '几天', '，', '出货', '吧']",-2.0,105,-1
2022/6/30,31,"['房地产', '在', '起飞', '，', '随后', '基建', '就', '会', '被', '房地产', '带动', '起飞']",3.0,150,1
2022/6/30,32,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '走', '了']",0.0,314,-1
2022/6/30,33,"['走', '吧', '，', '走', '吧', '，', '人', '总要', '学着', '自己', '长大', '。', '走', '吧', '，', '走', '吧', '，', '留下', '难']",0.0,137,1
2022/6/30,34,"['变成', '织布机', '这', '招够', '损']",0.0,342,-1
2022/6/30,36,"['为啥', '呀']",0.0,125,-1
2022/6/30,37,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '中', '字头', '见鬼', '了', '。']",-1.0,324,1
2022/6/30,38,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '煤化工', '涨', '的', '时候', '，', '你', '跟', '跌', '基建', '板块']",0.0,162,1
2022/6/30,39,"['大宗', '交易', '：', '中国', '化学', '成交', '1437.41', '万元', '，', '成交价', '9.60', '元', '（', '0']",0.0,960,1
2022/6/30,40,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '走', '了']",0.0,143,-1
2022/6/30,41,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '千万', '不要买', '中', '字头']",-1.0,141,1
2022/6/30,42,"['唱多狗', '今天', '怎么', '不', '出来', '犬', '几声', '了', '？']",0.0,269,-1
2022/6/30,43,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '$', '中国', '化学', '(', '601117', ')', '$', '今年', '最惨', '的', '股']",0.0,350,1
2022/6/30,45,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '经营', '生产', '管理', '已经', '跟不上', '时代', '的', '脚']",-1.0,289,1
2022/6/30,47,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '大盘', '两个', '月', '涨', '了', '400', '点', '，', '可爱的', '垃']",2.0,166,1
2022/6/30,48,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '还', '能', '涨', '吗', '一直', '这个', '区间', '晃动', '？']",0.5,134,1
2022/6/30,49,"['这', '行情', '买', '了', '这个', '垃圾', '的', '人', '，', '绝对', '心挂']",-1.0,308,-1
2022/6/30,51,"['今天', '我', '是', '第七个', '发言', '的']",0.0,153,1
