time,no,review,score,read_volume,label
2022/6/30,1,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '资本', '市场', '犹如', '炼狱', '，', '我', '劝', '各位', '居心']",-5.0,424,-1
2022/6/30,3,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '重磅', '！', '国务院', '常务会议', '部署', '支持', '重']",5.0,207,1
2022/6/30,17,"['一股', '不留', '全卖', '了', '，', '留下', '的', '发财', '，', '实在', '不想', '被', '这', '垃圾', '恶心', '了']",-7.0,371,-1
2022/6/30,18,"['错过', '大好', '行情', '啊', '，', '亏大', '了']",6.0,355,1
2022/6/30,20,"['看到', '化学', '股价', '这', '鸟样', '，', '真', '怀疑', '它', '的', '各项', '数居', '业绩', '都', '是', '虚伪']",-14.0,525,-1
2022/6/30,22,"['这种', '不涨', '的', '，', '会', '一直', '不', '涨', '下去', '。', '除非', '突破', '10.2', '元', '，', '再', '追', '不']",6.0,203,1
2022/6/30,23,"['公司', '持续', '大力', '拓展', '化工', '新', '材料', '实业', '与', '科技', '创新', '，', '抢抓', '新能']",7.0,288,1
2022/6/30,25,"['一股', '不留', '全卖', '了', '，', '留下', '的', '发财', '，', '实在', '不想', '被', '这', '垃圾', '恶心', '了']",-7.0,141,-1
2022/6/30,35,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '公司', '21', '年', '扣', '非', '净利润', '不足', '5%', '在', '国企']",5.0,169,1
2022/6/30,44,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '风停了', '，', '猪', '也', '飞', '不', '起来', '了', '!']",-7.0,354,-1
2022/6/30,46,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '哈哈', '！', '狗托', '快删', '自己', '的', '唱', '多', '帖子', '吧']",7.0,149,1
2022/6/30,50,"['我', '一卖', '肯定', '涨', '，', '但是', '不卖', '拖死', '主力', '，', '反正', '成本', '负', '。']",8.0,374,1
2022/6/30,52,"['买', '了', '这个', '股票', '，', '真心', '感觉', '有点', '崩溃', '了']",7.0,824,1
2022/6/30,54,"['真心', '失望', '，', '化学', '氧气', '需要', '吗', '？']",7.0,164,1
2022/6/30,60,"['中国', '化学', '两位数', '增长', '问题', '不大']",6.0,253,1
2022/6/29,72,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '逆子', '啊', '，', '就', '你', '乱来', '，', '快', '跟上', '潮流']",-11.0,305,-1
2022/6/29,77,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '洗盘', '，', '稳住', '啊', '，', '不要', '抛弃', '任何', '一股']",7.0,379,1
2022/6/29,87,"['哈哈', '，', '基建', '涨', '这', '样子', '，', '你', '还是', '绿', '的', '，', '我', '又', '来', '笑', '你们', '了']",8.0,160,1
2022/6/29,93,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '洗盘', '，', '稳住', '啊', '，', '不要', '抛弃', '任何', '一股']",7.0,171,1
2022/6/29,95,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '妖孽', '多', '啊', '！', '！']",-7.0,156,-1
2022/6/29,99,"['希望', '不要', '浪费', '今年', '的', '行情', '。']",7.0,201,1
2022/6/28,101,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '无语']",-5.0,163,-1
2022/6/28,104,"['中', '字头', '低洼地', '，', '基建', '龙头', '，', '化建', '老大', '！', '技术', '转型', '华丽', '变身']",7.0,460,1
2022/6/28,113,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '这', '基建', '狂魔', '在', '一天', '，', '化学', '一天', '不可']",-5.0,410,-1
2022/6/28,129,"['中国', '化学', '：', '公司', '一直', '很', '重视', '并', '积极', '拓展', '在', '储能', '领域', '的', '技术']",6.0,905,1
2022/6/28,131,"['这个', '垃圾', '现在', '可真', '恶心']",-6.0,181,-1
2022/6/28,134,"['爹妈', '不认', '主力', '就是', '搞笑', '的']",7.0,196,1
2022/6/28,135,"['这特', '么', '是', '有', '多', '恶心']",-15.0,154,-1
2022/6/28,142,"['这么', '多', '好消息', '，', '今天', '必须', '跌停']",9.0,182,1
2022/6/28,144,"['建筑', '装饰', '行业', '获', '沪', '深股', '通净', '卖出', '932.89', '万元', '，', '行业', '排名第']",7.0,909,1
2022/6/27,158,"['有', '新闻报道', '称', '河北', '富海', '润泽', '化工', '有限公司', '30', '万吨', '/', '年己', '二']",5.0,754,1
2022/6/27,165,"['你好', '董秘', '，', '请问', '公司', '在', '水利工程', '建设', '方面', '有', '哪些', '参与', '项目']",5.0,225,1
2022/6/27,171,"['好不容易', '人气', '上来', '了', '，', '主力', '哥', '你', '是', '要', '干嘛', '？']",7.0,363,1
2022/6/27,172,"['听', '各大', '论坛', '上', '有人', '说', '，', '上海', '化工厂', '出现', '的', '事故', '是', '贵', '公司', '导']",-5.0,231,-1
2022/6/26,200,"['国家队', '逃跑', '计划', '的', '结果']",-5.0,198,-1
2022/6/24,213,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '无语', '…', '…']",-5.0,195,-1
2022/6/24,218,"['这猪力', '的', '吃', '相真', '难看']",-5.0,492,-1
2022/6/24,222,"['机构', '真敢', '卖', '~', '散户', '真', '敢接', '~', '！', '哈哈哈', '哈哈']",7.0,457,1
2022/6/24,225,"['啥', '利空', '这么', '恶劣', '在', '大盘', '涨', '的', '时候', '一直', '往', '下跌']",-8.0,482,-1
2022/6/24,229,"['下午', '1', '点多', '还', '会', '下跌', '，', '不', '可以', '接盘', '，', '阴跌', '是', '必然', '的', '，', '不要']",9.5,414,1
2022/6/24,237,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '无耻']",-9.0,186,-1
2022/6/24,240,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '热烈祝贺', '中国', '化学', '荣获', '工程建设', '板']",6.0,206,1
2022/6/24,243,"['$', '中国', '化学', '(', 'SH601117', ')', '$', '不要脸']",-7.0,181,-1
2022/6/24,251,"['去年', '这个', '股票', '曾经', '活跃', '得', '很', '，', '今年', '咋', '这个', '德行', '了', '呢', '？']",5.0,174,1
