id,time,review,read_volume
1,2022/6/30,上次猜对了ST，这一次不敢预测“大股东重整后，让839,259
2,2022/6/30,不要和趋势作对，下跌途中少碰,564
3,2022/6/30,我要吐血了,219
4,2022/6/30,完牛卖子了,336
5,2022/6/30,今年好背，买啥亏啥,353
6,2022/6/30,$中国海诚(SZ002116)$个人观点仅供参考，在下跌中，购,517
7,2022/6/30,$中国海诚(SZ002116)$离虫猪不远了。,231
8,2022/6/30,$中国海诚(SZ002116)$不涨你爆跌行不行,241
9,2022/6/30,$中国海诚(SZ002116)$真的是穷逼股两两毛都不敢涨,243
10,2022/6/30,$中国海诚(SZ002116)$啥玩意的股票这么坚持，就是不涨,223
11,2022/6/30,转发,210
12,2022/6/30,$中国海诚(SZ002116)$主力死哪去了，天天跌,219
13,2022/6/30,$中国海诚(SZ002116)$还好割了你,218
14,2022/6/30,$中国海诚(SZ002116)$随你怎么蹦跶，拿一个礼拜试试看,257
15,2022/6/30,如果可以重来，一定会是你[拜神],241
16,2022/6/30,一动不动是,361
17,2022/6/30,真会跌，服,256
18,2022/6/30,怎么这么恶心，怎么都不涨,261
19,2022/6/30,这股目前最难的就是筹码峰太难看了，没有主力敢拉，一,443
20,2022/6/30,$中国海诚(SZ002116)$改孟加拉海诚肯定雄起，,281
21,2022/6/30,$中国海诚(SZ002116)$改孟加拉海诚肯定雄起，,244
22,2022/6/30,我坚信上两位数没有问题,525
23,2022/6/29,$中国海诚(SZ002116)$今天上车，希望明天给力点,445
24,2022/6/29,转发,214
25,2022/6/29,转发,171
26,2022/6/29,跌了一个月了，真是无语,846
27,2022/6/29,我受不了了,341
28,2022/6/29,板块起来你了，难搞哦,229
29,2022/6/29,$中国海诚(SZ002116)$给力，逆市涨停！,509
30,2022/6/29,跌了这么长时间了，也不用力反弹下，垃圾,239
31,2022/6/29,恶心,293
32,2022/6/29,$中国海诚(SZ002116)$擦，买新疆交建没追上，38买的你,253
33,2022/6/29,泽哥,338
34,2022/6/29,$中国海诚(SZ002116)$跌了一个月垃圾,229
35,2022/6/29,泽哥,235
36,2022/6/29,$中国海诚(SZ002116)$都是钉子户，越洗越多。,427
37,2022/6/29,下午返绿是肯定的，还好9.45卖出了一些。下午有可能接,477
38,2022/6/29,9.45卖出了一些,344
39,2022/6/29,下午必绿,363
40,2022/6/29,预测下周走势,1151
41,2022/6/29,$中国海诚(SZ002116)$你MB，一跑就涨,418
42,2022/6/29,还没回调完毕，回调至8.76附近，不要上车,380
43,2022/6/29,$中国海诚(SZ002116)$这的真是A股最垃圾的板块大涨咨,222
44,2022/6/29,瞎了瞎了，买这么个玩意,230
45,2022/6/29,涨停涨停！,188
46,2022/6/29,买了就跌[微笑],227
47,2022/6/29,天天拉高一点出货，这股主力太没有追求了，说明完全不,257
48,2022/6/29,所有的利好，都蹭了，还一直跌，垃圾终究垃圾！,512
49,2022/6/28,$中国海诚(SZ002116)$不是跌一段时间了，什么时候反弹,431
50,2022/6/28,缺口补上了 说明弱势,897
51,2022/6/28,$中国海诚(SZ002116)$这个庄家里肯定有事不开心,362
52,2022/6/28,特别恶心的臭股,359
53,2022/6/28,国家就是有你这种垃圾企业才发展不起来，还敢以中国二,1331
54,2022/6/28,次股有多大的问题呀，行情这么好，这垃圾还大跌的,364
55,2022/6/28,$中国海诚(SZ002116)$获利盘这么多不停卖还得跌，管住,479
56,2022/6/28,茅台酒公司快与中国海诚解除合同，这样垃圾的公司不可,436
57,2022/6/28,中国海诚所属公司中标“茅台制曲二、三车间设备升级改,1234
58,2022/6/28,茅台这辈子做最错的事，就是让你中标改建好好的茅台酒,254
59,2022/6/28,$中国海诚(SZ002116)$诲诚太死气沉沉,209
60,2022/6/28,$中国海诚(SZ002116)$这垃圾看不懂了也算是捷报频传怎,384
61,2022/6/28,$中国海诚(SZ002116)$就因为中国倆字才买的你13.2买的,530
62,2022/6/28,大垃圾，大盘拉红了，你还睡觉,361
63,2022/6/28,可以涨了，散户都走完了,399
64,2022/6/28,$中国海诚(SZ002116)$该启动一波了,224
65,2022/6/28,可以发力了,223
66,2022/6/28,$中国海诚(SZ002116)$真的垃圾股死股,328
67,2022/6/28,$中国海诚(SZ002116)$单看那个字都够牛逼，为什么组合,501
68,2022/6/28,$中国海诚(SZ002116)$感觉你的业务都白接了股价天天跌,237
69,2022/6/28,下跌趋势，无底的垃圾股,231
70,2022/6/28,$中国海诚(SZ002116)$高度控盘了，散户数量下降不少，,231
71,2022/6/28,$中国海诚(SZ002116)$咋的？这股人气低迷纸糊！股评也,573
72,2022/6/28,刚才9.30就买了，下午可能有机会接回来。,552
73,2022/6/27,今天应该属于抵抗性下跌,590
74,2022/6/27,海诚，接下来还会跌一周吗？跟上海九百的走势何其相似,1059
75,2022/6/27,9块钱满仓干,184
76,2022/6/27,皮包公司股价不涨，原因是个.....,1553
77,2022/6/27,$中国海诚(SZ002116)$分红了吗,196
78,2022/6/27,9.45开盘追进去，一路下跌，垃圾,489
79,2022/6/27,这个还有希望么,360
80,2022/6/27,$中国海诚(SZ002116)$这股还有戏吗这么久啦就是跌,202
81,2022/6/27,这个阵势,441
82,2022/6/27,$中国海诚(SZ002116)$老的资讯发出来什么意思？无耻！,208
83,2022/6/27,中国海诚6月27日快速反弹,302
84,2022/6/27,茅台酿酒制曲车间升级改造经验，可以为新兴酒品牌量身,298
85,2022/6/27,$中国海诚(SZ002116)$真是浪费行情,527
86,2022/6/27,都放弃了没看到，一下就冲上一点,243
87,2022/6/27,加油中国,219
88,2022/6/27,近日，中国海诚所属中国轻工业武汉设计工程有限公司（,288
89,2022/6/27,$中国海诚(SZ002116)$这主力跟神经病似的，没人买自己,532
90,2022/6/27,忽然的把我吓死,196
91,2022/6/27,毛的中国海诚G企改革股！,446
92,2022/6/27,[哭],192
93,2022/6/27,这个股在慢性自杀,203
94,2022/6/27,皮包公司股价不涨，原因是个,179
95,2022/6/27,$中国海诚(SZ002116)$这跌起来不认爹妈,270
96,2022/6/27,中国加油！,188
97,2022/6/27,$中国海诚(SZ002116)$老Z快熬不住了,513
98,2022/6/27,五家企业转为投资公司，中国保利集团有限公司等12家企,999
99,2022/6/27,小散拉起来的[捂脸][捂脸][捂脸][捂脸][捂脸],1422
100,2022/6/27,$中国海诚(SZ002116)$下午收十字星,285
101,2022/6/27,成交量萎缩了，这块就是底部，加仓，拉起来，散户拉起,299
102,2022/6/27,大家都散了吧！和他类似的同行，甘咨询的K线，连涨了,312
103,2022/6/27,$中国海诚(SZ002116)$妥妥的国企改革股。,665
104,2022/6/27,中国海诚，9.72的本，看到目前已到新低，9.34应该是个,619
105,2022/6/27,$中国海诚(SZ002116)$今天如果不卖，明天开盘卖了，还,629
106,2022/6/27,$中国海诚(SZ002116)$破位了兄弟们还不走？,629
107,2022/6/27,$中国海诚(SZ002116)$主力抛售毫不留情,583
108,2022/6/27,$中国海诚(SZ002116)$估计边几周跌,256
109,2022/6/27,该股票还没有下跌到位,253
110,2022/6/27,MD.10块钱的时候没卖，现在赔了7000多,483
111,2022/6/27,为了发每股1毛钱红利，将股价打下来3元！,371
112,2022/6/27,$中国海诚(SZ002116)$这个明天登记日，是不是明天不卖,684
113,2022/6/27,8块等你,236
114,2022/6/27,持币等跌,360
115,2022/6/27,8块等你,236
116,2022/6/27,$中国海诚(SZ002116)$股友们成本多少,1263
117,2022/6/26,$中国海诚(SZ002116)$弱弱的问下大家，这股到底属于什,676
118,2022/6/26,中国海城 指标在低位不断钝化 股价不断下探 走势极弱,998
119,2022/6/26,快了，周线四连阴，阴极阳升！,303
120,2022/6/25,$中国海诚(SZ002116)$只需要看评论就知道该走了，舍不,238
121,2022/6/25,中国海诚连跌超一周，太让股民失望了……,948
122,2022/6/25,分红了吗？,500
123,2022/6/25,$中国海诚(SZ002116)$属不属于是趋势股方向没错吧,223
124,2022/6/25,天天冲高出货，7块见！,271
125,2022/6/25,分红到了100手1430块，希望主力有格局一点明天给个涨,711
126,2022/6/25,我被博众老师骗了，买两只股都在下跌。,722
127,2022/6/25,电池都在涨，中国海诚没有电池么,613
128,2022/6/24,中国海诚：公司具备相关新能源锂电业务技术储备,1738
129,2022/6/24,$中国海诚(SZ002116)$9.45的本？何时能解套啊,524
130,2022/6/24,新手入市一个月，9.7的本，继续持有，耐心等待，磨练,217
131,2022/6/24,光头光脚的阴线,430
132,2022/6/24,10.8的本被套了，下周回本就清仓！,464
133,2022/6/24,$中国海诚(SZ002116)$量再少点就完美了,213
134,2022/6/24,$中国海诚(SZ002116)$去板块股吧看了下说这个板块是两,241
135,2022/6/24,$中国海诚(SZ002116)$股吧里有大神吗，出来探讨探讨了,210
136,2022/6/24,谁知道中国海诚里面包含什么产品求告知,201
137,2022/6/24,$中国海诚(SZ002116)$这股主力是不是跑光了啊一直一动,388
138,2022/6/24,$中国海诚(SZ002116)$有点过分了吧，还跌啊,215
139,2022/6/24,$中国海诚(SZ002116)$我13的本，何时才能回啊[滴汗],434
140,2022/6/24,$中国海诚(SZ002116)$真是越过山丘跌跌不休,197
141,2022/6/24,为什么大盘跌他也跌，大盘涨他还跌。,352
142,2022/6/24,$中国海诚(SZ002116)$垃圾太多要清理清理,209
143,2022/6/24,$中国海诚(SZ002116)$5日线都过不了,188
144,2022/6/24,主力都跑了吗？,205
145,2022/6/24,昨天全仓换了云天化，立马回本了,235
146,2022/6/24,中国海诚,915
147,2022/6/24,$中国海诚(SZ002116)$出事了，跑,226
148,2022/6/24,$中国海诚(SZ002116)$有点了吧，看来月底没戏了，盘整,379
149,2022/6/24,开盘就跌……,408
150,2022/6/24,就为了躲你分红，我今天清仓了。,719
151,2022/6/24,$中国海诚(SZ002116)$还没有拉升的底部汽车股业绩爆增,353
152,2022/6/23,买入10000股，等待明天分红。,654
153,2022/6/23,跌到没有脾气了,443
154,2022/6/23,$中国海诚(SZ002116)$补缺口时可重仓！,837
