time,no,review,score,read_volume,label
2022/6/30,1,"['上次', '猜', '对', '了', 'ST', '，', '这', '一次', '不敢', '预测', '“', '大', '股东', '重整', '后', '，', '让', '839']",1.0,259,1
2022/6/30,2,"['不要', '和', '趋势', '作对', '，', '下跌', '途中', '少', '碰']",2.0,564,1
2022/6/30,3,"['我要', '吐血', '了']",-1.0,219,-1
2022/6/30,4,"['完牛', '卖子', '了']",0.0,336,-1
2022/6/30,5,"['今年', '好', '背', '，', '买', '啥', '亏', '啥']",-2.0,353,-1
2022/6/30,6,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '个人观点', '仅供参考', '，', '在', '下跌', '中', '，', '购']",-1.0,517,1
2022/6/30,7,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '离虫', '猪', '不远', '了', '。']",0.0,231,-1
2022/6/30,8,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '不涨', '你', '爆跌', '行不行']",0.0,241,1
2022/6/30,9,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '真的', '是', '穷', '逼', '股', '两两', '毛', '都', '不敢', '涨']",0.0,243,1
2022/6/30,10,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '啥', '玩意', '的', '股票', '这么', '坚持', '，', '就是', '不', '涨']",-1.0,223,1
2022/6/30,11,['转发'],0.0,210,-1
2022/6/30,12,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '主力', '死', '哪', '去', '了', '，', '天天', '跌']",4.0,219,1
2022/6/30,13,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '还好', '割', '了', '你']",0.0,218,1
2022/6/30,14,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '随', '你', '怎么', '蹦跶', '，', '拿', '一个', '礼拜', '试试看']",-1.0,257,-1
2022/6/30,15,"['如果', '可以', '重', '来', '，', '一定', '会', '是', '你', '[', '拜神', ']']",0.0,241,1
2022/6/30,16,"['一动不动', '是']",0.0,361,-1
2022/6/30,17,"['真会', '跌', '，', '服']",-1.0,256,-1
2022/6/30,20,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '改', '孟加拉', '海诚', '肯定', '雄起', '，']",1.0,281,1
2022/6/30,21,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '改', '孟加拉', '海诚', '肯定', '雄起', '，']",1.0,244,1
2022/6/30,22,"['我', '坚信', '上', '两位数', '没有', '问题']",1.0,525,-1
2022/6/29,23,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '今天', '上车', '，', '希望', '明天', '给力', '点']",1.0,445,1
