time,no,review,score,read_volume,label
2022/6/30,18,"['怎么', '这么', '恶心', '，', '怎么', '都', '不涨']",-5.0,261,-1
2022/6/30,19,"['这', '股', '目前', '最难', '的', '就是', '筹码', '峰', '太', '难看', '了', '，', '没有', '主力', '敢', '拉', '，', '一']",-17.0,443,-1
2022/6/29,26,"['跌', '了', '一个月', '了', '，', '真是', '无语']",-6.0,846,-1
2022/6/29,28,"['板块', '起来', '你', '了', '，', '难搞', '哦']",7.0,229,1
2022/6/29,31,['恶心'],-5.0,293,-1
2022/6/29,47,"['天天', '拉高', '一点', '出货', '，', '这', '股', '主力', '太', '没有', '追求', '了', '，', '说明', '完全', '不']",-5.5,257,-1
2022/6/28,51,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '这个', '庄家', '里', '肯定', '有事', '不', '开心']",-6.0,362,-1
2022/6/28,52,"['特别', '恶心', '的', '臭股']",-11.0,359,-1
2022/6/28,53,"['国家', '就是', '有', '你', '这种', '垃圾', '企业', '才', '发展', '不', '起来', '，', '还敢', '以', '中国', '二']",-8.0,1331,-1
2022/6/28,54,"['次股', '有', '多', '大', '的', '问题', '呀', '，', '行情', '这么', '好', '，', '这', '垃圾', '还', '大跌', '的']",-5.5,364,-1
2022/6/28,56,"['茅台酒', '公司', '快', '与', '中国海', '诚', '解除合同', '，', '这样', '垃圾', '的', '公司', '不可']",-6.0,436,-1
2022/6/28,59,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '诲', '诚太', '死气沉沉']",-5.0,209,-1
2022/6/28,60,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '这', '垃圾', '看不懂', '了', '也', '算是', '捷报频传', '怎']",8.0,384,1
2022/6/27,82,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '老', '的', '资讯', '发出', '来', '什么', '意思', '？', '无耻', '！']",-27.0,208,-1
2022/6/27,83,"['中国海', '诚', '6', '月', '27', '日', '快速', '反弹']",6.0,302,1
2022/6/27,84,"['茅台', '酿酒', '制曲', '车间', '升级', '改造', '经验', '，', '可以', '为', '新兴', '酒', '品牌', '量身']",9.0,298,1
2022/6/27,85,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '真是', '浪费', '行情']",-7.0,527,-1
2022/6/27,95,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '这跌', '起来', '不认', '爹妈']",7.0,270,1
2022/6/27,99,"['小散', '拉', '起来', '的', '[', '捂脸', ']', '[', '捂脸', ']', '[', '捂脸', ']', '[', '捂脸', ']', '[', '捂脸', ']']",7.0,1422,1
2022/6/27,101,"['成交量', '萎缩', '了', '，', '这块', '就是', '底部', '，', '加仓', '，', '拉', '起来', '，', '散户', '拉起']",6.0,299,1
2022/6/27,110,"['MD', '.', '10', '块钱', '的', '时候', '没卖', '，', '现在', '赔', '了', '7000', '多']",-7.0,483,-1
2022/6/25,125,"['分红', '到', '了', '100', '手', '1430', '块', '，', '希望', '主力', '有', '格局', '一点', '明天', '给', '个', '涨']",7.5,711,1
2022/6/24,130,"['新手', '入市', '一个月', '，', '9.7', '的', '本', '，', '继续', '持有', '，', '耐心', '等待', '，', '磨练']",10.0,217,1
2022/6/24,133,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '量', '再', '少点', '就', '完美', '了']",9.0,213,1
2022/6/24,137,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '这股', '主力', '是不是', '跑光', '了', '啊', '一直', '一动']",7.0,388,1
2022/6/24,139,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '我', '13', '的', '本', '，', '何时', '才能', '回', '啊', '[', '滴汗', ']']",5.0,434,1
2022/6/24,144,"['主力', '都', '跑', '了', '吗', '？']",7.0,205,1
2022/6/23,153,"['跌到', '没有', '脾气', '了']",5.0,443,1
2022/6/22,163,"['明天', '补缺', '口', ' ', '是', '必然', '。']",9.0,868,1
2022/6/22,167,"['主力', '哥', ' ', ' ', '就', '在', '这个', '先', '波动', '到', '分红', '算了', '，', '之后', '在', '拉', ' ', '，', '你', '看']",6.0,303,1
2022/6/21,205,"['主力', '快来']",7.0,174,1
2022/6/21,209,"['9.43', '挂', '了', '买单', ' ', ' ', '主力', '哥', ' ', ' ', '有', '机会', '买进', '不', '？']",8.0,214,1
2022/6/20,220,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '主力', '不是', '不喜欢', '散户', '，', '而是', '不喜欢']",7.0,1058,1
2022/6/19,246,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '机构', '公司', '推荐', '的', '，', '真心', '不能买', '，', '被']",6.0,1164,1
2022/6/17,254,"['主力', '以', '出货']",7.0,189,1
2022/6/17,260,"['现在', '割肉', '的', '一辈子', '都', '吃不上', '五个', '菜', '！', '请', '看', '！', '【', '国资委', '：', '持']",-8.0,645,-1
2022/6/17,265,"['有', '多少', '人', '是', '被', '推荐', '忽悠', '进来', '的', '？']",-5.0,1131,-1
2022/6/17,278,"['不盘', '个', '把', '星期', '起不来', '的', '，', '但', '也', '放心', '，', '不破', '位', '也', '没事', '，', '多', '拿']",6.0,242,1
2022/6/17,285,"['如来', '神涨', '！', '千金难买', '老鸭', '头', '！', '主力', '请', '让', '问财', '讨教', '讨教', '你', '的']",13.0,435,1
2022/6/17,288,"['筹码', '不够', '低位', '盘整', '收集', '筹码', '一个', '星期', '，', '我', '猜', '的']",-6.0,265,-1
2022/6/16,298,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '没量', '了', '，', '可以', '拉', '起来', '吃', '筹码', '了']",7.0,225,1
2022/6/16,302,"['没什么', '卖单', '就是', '主力', '做', '量化']",7.0,207,1
2022/6/16,307,"['恶', '不', '恶心']",5.0,202,1
2022/6/16,309,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '你', '把', '前面', '两个', '字', '去', '了', '吧', '，', '丢人现眼']",-7.0,460,-1
2022/6/16,311,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '原来', '股', '，', '之前', '说', '什么', '都', '做', '。', '到头来']",5.0,266,1
2022/6/15,331,"['收盘价', '10.18', ' ', ' ', '主力', '哥', ' ', ' ', '咱', '就', '以', '这个', '收盘价', '为', '标准', '可好', '！']",7.0,199,1
2022/6/15,333,"['主力', '哥', ' ', ' ', '可以', '了', ' ', ' ', '已经', '买进', '了']",7.0,195,1
2022/6/15,334,"['主力', '哥', ' ', ' ', '在', '努', '努力', ' ', ' ', '只要', '到', '了', '9.88', '就', '可以', '了']",8.0,199,1
2022/6/15,338,"['主力', '哥', ' ', ' ', '能', '不能', '先', '下来', '点', '啊', ' ', ' ', ' ', '我', '老婆', '说', '她', '也', '想', '买点']",7.0,515,1
2022/6/15,345,"['主力', '哥', ' ', ' ', '我', '已经', '上车', '了', ' ', ' ', '可以', '涨', '了']",8.0,296,1
2022/6/14,365,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '尘归尘', '，', '土归土', '，', '贪婪', '的', '最终', '都', '吐']",-7.0,218,-1
2022/6/14,372,"['优秀', '恒', '优秀', '，', '垃圾', '永远', '是', '垃圾']",8.0,209,1
2022/6/14,375,"['亏损', '害人', '，', '走', '了']",-8.0,193,-1
2022/6/14,380,"['明天', '低开', '反包', '就', '完美', '了']",8.0,447,1
2022/6/14,382,"['告诉', '大家', '一个', '秘密', '：', '今天', '海诚', '必定', '要拉一波', '超过', '10.55', '！']",9.0,658,1
2022/6/13,389,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '看', '了', '那些', '怨声载道', '的', '留言', '，', '怎么', '就']",-5.0,1500,-1
2022/6/13,416,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '拉', '起来', '吧', '。']",7.0,238,1
2022/6/13,420,"['不日', '拉升', '[', '爱心', ']', '[', '爱心', ']', '[', '爱心', ']']",16.0,260,1
2022/6/12,428,"['下周一', '路', '跌下去', '，', '还是', '会', '有', '反弹', '呢', '？', '个人', '觉得', '凶多吉少', '了']",-8.0,1184,-1
2022/6/11,439,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '看好', '就', '买定离手', '。', '别', '自以为是', '，', '所']",8.0,577,1
2022/6/10,453,"['一句', '忠告', '，', '下周', '慢跌']",7.0,445,1
2022/6/10,454,"['12.45', '我成', '了', '韭菜', '，', '想', '跑', '也', '跑不了', '，', '只能', '眼睁睁', '看着', '它', '跌']",-6.0,905,-1
2022/6/10,461,"['$', '中国海', '诚', '(', 'SZ002116', ')', '$', '不配', '中', '字头', '，', '庄姓', '无能', '。']",-6.0,244,-1
