id,time,review,read_volume
1,2022/6/30,$中国科传(SH601858)$太差了,449
2,2022/6/30,底部稀缺票你们满市场找找！还有几个？这个算不算一个,973
3,2022/6/30,$中国科传(SH601858)$哪朵花没有香，哪颗星没有光？哪,458
4,2022/6/30,$中国科传(SH601858)$智慧芽知识产权数据库,399
5,2022/6/30,30分钟MACD即将翻红，两根黑棒打压。继续翻绿。希望这,514
6,2022/6/30,$中国科传(SH601858)$明天大跌的一天,491
7,2022/6/30,再谈技术。等来了30分钟MACD死叉。,393
8,2022/6/30,成交金额,406
9,2022/6/30,中国科传：融资净偿还196.51万元，融资余额8712.44万,321
10,2022/6/30,$中国科传(SH601858)$本来想借分红利好出货，无奈没有,385
11,2022/6/29,中国科传2021年度10派2.54元,1078
12,2022/6/29,大盘涨的时候它就是一坨，大盘跌得时候就跟孙子一样！,394
13,2022/6/29,跌，奥力给。涨软蛋怂,302
14,2022/6/29,真特么到家了哇,409
15,2022/6/29,[图片],586
16,2022/6/29,中国科传：融资净买入81.85万元，融资余额8911.21万元,324
17,2022/6/29,我之前所在的公司最近股价翻倍，现在15块多，用我的标,579
18,2022/6/28,我从18年3月开始配置科传，18年—20年比较好操作，近,404
19,2022/6/28,中信出版社人类简史漫画版让董宇辉直播卖书。什么时候,328
20,2022/6/28,只是最新信息不代表会对市场影响。,317
21,2022/6/28,$中国科传(SH601858)$就这就这？,383
22,2022/6/28,如果一根长阴跌到7点5元。技术图形还漂亮吗,452
23,2022/6/28,$中国科传(SH601858)$杭叉卖出，换股,406
24,2022/6/28,$中国科传(SH601858)$这点成交量可悲啊,482
25,2022/6/28,漂亮。吹捧科传新名词。第一次听说。是我孤陋寡闻还是,488
26,2022/6/28,7.88元清仓，大盘60分钟90分钟120分钟顶背离。7.88元,466
27,2022/6/28,601858:中国科技出版传媒股份有限公司2021年年度权益,918
28,2022/6/28,中国科传：融资净偿还292.51万元，融资余额8829.36万,308
29,2022/6/28,对所有持有者说。主力庄家不在意股价低不低，在意你们,979
30,2022/6/27,垃圾就是垃圾，扶不上墙,332
31,2022/6/27,技术提示下跌。静待花开,394
32,2022/6/27,$中国科传(SH601858)$卖出星帅尔，买入杭叉,409
33,2022/6/27,主力拉升是错的，60分钟90分钟120分钟大盘顶背离。错,471
34,2022/6/27,$中国科传(SH601858)$这孙子,397
35,2022/6/27,$中国科传(SH601858)$周一千万别涨，如果你长了，就是,715
36,2022/6/27,中国科传会不停地涨，涨不停,605
37,2022/6/27,大盘进入牛市氛围。不管是真假。有的股票利用牛市氛围,311
38,2022/6/26,中国科传本周融资净买入967.19万元，居文化传媒板块第,506
39,2022/6/25,$中国科传(SH601858)$这玩意连做T都不给机会，太惨了,569
40,2022/6/25,中国科传：连续6日融资净买入累计1340.57万元（06-24,423
41,2022/6/24,利空出尽,620
42,2022/6/24,同方知网,668
43,2022/6/24,末来三天，拉高7.88元然后下跌7.74元。再上拉7.84元再,285
44,2022/6/24,$中国科传(SH601858)$该股没人[可怜][可怜][可怜],692
45,2022/6/24,悲哀，真是悲哀啊,384
46,2022/6/24,$中国科传(SH601858)$前段时间换了星帅尔，把垃圾赔的,583
47,2022/6/23,$中国科传(SH601858)$今天也太缩量了吧！！！,380
48,2022/6/22,转发,373
49,2022/6/22,$中国科传(SH601858)$坐等七块进头仓,400
50,2022/6/22,反复考验,627
51,2022/6/21,问险资：意欲何为？（6.20）,999
52,2022/6/21,文化数字化龙头,709
53,2022/6/20,$中国科传(SH601858)$庄家赶紧砸下来洗盘呀！七块我接,442
54,2022/6/20,尾盘清仓了耐心等低点,403
55,2022/6/24,我向广大小散道歉。今天沒有拉高7.88元，只到7.85元。,366
56,2022/6/24,6月13日调出沪股通。换了一个保荐人。就有人吹牛逼。,306
57,2022/6/24,中国科传：连续5日融资净买入累计1269.4万元（06-23）,409
58,2022/6/23,对看高8元看法。将来会到。将来多久,288
59,2022/6/23,谈－下技术面。30分钟高点8.02元7.96元7.92元不断下杀,318
60,2022/6/23,5月25日有人推荐科传7.78元。怎么说。期间拉高8元，在,550
61,2022/6/23,中国科传：连续4日融资净买入累计1170.71万元（06-22,339
62,2022/6/22,这里许多股友自己不买。劝別人买。真正的多头一声不吭,256
63,2022/6/22,$中国科传(SH601858)$莫斯科没有眼泪，烂科传没有颓废,638
64,2022/6/22,中国科传：连续3日融资净买入累计898.74万元（06-21）,318
65,2022/6/21,$中国科传(SH601858)$我咋一看到这股就想吐,602
66,2022/6/21,$中国科传(SH601858)$谁说此股无庄？否则能走出这样形,344
67,2022/6/20,$中国科传(SH601858)$这头朱也不看看时代出版多钱了？,280
68,2022/6/20,中国科传06月13日被沪股通减持33.52万股,579
69,2022/6/20,$中国科传(SH601858)$大哥，你成交量可不可以大点，你,502
70,2022/6/20,$中国科传(SH601858)$$华西证券(SZ002926)$重大消息，,775
71,2022/6/20,今日大概率涨停，买入,648
72,2022/6/20,如果中小学教辅材重印，已印刷的将作废，不知道会给公,957
73,2022/6/19,下周定生死  上涨概率大,398
74,2022/6/19,中国科传本周融资净偿还383.23万元，居文化传媒板块第,490
75,2022/6/19,今天要砸盘了，快跑吧，只让卖出，可怕,815
76,2022/6/18,$中国科传(SH601858)$7块接做大t,383
