time,all_num_中国科传,all_dic_score,中国科传舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,2,2.00,1.00,2,2.00,0,0.00
2021-01-02,2,-2.00,-1.00,0,0.00,2,-2.00
2021-01-03,3,3.00,1.00,3,3.00,0,0.00
2021-01-04,5,1.00,0.41,3,3.00,2,-2.00
2021-01-05,17,3.00,0.23,10,10.00,7,-7.00
2021-01-06,13,1.00,0.20,7,7.00,6,-6.00
2021-01-07,17,1.00,0.12,9,9.00,8,-8.00
2021-01-08,18,-2.00,-0.14,8,8.00,10,-10.00
2021-01-09,2,2.00,1.00,2,2.00,0,0.00
2021-01-10,3,3.00,1.00,3,3.00,0,0.00
2021-01-11,3,1.00,0.44,2,2.00,1,-1.00
2021-01-12,8,6.00,0.72,7,7.00,1,-1.00
2021-01-13,14,4.00,0.34,9,9.00,5,-5.00
2021-01-14,11,5.00,0.57,8,8.00,3,-3.00
2021-01-15,12,4.00,0.27,8,8.00,4,-4.00
2021-01-16,3,3.00,1.00,3,3.00,0,0.00
2021-01-17,3,3.00,1.00,3,3.00,0,0.00
2021-01-18,8,2.00,0.02,5,5.00,3,-3.00
2021-01-19,8,4.00,0.39,6,6.00,2,-2.00
2021-01-20,8,2.00,0.15,5,5.00,3,-3.00
2021-01-21,7,5.00,0.65,6,6.00,1,-1.00
2021-01-22,8,2.00,0.59,5,5.00,3,-3.00
2021-01-23,2,2.00,1.00,2,2.00,0,0.00
2021-01-24,4,2.00,0.44,3,3.00,1,-1.00
2021-01-25,15,-9.00,-0.32,3,3.00,12,-12.00
2021-01-26,10,6.00,0.56,8,8.00,2,-2.00
2021-01-27,7,3.00,0.53,5,5.00,2,-2.00
2021-01-28,8,6.00,0.72,7,7.00,1,-1.00
2021-01-29,8,4.00,0.54,6,6.00,2,-2.00
2021-01-30,3,1.00,0.40,2,2.00,1,-1.00
2021-01-31,5,3.00,0.70,4,4.00,1,-1.00
2021-02-01,8,2.00,0.43,5,5.00,3,-3.00
2021-02-02,10,2.00,0.38,6,6.00,4,-4.00
2021-02-03,8,0.00,0.03,4,4.00,4,-4.00
2021-02-04,8,0.00,0.20,4,4.00,4,-4.00
2021-02-05,19,5.00,0.40,12,12.00,7,-7.00
2021-02-06,1,1.00,1.00,1,1.00,0,0.00
2021-02-07,5,3.00,0.68,4,4.00,1,-1.00
2021-02-08,2,0.00,0.97,1,1.00,1,-1.00
2021-02-09,5,3.00,0.65,4,4.00,1,-1.00
2021-02-10,9,5.00,0.65,7,7.00,2,-2.00
2021-02-15,1,1.00,1.00,1,1.00,0,0.00
2021-02-17,3,1.00,0.52,2,2.00,1,-1.00
2021-02-18,3,3.00,1.00,3,3.00,0,0.00
2021-02-19,11,5.00,0.38,8,8.00,3,-3.00
2021-02-20,4,2.00,0.70,3,3.00,1,-1.00
2021-02-22,7,1.00,0.23,4,4.00,3,-3.00
2021-02-23,12,4.00,-0.76,8,8.00,4,-4.00
2021-02-24,5,-3.00,-0.78,1,1.00,4,-4.00
2021-02-25,10,2.00,-0.15,6,6.00,4,-4.00
2021-02-26,8,-2.00,-0.85,3,3.00,5,-5.00
2021-02-27,4,4.00,1.00,4,4.00,0,0.00
2021-02-28,3,3.00,1.00,3,3.00,0,0.00
2021-03-01,4,2.00,0.98,3,3.00,1,-1.00
2021-03-02,8,4.00,0.68,6,6.00,2,-2.00
2021-03-03,4,2.00,0.99,3,3.00,1,-1.00
2021-03-04,6,0.00,0.19,3,3.00,3,-3.00
2021-03-05,11,3.00,0.65,7,7.00,4,-4.00
2021-03-06,3,3.00,1.00,3,3.00,0,0.00
2021-03-07,2,2.00,1.00,2,2.00,0,0.00
2021-03-08,7,3.00,0.69,5,5.00,2,-2.00
2021-03-09,7,3.00,0.08,5,5.00,2,-2.00
2021-03-10,9,-3.00,-0.11,3,3.00,6,-6.00
2021-03-11,6,4.00,0.79,5,5.00,1,-1.00
2021-03-12,5,3.00,0.96,4,4.00,1,-1.00
2021-03-13,2,2.00,1.00,2,2.00,0,0.00
2021-03-14,3,1.00,-0.53,2,2.00,1,-1.00
2021-03-15,5,-1.00,-0.37,2,2.00,3,-3.00
2021-03-16,6,2.00,0.36,4,4.00,2,-2.00
2021-03-17,6,0.00,0.20,3,3.00,3,-3.00
2021-03-18,11,-1.00,0.05,5,5.00,6,-6.00
2021-03-19,10,2.00,0.75,6,6.00,4,-4.00
2021-03-20,3,3.00,1.00,3,3.00,0,0.00
2021-03-21,3,3.00,1.00,3,3.00,0,0.00
2021-03-22,6,0.00,0.83,3,3.00,3,-3.00
2021-03-23,7,-1.00,0.80,3,3.00,4,-4.00
2021-03-24,4,2.00,0.92,3,3.00,1,-1.00
2021-03-25,5,1.00,0.90,3,3.00,2,-2.00
2021-03-26,12,4.00,0.37,8,8.00,4,-4.00
2021-03-27,1,1.00,1.00,1,1.00,0,0.00
2021-03-28,2,2.00,1.00,2,2.00,0,0.00
2021-03-29,4,-2.00,-0.49,1,1.00,3,-3.00
2021-03-30,6,4.00,0.81,5,5.00,1,-1.00
2021-03-31,7,-1.00,0.03,3,3.00,4,-4.00
2021-04-01,6,0.00,0.18,3,3.00,3,-3.00
2021-04-02,3,3.00,1.00,3,3.00,0,0.00
2021-04-03,2,2.00,1.00,2,2.00,0,0.00
2021-04-04,2,0.00,0.62,1,1.00,1,-1.00
2021-04-05,1,1.00,1.00,1,1.00,0,0.00
2021-04-07,7,1.00,0.37,4,4.00,3,-3.00
2021-04-08,4,2.00,0.70,3,3.00,1,-1.00
2021-04-09,5,1.00,0.59,3,3.00,2,-2.00
2021-04-10,5,3.00,0.60,4,4.00,1,-1.00
2021-04-11,1,1.00,1.00,1,1.00,0,0.00
2021-04-12,5,1.00,0.87,3,3.00,2,-2.00
2021-04-13,4,2.00,0.54,3,3.00,1,-1.00
2021-04-14,4,2.00,-0.83,3,3.00,1,-1.00
2021-04-15,3,1.00,0.48,2,2.00,1,-1.00
2021-04-16,5,3.00,0.71,4,4.00,1,-1.00
2021-04-17,2,2.00,1.00,2,2.00,0,0.00
2021-04-18,3,3.00,1.00,3,3.00,0,0.00
2021-04-19,4,0.00,-0.14,2,2.00,2,-2.00
2021-04-20,19,17.00,0.97,18,18.00,1,-1.00
2021-04-21,3,1.00,0.19,2,2.00,1,-1.00
2021-04-22,14,-2.00,-0.07,6,6.00,8,-8.00
2021-04-23,9,-1.00,0.16,4,4.00,5,-5.00
2021-04-24,5,3.00,0.75,4,4.00,1,-1.00
2021-04-25,5,3.00,0.69,4,4.00,1,-1.00
2021-04-26,7,3.00,0.66,5,5.00,2,-2.00
2021-04-27,56,42.00,0.78,49,49.00,7,-7.00
2021-04-28,13,3.00,0.41,8,8.00,5,-5.00
2021-04-29,7,1.00,0.36,4,4.00,3,-3.00
2021-04-30,8,2.00,0.45,5,5.00,3,-3.00
2021-05-01,4,2.00,0.68,3,3.00,1,-1.00
2021-05-04,2,0.00,0.06,1,1.00,1,-1.00
2021-05-05,4,2.00,0.50,3,3.00,1,-1.00
2021-05-06,7,-3.00,-0.41,2,2.00,5,-5.00
2021-05-07,5,3.00,0.68,4,4.00,1,-1.00
2021-05-08,2,2.00,1.00,2,2.00,0,0.00
2021-05-09,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-10,9,3.00,0.43,6,6.00,3,-3.00
2021-05-11,9,5.00,0.58,7,7.00,2,-2.00
2021-05-12,5,3.00,0.74,4,4.00,1,-1.00
2021-05-13,5,3.00,0.70,4,4.00,1,-1.00
2021-05-14,5,3.00,0.75,4,4.00,1,-1.00
2021-05-15,5,1.00,0.50,3,3.00,2,-2.00
2021-05-16,3,3.00,1.00,3,3.00,0,0.00
2021-05-17,7,-1.00,0.09,3,3.00,4,-4.00
2021-05-18,4,0.00,0.33,2,2.00,2,-2.00
2021-05-19,4,2.00,0.62,3,3.00,1,-1.00
2021-05-20,7,5.00,0.83,6,6.00,1,-1.00
2021-05-21,11,5.00,0.56,8,8.00,3,-3.00
2021-05-22,2,2.00,1.00,2,2.00,0,0.00
2021-05-23,2,2.00,1.00,2,2.00,0,0.00
2021-05-24,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-25,6,0.00,0.20,3,3.00,3,-3.00
2021-05-26,14,-4.00,-0.33,5,5.00,9,-9.00
2021-05-27,8,4.00,0.62,6,6.00,2,-2.00
2021-05-28,9,-1.00,0.07,4,4.00,5,-5.00
2021-05-29,2,2.00,1.00,2,2.00,0,0.00
2021-05-30,2,2.00,1.00,2,2.00,0,0.00
2021-05-31,2,0.00,-0.26,1,1.00,1,-1.00
2021-06-01,10,0.00,0.13,5,5.00,5,-5.00
2021-06-02,5,1.00,0.40,3,3.00,2,-2.00
2021-06-03,6,4.00,0.67,5,5.00,1,-1.00
2021-06-04,22,4.00,0.16,13,13.00,9,-9.00
2021-06-05,4,0.00,0.15,2,2.00,2,-2.00
2021-06-06,5,3.00,0.71,4,4.00,1,-1.00
2021-06-07,5,3.00,0.58,4,4.00,1,-1.00
2021-06-08,5,3.00,0.67,4,4.00,1,-1.00
2021-06-09,3,-1.00,-0.35,1,1.00,2,-2.00
2021-06-10,13,3.00,0.21,8,8.00,5,-5.00
2021-06-11,14,-2.00,-0.10,6,6.00,8,-8.00
2021-06-12,3,1.00,0.51,2,2.00,1,-1.00
2021-06-14,2,2.00,1.00,2,2.00,0,0.00
2021-06-15,9,1.00,0.14,5,5.00,4,-4.00
2021-06-16,5,-1.00,-0.13,2,2.00,3,-3.00
2021-06-17,4,2.00,0.57,3,3.00,1,-1.00
2021-06-18,5,3.00,0.63,4,4.00,1,-1.00
2021-06-19,2,2.00,1.00,2,2.00,0,0.00
2021-06-20,2,2.00,1.00,2,2.00,0,0.00
2021-06-21,3,-1.00,-0.15,1,1.00,2,-2.00
2021-06-22,6,2.00,0.36,4,4.00,2,-2.00
2021-06-23,10,-2.00,-0.02,4,4.00,6,-6.00
2021-06-24,11,5.00,0.48,8,8.00,3,-3.00
2021-06-25,4,0.00,0.14,2,2.00,2,-2.00
2021-06-26,1,1.00,1.00,1,1.00,0,0.00
2021-06-27,3,1.00,0.45,2,2.00,1,-1.00
2021-06-28,3,-1.00,-0.54,1,1.00,2,-2.00
2021-06-29,8,2.00,-0.25,5,5.00,3,-3.00
2021-06-30,11,3.00,0.44,7,7.00,4,-4.00
2021-07-01,17,7.00,0.49,12,12.00,5,-5.00
2021-07-02,9,1.00,0.26,5,5.00,4,-4.00
2021-07-03,1,1.00,1.00,1,1.00,0,0.00
2021-07-04,1,1.00,1.00,1,1.00,0,0.00
2021-07-05,2,2.00,1.00,2,2.00,0,0.00
2021-07-06,5,1.00,0.41,3,3.00,2,-2.00
2021-07-07,3,1.00,0.48,2,2.00,1,-1.00
2021-07-08,6,2.00,0.46,4,4.00,2,-2.00
2021-07-09,14,-4.00,-0.16,5,5.00,9,-9.00
2021-07-10,3,1.00,0.36,2,2.00,1,-1.00
2021-07-11,2,2.00,1.00,2,2.00,0,0.00
2021-07-12,6,-2.00,-0.43,2,2.00,4,-4.00
2021-07-13,10,6.00,0.57,8,8.00,2,-2.00
2021-07-14,6,0.00,0.26,3,3.00,3,-3.00
2021-07-15,34,-14.00,-0.35,10,10.00,24,-24.00
2021-07-16,15,3.00,0.17,9,9.00,6,-6.00
2021-07-17,6,4.00,0.69,5,5.00,1,-1.00
2021-07-18,7,7.00,1.00,7,7.00,0,0.00
2021-07-19,22,4.00,0.22,13,13.00,9,-9.00
2021-07-20,8,2.00,0.39,5,5.00,3,-3.00
2021-07-21,7,3.00,0.51,5,5.00,2,-2.00
2021-07-22,13,-1.00,0.02,6,6.00,7,-7.00
2021-07-23,12,0.00,0.21,6,6.00,6,-6.00
2021-07-24,5,-1.00,-0.08,2,2.00,3,-3.00
2021-07-25,7,3.00,0.62,5,5.00,2,-2.00
2021-07-26,7,3.00,0.53,5,5.00,2,-2.00
2021-07-27,18,0.00,0.05,9,9.00,9,-9.00
2021-07-28,6,0.00,-0.04,3,3.00,3,-3.00
2021-07-29,6,6.00,1.00,6,6.00,0,0.00
2021-07-30,15,3.00,0.23,9,9.00,6,-6.00
2021-07-31,5,5.00,1.00,5,5.00,0,0.00
2021-08-01,2,2.00,1.00,2,2.00,0,0.00
2021-08-02,8,-2.00,-0.22,3,3.00,5,-5.00
2021-08-03,13,3.00,0.29,8,8.00,5,-5.00
2021-08-04,13,1.00,0.12,7,7.00,6,-6.00
2021-08-05,5,-1.00,-0.20,2,2.00,3,-3.00
2021-08-06,5,-3.00,-0.57,1,1.00,4,-4.00
2021-08-07,3,3.00,1.00,3,3.00,0,0.00
2021-08-08,3,3.00,1.00,3,3.00,0,0.00
2021-08-09,1,1.00,1.00,1,1.00,0,0.00
2021-08-10,8,2.00,0.35,5,5.00,3,-3.00
2021-08-11,6,2.00,0.43,4,4.00,2,-2.00
2021-08-12,7,-1.00,0.01,3,3.00,4,-4.00
2021-08-13,5,-1.00,-0.10,2,2.00,3,-3.00
2021-08-14,3,1.00,0.43,2,2.00,1,-1.00
2021-08-15,3,1.00,0.46,2,2.00,1,-1.00
2021-08-16,2,0.00,-0.03,1,1.00,1,-1.00
2021-08-17,4,2.00,0.67,3,3.00,1,-1.00
2021-08-18,4,2.00,0.64,3,3.00,1,-1.00
2021-08-19,6,0.00,0.05,3,3.00,3,-3.00
2021-08-20,6,4.00,0.66,5,5.00,1,-1.00
2021-08-21,3,1.00,0.58,2,2.00,1,-1.00
2021-08-22,3,3.00,1.00,3,3.00,0,0.00
2021-08-24,6,0.00,0.05,3,3.00,3,-3.00
2021-08-25,8,0.00,0.11,4,4.00,4,-4.00
2021-08-26,5,-1.00,-0.04,2,2.00,3,-3.00
2021-08-27,21,19.00,0.90,20,20.00,1,-1.00
2021-08-28,3,3.00,1.00,3,3.00,0,0.00
2021-08-29,3,1.00,0.18,2,2.00,1,-1.00
2021-08-30,6,2.00,0.50,4,4.00,2,-2.00
2021-08-31,7,1.00,0.47,4,4.00,3,-3.00
2021-09-01,6,0.00,0.52,3,3.00,3,-3.00
2021-09-02,7,-1.00,-0.04,3,3.00,4,-4.00
2021-09-03,5,-1.00,-0.14,2,2.00,3,-3.00
2021-09-04,3,3.00,1.00,3,3.00,0,0.00
2021-09-05,3,3.00,1.00,3,3.00,0,0.00
2021-09-06,11,-3.00,0.68,4,4.00,7,-7.00
2021-09-07,5,3.00,0.56,4,4.00,1,-1.00
2021-09-08,8,8.00,1.00,8,8.00,0,0.00
2021-09-09,7,5.00,0.59,6,6.00,1,-1.00
2021-09-10,7,3.00,0.74,5,5.00,2,-2.00
2021-09-11,3,1.00,0.17,2,2.00,1,-1.00
2021-09-12,2,2.00,1.00,2,2.00,0,0.00
2021-09-13,2,2.00,1.00,2,2.00,0,0.00
2021-09-14,3,3.00,1.00,3,3.00,0,0.00
2021-09-15,9,7.00,0.71,8,8.00,1,-1.00
2021-09-16,3,3.00,1.00,3,3.00,0,0.00
2021-09-17,8,-2.00,-0.42,3,3.00,5,-5.00
2021-09-18,1,1.00,1.00,1,1.00,0,0.00
2021-09-19,1,1.00,1.00,1,1.00,0,0.00
2021-09-21,3,3.00,1.00,3,3.00,0,0.00
2021-09-22,7,5.00,0.76,6,6.00,1,-1.00
2021-09-23,14,4.00,0.28,9,9.00,5,-5.00
2021-09-24,8,4.00,0.36,6,6.00,2,-2.00
2021-09-25,3,3.00,1.00,3,3.00,0,0.00
2021-09-26,1,1.00,1.00,1,1.00,0,0.00
2021-09-27,2,0.00,-0.10,1,1.00,1,-1.00
2021-09-28,5,3.00,0.31,4,4.00,1,-1.00
2021-09-29,3,1.00,0.15,2,2.00,1,-1.00
2021-09-30,5,-1.00,-0.19,2,2.00,3,-3.00
2021-10-01,3,3.00,1.00,3,3.00,0,0.00
2021-10-07,2,2.00,1.00,2,2.00,0,0.00
2021-10-08,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-09,3,1.00,0.23,2,2.00,1,-1.00
2021-10-11,1,1.00,1.00,1,1.00,0,0.00
2021-10-12,4,2.00,0.56,3,3.00,1,-1.00
2021-10-13,6,-2.00,-0.43,2,2.00,4,-4.00
2021-10-14,2,0.00,-0.13,1,1.00,1,-1.00
2021-10-15,2,0.00,0.14,1,1.00,1,-1.00
2021-10-16,1,1.00,1.00,1,1.00,0,0.00
2021-10-17,2,2.00,1.00,2,2.00,0,0.00
2021-10-19,2,2.00,1.00,2,2.00,0,0.00
2021-10-20,2,2.00,1.00,2,2.00,0,0.00
2021-10-21,3,1.00,0.77,2,2.00,1,-1.00
2021-10-22,3,3.00,1.00,3,3.00,0,0.00
2021-10-23,2,2.00,1.00,2,2.00,0,0.00
2021-10-24,4,2.00,0.42,3,3.00,1,-1.00
2021-10-25,4,-2.00,-0.38,1,1.00,3,-3.00
2021-10-26,5,3.00,0.72,4,4.00,1,-1.00
2021-10-27,7,3.00,0.58,5,5.00,2,-2.00
2021-10-28,4,4.00,1.00,4,4.00,0,0.00
2021-10-29,9,7.00,0.84,8,8.00,1,-1.00
2021-10-30,3,1.00,0.33,2,2.00,1,-1.00
2021-10-31,2,2.00,1.00,2,2.00,0,0.00
2021-11-01,18,6.00,0.50,12,12.00,6,-6.00
2021-11-02,15,-1.00,-0.04,7,7.00,8,-8.00
2021-11-03,11,-1.00,-0.19,5,5.00,6,-6.00
2021-11-04,7,3.00,0.45,5,5.00,2,-2.00
2021-11-05,5,3.00,0.63,4,4.00,1,-1.00
2021-11-06,2,2.00,1.00,2,2.00,0,0.00
2021-11-07,2,2.00,1.00,2,2.00,0,0.00
2021-11-08,3,1.00,0.13,2,2.00,1,-1.00
2021-11-09,2,2.00,1.00,2,2.00,0,0.00
2021-11-10,2,2.00,1.00,2,2.00,0,0.00
2021-11-11,5,-1.00,-0.24,2,2.00,3,-3.00
2021-11-12,5,1.00,0.04,3,3.00,2,-2.00
2021-11-13,2,2.00,1.00,2,2.00,0,0.00
2021-11-14,3,3.00,1.00,3,3.00,0,0.00
2021-11-15,1,1.00,1.00,1,1.00,0,0.00
2021-11-16,3,1.00,0.28,2,2.00,1,-1.00
2021-11-17,4,0.00,-0.21,2,2.00,2,-2.00
2021-11-18,10,2.00,0.13,6,6.00,4,-4.00
2021-11-19,3,3.00,1.00,3,3.00,0,0.00
2021-11-20,3,1.00,0.26,2,2.00,1,-1.00
2021-11-21,2,2.00,1.00,2,2.00,0,0.00
2021-11-22,11,1.00,0.26,6,6.00,5,-5.00
2021-11-23,4,4.00,1.00,4,4.00,0,0.00
2021-11-24,6,0.00,-0.44,3,3.00,3,-3.00
2021-11-25,7,1.00,0.13,4,4.00,3,-3.00
2021-11-26,2,0.00,0.14,1,1.00,1,-1.00
2021-11-27,2,2.00,1.00,2,2.00,0,0.00
2021-11-28,3,1.00,0.44,2,2.00,1,-1.00
2021-11-29,4,0.00,0.06,2,2.00,2,-2.00
2021-11-30,7,1.00,0.22,4,4.00,3,-3.00
2021-12-01,6,4.00,0.75,5,5.00,1,-1.00
2021-12-02,6,-2.00,-0.40,2,2.00,4,-4.00
2021-12-03,7,5.00,0.67,6,6.00,1,-1.00
2021-12-04,2,2.00,1.00,2,2.00,0,0.00
2021-12-05,3,3.00,1.00,3,3.00,0,0.00
2021-12-07,8,4.00,0.38,6,6.00,2,-2.00
2021-12-08,4,0.00,-0.01,2,2.00,2,-2.00
2021-12-09,8,4.00,0.36,6,6.00,2,-2.00
2021-12-10,3,1.00,0.15,2,2.00,1,-1.00
2021-12-11,2,2.00,1.00,2,2.00,0,0.00
2021-12-12,2,2.00,1.00,2,2.00,0,0.00
2021-12-13,8,-2.00,-0.29,3,3.00,5,-5.00
2021-12-14,7,3.00,0.33,5,5.00,2,-2.00
2021-12-15,3,3.00,1.00,3,3.00,0,0.00
2021-12-16,12,2.00,0.18,7,7.00,5,-5.00
2021-12-17,12,2.00,0.12,7,7.00,5,-5.00
2021-12-18,2,0.00,0.04,1,1.00,1,-1.00
2021-12-19,4,4.00,1.00,4,4.00,0,0.00
2021-12-20,3,3.00,1.00,3,3.00,0,0.00
2021-12-21,6,4.00,0.50,5,5.00,1,-1.00
2021-12-22,4,2.00,0.20,3,3.00,1,-1.00
2021-12-23,4,0.00,-0.42,2,2.00,2,-2.00
2021-12-24,4,4.00,1.00,4,4.00,0,0.00
2021-12-26,3,3.00,1.00,3,3.00,0,0.00
2021-12-27,1,1.00,1.00,1,1.00,0,0.00
2021-12-28,9,7.00,0.84,8,8.00,1,-1.00
2021-12-29,11,-1.00,-0.24,5,5.00,6,-6.00
2021-12-30,10,6.00,0.54,8,8.00,2,-2.00
2021-12-31,9,3.00,0.09,6,6.00,3,-3.00
2022-01-01,3,1.00,0.38,2,2.00,1,-1.00
2022-01-03,3,3.00,1.00,3,3.00,0,0.00
2022-01-04,3,1.00,0.71,2,2.00,1,-1.00
2022-01-05,8,6.00,0.89,7,7.00,1,-1.00
2022-01-06,9,5.00,0.53,7,7.00,2,-2.00
2022-01-07,11,3.00,0.33,7,7.00,4,-4.00
2022-01-08,4,2.00,0.58,3,3.00,1,-1.00
2022-01-09,2,2.00,1.00,2,2.00,0,0.00
2022-01-10,2,-2.00,-1.00,0,0.00,2,-2.00
2022-01-11,6,4.00,0.72,5,5.00,1,-1.00
2022-01-12,7,1.00,0.33,4,4.00,3,-3.00
2022-01-13,9,1.00,0.19,5,5.00,4,-4.00
2022-01-14,7,3.00,0.40,5,5.00,2,-2.00
2022-01-15,3,3.00,1.00,3,3.00,0,0.00
2022-01-16,3,1.00,0.32,2,2.00,1,-1.00
2022-01-17,4,2.00,0.46,3,3.00,1,-1.00
2022-01-18,6,-2.00,-0.46,2,2.00,4,-4.00
2022-01-19,6,-2.00,-0.43,2,2.00,4,-4.00
2022-01-20,13,3.00,0.24,8,8.00,5,-5.00
2022-01-21,5,5.00,1.00,5,5.00,0,0.00
2022-01-22,3,1.00,0.19,2,2.00,1,-1.00
2022-01-23,2,2.00,1.00,2,2.00,0,0.00
2022-01-24,4,-4.00,-1.00,0,0.00,4,-4.00
2022-01-25,10,8.00,0.79,9,9.00,1,-1.00
2022-01-26,5,1.00,0.05,3,3.00,2,-2.00
2022-01-27,4,2.00,0.40,3,3.00,1,-1.00
2022-01-28,10,2.00,0.18,6,6.00,4,-4.00
2022-01-29,3,1.00,0.37,2,2.00,1,-1.00
2022-02-02,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-07,7,1.00,0.28,4,4.00,3,-3.00
2022-02-08,4,2.00,0.56,3,3.00,1,-1.00
2022-02-09,4,2.00,0.56,3,3.00,1,-1.00
2022-02-10,26,10.00,0.45,18,18.00,8,-8.00
2022-02-11,37,3.00,0.17,20,20.00,17,-17.00
2022-02-12,4,4.00,1.00,4,4.00,0,0.00
2022-02-13,13,5.00,0.34,9,9.00,4,-4.00
2022-02-14,13,3.00,0.50,8,8.00,5,-5.00
2022-02-15,13,3.00,0.25,8,8.00,5,-5.00
2022-02-16,8,6.00,0.79,7,7.00,1,-1.00
2022-02-17,14,4.00,0.26,9,9.00,5,-5.00
2022-02-18,6,2.00,0.37,4,4.00,2,-2.00
2022-02-19,3,1.00,0.45,2,2.00,1,-1.00
2022-02-20,2,2.00,1.00,2,2.00,0,0.00
2022-02-21,4,2.00,0.54,3,3.00,1,-1.00
2022-02-22,6,4.00,0.76,5,5.00,1,-1.00
2022-02-23,7,5.00,0.81,6,6.00,1,-1.00
2022-02-24,8,4.00,0.39,6,6.00,2,-2.00
2022-02-25,7,7.00,1.00,7,7.00,0,0.00
2022-02-26,2,2.00,1.00,2,2.00,0,0.00
2022-02-27,4,4.00,1.00,4,4.00,0,0.00
2022-02-28,2,2.00,1.00,2,2.00,0,0.00
2022-03-01,4,4.00,1.00,4,4.00,0,0.00
2022-03-02,3,1.00,-0.07,2,2.00,1,-1.00
2022-03-03,4,2.00,0.43,3,3.00,1,-1.00
2022-03-04,7,7.00,1.00,7,7.00,0,0.00
2022-03-05,2,2.00,1.00,2,2.00,0,0.00
2022-03-06,3,1.00,0.39,2,2.00,1,-1.00
2022-03-07,1,1.00,1.00,1,1.00,0,0.00
2022-03-08,6,2.00,0.46,4,4.00,2,-2.00
2022-03-09,9,7.00,0.73,8,8.00,1,-1.00
2022-03-10,11,7.00,0.58,9,9.00,2,-2.00
2022-03-11,4,4.00,1.00,4,4.00,0,0.00
2022-03-12,1,1.00,1.00,1,1.00,0,0.00
2022-03-13,3,3.00,1.00,3,3.00,0,0.00
2022-03-14,2,2.00,1.00,2,2.00,0,0.00
2022-03-15,7,1.00,0.11,4,4.00,3,-3.00
2022-03-16,9,-1.00,-0.02,4,4.00,5,-5.00
2022-03-17,8,2.00,0.13,5,5.00,3,-3.00
2022-03-18,4,2.00,0.20,3,3.00,1,-1.00
2022-03-19,2,2.00,1.00,2,2.00,0,0.00
2022-03-20,2,2.00,1.00,2,2.00,0,0.00
2022-03-21,2,-2.00,-1.00,0,0.00,2,-2.00
2022-03-22,4,0.00,-0.29,2,2.00,2,-2.00
2022-03-23,6,4.00,0.61,5,5.00,1,-1.00
2022-03-24,7,5.00,0.62,6,6.00,1,-1.00
2022-03-25,8,2.00,0.14,5,5.00,3,-3.00
2022-03-26,3,3.00,1.00,3,3.00,0,0.00
2022-03-27,4,2.00,0.42,3,3.00,1,-1.00
2022-03-28,3,-1.00,-0.32,1,1.00,2,-2.00
2022-03-29,3,3.00,1.00,3,3.00,0,0.00
2022-03-30,7,-1.00,-0.31,3,3.00,4,-4.00
2022-03-31,5,3.00,0.60,4,4.00,1,-1.00
2022-04-01,11,1.00,0.25,6,6.00,5,-5.00
2022-04-02,2,2.00,1.00,2,2.00,0,0.00
2022-04-05,2,2.00,1.00,2,2.00,0,0.00
2022-04-06,6,0.00,0.31,3,3.00,3,-3.00
2022-04-07,3,3.00,1.00,3,3.00,0,0.00
2022-04-08,9,3.00,0.23,6,6.00,3,-3.00
2022-04-09,2,2.00,1.00,2,2.00,0,0.00
2022-04-10,1,1.00,1.00,1,1.00,0,0.00
2022-04-11,9,5.00,0.48,7,7.00,2,-2.00
2022-04-12,6,4.00,0.55,5,5.00,1,-1.00
