time,no,review,score,read_volume,label
2022/6/30,4,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '智慧', '芽', '知识产权', '数据库']",7.0,399,1
2022/6/29,14,"['真特', '么', '到家', '了', '哇']",7.0,409,1
2022/6/27,33,"['主力', '拉升', '是', '错', '的', '，', '60', '分钟', '90', '分钟', '120', '分钟', '大盘', '顶背离', '。', '错']",8.0,471,1
2022/6/22,62,"['这里', '许多股', '友', '自己', '不买', '。', '劝別', '人', '买', '。', '真正', '的', '多头', '一声不吭']",5.0,256,1
2022/6/16,88,"['时代', '出版', '连涨', '十几日', '，', '今天', '无量', '板', '，', '我', '认为', '小庄', '只要', '愿意']",8.0,447,1
2022/6/16,89,"['横盘', '整理', '一个月', '，', '上方', '套劳', '以经', '洗清', '，', '没有', '耐心', '短线', '散户']",-5.0,369,-1
2022/6/16,94,"['国企', '没', '主力', '炒作', '，', '民企', '教育', '股', '全线', '涨停']",-7.0,534,-1
2022/6/15,101,"['中国', '科传', '涨停', '就', '会', '突破', '年线', '，', '会否', '是', '第二个', '中成', '股份', '？']",8.0,384,1
2022/6/15,103,"['中国', '科传', '买少', '了', '，', '图形', '完美', '调整', '刚好', '21', '天', '，', '明天', '极', '可能', '涨']",12.0,323,1
2022/6/15,107,"['中国', '科传', '不起', '则', '已', '，', '一鸣惊人', '。']",6.0,214,1
2022/6/15,108,"['中国', '科传', '在', '光大', '证券', '的', '影响', '下', '，', '会', '大涨', '的']",7.0,204,1
2022/6/15,111,"['底部', '出现', '涨停', '后', '，', '在', '极', '短期内', '又', '两次', '刷新', '涨停', '价会', '极大的']",5.0,639,1
2022/6/14,122,"['跌', '起来', '倒', '挺快']",6.0,223,1
2022/6/14,123,"['再说', '一遍', '此股', '八元', '以下', '黄金', '坑']",5.0,539,1
2022/6/14,124,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '恶意', '做空']",-8.0,456,-1
2022/6/12,132,"['有', '个别人', '不自量力', '，', '自以为是', '，', '不', '知道', '山外', '有山', '。', '我巴', '不']",-12.0,407,-1
2022/6/11,142,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '调出', '沪', '股通', '[', '奸笑', ']', '[', '奸笑', ']', '你们', '看垃']",-14.0,658,-1
2022/6/10,148,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '丢人', '显眼']",-7.0,284,-1
2022/6/10,159,"['全国', '教科书', '由', '中国', '科传', '出版', '，', '不仅', '是', '业绩', '暴增', '，', '更', '重要', '的']",8.0,780,1
2022/6/8,195,"['文化', '数字化', '一分', '不涨', '，', '主力', '脑袋', '有']",7.0,299,1
2022/6/7,203,"['眀', '天', '8.01', '买', '。', '我', '要买', '很多', '。', '主力', '知道', '了', '估计', '一', '开盘', '涨停', '。']",9.0,468,1
2022/6/6,207,"['响当当', '的', '央企', '，', '还', '不如', '一个', '*', 'st', '天龙', '，', '采访', '一下', '，', '怎么', '想']",7.5,522,1
2022/6/6,208,"['我', '正在', '等待', '主力', '杀跌']",6.0,338,1
2022/6/2,221,"['回调', '就是', '买点', '，', '爆发', '就', '在', '一瞬间', '，', '翻倍']",-7.0,462,-1
2022/6/1,228,"['中国', '科传', '下午', '有', '涨停', '潜力']",6.0,268,1
2022/6/1,231,"['中科院', '的', '股票', '都动', '起来', '了', '，', '你', '在', '等', '啥', '？']",7.0,557,1
2022/6/1,233,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '今天', '可能', '会', '形成', '三只', '乌鸦', '，', '难看', '了']",-5.0,447,-1
2022/5/31,243,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '收盘价', '8.18', '大吉大利', '，', '且', '站上', '前期']",7.0,371,1
2022/5/31,249,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '可惜', '的', '主力', '走成', '这样']",7.0,328,1
2022/5/31,250,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '的', '主力', '把', '股', '走成', '这样']",7.0,339,1
2022/5/30,263,"['能', '横', '的', '住', '有望', '向上', '突破', '，', '横', '不住', '的话', '还', '得', '回破', '7.56', '！']",10.0,480,1
2022/5/30,282,"['中国', '科传', '有', '成为', '大牛股', '的', '潜力']",5.0,387,1
2022/5/30,283,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '多', '好的', '上行', '机会', '，', '风口', '，', '板块', '还行']",5.0,286,1
2022/5/30,290,"['本来', '很好', '一只', '股', '，', '来', '了', '这么', '多', '别有用心', '的', '人']",-14.0,507,-1
2022/5/29,302,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '到处', '发帖', '，', '散户', '朋友', '们', '小心', '有诈', '，']",9.0,563,1
2022/5/29,314,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '中国科学院', '权威']",5.0,371,1
2022/5/29,318,"['主力', '高度', '控盘', '了']",7.0,332,1
2022/5/29,320,"['支持', '多种', '方式', '优化', '上市公司', '平台', '布局', '，', '利好', '中国', '科传']",7.0,418,1
2022/5/28,323,"['文化', '数字化', '潜力', '龙头股']",5.0,243,1
2022/5/28,330,"['中国', '科传', '推进', '文化', '数字化', '基础设施', '建设', '的', '保障', '措施', '和', '优惠']",19.0,275,1
2022/5/28,331,"['中国', '科传', '构建', '与', '文化', '数字化', '建设', '相适应', '的', '市场准入', '、', '市场']",5.0,252,1
2022/5/28,332,"['文化', '数字化', '扩宽', '了', '文化产业', '市场', '空间', '与', '消费', '场景', '，', '但', '保障']",7.0,214,1
2022/5/28,333,"['央企', '控股', '上市公司', '要', '增进', '市场', '认同', '和', '价值', '实现', '这一', '提法', '被']",9.0,233,1
2022/5/28,335,"['“', '做强', '做优', '一批', '、', '调整', '盘活', '一批', '、', '培育', '储备', '一批', '。', '”', '这是']",10.0,314,1
2022/5/28,339,"['推进', '文化', '数字化', '基础设施', '建设', '的', '保障', '措施', '和', '优惠政策', '，', '将']",19.0,401,1
2022/5/28,340,"['明确', '要', '构建', '与', '文化', '数字化', '建设', '相适应', '的', '市场准入', '、', '市场', '秩']",6.0,295,1
2022/5/28,341,"['中国', '科传', '文化', '数字化', '的', '建设', '，', '推动', '文化', '存量', '资源', '转化', '为生']",6.0,302,1
2022/5/28,343,"['为', '打通', '推进', '实施', '国家', '文化', '数字化', '战略', '堵点', '提供', '了', '分类', '施策']",8.0,250,1
2022/5/28,349,"['近日', '，', '中共中央办公厅', '、', '国务院办公厅', '印发', '《', '关于', '推进', '实']",7.0,708,1
2022/5/28,357,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '周末', '发酵', '起来', '！', '央企', '改革', '叠加', '教育']",10.0,594,1
2022/5/27,366,"['中国', '科传', '5', '月', '27', '日', '快速', '上涨']",6.0,291,1
2022/5/27,367,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '股东大会', '红', '不了', '盘', '，', '丢人']",-7.0,247,-1
2022/5/26,373,"['今天', '股市', '大跌', '，', '有', '朋友', '问', '股票', '情况', '如何', '？', '股友答', '：', '“', '别提']",13.0,251,1
2022/5/26,377,"['甲', '：', '最近', '股市', '跌得', '心里', '烦', '，', '睡眠', '质量', '严重', '下降', '！', '你', '怎么样']",-5.0,198,-1
2022/5/26,379,"['甲', '：', '最近', '股市', '跌得', '心里', '烦', '，', '睡眠', '质量', '严重', '下降', '！', '你', '怎么样']",-5.0,407,-1
2022/5/26,382,"['喜欢', '短线', '的', '可', '看看', '这个', '，', '纯玩']",5.0,227,1
2022/5/26,384,"['甲', '：', '最近', '股市', '跌得', '心里', '烦', '，', '睡眠', '质量', '严重', '下降', '！', '你', '怎么样']",-5.0,218,-1
2022/5/26,389,"['朋友', '说', '：', '知道', '为什么', '股市', '跌', '不', '下去', '吗', '？', '因为', '上半年', '的', '新股']",8.0,423,1
2022/5/26,391,"['股票', '的', '实质', '就是', '：', '虚构', '一个', '不劳而获', '的', '人', '，', '去', '忽悠', '一群', '想']",-15.0,238,-1
2022/5/26,395,"['大家', '都', '知道', '两点', '半', '会涨', '了', '，', '然后', '主力', '开始', '两点', '半', '出货', '，', '准']",8.0,209,1
2022/5/25,402,"['长阳', '不破', '，', '后市', '涨', '，', '看', '能否', '快速', '收复', '8.5', '的', '失地', '。']",7.0,290,1
2022/5/23,420,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '过于', '正宗', '，', '所以', '主力', '不', '搞']",10.0,295,1
2022/5/21,433,"['酝酿', '美人', '肩', '形态', '，', '准备', '再次', '建仓']",5.0,261,1
2022/5/19,442,"['一个', '涨停', '跌', '三天', '也', '没', '跌', '多少', '，', '就是', '太', '恶心']",-9.0,285,-1
2022/5/18,448,"['稳定性', '选手', '，', '比肩', '银行', '理财']",10.0,330,1
2022/5/18,450,"['下午', '突破', '9.18', '，', '大家', '拭目以待']",8.0,423,1
2022/5/17,463,"['看', '筹码', '结构', '，', '今天', '早上', '是', '主力', '砸', '的']",7.0,415,1
2022/5/17,465,"['主力', '货出', '完', '了', '？']",7.0,494,1
2022/5/16,478,"['出来', '的', '资金', '买入', '，', '中储', '股份', '[', '俏皮', ']', '[', '俏皮', ']', '[', '俏皮', ']', '[', '俏皮', ']', '[']",20.0,528,1
2022/5/16,481,"['解套', '了', '，', '开心']",6.0,591,1
2022/5/16,494,"['中国', '科传', '5', '月', '16', '日', '快速', '上涨']",6.0,326,1
2022/5/10,526,"['新华', '传媒', '，', '低', '起来', '10', '个点', '了', '，', '一季', '亏损', '，', '好坏', '你', '业绩', '还', '不']",6.0,645,1
2022/5/10,528,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '这票', '没人', '关注', '，', '没脸', '量', '，', '又', '是', '虚度']",-10.0,309,-1
2022/4/29,551,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '主力', '磨磨', '唧唧', '，', '太', '垃圾']",5.0,465,1
2022/4/29,561,"['做', 'T', '让', '主力', '大哥', '不爽', '了', '，', '压大单', '不让', '动', '。', '如果', '你', '给', '股价', '一']",6.0,675,1
2022/4/28,562,"['业绩', '下滑', '不及', '预期', '明天', '补跌', '跌停']",-8.0,447,-1
2022/4/28,574,"['中国', '科传', '：', '2021', '年', '净利润', '同比', '增长', '4.53%']",7.0,686,1
2022/4/28,577,"['【', '图解', '年报', '】', '中国', '科传', '：', '2021', '年', '归母', '净利润', '小幅', '增长', '4.5%']",7.0,251,1
2022/4/27,579,"['中国', '科传', '2021', '年', '归属', '净利润', '同比', '增长', '4.53%']",7.0,291,1
2022/4/27,619,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '回光反照', '，', '改天', '在', '跌']",-6.0,401,-1
2022/4/27,621,"['想', '当时', '12', '元', '满仓', '，', '割肉', '跑', '了', '，', '感觉', '很', '明智']",9.0,492,1
2022/4/25,641,"['6', '元', '8', '角', '等', '着', '你', '8', '元', '下放', '什么', '都', '不怕']",5.0,465,1
2022/4/21,656,"['7.65', '牢不可破', '，', '怕', '个', '球']",5.0,378,1
2022/4/20,670,"['哈哈哈', '，', '谁', '是', '狗熊', '？']",-7.0,256,-1
2022/4/15,705,"['最好', '明天', '再', '踩', '回去', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']']",9.0,569,1
2022/4/15,709,"['主力', '蛮', '听话', '的', '，', '踩', '回去', '了', '，', '你', '敢', '买', '吗', '？', '[', '大笑', ']', '[', '大笑', ']', '[', '大']",7.0,401,1
2022/4/14,712,"['最好', '明天', '再', '踩', '回去', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']']",9.0,247,1
2022/4/14,713,"['哈哈', '，', '哈哈']",14.0,360,1
2022/4/13,717,"['坚定', '持有', '持股', '必', '妖', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']']",5.0,505,1
2022/4/13,719,"['坚定', '持有', '持股', '必', '妖', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']']",5.0,356,1
2022/4/11,730,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '上午', '出局', '漂亮', '。', '散户', '大幅', '增加', '。', '大']",6.0,494,1
2022/4/11,732,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '这', '里面', '的', '大户', '也', '开始', '疯狂', '出逃', '[', '韭']",-10.0,267,-1
2022/4/11,734,"['有', '妖', '的', '气质', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']', '[', '大']",5.0,284,1
2022/4/8,747,"['大多数', '股票', '都', '是', '大户', '赚', '盒饭', '钱', '。', '散户', '百分之九十九', '的', '炮灰']",-5.0,528,-1
2022/3/31,756,"['没有', '量', '什么', '都', '不行', '。']",7.0,713,1
2022/4/6,763,"['大户', '操盘', '实力', '不足', '，', '跟风', '割', '韭菜']",-5.0,341,-1
2022/4/6,764,"['跟风', '拉升', '，', '量', '能', '不足']",-5.0,306,-1
2022/4/1,770,"['这里', '可以', '看', '出来', '没有', '机构', '，', '只能靠', '游资', '搞', '偷袭', '了', '[', '韭菜', ']', '[']",7.0,355,1
2022/3/30,782,"['大盘', '涨', '这么', '多', '你', '却', '无动于衷']",-8.0,626,-1
2022/3/28,789,"['跌破', '8.50', '赶紧', '跑', '。', '。', '8', '元', '是', '强压']",-6.0,651,-1
2022/3/25,802,"['拉', '涨停', '的', '勇气', '那里', '去', '了', '，']",6.0,715,1
2022/3/25,804,"['继续', '开始', '浪费', '交易', '时间', '了']",-7.0,834,-1
2022/3/24,808,"['潜力', '牛', '，', '回', '踩', '重仓']",5.0,594,1
2022/3/23,817,"['突破', '年线', '，', '再', '考虑']",7.0,628,1
