time,no,review,score,read_volume,label
2022/6/30,1,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '太差', '了']",-1.0,449,-1
2022/6/30,2,"['底部', '稀缺', '票', '你们', '满', '市场', '找', '找', '！', '还有', '几个', '？', '这个', '算不算', '一个']",1.0,973,1
2022/6/30,3,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '哪', '朵花', '没有', '香', '，', '哪颗', '星', '没有', '光', '？', '哪']",0.0,458,0
2022/6/30,4,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '智慧', '芽', '知识产权', '数据库']",7.0,399,1
2022/6/30,5,"['30', '分钟', 'MACD', '即将', '翻红', '，', '两根', '黑棒', '打压', '。', '继续', '翻绿', '。', '希望', '这']",0.0,514,0
2022/6/30,6,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '明天', '大跌', '的', '一天']",-1.0,491,-1
2022/6/30,7,"['再谈', '技术', '。', '等', '来', '了', '30', '分钟', 'MACD', '死叉', '。']",-1.0,393,-1
2022/6/30,8,"['成交', '金额']",0.0,406,0
2022/6/30,9,"['中国', '科传', '：', '融资', '净', '偿还', '196.51', '万元', '，', '融资', '余额', '8712.44', '万']",-1.0,321,-1
2022/6/30,10,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '本来', '想', '借', '分红', '利好', '出货', '，', '无奈', '没有']",1.0,385,1
2022/6/29,11,"['中国', '科传', '2021', '年度', '10', '派', '2.54', '元']",0.0,1078,0
2022/6/29,12,"['大盘', '涨', '的', '时候', '它', '就是', '一坨', '，', '大盘', '跌得', '时候', '就', '跟', '孙子', '一样', '！']",1.0,394,1
2022/6/29,13,"['跌', '，', '奥力', '给', '。', '涨', '软蛋', '怂']",-1.0,302,-1
2022/6/29,14,"['真特', '么', '到家', '了', '哇']",7.0,409,1
2022/6/29,15,"['[', '图片', ']']",0.0,586,0
2022/6/29,16,"['中国', '科传', '：', '融资', '净', '买入', '81.85', '万元', '，', '融资', '余额', '8911.21', '万元']",0.0,324,0
2022/6/29,17,"['我', '之前', '所在', '的', '公司', '最近', '股价', '翻倍', '，', '现在', '15', '块', '多', '，', '用', '我', '的', '标']",1.0,579,1
2022/6/28,18,"['我', '从', '18', '年', '3', '月', '开始', '配置', '科传', '，', '18', '年', '—', '20', '年', '比较', '好', '操作', '，', '近']",0.0,404,0
2022/6/28,19,"['中信', '出版社', '人类', '简史', '漫画版', '让', '董宇辉', '直播', '卖书', '。', '什么', '时候']",0.0,328,0
2022/6/28,20,"['只是', '最新', '信息', '不', '代表', '会', '对', '市场', '影响', '。']",3.0,317,1
2022/6/28,21,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '就', '这', '就', '这', '？']",0.0,383,0
2022/6/28,22,"['如果', '一根', '长', '阴跌', '到', '7', '点', '5', '元', '。', '技术', '图形', '还', '漂亮', '吗']",2.0,452,1
2022/6/28,23,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '杭叉', '卖出', '，', '换股']",0.0,406,0
2022/6/28,24,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '这点', '成交量', '可悲', '啊']",-1.0,482,-1
2022/6/28,25,"['漂亮', '。', '吹捧', '科传', '新名词', '。', '第一次', '听说', '。', '是', '我', '孤陋寡闻', '还是']",-2.0,488,-1
2022/6/28,26,"['7.88', '元', '清仓', '，', '大盘', '60', '分钟', '90', '分钟', '120', '分钟', '顶背离', '。', '7.88', '元']",-1.0,466,-1
2022/6/28,27,"['601858', ':', '中国', '科技', '出版', '传媒', '股份', '有限公司', '2021', '年', '年度', '权益']",0.0,918,0
2022/6/28,28,"['中国', '科传', '：', '融资', '净', '偿还', '292.51', '万元', '，', '融资', '余额', '8829.36', '万']",-1.0,308,-1
2022/6/28,29,"['对', '所有', '持有者', '说', '。', '主力庄家', '不在意', '股价', '低不低', '，', '在意', '你们']",-1.0,979,-1
2022/6/27,30,"['垃圾', '就是', '垃圾', '，', '扶不上', '墙']",-2.0,332,-1
2022/6/27,31,"['技术', '提示', '下跌', '。', '静待', '花开']",-1.0,394,-1
2022/6/27,32,"['$', '中国', '科传', '(', 'SH601858', ')', '$', '卖出', '星帅尔', '，', '买入', '杭叉']",0.0,409,0
