id,time,review,read_volume
1,2022/6/30,$中海油服(SH601808)$等涨到18远,446
2,2022/6/30,12以下买500股，10以下买1000股，8以下买2000股，不能,880
3,2022/6/30,$中海油服(SH601808)$大盘都带不动你这个垃圾股,443
4,2022/6/30,$中海油服(SH601808)$马上起飞！,429
5,2022/6/30,大盘都带不动你这个,445
6,2022/6/30,中海油服06月29日被沪股通减持44.71万股,420
7,2022/6/30,中海油服：连续5日融资净买入累计953.05万元（06-29）,384
8,2022/6/29,7月份应该是今年最后的机会了，再起不来基本就明年去,422
9,2022/6/29,妥妥的觉得在出货了，后面估计不太好了,949
10,2022/6/29,这次又会到什么价掉下来？,708
11,2022/6/29,中海油服：连续4日融资净买入累计751.5万元（06-28）,386
12,2022/6/28,$中海油服(SH601808)$原油价突破110美元，这货也该表,419
13,2022/6/28,$中海油服(SH601808)$接下来扩产能，石油没有看起来那,376
14,2022/6/28,这每次都慢慢吞吞,530
15,2022/6/28,压力有这么大吗,443
16,2022/6/28,$中海油服(SH601808)$一堆均线强压着，涨个毛线！,361
17,2022/6/28,$中海油服(SH601808)$招商南油是大哥,399
18,2022/6/28,中海油服06月27日获沪股通增持180.18万股,385
19,2022/6/28,快，快，不吹牛，历史圆狐底黄金坑游资扫货。银座股份,991
20,2022/6/28,中海油服和海油发展有可能并购重组吗？,893
21,2022/6/28,中海油服：连续3日融资净买入累计684.61万元（06-27）,369
22,2022/6/28,石油石化行业获沪深股通净买入1.01亿元，最新持股市值,875
23,2022/6/27,$中海油服(SH601808)$明天涨停！立贴为证,1032
24,2022/6/27,$中海油服(SH601808)$明天能稳住出逃吗？,410
25,2022/6/27,鞋茅300979即将火箭发射，赶快上车！,815
26,2022/6/27,$中海油服(SH601808)$完了，在出货了！,410
27,2022/6/27,短线操作,497
28,2022/6/27,虚火,363
29,2022/6/27,$中海油服(SH601808)$大周期股，煤炭周期跑了多长时间,400
30,2022/6/27,$中海油服(SH601808)$明天开盘涨最少2个点,863
31,2022/6/27,$中海油服(SH601808)$今天要涨停了,950
32,2022/6/26,下午又得涨停！,590
33,2022/6/26,中海油服本周融资净买入471.47万元，居采掘行业板块第,569
34,2022/6/26,中海油服本周沪股通持股市值减少1167.15万元，居采掘,570
35,2022/6/25,中海油服06月24日被沪股通减持61.87万股,436
36,2022/6/25,中海油服：融资净买入327.39万元，融资余额1.41亿元（,398
37,2022/6/24,$中海油服(SH601808)$今年做了两回过山车了[哭],685
38,2022/6/24,$中海油服(SH601808)$不炒了不炒了,692
39,2022/6/24,$中海油服(SH601808)$废了，没三四个月上不去了,656
40,2022/6/24,$中海油服(SH601808)$猪一样的主力也得有猪一样的思维,480
41,2022/6/24,$中海油服(SH601808)$大盘涨，它却跌，头疼啊,406
42,2022/6/24,中海油服06月23日被沪股通减持102.18万股,380
43,2022/6/24,中海油服：融资净买入316.55万元，融资余额1.37亿元（,340
44,2022/6/23,尾盘买了个废单,443
45,2022/6/23,$中海油服(SH601808)$明天终于迎来涨停了,292
46,2022/6/23,$中海油服(SH601808)$为什么你不涨,652
47,2022/6/23,$中海油服(SH601808)$今天涨停了，大家最后抄底时间,504
48,2022/6/23,$中海油服(SH601808)$这票真不适合散户，散户还是换成,465
49,2022/6/23,$中海油服(SH601808)$想巧的人太多了。傻眼了吧,450
50,2022/6/23,$中海油服(SH601808)$中国海油领头能源大涨,334
51,2022/6/23,$中海油服(SH601808)$原油期货见顶了！,396
52,2022/6/23,601808:中海油服H股公告-2021年度企业年度报告书,722
53,2022/6/23,什么玩意儿,417
54,2022/6/23,企业是好企业，就是董事会不负责任！庄家是傀儡,427
55,2022/6/23,$中海油服(SH601808)$又得三个月才能上去了，唉,422
56,2022/6/23,中海油服06月22日被沪股通减持46.08万股,328
57,2022/6/23,中海油服：融资余额1.34亿元，创近一年新低（06-22）,367
58,2022/6/23,$中海油服(SH601808)$会砸个底部出来，有胆就换同条赛,404
59,2022/6/22,$中海油服(SH601808)$这货和原油期货关系大吗？,484
60,2022/6/22,原油大跌，估计要跌破13了,686
61,2022/6/22,垃圾玩意,394
62,2022/6/22,$中海油服(SH601808)$石油是一种资源，我们是大国，不,304
63,2022/6/22,分红的钱在哪里呢,596
64,2022/6/22,$中海油服(SH601808)$今天小试一下[坏笑][坏笑][坏笑],614
65,2022/6/22,$中海油服(SH601808)$股吧已经没几个人了，说明散户少,657
66,2022/6/22,$中海油服(SH601808)$这是什么臭股，太臭了！,453
67,2022/6/22,14买进是不是高位套牢了[哭][哭],1062
68,2022/6/22,中海油服06月21日被沪股通减持170.79万股,365
69,2022/6/22,中海油服：融资余额1.34亿元，创近一年新低（06-21）,365
70,2022/6/21,$中海油服(SH601808)$石油的行情没这么快能结束的。,678
71,2022/6/21,青海加快建设世界级盐湖产业基地，严重低估的中国盐湖,705
72,2022/6/21,$中海油服(SH601808)$抓紧涨起来，别磨磨唧唧的,411
73,2022/6/21,没有一点原则性，,430
74,2022/6/21,$中海油服(SH601808)$为什么不涨？了3060怎实现？？风,406
75,2022/6/21,今日涨停,278
76,2022/6/21,$中海油服(SH601808)$圆形顶,500
77,2022/6/20,$XD中海油(SH601808)$下周一瑟瑟发抖,955
78,2022/6/20,$XD中海油(SH601808)$原油成本大概40美金，按照50%利,975
79,2022/6/20,开盘低开高走。,1102
80,2022/6/20,谁能告诉我，为什么跌？,1056
81,2022/6/20,$中海油服(SH601808)$要回到12了吗…？,559
82,2022/6/20,$中海油服(SH601808)$今天上午忙着犹豫了一下被砸晕了,329
83,2022/6/20,中海油服06月13日获沪股通增持232.24万股,633
84,2022/6/20,$中海油服(SH601808)$油价仍然处于高价位一百多，为什,774
85,2022/6/20,$中海油服(SH601808)$这货应该有几个跌停,733
86,2022/6/20,$中海油服(SH601808)$都给老子跌停板埋伏！,341
87,2022/6/20,$中海油服(SH601808)$这货不跌停不心甘。,314
88,2022/6/20,中海油不会像当初的中石油吧,413
89,2022/6/20,涨好几天也不到一块，你一天就回到解放前，真牛,426
90,2022/6/20,$中海油服(SH601808)$垃圾垃圾,284
91,2022/6/20,中海油服6月20日盘中跌幅达5%,302
92,2022/6/20,$中海油服(SH601808)$嗯，前几天卖了，一直在等。虽然,413
93,2022/6/20,疯了,347
94,2022/6/20,$中海油服(SH601808)$不会跌停吧,582
95,2022/6/20,你咋地了？,376
96,2022/6/20,中海油服6月20日加速下跌,365
97,2022/6/19,回调皆是机会，大行情大周期$中远海控(SH601919)$$招,1194
98,2022/6/19,中海油服本周融资净偿还18.64万元，居采掘行业板块第,555
99,2022/6/19,中海油服本周沪股通持股市值增加1.25亿元，居采掘行业,1096
100,2022/6/19,油运的价格都没有起来，何谈股价见顶$招商南油(SH6019,688
101,2022/6/19,$XD中海油(SH601808)$油价暴跌了，但是我们散户一起坚,881
102,2022/6/18,中海油服：6月17日A股每股发放现金红利0.15元,1128
103,2022/6/18,$XD中海油(SH601808)$芭比Q了，跌停开盘。,830
104,2022/6/18,中海油服06月17日获沪股通增持69.44万股,414
105,2022/6/17,$XD中海油(SH601808)$港股中海油服H股放大量下跌，机,765
106,2022/6/17,$XD中海油(SH601808)$没觉得钱多啊？,571
107,2022/6/17,现在分红都这么抠搜的了,807
108,2022/6/17,居然改名了,540
109,2022/6/17,$XD中海油(SH601808)$除了想骂还是骂,273
110,2022/6/17,中海油服06月16日获沪股通增持397.09万股,375
111,2022/6/17,中海油服：融资净偿还566.1万元，融资余额1.43亿元（0,361
112,2022/6/16,$杰瑞股份(SZ002353)$$中海油服(SH601808)$$石化机械(,2724
113,2022/6/16,$中海油服(SH601808)$废了吗…？还是蹲一下再上？,467
114,2022/6/16,$中海油服(SH601808)$跌比中曼跌的多,423
115,2022/6/16,中海油服本周融资净偿还5067.71万元，居采掘行业板块,734
116,2022/6/16,$中海油服(SH601808)$这票废了，港股油服H股机构不计,298
117,2022/6/16,$中海油服(SH601808)$这得补跌吧,407
118,2022/6/16,中海油服：融资余额1.49亿元，创近一年新低（06-09）,666
119,2022/6/16,给我涨，尾盘来个奇迹,416
120,2022/6/16,$中海油服(SH601808)$涨起来,234
121,2022/6/16,这各杀跌也太假啦！！,603
122,2022/6/16,$中海油服(SH601808)$港股跌百分之十，必有大事？,315
123,2022/6/16,中海油服6月16日加速下跌,302
124,2022/6/16,$中海油服(SH601808)$涨不过中曼,232
125,2022/6/16,还昨天走了,365
126,2022/6/16,中海油服06月15日获沪股通增持18.95万股,337
127,2022/6/16,中海油服：融资净买入33.12万元，融资余额1.49亿元（0,301
128,2022/6/15,那些吹牛逼说涨20涨18的呢？出来说两句啊,771
129,2022/6/15,中海油服的融资余额一直都是少的可怜，是什么原因？哪,1075
130,2022/6/15,当心今晚原油跌停[发呆][发呆]赶紧跑[胜利][胜利][看,712
131,2022/6/15,垃圾,491
132,2022/6/15,$中海油服(SH601808)$还要跌几天，为什么不学学中曼石,260
133,2022/6/15,中海油服和大盘逆向而行，庄家你怎么能这样？,402
134,2022/6/15,$中海油服(SH601808)$中石油当仁不让！油服是要服了？,259
135,2022/6/15,中海油服：融资净买入636.43万元，融资余额1.48亿元（,366
136,2022/6/14,转发,425
137,2022/6/14,$中海油服(SH601808)$服不服？？？这还在大周期，不是,345
138,2022/6/14,$中海油服(SH601808)$原油下跌赶紧跑路,741
139,2022/6/14,$中海油服(SH601808)$好好涨吧,242
140,2022/6/14,$中海油服(SH601808)$特别分配10派1.3元什么意思。求,752
141,2022/6/14,垄断企业,327
142,2022/6/14,中海油服：融资余额1.42亿元，创近一年新低（06-13）,334
143,2022/6/14,601808:中海油服2021年年度权益分派实施公告,1575
144,2022/6/13,$中海油服(SH601808)$气人的,295
145,2022/6/12,中海油服2021年度10派0.2元,594
146,2022/6/12,601808:中海油服H股公告-董事名单与其角色和职能,697
147,2022/6/12,中海油服本周沪股通持股市值增加2.21亿元，居采掘行业,486
148,2022/6/11,$中海油服(SH601808)$应该回补一下14.13元的缺口,807
149,2022/6/11,关注中海油服，石化油服$中海油服(SH601808)$$石化油,1235
150,2022/6/11,中海油服06月10日获沪股通增持318.72万股,401
151,2022/6/11,中海油服：融资余额1.43亿元，创近一年新低（06-10）,399
152,2022/6/10,动了，,363
153,2022/6/10,营业额是中海油股几倍，市值却不到中海油股一半，牛B$,1559
154,2022/6/10,$中海油服(SH601808)$这种大周期股除非超级操作要不都,389
155,2022/6/10,所有相关板块都是红的，你这么压着真的好吗？,736
156,2022/6/10,$中海油服(SH601808)$这货死气腾腾的，受不了[怒][怒],369
157,2022/6/10,$中海油服(SH601808)$这货收盘会越来越低，大家准备好,355
158,2022/6/10,$中海油服(SH601808)$这货今天要破15元[怒][怒][怒],464
159,2022/6/10,$中海油服(SH601808)$快到前高了，出来避一避,374
160,2022/6/10,$中海油服(SH601808)$调整结束，外资真厉害,384
161,2022/6/10,$中海油服(SH601808)$今天2点半后在15.75不知道是谁卖,665
162,2022/6/9,明天3个点,332
163,2022/6/9,$中海油服(SH601808)$什么时候分红？,542
164,2022/6/9,石油板块，怎么出了你这个不争气的玩意,532
165,2022/6/9,宝塔买入了，昨天说的价格，中海油服买了点试试$宝塔,718
166,2022/6/9,卖早了，呜呜,475
167,2022/6/9,完了，上不去了，散了吧,620
168,2022/6/9,[图片],527
169,2022/6/9,$中海油服(SH601808)$景气周期，服不服？？？,375
170,2022/6/9,$中海油服(SH601808)$盘口红的吓人，早知道买几手了,1118
171,2022/6/9,中海油服06月08日获沪股通增持337.83万股,360
172,2022/6/9,中海油服：融资余额1.78亿元，创近一年新低（06-08）,323
173,2022/6/8,$中海油服(SH601808)$这几天都会涨的，我的软件都是自,381
174,2022/6/8,$中海油服(SH601808)$不知道上午主力吃够了没？上午获,622
175,2022/6/8,$中海油服(SH601808)$弱弱弱,342
176,2022/6/8,中海油服06月07日获沪股通增持259.71万股,527
177,2022/6/8,后劲不足啊，涨不上去,359
178,2022/6/8,$中海油服(SH601808)$走了，换开勒股份301070,350
179,2022/6/8,干就完了,464
180,2022/6/8,慢牛才是疯牛,328
181,2022/6/8,$中海油服(SH601808)$看样子慢慢上模,570
182,2022/6/8,中海油服：融资余额1.82亿元，创近一年新低（06-07）,324
183,2022/6/8,$中海油服(SH601808)$可以预期，8日，股价继续上扬。,458
