time,all_num_中海油服,all_dic_score,中海油服舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,5,5.00,1.00,5,5.00,0,0.00
2021-01-03,3,3.00,1.00,3,3.00,0,0.00
2021-01-04,8,4.00,0.59,6,6.00,2,-2.00
2021-01-05,17,7.00,0.50,12,12.00,5,-5.00
2021-01-06,36,12.00,0.32,24,24.00,12,-12.00
2021-01-07,40,14.00,0.50,27,27.00,13,-13.00
2021-01-08,23,9.00,-0.04,16,16.00,7,-7.00
2021-01-09,9,9.00,1.00,9,9.00,0,0.00
2021-01-10,5,3.00,0.61,4,4.00,1,-1.00
2021-01-11,22,8.00,0.51,15,15.00,7,-7.00
2021-01-12,14,10.00,0.79,12,12.00,2,-2.00
2021-01-13,52,26.00,-0.01,39,39.00,13,-13.00
2021-01-14,19,5.00,0.80,12,12.00,7,-7.00
2021-01-15,48,16.00,0.41,32,32.00,16,-16.00
2021-01-16,7,-1.00,0.09,3,3.00,4,-4.00
2021-01-17,4,4.00,1.00,4,4.00,0,0.00
2021-01-18,30,6.00,0.37,18,18.00,12,-12.00
2021-01-19,32,14.00,0.50,23,23.00,9,-9.00
2021-01-20,59,9.00,0.39,34,34.00,25,-25.00
2021-01-21,20,12.00,0.64,16,16.00,4,-4.00
2021-01-22,18,10.00,0.25,14,14.00,4,-4.00
2021-01-23,5,5.00,1.00,5,5.00,0,0.00
2021-01-24,6,2.00,0.33,4,4.00,2,-2.00
2021-01-25,9,7.00,0.86,8,8.00,1,-1.00
2021-01-26,19,11.00,0.68,15,15.00,4,-4.00
2021-01-27,18,6.00,0.67,12,12.00,6,-6.00
2021-01-28,9,7.00,0.95,8,8.00,1,-1.00
2021-01-29,19,3.00,0.28,11,11.00,8,-8.00
2021-01-30,6,6.00,1.00,6,6.00,0,0.00
2021-01-31,5,3.00,0.64,4,4.00,1,-1.00
2021-02-01,19,11.00,0.71,15,15.00,4,-4.00
2021-02-02,23,13.00,0.62,18,18.00,5,-5.00
2021-02-03,23,5.00,0.16,14,14.00,9,-9.00
2021-02-04,33,5.00,0.16,19,19.00,14,-14.00
2021-02-05,60,26.00,0.68,43,43.00,17,-17.00
2021-02-06,5,1.00,0.20,3,3.00,2,-2.00
2021-02-07,7,1.00,0.25,4,4.00,3,-3.00
2021-02-08,32,4.00,0.63,18,18.00,14,-14.00
2021-02-09,57,27.00,0.53,42,42.00,15,-15.00
2021-02-10,27,1.00,0.05,14,14.00,13,-13.00
2021-02-12,1,1.00,1.00,1,1.00,0,0.00
2021-02-13,2,0.00,-0.07,1,1.00,1,-1.00
2021-02-15,2,2.00,1.00,2,2.00,0,0.00
2021-02-16,2,-2.00,-1.00,0,0.00,2,-2.00
2021-02-17,6,4.00,0.71,5,5.00,1,-1.00
2021-02-18,40,6.00,-0.62,23,23.00,17,-17.00
2021-02-19,38,12.00,0.41,25,25.00,13,-13.00
2021-02-20,5,3.00,0.76,4,4.00,1,-1.00
2021-02-21,2,2.00,1.00,2,2.00,0,0.00
2021-02-22,31,7.00,0.28,19,19.00,12,-12.00
2021-02-23,33,9.00,0.42,21,21.00,12,-12.00
2021-02-24,48,14.00,0.19,31,31.00,17,-17.00
2021-02-25,63,15.00,0.55,39,39.00,24,-24.00
2021-02-26,52,14.00,-0.05,33,33.00,19,-19.00
2021-02-27,7,5.00,0.84,6,6.00,1,-1.00
2021-02-28,5,3.00,0.67,4,4.00,1,-1.00
2021-03-01,36,14.00,0.82,25,25.00,11,-11.00
2021-03-02,59,21.00,-0.06,40,40.00,19,-19.00
2021-03-03,28,8.00,0.92,18,18.00,10,-10.00
2021-03-04,70,2.00,0.87,36,36.00,34,-34.00
2021-03-05,51,-3.00,-0.01,24,24.00,27,-27.00
2021-03-06,10,0.00,0.23,5,5.00,5,-5.00
2021-03-07,5,3.00,0.67,4,4.00,1,-1.00
2021-03-08,42,12.00,0.92,27,27.00,15,-15.00
2021-03-09,43,7.00,-0.31,25,25.00,18,-18.00
2021-03-10,19,-1.00,0.69,9,9.00,10,-10.00
2021-03-11,23,9.00,0.48,16,16.00,7,-7.00
2021-03-12,21,11.00,0.89,16,16.00,5,-5.00
2021-03-13,4,4.00,1.00,4,4.00,0,0.00
2021-03-14,4,2.00,0.51,3,3.00,1,-1.00
2021-03-15,19,3.00,0.21,11,11.00,8,-8.00
2021-03-16,52,18.00,0.37,35,35.00,17,-17.00
2021-03-17,28,14.00,0.71,21,21.00,7,-7.00
2021-03-18,10,6.00,0.77,8,8.00,2,-2.00
2021-03-19,46,20.00,0.74,33,33.00,13,-13.00
2021-03-20,8,4.00,0.42,6,6.00,2,-2.00
2021-03-21,8,8.00,1.00,8,8.00,0,0.00
2021-03-22,13,3.00,0.27,8,8.00,5,-5.00
2021-03-23,19,15.00,0.87,17,17.00,2,-2.00
2021-03-24,73,29.00,0.48,51,51.00,22,-22.00
2021-03-25,31,13.00,0.67,22,22.00,9,-9.00
2021-03-26,8,8.00,1.00,8,8.00,0,0.00
2021-03-27,6,2.00,0.31,4,4.00,2,-2.00
2021-03-28,5,3.00,0.63,4,4.00,1,-1.00
2021-03-29,16,2.00,0.64,9,9.00,7,-7.00
2021-03-30,7,3.00,0.59,5,5.00,2,-2.00
2021-03-31,9,1.00,0.16,5,5.00,4,-4.00
2021-04-01,5,5.00,1.00,5,5.00,0,0.00
2021-04-02,19,13.00,0.74,16,16.00,3,-3.00
2021-04-03,2,2.00,1.00,2,2.00,0,0.00
2021-04-04,1,-1.00,-1.00,0,0.00,1,-1.00
2021-04-05,1,1.00,1.00,1,1.00,0,0.00
2021-04-06,11,1.00,0.21,6,6.00,5,-5.00
2021-04-07,12,4.00,0.11,8,8.00,4,-4.00
2021-04-08,25,7.00,0.49,16,16.00,9,-9.00
2021-04-09,17,-3.00,-0.06,7,7.00,10,-10.00
2021-04-10,5,1.00,0.32,3,3.00,2,-2.00
2021-04-11,2,-2.00,-1.00,0,0.00,2,-2.00
2021-04-12,10,2.00,0.47,6,6.00,4,-4.00
2021-04-13,17,5.00,0.32,11,11.00,6,-6.00
2021-04-14,13,3.00,0.28,8,8.00,5,-5.00
2021-04-15,19,5.00,0.59,12,12.00,7,-7.00
2021-04-16,20,6.00,0.43,13,13.00,7,-7.00
2021-04-17,2,2.00,1.00,2,2.00,0,0.00
2021-04-18,2,2.00,1.00,2,2.00,0,0.00
2021-04-19,6,-2.00,-0.45,2,2.00,4,-4.00
2021-04-20,10,4.00,0.92,7,7.00,3,-3.00
2021-04-21,21,9.00,0.64,15,15.00,6,-6.00
2021-04-22,12,0.00,0.24,6,6.00,6,-6.00
2021-04-23,15,-1.00,0.02,7,7.00,8,-8.00
2021-04-24,8,2.00,0.35,5,5.00,3,-3.00
2021-04-25,4,0.00,0.15,2,2.00,2,-2.00
2021-04-26,21,7.00,0.31,14,14.00,7,-7.00
2021-04-27,18,2.00,0.22,10,10.00,8,-8.00
2021-04-28,27,9.00,0.59,18,18.00,9,-9.00
2021-04-29,102,24.00,0.51,63,63.00,39,-39.00
2021-04-30,38,6.00,0.29,22,22.00,16,-16.00
2021-05-01,3,3.00,1.00,3,3.00,0,0.00
2021-05-02,2,2.00,1.00,2,2.00,0,0.00
2021-05-03,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-04,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-05,4,4.00,1.00,4,4.00,0,0.00
2021-05-06,10,8.00,0.83,9,9.00,1,-1.00
2021-05-07,13,7.00,0.64,10,10.00,3,-3.00
2021-05-08,6,2.00,0.33,4,4.00,2,-2.00
2021-05-09,3,3.00,1.00,3,3.00,0,0.00
2021-05-10,17,9.00,0.23,13,13.00,4,-4.00
2021-05-11,31,7.00,-0.51,19,19.00,12,-12.00
2021-05-12,21,9.00,0.50,15,15.00,6,-6.00
2021-05-13,29,9.00,0.49,19,19.00,10,-10.00
2021-05-14,12,4.00,0.35,8,8.00,4,-4.00
2021-05-15,3,3.00,1.00,3,3.00,0,0.00
2021-05-16,5,1.00,0.27,3,3.00,2,-2.00
2021-05-17,7,1.00,0.16,4,4.00,3,-3.00
2021-05-18,22,10.00,-0.45,16,16.00,6,-6.00
2021-05-19,28,14.00,0.60,21,21.00,7,-7.00
2021-05-20,33,13.00,0.54,23,23.00,10,-10.00
2021-05-21,21,3.00,0.14,12,12.00,9,-9.00
2021-05-22,4,4.00,1.00,4,4.00,0,0.00
2021-05-23,5,3.00,0.71,4,4.00,1,-1.00
2021-05-24,26,4.00,0.20,15,15.00,11,-11.00
2021-05-25,27,-7.00,-0.13,10,10.00,17,-17.00
2021-05-26,30,4.00,0.20,17,17.00,13,-13.00
2021-05-27,35,-1.00,0.06,17,17.00,18,-18.00
2021-05-28,41,5.00,0.19,23,23.00,18,-18.00
2021-05-29,8,0.00,0.26,4,4.00,4,-4.00
2021-05-30,7,5.00,0.80,6,6.00,1,-1.00
2021-05-31,45,9.00,0.36,27,27.00,18,-18.00
2021-06-01,43,21.00,0.55,32,32.00,11,-11.00
2021-06-02,46,14.00,0.39,30,30.00,16,-16.00
2021-06-03,37,7.00,0.28,22,22.00,15,-15.00
2021-06-04,18,12.00,0.63,15,15.00,3,-3.00
2021-06-05,9,7.00,0.60,8,8.00,1,-1.00
2021-06-06,3,3.00,1.00,3,3.00,0,0.00
2021-06-07,18,6.00,0.32,12,12.00,6,-6.00
2021-06-08,13,7.00,0.65,10,10.00,3,-3.00
2021-06-09,35,17.00,0.62,26,26.00,9,-9.00
2021-06-10,24,10.00,0.46,17,17.00,7,-7.00
2021-06-11,34,18.00,0.56,26,26.00,8,-8.00
2021-06-12,4,2.00,0.65,3,3.00,1,-1.00
2021-06-13,3,3.00,1.00,3,3.00,0,0.00
2021-06-14,6,4.00,0.60,5,5.00,1,-1.00
2021-06-15,24,2.00,0.27,13,13.00,11,-11.00
2021-06-16,41,17.00,0.40,29,29.00,12,-12.00
2021-06-17,19,5.00,0.26,12,12.00,7,-7.00
2021-06-18,49,3.00,0.07,26,26.00,23,-23.00
2021-06-19,9,7.00,0.88,8,8.00,1,-1.00
2021-06-20,8,8.00,1.00,8,8.00,0,0.00
2021-06-21,46,14.00,0.29,30,30.00,16,-16.00
2021-06-22,35,15.00,0.47,25,25.00,10,-10.00
2021-06-23,32,16.00,0.52,24,24.00,8,-8.00
2021-06-24,17,7.00,0.63,12,12.00,5,-5.00
2021-06-25,15,3.00,0.27,9,9.00,6,-6.00
2021-06-26,2,2.00,1.00,2,2.00,0,0.00
2021-06-27,5,5.00,1.00,5,5.00,0,0.00
2021-06-28,33,3.00,0.21,18,18.00,15,-15.00
2021-06-29,19,3.00,0.20,11,11.00,8,-8.00
