time,no,review,score,read_volume,label
2022/6/28,12,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '原', '油价', '突破', '110', '美元', '，', '这货', '也', '该表']",7.0,419,1
2022/6/28,16,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '一堆', '均线', '强压', '着', '，', '涨个', '毛线', '！']",-5.0,361,-1
2022/6/28,19,"['快', '，', '快', '，', '不', '吹牛', '，', '历史', '圆狐底', '黄金', '坑', '游资', '扫货', '。', '银座', '股份']",8.0,991,1
2022/6/24,40,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '猪', '一样', '的', '主力', '也', '得', '有', '猪', '一样', '的', '思维']",7.0,480,1
2022/6/23,51,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '原油期货', '见', '顶了', '！']",7.0,396,1
2022/6/23,55,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '又', '得', '三个', '月', '才能', '上去', '了', '，', '唉']",5.0,422,1
2022/6/20,77,"['$', 'XD', '中海油', '(', 'SH601808', ')', '$', '下周一', '瑟瑟', '发抖']",-6.0,955,-1
2022/6/20,89,"['涨好', '几天', '也', '不到', '一块', '，', '你', '一天', '就', '回到', '解放前', '，', '真牛']",7.0,426,1
2022/6/19,100,"['油运', '的', '价格', '都', '没有', '起来', '，', '何谈', '股价', '见', '顶', '$', '招商', '南油', '(', 'SH6019']",-7.0,688,-1
2022/6/17,107,"['现在', '分红', '都', '这么', '抠搜', '的', '了']",-5.0,807,-1
2022/6/16,119,"['给', '我', '涨', '，', '尾盘', '来个', '奇迹']",10.0,416,1
2022/6/14,141,"['垄断', '企业']",-5.0,327,-1
2022/6/10,153,"['营业额', '是', '中海油', '股', '几倍', '，', '市值', '却', '不到', '中海油', '股', '一半', '，', '牛B', '$']",7.0,1559,1
2022/6/9,165,"['宝塔', '买入', '了', '，', '昨天', '说', '的', '价格', '，', '中海油', '服买', '了', '点', '试试', '$', '宝塔']",6.0,718,1
2022/6/8,174,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '不', '知道', '上午', '主力', '吃够', '了', '没', '？', '上午', '获']",-7.0,622,-1
2022/6/7,187,"['真特', '么', '神', '了', '，', '挂', '15.50', '就是', '卖不掉', '，', '服了']",-5.0,700,-1
2022/6/6,198,"['坚定', '持有', '，', '锁仓']",5.0,357,1
2022/6/6,200,"['中海油', '服', '6', '月', '6', '日', '快速', '上涨']",6.0,368,1
2022/6/5,204,"['我国', '自主', '设计', '建造', '的', '首批', '智能', 'LNG', '动力', '守护', '船', '交付']",6.0,1492,1
2022/6/2,219,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '终于', '解套', '了', '，', '谢谢', '各位', '老乡', '鼎力', '支']",7.0,879,1
2022/5/31,240,"['我', '前不久', '发了', '一篇', '中海油', '的', '文章', '，', '写', '的', '比较', '详细', '。', '预测', '市']",5.0,1725,1
2022/5/31,257,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '17', '的', '时候', '都', '坚守', '者', '你', '，', '现在', '却', '在', '盼']",7.0,339,1
2022/5/31,258,"['还是', '小服', '的', '小', '碎步', '稳健']",5.0,341,1
2022/5/27,283,"['也', '有', '可能', '是', '出货', '啊', '，', '我', '猜', '的', '哈哈', '[', '微笑', ']', '[', '微笑', ']', '[', '微笑', ']']",7.0,622,1
2022/5/26,300,"['多方', '动能', '不足']",-5.0,614,-1
2022/5/25,316,"['突破', '25', '日线', '就要', '暴涨', '开始', '买入', '一个亿', '，', '翻倍', '行']",9.0,361,1
2022/5/25,322,"['中海油', '服', '5', '月', '25', '日', '快速', '上涨']",6.0,315,1
2022/5/24,326,"['油价', '上行', '拉动', '油服', '景气', '向上', '，', '公司业绩', '有望', '持']",9.0,2707,1
2022/5/24,328,"['油', '啊', '油', '！', '老', '油头粉面', '！', '！', '！']",-15.0,361,-1
2022/5/20,347,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '主力', '在', '玩', '套路', '，', '上下', '都']",7.0,377,1
2022/5/19,355,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '已割', '亏本', '四万']",5.0,494,1
2022/5/19,357,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '你', '麻辣', '戈壁', '的', '，', '妖孽', '主']",-7.0,363,-1
2022/5/17,380,"['中海油', '服', '5', '月', '17', '日', '快速', '上涨']",6.0,377,1
2022/5/11,401,"['海洋', '油气', '重要', '装备', '水下', '生产', '系统', '首次', '开启', '国产化', '应用']",8.0,744,1
2022/5/11,405,"['中海油', '服', '5', '月', '5', '日', '快速', '上涨']",6.0,608,1
2022/5/10,410,"['22Q1', '盈利', '高增', '，', '高油价', '促', '海上', '油服', '景气', '回升']",5.0,2154,1
2022/5/10,417,"['研报', '好烦', '！', '简直', '无语', '！']",-5.0,474,-1
2022/5/5,428,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '哈哈', '，', '清仓', '了']",6.0,487,1
2022/4/29,440,"['光大', '证券', '维持', '中海油', '服', '买入', '评级', ' ', '预计', '2022', '年', '净利润', '同比']",6.0,526,1
2022/4/29,442,"['一', '季报', '铁定', '漂亮', '，', '就', '看', '资本', '买', '不', '买单', '了']",6.0,745,1
2022/4/29,447,"['油服', '景气', '高涨', '，', '22Q1', '盈利', '超预期']",8.0,1034,1
2022/4/29,450,"['哈哈', '把', '易方达', '的', '韮', '菜', '割', '了']",7.0,562,1
2022/4/28,464,"['中海油', '服', '：', '2022', '年', '一季度', '净利润', '同比', '增长', '67.6']",7.0,813,1
