time,no,review,score,read_volume
2022/6/30,1,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '等', '涨', '到', '18', '远']",1,446
2022/6/30,2,"['12', '以下', '买', '500', '股', '，', '10', '以下', '买', '1000', '股', '，', '8', '以下', '买', '2000', '股', '，', '不能']",0,880
2022/6/30,3,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '大盘', '都', '带', '不动', '你', '这个', '垃圾股']",-1,443
2022/6/30,4,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '马上', '起飞', '！']",1,429
2022/6/30,5,"['大盘', '都', '带', '不动', '你', '这个']",0,445
2022/6/30,6,"['中海油', '服', '06', '月', '29', '日', '被', '沪', '股通', '减持', '44.71', '万股']",-1,420
2022/6/30,7,"['中海油', '服', '：', '连续', '5', '日', '融资', '净', '买入', '累计', '953.05', '万元', '（', '06', '-', '29', '）']",0,384
2022/6/29,8,"['7', '月份', '应该', '是', '今年', '最后', '的', '机会', '了', '，', '再', '起不来', '基本', '就', '明年', '去']",1,422
2022/6/29,9,"['妥妥', '的', '觉得', '在', '出货', '了', '，', '后面', '估计', '不', '太好了']",-1,949
2022/6/29,10,"['这次', '又会到', '什么', '价', '掉下来', '？']",0,708
2022/6/29,11,"['中海油', '服', '：', '连续', '4', '日', '融资', '净', '买入', '累计', '751.5', '万元', '（', '06', '-', '28', '）']",0,386
2022/6/28,12,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '原', '油价', '突破', '110', '美元', '，', '这货', '也', '该表']",7,419
2022/6/28,13,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '接下来', '扩', '产能', '，', '石油', '没有', '看起来', '那']",0,376
2022/6/28,14,"['这', '每次', '都', '慢慢吞吞']",-3,530
2022/6/28,15,"['压力', '有', '这么', '大', '吗']",-1,443
2022/6/28,16,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '一堆', '均线', '强压', '着', '，', '涨个', '毛线', '！']",-5,361
2022/6/28,17,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '招商', '南油', '是', '大哥']",0,399
2022/6/28,18,"['中海油', '服', '06', '月', '27', '日获', '沪', '股通', '增持', '180.18', '万股']",1,385
2022/6/28,19,"['快', '，', '快', '，', '不', '吹牛', '，', '历史', '圆狐底', '黄金', '坑', '游资', '扫货', '。', '银座', '股份']",8,991
2022/6/28,20,"['中海油', '服', '和', '海油', '发展', '有', '可能', '并购', '重组', '吗', '？']",0,893
2022/6/28,21,"['中海油', '服', '：', '连续', '3', '日', '融资', '净', '买入', '累计', '684.61', '万元', '（', '06', '-', '27', '）']",0,369
2022/6/28,22,"['石油', '石化', '行业', '获', '沪', '深股', '通净', '买入', '1.01', '亿元', '，', '最新', '持股', '市值']",3,875
