id,time,review,read_volume
1,2022/6/30,亿联网络：连续4日融资净偿还累计2495.51万,365
2,2022/6/30,亿联网络06月29日获深股通增持17.54万股,265
3,2022/6/29,万联证券给予亿联网络增持评级 首次覆盖：,315
4,2022/6/29,亿联网络：连续3日融资净偿还累计2258.03万,277
5,2022/6/29,亿联网络06月28日获深股通增持30.31万股,248
6,2022/6/28,亿联网络：融资净偿还683.08万元，融资余额,268
7,2022/6/28,亿联网络06月27日被深股通减持23.06万股,254
8,2022/6/27,亿联网络股东户数增加10.45%，户均持股262.,342
9,2022/6/26,大宗交易：亿联网络成交4.05亿元，折价6.11,752
10,2022/6/26,亿联网络06月17日获深股通增持19.5万股,508
11,2022/6/26,亿联网络：股东陈建荣减持100万股公司股份,889
12,2022/6/25,亿联网络06月24日获深股通增持3.56万股,375
13,2022/6/24,连续上涨会发异常通知，证监会会发函询问，,495
14,2022/6/24,亿联网络：连续6日融资净买入累计3011.22万,311
15,2022/6/24,亿联网络06月23日被深股通减持6.69万股,279
16,2022/6/23,$亿联网络(SZ300628)$这股，如果大盘不往下,422
17,2022/6/23,亿联网络：连续5日融资净买入累计2720.01万,418
18,2022/6/23,一碗大面在等着！,367
19,2022/6/23,从来都没有淋漓尽致的大涨过，阴跌到是常见,303
20,2022/6/23,亿联网络06月22日获深股通增持10.51万股,376
21,2022/6/22,亿联网络06月21日获深股通增持11.63万股,530
22,2022/6/22,亿联网络：连续4日融资净买入累计2258.87万,539
23,2022/6/22,这走势融券的是不是就赚翻了,455
24,2022/6/22,你先人，越跌越猛,401
25,2022/6/22,想不明白这个点位是在什么人在卖出，一年多,454
26,2022/6/22,亿联网络董事吴仲毅个人名下持股减少250万,769
27,2022/6/22,破纪录了,222
28,2022/6/22,最长一次好像是7连阴，这次不知道能破纪录,690
29,2022/6/21,是股什么样的无形之手在打压，应该举报,253
30,2022/6/21,亿联网络:2022年事业合伙人持股计划进展情,736
31,2022/6/20,创业指数次次大涨和你没半毛钱关系。,482
32,2022/6/20,今天咋这么大的量,517
33,2022/6/20,亿联网络本周融资净买入790.69万元，居通信,717
34,2022/6/20,还是那个怂式,256
35,2022/6/19,这个票的走势有点抖啊,496
36,2022/6/18,沪深两市6月16日125只个股发生220笔大宗交,1610
37,2022/6/17,亿联网络现14笔大宗交易 均为折价成交,647
38,2022/6/17,亿联网络:关于持股5%以上股东及其一致行动,656
39,2022/6/17,亿联网络:2022年事业合伙人持股计划管理办,356
40,2022/6/17,亿联网络:关于特定股东减持计划实施完毕的,435
41,2022/6/17,亿联网络：融资净买入495.81万元，融资余额,467
42,2022/6/17,亿联的庄在下一盘大棋，不过有时下的很臭。,538
43,2022/6/17,这两天横盘控制价位78左右，8号大宗交易折,1238
44,2022/6/17,利好该拉升了！,577
45,2022/6/17,亿联网络06月16日获深股通增持23.33万股,294
46,2022/6/16,盘了这么多天才跌,381
47,2022/6/16,亿联网络：融资净偿还93.42万元，融资余额7,417
48,2022/6/16,亿联网络:2022年事业合伙人持股计划第一次,586
49,2022/6/16,亿联网络最适合长线持有，我2017年中一签，,453
50,2022/6/16,这浓眉大眼的家伙也净在这耍流氓了。,442
51,2022/6/16,人才啊,439
52,2022/6/16,$亿联网络(SZ300628)$月线真稳，,405
53,2022/6/16,亿联网络06月15日获深股通增持2.37万股,256
54,2022/6/15,亿联网络06月14日获深股通增持17.11万股,403
55,2022/6/15,磨底成功，逢低吸纳,645
56,2022/6/15,啥玩意？,378
57,2022/6/15,亿联网络：融资净买入269.53万元，融资余额,258
58,2022/6/14,亿联网络本周深股通持股市值增加4793.36万,612
59,2022/6/14,兴业证券维持亿联网络审慎增持评级 预计2022年净利润,676
60,2022/6/14,亿联网络：没有迁移供应链至东南亚工厂的相关计划,455
61,2022/6/14,亿联网络：融资净买入118.77万元，融资余额6830.63万,260
62,2022/6/14,亿联网络股东户数下降5.59%，户均持股306.52万元,298
63,2022/6/14,亿联网络06月13日获深股通增持13.05万股,276
64,2022/6/13,$亿联网络(SZ300628)$这个股票比较难操作，走势很诡异,424
65,2022/6/13,亿联网络：融资余额6711.85万元，创近一年新低（06-10,260
66,2022/6/12,亿联网络本周融资净偿还418.43万元，居通信设备板块第,423
67,2022/6/12,亿联网络股东户数下降3.70%，户均持股274.33万元,502
68,2022/6/11,亿联网络06月10日获深股通增持38.77万股,346
69,2022/6/10,$亿联网络(SZ300628)$唯有努力的做差价。,895
70,2022/6/10,大股东减持窗口期，耐心等待，稍安勿躁。静待花开[献,672
