time,all_num_亿联网络,all_dic_score,亿联网络舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,1,1.00,1.00,1,1.00,0,0.00
2021-01-02,1,1.00,1.00,1,1.00,0,0.00
2021-01-03,1,1.00,1.00,1,1.00,0,0.00
2021-01-04,21,7.00,0.50,14,14.00,7,-7.00
2021-01-05,10,8.00,0.89,9,9.00,1,-1.00
2021-01-06,14,10.00,0.81,12,12.00,2,-2.00
2021-01-07,10,2.00,0.46,6,6.00,4,-4.00
2021-01-08,58,-14.00,-0.19,22,22.00,36,-36.00
2021-01-09,1,1.00,1.00,1,1.00,0,0.00
2021-01-10,5,1.00,0.36,3,3.00,2,-2.00
2021-01-11,25,7.00,0.37,16,16.00,9,-9.00
2021-01-12,11,5.00,-0.85,8,8.00,3,-3.00
2021-01-13,19,7.00,0.33,13,13.00,6,-6.00
2021-01-14,23,17.00,0.71,20,20.00,3,-3.00
2021-01-15,28,16.00,0.83,22,22.00,6,-6.00
2021-01-16,6,4.00,0.83,5,5.00,1,-1.00
2021-01-17,8,4.00,0.42,6,6.00,2,-2.00
2021-01-18,24,14.00,0.52,19,19.00,5,-5.00
2021-01-19,6,6.00,1.00,6,6.00,0,0.00
2021-01-20,16,8.00,0.63,12,12.00,4,-4.00
2021-01-21,21,11.00,0.71,16,16.00,5,-5.00
2021-01-22,18,8.00,0.72,13,13.00,5,-5.00
2021-01-23,1,1.00,1.00,1,1.00,0,0.00
2021-01-24,4,2.00,0.39,3,3.00,1,-1.00
2021-01-25,17,11.00,0.67,14,14.00,3,-3.00
2021-01-26,14,6.00,0.44,10,10.00,4,-4.00
2021-01-27,9,5.00,0.72,7,7.00,2,-2.00
2021-01-28,10,6.00,0.51,8,8.00,2,-2.00
2021-01-29,8,8.00,1.00,8,8.00,0,0.00
2021-01-30,1,1.00,1.00,1,1.00,0,0.00
2021-01-31,6,4.00,0.69,5,5.00,1,-1.00
2021-02-01,8,6.00,0.89,7,7.00,1,-1.00
2021-02-02,14,8.00,0.89,11,11.00,3,-3.00
2021-02-03,9,7.00,0.78,8,8.00,1,-1.00
2021-02-04,5,1.00,0.68,3,3.00,2,-2.00
2021-02-05,15,9.00,0.69,12,12.00,3,-3.00
2021-02-06,3,-1.00,-0.25,1,1.00,2,-2.00
2021-02-07,9,1.00,-0.11,5,5.00,4,-4.00
2021-02-08,7,-1.00,-0.18,3,3.00,4,-4.00
2021-02-09,12,6.00,0.60,9,9.00,3,-3.00
2021-02-10,3,3.00,1.00,3,3.00,0,0.00
2021-02-12,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-16,5,3.00,0.58,4,4.00,1,-1.00
2021-02-17,7,3.00,0.38,5,5.00,2,-2.00
2021-02-18,17,7.00,0.93,12,12.00,5,-5.00
2021-02-19,8,2.00,0.32,5,5.00,3,-3.00
2021-02-21,1,1.00,1.00,1,1.00,0,0.00
2021-02-22,13,7.00,0.38,10,10.00,3,-3.00
2021-02-23,7,-1.00,-0.93,3,3.00,4,-4.00
2021-02-24,5,1.00,0.12,3,3.00,2,-2.00
2021-02-25,17,3.00,0.46,10,10.00,7,-7.00
2021-02-26,16,4.00,0.04,10,10.00,6,-6.00
2021-02-27,3,3.00,1.00,3,3.00,0,0.00
2021-02-28,1,1.00,1.00,1,1.00,0,0.00
2021-03-01,13,3.00,-0.79,8,8.00,5,-5.00
2021-03-02,6,2.00,0.81,4,4.00,2,-2.00
2021-03-03,5,3.00,0.99,4,4.00,1,-1.00
2021-03-04,9,5.00,0.30,7,7.00,2,-2.00
2021-03-05,8,4.00,0.82,6,6.00,2,-2.00
2021-03-06,1,1.00,1.00,1,1.00,0,0.00
2021-03-08,25,7.00,0.51,16,16.00,9,-9.00
2021-03-09,11,1.00,-0.86,6,6.00,5,-5.00
2021-03-10,18,0.00,0.81,9,9.00,9,-9.00
2021-03-11,16,10.00,0.75,13,13.00,3,-3.00
2021-03-12,11,3.00,0.61,7,7.00,4,-4.00
2021-03-14,1,1.00,1.00,1,1.00,0,0.00
2021-03-15,11,7.00,0.56,9,9.00,2,-2.00
2021-03-16,19,7.00,0.55,13,13.00,6,-6.00
2021-03-17,6,4.00,0.95,5,5.00,1,-1.00
2021-03-18,7,3.00,0.55,5,5.00,2,-2.00
2021-03-19,7,3.00,0.93,5,5.00,2,-2.00
2021-03-20,1,1.00,1.00,1,1.00,0,0.00
2021-03-22,40,18.00,0.73,29,29.00,11,-11.00
2021-03-23,6,0.00,-0.82,3,3.00,3,-3.00
2021-03-24,17,-1.00,0.61,8,8.00,9,-9.00
2021-03-25,12,4.00,0.82,8,8.00,4,-4.00
2021-03-26,6,2.00,0.27,4,4.00,2,-2.00
2021-03-27,1,1.00,1.00,1,1.00,0,0.00
2021-03-28,1,1.00,1.00,1,1.00,0,0.00
2021-03-29,4,0.00,-0.01,2,2.00,2,-2.00
2021-03-30,4,2.00,0.92,3,3.00,1,-1.00
2021-03-31,5,3.00,0.68,4,4.00,1,-1.00
2021-04-01,2,0.00,0.95,1,1.00,1,-1.00
2021-04-02,15,9.00,0.66,12,12.00,3,-3.00
2021-04-04,1,-1.00,-1.00,0,0.00,1,-1.00
2021-04-05,1,1.00,1.00,1,1.00,0,0.00
2021-04-06,7,3.00,0.63,5,5.00,2,-2.00
2021-04-07,3,1.00,-0.10,2,2.00,1,-1.00
2021-04-08,10,6.00,0.75,8,8.00,2,-2.00
2021-04-09,13,9.00,0.84,11,11.00,2,-2.00
2021-04-10,3,1.00,0.57,2,2.00,1,-1.00
2021-04-11,7,7.00,1.00,7,7.00,0,0.00
2021-04-12,13,1.00,-0.87,7,7.00,6,-6.00
2021-04-13,13,1.00,0.30,7,7.00,6,-6.00
2021-04-14,3,3.00,1.00,3,3.00,0,0.00
2021-04-15,3,3.00,1.00,3,3.00,0,0.00
2021-04-16,6,2.00,0.51,4,4.00,2,-2.00
2021-04-17,1,1.00,1.00,1,1.00,0,0.00
2021-04-18,2,2.00,1.00,2,2.00,0,0.00
2021-04-19,7,3.00,0.44,5,5.00,2,-2.00
2021-04-20,7,3.00,0.92,5,5.00,2,-2.00
2021-04-21,53,49.00,0.92,51,51.00,2,-2.00
2021-04-22,15,13.00,0.35,14,14.00,1,-1.00
2021-04-23,8,4.00,0.83,6,6.00,2,-2.00
2021-04-24,1,1.00,1.00,1,1.00,0,0.00
2021-04-25,1,1.00,1.00,1,1.00,0,0.00
2021-04-26,8,4.00,0.89,6,6.00,2,-2.00
2021-04-27,10,8.00,0.73,9,9.00,1,-1.00
2021-04-28,11,5.00,0.60,8,8.00,3,-3.00
2021-04-29,8,4.00,0.43,6,6.00,2,-2.00
2021-04-30,7,1.00,0.25,4,4.00,3,-3.00
2021-05-01,2,0.00,-0.03,1,1.00,1,-1.00
2021-05-06,2,2.00,1.00,2,2.00,0,0.00
2021-05-07,4,4.00,1.00,4,4.00,0,0.00
2021-05-09,1,1.00,1.00,1,1.00,0,0.00
