time,no,review,score,read_volume,label
2022/6/23,19,"['从来', '都', '没有', '淋漓尽致', '的', '大涨', '过', '，', '阴跌', '到', '是', '常见']",-7.0,303,-1
2022/6/17,42,"['亿联', '的', '庄', '在', '下', '一盘', '大棋', '，', '不过', '有时', '下', '的', '很', '臭', '。']",-5.0,538,-1
2022/6/16,46,"['盘', '了', '这么', '多', '天才', '跌']",26.0,381,1
2022/6/16,51,"['人才', '啊']",7.0,439,1
2022/6/14,59,"['兴业', '证券', '维持', '亿', '联网络', '审慎', '增持', '评级', ' ', '预计', '2022', '年', '净利润']",6.0,676,1
2022/6/9,74,"['不', '知道', '大家', '有没有', '食物中毒', '的', '经历', '，', '若', '有', '都', '会', '有', '痛不欲生']",5.0,461,1
2022/6/2,91,"['$', '亿', '联网络', '(', 'SZ300628', ')', '$', '故意', '拉高', '配合', '大', '股东', '减持', '，', '牛', '啊']",5.0,512,1
2022/6/2,92,"['$', '亿', '联网络', '(', 'SZ300628', ')', '$', '故意', '拉高', '配合', '大', '股东', '减持', '，', '牛', '啊']",5.0,487,1
2022/6/1,99,"['亿', '联网络', ':', '福建', '至理', '律师', '事务所', '关于', '关于', '厦门', '亿', '联网络', '技']",7.0,263,1
2022/5/31,111,"['$', '亿', '联网络', '(', 'SZ300628', ')', '$', '今天', '清仓', '了', '！', '坚决', '不要', '相信', '分红', '，']",-5.0,651,-1
2022/5/27,125,"['周月线', '破位', '死叉', '必然', '下跌', '新低', '！', '看戏']",6.0,792,1
2022/5/25,143,"['做', 'T', '的', '绝佳', '好股']",10.0,537,1
2022/5/19,166,"['极致', '缩量', '，', '反弹', '在', '即', '！']",10.0,541,1
2022/5/18,171,"['迭', '起来', '挺快']",7.0,374,1
2022/5/17,188,"['散户', '们', '绝对', '不要', '在', '所谓', '的', '支撑点', '去', '买入', '，', '机构', '的', '真实', '意图']",-9.0,725,-1
2022/5/16,201,"['今天', '大', '智慧', '看不见', '创业板', '3', '字头', '股票', '不见', '了', '？']",6.0,556,1
2022/5/16,208,"['真TM', '垃圾']",-6.0,751,-1
2022/5/16,210,['缺德'],-7.0,425,-1
2022/5/16,214,"['为什么', '大', '智慧', '看不见', '？']",7.0,550,1
