time,no,review,score,read_volume,label
2022/6/30,1,"['亿', '联网络', '：', '连续', '4', '日', '融资', '净', '偿还', '累计', '2495.51', '万']",-1.0,365,-1
2022/6/30,2,"['亿', '联网络', '06', '月', '29', '日', '获深', '股通', '增持', '17.54', '万股']",1.0,265,1
2022/6/29,3,"['万联', '证券', '给予', '亿', '联网络', '增持', '评级', ' ', '首次', '覆盖', '：']",1.0,315,1
2022/6/29,4,"['亿', '联网络', '：', '连续', '3', '日', '融资', '净', '偿还', '累计', '2258.03', '万']",-1.0,277,-1
2022/6/29,5,"['亿', '联网络', '06', '月', '28', '日', '获深', '股通', '增持', '30.31', '万股']",1.0,248,1
2022/6/28,6,"['亿', '联网络', '：', '融资', '净', '偿还', '683.08', '万元', '，', '融资', '余额']",-1.0,268,-1
2022/6/28,7,"['亿', '联网络', '06', '月', '27', '日', '被', '深', '股通', '减持', '23.06', '万股']",-1.0,254,-1
2022/6/27,8,"['亿', '联网络', '股东', '户数', '增加', '10.45%', '，', '户均', '持股', '262', '.']",1.0,342,1
2022/6/26,9,"['大宗', '交易', '：', '亿', '联网络', '成交', '4.05', '亿元', '，', '折价', '6.11']",-1.0,752,-1
2022/6/26,10,"['亿', '联网络', '06', '月', '17', '日', '获深', '股通', '增持', '19.5', '万股']",1.0,508,1
2022/6/26,11,"['亿', '联网络', '：', '股东', '陈建荣', '减持', '100', '万股', '公司', '股份']",-1.0,889,-1
2022/6/25,12,"['亿', '联网络', '06', '月', '24', '日', '获深', '股通', '增持', '3.56', '万股']",1.0,375,1
2022/6/24,13,"['连续', '上涨', '会发', '异常', '通知', '，', '证监会', '会', '发函', '询问', '，']",-2.0,495,-1
2022/6/24,14,"['亿', '联网络', '：', '连续', '6', '日', '融资', '净', '买入', '累计', '3011.22', '万']",0.0,311,0
2022/6/24,15,"['亿', '联网络', '06', '月', '23', '日', '被', '深', '股通', '减持', '6.69', '万股']",-1.0,279,-1
2022/6/23,16,"['$', '亿', '联网络', '(', 'SZ300628', ')', '$', '这', '股', '，', '如果', '大盘', '不往', '下']",0.0,422,0
2022/6/23,17,"['亿', '联网络', '：', '连续', '5', '日', '融资', '净', '买入', '累计', '2720.01', '万']",0.0,418,0
2022/6/23,18,"['一碗', '大面', '在', '等', '着', '！']",0.0,367,0
2022/6/23,19,"['从来', '都', '没有', '淋漓尽致', '的', '大涨', '过', '，', '阴跌', '到', '是', '常见']",-7.0,303,-1
2022/6/23,20,"['亿', '联网络', '06', '月', '22', '日', '获深', '股通', '增持', '10.51', '万股']",1.0,376,1
2022/6/22,21,"['亿', '联网络', '06', '月', '21', '日', '获深', '股通', '增持', '11.63', '万股']",1.0,530,1
2022/6/22,22,"['亿', '联网络', '：', '连续', '4', '日', '融资', '净', '买入', '累计', '2258.87', '万']",0.0,539,0
2022/6/22,23,"['这', '走势', '融券', '的', '是不是', '就', '赚', '翻', '了']",0.0,455,0
2022/6/22,24,"['你', '先人', '，', '越跌', '越', '猛']",0.0,401,0
2022/6/22,25,"['想', '不', '明白', '这个', '点位', '是', '在', '什么', '人', '在', '卖出', '，', '一年', '多']",0.0,454,0
2022/6/22,26,"['亿', '联网络', '董事', '吴仲毅', '个人', '名下', '持股', '减少', '250', '万']",-1.0,769,-1
2022/6/22,27,"['破纪录', '了']",0.0,222,0
2022/6/22,28,"['最长', '一次', '好像', '是', '7', '连阴', '，', '这次', '不', '知道', '能', '破纪录']",0.0,690,0
2022/6/21,29,"['是', '股', '什么样', '的', '无形', '之手', '在', '打压', '，', '应该', '举报']",-2.0,253,-1
2022/6/21,30,"['亿', '联网络', ':', '2022', '年', '事业', '合伙人', '持股', '计划', '进展', '情']",3.0,736,1
2022/6/20,31,"['创业', '指数', '次次', '大涨', '和', '你', '没半', '毛钱', '关系', '。']",4.0,482,1
2022/6/20,32,"['今天', '咋', '这么', '大', '的', '量']",0.0,517,0
2022/6/20,33,"['亿', '联网络', '本周', '融资', '净', '买入', '790.69', '万元', '，', '居', '通信']",0.0,717,0
2022/6/20,34,"['还是', '那个', '怂式']",0.0,256,0
2022/6/19,35,"['这个', '票', '的', '走势', '有点', '抖', '啊']",0.0,496,0
