time,all_num_保利发展,all_dic_score,保利发展舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,7,7.00,1.00,7,7.00,0,0.00
2021-01-02,18,8.00,0.43,13,13.00,5,-5.00
2021-01-03,23,17.00,0.80,20,20.00,3,-3.00
2021-01-04,190,32.00,0.33,111,111.00,79,-79.00
2021-01-05,277,33.00,0.27,155,155.00,122,-122.00
2021-01-06,141,31.00,0.30,86,86.00,55,-55.00
2021-01-07,200,26.00,0.26,113,113.00,87,-87.00
2021-01-08,127,35.00,0.44,81,81.00,46,-46.00
2021-01-09,18,12.00,0.78,15,15.00,3,-3.00
2021-01-10,16,10.00,0.82,13,13.00,3,-3.00
2021-01-11,156,52.00,0.58,104,104.00,52,-52.00
2021-01-12,155,33.00,0.34,94,94.00,61,-61.00
2021-01-13,158,66.00,0.56,112,112.00,46,-46.00
2021-01-14,112,42.00,0.56,77,77.00,35,-35.00
2021-01-15,106,46.00,0.63,76,76.00,30,-30.00
2021-01-16,12,8.00,0.92,10,10.00,2,-2.00
2021-01-17,17,3.00,0.23,10,10.00,7,-7.00
2021-01-18,192,70.00,0.52,131,131.00,61,-61.00
2021-01-19,204,62.00,0.40,133,133.00,71,-71.00
2021-01-20,157,17.00,0.28,87,87.00,70,-70.00
2021-01-21,307,25.00,0.22,166,166.00,141,-141.00
2021-01-22,332,16.00,0.43,174,174.00,158,-158.00
2021-01-23,50,10.00,0.29,30,30.00,20,-20.00
2021-01-24,61,31.00,0.42,46,46.00,15,-15.00
2021-01-25,380,68.00,0.34,224,224.00,156,-156.00
2021-01-26,171,61.00,0.53,116,116.00,55,-55.00
2021-01-27,325,25.00,0.22,175,175.00,150,-150.00
2021-01-28,272,68.00,0.37,170,170.00,102,-102.00
2021-01-29,284,30.00,0.26,157,157.00,127,-127.00
2021-01-30,59,29.00,0.64,44,44.00,15,-15.00
2021-01-31,64,24.00,0.51,44,44.00,20,-20.00
2021-02-01,264,24.00,0.23,144,144.00,120,-120.00
2021-02-02,113,59.00,0.54,86,86.00,27,-27.00
2021-02-03,161,39.00,0.47,100,100.00,61,-61.00
2021-02-04,411,55.00,0.25,233,233.00,178,-178.00
2021-02-05,225,93.00,0.54,159,159.00,66,-66.00
2021-02-06,23,13.00,0.84,18,18.00,5,-5.00
2021-02-07,28,8.00,0.41,18,18.00,10,-10.00
2021-02-08,105,27.00,0.41,66,66.00,39,-39.00
2021-02-09,159,19.00,0.31,89,89.00,70,-70.00
2021-02-10,178,44.00,0.36,111,111.00,67,-67.00
2021-02-11,15,1.00,0.12,8,8.00,7,-7.00
2021-02-12,8,2.00,0.19,5,5.00,3,-3.00
2021-02-13,5,3.00,0.67,4,4.00,1,-1.00
2021-02-14,8,2.00,0.26,5,5.00,3,-3.00
2021-02-15,11,9.00,0.95,10,10.00,1,-1.00
2021-02-16,4,0.00,-0.10,2,2.00,2,-2.00
2021-02-17,24,6.00,0.35,15,15.00,9,-9.00
2021-02-18,102,34.00,0.40,68,68.00,34,-34.00
2021-02-19,54,14.00,0.37,34,34.00,20,-20.00
2021-02-20,18,-2.00,-0.23,8,8.00,10,-10.00
2021-02-21,19,13.00,0.81,16,16.00,3,-3.00
2021-02-22,108,40.00,-0.07,74,74.00,34,-34.00
2021-02-23,69,35.00,0.63,52,52.00,17,-17.00
2021-02-24,93,31.00,0.19,62,62.00,31,-31.00
2021-02-25,502,144.00,0.51,323,323.00,179,-179.00
2021-02-26,176,80.00,0.56,128,128.00,48,-48.00
2021-02-27,27,17.00,0.80,22,22.00,5,-5.00
2021-02-28,47,23.00,0.60,35,35.00,12,-12.00
2021-03-01,99,55.00,0.84,77,77.00,22,-22.00
2021-03-02,105,37.00,0.65,71,71.00,34,-34.00
2021-03-03,80,20.00,0.75,50,50.00,30,-30.00
2021-03-04,64,26.00,0.90,45,45.00,19,-19.00
2021-03-05,61,31.00,0.50,46,46.00,15,-15.00
2021-03-06,9,3.00,0.46,6,6.00,3,-3.00
2021-03-07,13,11.00,0.96,12,12.00,1,-1.00
2021-03-08,57,19.00,0.52,38,38.00,19,-19.00
2021-03-09,38,6.00,-0.27,22,22.00,16,-16.00
2021-03-10,74,30.00,0.73,52,52.00,22,-22.00
2021-03-11,79,25.00,0.56,52,52.00,27,-27.00
2021-03-12,80,26.00,0.61,53,53.00,27,-27.00
2021-03-13,11,7.00,0.66,9,9.00,2,-2.00
2021-03-14,8,0.00,-0.29,4,4.00,4,-4.00
2021-03-15,70,30.00,0.23,50,50.00,20,-20.00
2021-03-16,79,31.00,0.52,55,55.00,24,-24.00
2021-03-17,66,8.00,0.20,37,37.00,29,-29.00
2021-03-18,87,29.00,0.51,58,58.00,29,-29.00
2021-03-19,128,40.00,0.48,84,84.00,44,-44.00
2021-03-20,26,20.00,0.94,23,23.00,3,-3.00
2021-03-21,12,6.00,0.75,9,9.00,3,-3.00
2021-03-22,98,20.00,0.30,59,59.00,39,-39.00
2021-03-23,67,21.00,0.52,44,44.00,23,-23.00
2021-03-24,67,19.00,0.51,43,43.00,24,-24.00
2021-03-25,70,2.00,0.20,36,36.00,34,-34.00
2021-03-26,70,0.00,-0.05,35,35.00,35,-35.00
2021-03-27,26,8.00,0.46,17,17.00,9,-9.00
2021-03-28,9,9.00,1.00,9,9.00,0,0.00
2021-03-29,84,30.00,0.42,57,57.00,27,-27.00
2021-03-30,117,39.00,0.78,78,78.00,39,-39.00
2021-03-31,107,45.00,0.58,76,76.00,31,-31.00
2021-04-01,107,25.00,0.37,66,66.00,41,-41.00
2021-04-02,94,24.00,0.47,59,59.00,35,-35.00
2021-04-03,13,1.00,0.37,7,7.00,6,-6.00
2021-04-04,9,3.00,0.63,6,6.00,3,-3.00
2021-04-05,8,0.00,0.23,4,4.00,4,-4.00
2021-04-06,40,24.00,0.72,32,32.00,8,-8.00
2021-04-07,50,10.00,0.36,30,30.00,20,-20.00
2021-04-08,106,34.00,0.43,70,70.00,36,-36.00
2021-04-09,150,42.00,0.37,96,96.00,54,-54.00
2021-04-10,56,22.00,0.64,39,39.00,17,-17.00
2021-04-11,17,13.00,0.87,15,15.00,2,-2.00
2021-04-12,88,30.00,0.50,59,59.00,29,-29.00
2021-04-13,98,0.00,0.15,49,49.00,49,-49.00
2021-04-14,88,24.00,0.45,56,56.00,32,-32.00
2021-04-15,86,24.00,0.34,55,55.00,31,-31.00
2021-04-16,58,6.00,0.22,32,32.00,26,-26.00
2021-04-17,20,16.00,0.82,18,18.00,2,-2.00
2021-04-18,16,6.00,0.88,11,11.00,5,-5.00
2021-04-19,140,46.00,0.68,93,93.00,47,-47.00
2021-04-20,257,79.00,0.57,168,168.00,89,-89.00
2021-04-21,106,20.00,0.43,63,63.00,43,-43.00
2021-04-22,63,15.00,0.40,39,39.00,24,-24.00
2021-04-23,103,37.00,0.49,70,70.00,33,-33.00
2021-04-24,20,8.00,0.41,14,14.00,6,-6.00
2021-04-25,17,9.00,0.65,13,13.00,4,-4.00
2021-04-26,60,16.00,0.51,38,38.00,22,-22.00
2021-04-27,60,18.00,0.44,39,39.00,21,-21.00
2021-04-28,79,23.00,0.31,51,51.00,28,-28.00
2021-04-29,127,47.00,0.65,87,87.00,40,-40.00
