time,no,review,score,read_volume,label
2022/6/30,1,"['重磅', '！', '财政部', '和', '住', '建部', '联合', '发布', '通知', '，', '2022', '年', '8', '月', '1', '日起', '，']",1.0,745,-1
2022/6/30,2,"['不要', '老是', '想着', '涨停', '，', '跟着', '感觉', '走', '就', '可以', '了']",-1.0,425,1
2022/6/30,3,"['$', '金', '地', '集团', '(', 'SH600383', ')', '$', '$', '万科', 'Ａ', '(', 'SZ000002', ')', '$', '$', '保利', '发展', '(', 'SH']",0.0,666,1
2022/6/30,5,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '假象', '打压', '，', '实际', '难道', '是', '洗盘', '，', '看', '不']",-1.0,488,1
2022/6/30,6,"['明天', '应该', '可以', '看到', '18']",0.0,200,1
2022/6/30,7,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '再', '回', '踩', '调整', '一下', '更佳']",0.0,194,-1
2022/6/30,8,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '看涨']",1.0,191,1
2022/6/30,9,"['格隆汇', '6', '月', '30', '日', '丨', '克而瑞', '地产', '研究', '报告', '称', '，', '6', '月份', '百强', '房企']",1.0,292,1
2022/6/30,10,"['变盘', '十字星', '？', '要', '回调', '？']",-1.0,401,-1
2022/6/30,11,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '嘿嘿', '，', '要', '分红', '了']",0.0,211,-1
2022/6/30,12,['转发'],0.0,178,-1
2022/6/30,13,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '为什么', '抛压', '那么', '大', '呢', '？']",0.0,438,1
2022/6/30,14,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '保宝', '画线', '今日', '很', '正常', '，', '欧卅', '大跌', '，']",1.0,175,1
2022/6/30,15,"['明天', '低开', '准备', '跑路', '吧']",-2.0,360,1
2022/6/30,16,"['17.5', '的', '时候', '本来', '买个', '底', '仓', '的', '，', '按错', '了', '搞了个', '全仓', '了', '，', '还好']",0.0,483,1
2022/6/30,17,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '收', '十字星', '，', '明天', '涨停']",1.0,567,1
2022/6/30,18,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '大胆', '预测', '未来', '几天', '的', '走势']",-3.0,211,1
2022/6/30,19,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '赚杯', '奶茶', '钱', '！']",0.0,190,-1
2022/6/30,20,"['火箭', '发射', '平台', '构建', '完毕', '！']",0.0,241,1
2022/6/30,21,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '金地', '、', '万科', '、', '招蛇', '都', '涨', '4%', '左右', '，', '哪']",1.0,417,1
2022/6/30,22,"['地产', '大碗', '启动']",0.0,189,-1
2022/6/30,23,"['保利', '发展', '、', '华润', '置地', '发布', '融资', '计划']",0.0,1849,1
2022/6/30,25,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '挺好', '的', '保哥', '。', '这个', '季度', '至少', '不会', '收']",0.0,382,1
2022/6/30,26,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '你', '有', '多少', '筹码', '，', '老大', '，', '明天', '拿', '1000']",0.0,190,1
2022/6/30,27,"['$', '保利', '发展', '(', 'SH600048', ')', '$']",0.0,177,-1
2022/6/30,28,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今天', '就', '这样', '了', '，', '看', '明天', '你', '表现', '如何']",0.0,186,1
2022/6/30,29,"['今天', '可以', '买', '不', '？']",0.0,408,-1
2022/6/30,30,"['保利', '发展', '06', '月', '23', '日获', '沪', '股通', '增持', '507.36', '万股']",1.0,464,1
2022/6/30,31,"['保利', '大哥', '只会', '迟到', '，', '不会', '缺席']",-2.0,362,1
2022/6/30,32,"['刚刚', '进', '的', '仓', '，', '下周', '可以', '分红', '吗', '？', '大神', '们', '些', '分享', '下']",0.0,453,1
2022/6/30,33,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今天', '19', '收盘']",0.0,354,1
2022/6/30,34,"['怎么', '下去', '了']",0.0,169,-1
2022/6/30,35,"['开始', '跳水']",-1.0,169,1
2022/6/30,36,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今天', '十字星', '，', '明天', '涨停']",1.0,187,1
2022/6/30,37,"['虽然', '房地产', '抗跌', '，', '但是', '小心', '。']",1.0,190,1
2022/6/30,39,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '栖霞', '股份', '盈利', '稳定', '，', '股价', '低']",1.0,196,1
2022/6/30,40,"['保利', '上午', '洗', '获利盘', '，', '下午', '拉升', '！']",1.0,324,1
2022/6/30,41,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '冲上去', '！', '加油']",1.0,173,1
2022/6/30,42,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '深吸', '一口气', '，', '一股', '作气', '干', '到顶']",0.0,168,1
2022/6/30,43,"['比起', '万科', '差的', '有点', '多']",-1.0,193,1
2022/6/30,44,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '龙头', '该', '放量', '涨停', '了']",2.0,171,1
2022/6/30,45,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '房地产业', '龙头', '，', '涨停']",2.0,250,1
2022/6/30,46,"['拉高', '出货', '了']",1.0,378,1
2022/6/30,47,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '加油', '，', '宝']",1.0,179,1
2022/6/30,48,"['地产', '牛逼']",0.0,172,-1
2022/6/30,49,"['忘', '了', '撤单', '，', '一', '睡醒', '卖飞', '了', '[', '大哭', ']']",0.0,205,-1
