time,no,review,score,read_volume,label
2022/6/30,4,"['恭喜', '保利', '，', '克尔', '瑞', '2022', '年', '上半年', '全', '口径', '销售', '金额', '2102', '亿元']",5.0,322,1
2022/6/30,24,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '保宝', '今日', '上窜下跳', '，']",-5.0,282,-1
2022/6/30,38,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '砸', '起来', '真狠', '，', '老庄', '火阵', '多']",7.0,192,1
2022/6/30,69,"['保利', '发展', '6', '月', '30', '日', '快速', '反弹']",6.0,315,1
2022/6/30,73,"['这一波', '坚定', '看到', '20', '元', '，', '不到', '20', '不', '放手', '。']",5.0,208,1
2022/6/30,74,"['今天', '估计', '是', '调整', '的', '一天', '，', '适当', '买进', '。']",5.0,211,1
2022/6/30,78,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '洗洗', '更', '健康', '!', '[', '俏皮', ']']",8.0,206,1
2022/6/29,103,"['金地', '的', '龙虎榜', '全是', '机构', '。', '估计', '保利', '也', '是', '机构', '吃货']",-7.0,203,-1
2022/6/29,104,"['不足', '一个月', '每', '100', '股扣', '多少', '税收', '，', '分', '多少', '红', '，', '有没有', '大神']",-5.0,206,-1
2022/6/29,106,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '嘿嘿', '[', '得意', ']', '[', '吃瓜', ']', '要', '分红', '啦']",5.0,158,1
2022/6/29,111,"['历史', '来看', '，', '涨停', '后面', '几天', '一般', '都', '不是', '什么', '好事']",6.0,542,1
2022/6/29,120,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '主力', '买入', '四个', '多亿', '，', '换手率', '这么', '低']",7.0,435,1
2022/6/29,126,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今天', '有', '失误', '，', '不过', '不', '耽误', '吃', '肉', '，', '哈']",6.0,349,1
2022/6/29,130,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今天', '把', '远大', '智能', '卖', '了', '，', '买', '了', '你', '不错']",8.0,216,1
2022/6/29,131,"['把', '保利', '联合', '收购', '了', '吧', '！', '太', '没用', '了', '！']",-9.0,186,-1
2022/6/29,149,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '昨天', '跑路', '的', '朋友', '你们', '还好', '吧', '，', '？']",8.0,258,1
2022/6/29,158,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '主力', '加油', '，', '带', '韭菜', '们', '一起', '吃', '肉']",8.0,155,1
2022/6/29,159,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '保利', '的', '护盘', '功不可没', '啊', '，', '加油', '，', '顶']",8.0,171,1
2022/6/29,160,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '幸福', '来', '的', '太', '突然', '，', '恭喜', '坚守', '的', '朋友']",33.0,186,1
2022/6/29,168,"['主力', '做', '笼子', '，', '让', '韭菜', '往里', '钻', '[', '大笑', ']']",7.0,178,1
2022/6/29,175,"['涨停', '让', '韭菜', '们', '看看', '你', '的', '本事', '[', '俏皮', ']']",7.0,181,1
2022/6/29,183,"['新能源', '不行', '了', '今天', '，', '就', '跑', '来', '拉', '地产']",-7.0,177,-1
2022/6/29,195,"['还是', '你', '猛', '，', '狗科', '不行']",-7.0,164,-1
2022/6/29,213,"['保利', '发展', '6', '月', '29', '日', '快速', '上涨']",6.0,287,1
2022/6/29,221,"['今天', '迎接', '暴风雨', '吧', '，', '跌破', '15.5']",-5.0,460,-1
2022/6/29,224,"['昨天', '主力', '出货', '，', '今天', '该', '我', '出', '了', '[', '吃瓜', ']']",7.0,176,1
2022/6/29,232,"['昨天', '买', '了', '跌', '的', '保力', '今天', '就长', '哈哈']",6.0,171,1
2022/6/29,242,"['不会', '了', '，', '马上', '分红', '了', '，', '拉', '起来']",-7.0,222,-1
2022/6/29,243,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '[', '微笑', ']', '利好', '来', '了', '，', '你', '起来', '，', '为了', '这']",8.0,379,1
2022/6/28,253,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '16.12', '加仓', '了', '一手', '，', '主力', '您', '砸', '吧']",7.0,373,1
2022/6/28,256,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今天', '主力', '资金', '出', '了', '不少', '，', '就', '这么', '不']",7.0,451,1
2022/6/28,258,"['牛市', '完美', '踏空', '，', '央企', '地产股', '这么', '妖', '吗', '？']",9.0,213,1
2022/6/28,262,"['谁', '买', '谁', '死', '，', '我', '走', '了', '，', '太', '磨人', '了', '！', '涨不动', '，', '跌得快', '，', '今天', '改']",-7.0,408,-1
2022/6/28,270,"['市场', '抛弃', '你', '的', '时候', '，', '连', '一点', '招呼', '也', '不', '打', '。', '[', '笑', '哭', ']', '耐心', '等', '吧']",-9.5,210,-1
2022/6/28,272,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '熟悉', '的', '套路', '[', '俏皮', ']']",6.0,438,1
2022/6/28,275,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '主力', '整天', '在', '打压']",6.0,345,1
2022/6/28,280,"['主力', '一天', '都', '在', '出货', '，', '明天', '拉高', '我', '也', '出货', '[', '鼓掌', ']']",8.0,180,1
2022/6/28,287,"['恶心', '恶心']",-10.0,224,-1
2022/6/28,292,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今天', '主力', '怕', '不是', '有', '消息', '早盘', '卖', '了', '去']",7.0,177,1
2022/6/28,293,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今天', '主力', '怕', '不是', '有', '消息', '早盘', '卖', '了', '去']",7.0,167,1
2022/6/28,295,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '还是', '别碰', '房地产', '了', '，', '套', '在', '这', '浪费', '外']",-7.0,185,-1
2022/6/28,307,"['玩', '地下城', '的', '时候', '都', '没', '这么', '无语']",5.0,192,1
2022/6/28,315,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '[', '怒', ']', '[', '怒', ']', '[', '怒', ']', '快', '起来', '看看', '，', '重大', '利']",7.0,194,1
2022/6/28,324,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '已经', '压榨', '不', '出', '筹码', '了']",-7.0,193,-1
2022/6/28,328,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '涨跌', '都', '在', '主力']",7.0,170,1
2022/6/28,333,"['$', '湖北', '宜化', '(', 'SZ000422', ')', '$', '主力', '牛逼', '，', '宜化', '我', '下班', '了', '，', '捞', '了', '40']",7.0,297,1
2022/6/28,335,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '不要脸']",-7.0,187,-1
2022/6/28,339,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '我', '是', '真', '讨厌', '做', 'T', '，', '为什么', 'A股', '都', '这么']",-7.0,179,-1
2022/6/28,342,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '我', '的', '乖乖', '，', '又', '进场', '了', '，', '继续', '看好', '[']",6.0,416,1
2022/6/28,346,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '明天', '高开', '突破', '！']",7.0,370,1
2022/6/28,349,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '无语', '，', '挂', '错单', '了', '，', '变成', '买', '了', '[', '囧', ']']",-5.0,361,-1
2022/6/27,364,"['明天', '高开', '突破']",7.0,197,1
2022/6/27,383,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '上下', '都', '在', '主力']",7.0,198,1
2022/6/27,387,"['很棒', '，', '完美', '做', 't', '，', '几千', '进账']",10.0,449,1
2022/6/27,391,"['都', '是', '大单', '在', '买', '，', '小', '的', '在', '跑', '，', '很', '健康']",6.0,447,1
2022/6/24,422,"['买', '保利', '发展', '不如', '买', '碳', '中和', '核心', '水', '巨人', '首创', '环保']",15.0,471,1
2022/6/24,427,"['主力', '在', '吸筹', '还是', '在', '出货', '！', '？']",7.0,476,1
2022/6/24,428,"['站', '不', '上', '60', '日线', '，', '下周', '就', '完蛋']",5.0,455,1
2022/6/24,431,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '.', '支持', '优质', '房地产', '企业', '盘活', '存量', '资']",9.0,303,1
2022/6/24,433,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '这些', '主力', '拉', '抬', '赛道', '股', '的', '同时', '为什么']",7.0,529,1
2022/6/24,437,"['太', '恶心', '了', '吧']",-10.0,317,-1
2022/6/24,439,"['可怜', '的', '宝哥', '被', '资金', '抛弃']",-8.0,436,-1
2022/6/24,440,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '主力', '完全', '是', '对', '敲下去']",7.0,256,1
2022/6/24,442,"['进场', '了', '，', '16.04', '，', '相信', '有', '机会', '！', '！']",8.0,1152,1
2022/6/24,444,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '主力', '冲冲', '冲', '，', '[', '拳头', ']', '[', '拳头', ']']",7.0,229,1
2022/6/24,446,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '今日', '不', '值得', '看', '几手', '一手', '买单']",-5.0,232,-1
2022/6/24,449,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '都', '是', '主力', '在', '砸盘', '！']",6.0,410,1
2022/6/24,451,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '能', '起来', '的', '！']",7.0,240,1
2022/6/24,453,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '有', '波动', '是', '好事']",-6.0,226,-1
2022/6/24,455,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '扶不起', '的', '阿斗', '，', '还', '不如', '垃圾股', '，', '走']",-5.5,221,-1
2022/6/24,459,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '看', '了', '看', '日线', '绿多红少', '！', '主力', '实力', '一']",8.0,193,1
2022/6/24,460,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '看', '了', '看', '日线', '绿多红少', '！', '主力', '实力', '一']",8.0,178,1
2022/6/24,464,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '形势', '大好', '但', '这股', '拼命', '砸盘', '！']",6.0,186,1
2022/6/24,468,"['$', '保利', '发展', '(', 'SH600048', ')', '$', '妖股', '涨跌', '都', '在', '主力', '！']",7.0,207,1
2022/6/24,470,"['下来', '吧', '16', '打满', '，', '哈哈']",7.0,236,1
