id,time,review,read_volume
1,2022/6/30,$凯莱英(SZ002821)$回调几天，我等你[呲牙][呲牙],313
2,2022/6/30,就这个接大宗交易者压盘一直不涨，落地了也就开始涨了,673
3,2022/6/30,$凯莱英(SZ002821)$$新城控股(SH601155)$今天骚操作又,944
4,2022/6/30,$凯莱英(SZ002821)$吵什么呢，持股34%，减持个1.多，,125
5,2022/6/30,$凯莱英(SZ002821)$明天跌停开,262
6,2022/6/30,透视大宗交易：6月30日共成交244笔 凯莱英成交3.45亿,1098
7,2022/6/30,$凯莱英(SZ002821)$股东减持结束了，可以拉升啦涨停[,122
8,2022/6/30,不是减持，是减持完了,279
9,2022/6/30,$凯莱英(SZ002821)$哈哈哈，大宗交易折价这么多，就说,660
10,2022/6/30,$凯莱英(SZ002821)$为什么都是天津营业部,238
11,2022/6/30,$凯莱英(SZ002821)$大股东不要公司，要跑路了。后面还,322
12,2022/6/30,$凯莱英(SZ002821)$每天都上冲洗盘，明天绝对还有上冲,172
13,2022/6/30,大宗机构接盘，站上近期高点289，明天向半年线突击，3,259
14,2022/6/30,6月30日北向资金数据,172
15,2022/6/30,300981。起大风！,117
16,2022/6/30,$凯莱英(SZ002821)$机构这帮狗儿子，接打折货，然后砸,146
17,2022/6/30,$凯莱英(SZ002821)$低位减持，机构接盘，越减越涨[大,229
18,2022/6/30,$凯莱英(SZ002821)$明天涨5个点，,123
19,2022/6/30,开盘快跑，过几天接回来,122
20,2022/6/30,低位利空[吃瓜],145
21,2022/6/30,卧槽，力空出尽就是力好[呲牙],142
22,2022/6/30,md，大股东跑路,112
23,2022/6/30,今天大宗为什么这么大量,162
24,2022/6/30,$凯莱英(SZ002821)$就现在这个价格进去，等3个月出来,138
25,2022/6/30,垃圾股，两个多亿才两个点，还是小盘子股，跑了跑了,213
26,2022/6/30,大宗交易：凯莱英成交3.45亿元，折价7.79%（06-30）,505
27,2022/6/30,$凯莱英(SZ002821)$它就是长线股，不适合波段,260
28,2022/6/30,$凯莱英(SZ002821)$恶心回落,237
29,2022/6/30,这是啥股了，涨就有人卖，高买就让套,375
30,2022/6/30,$凯莱英(SZ002821)$够狠四个点给你到一个点,231
31,2022/6/30,$凯莱英(SZ002821)$资金持续流入，为啥不涨？,256
32,2022/6/30,我先走了,130
33,2022/6/30,$凯莱英(SZ002821)$哎，早上下杀那一下割肉了，现在涨,452
34,2022/6/30,$凯莱英(SZ002821)$今天大跌，立贴为证,377
35,2022/6/30,$凯莱英(SZ002821)$挣扎的盘，没用,135
36,2022/6/30,南京证券明天开启连板模式,166
37,2022/6/30,主力赶紧godie,128
38,2022/6/30,$凯莱英(SZ002821)$新能源和新能车的主力大佬借着小拉,622
39,2022/6/30,天天都是板块吊车尾,139
40,2022/6/30,$凯莱英(SZ002821)$要跌了，赶快跑！,127
41,2022/6/30,今天要绿了,133
42,2022/6/30,问题股 不敢往上做 减仓,135
43,2022/6/30,$凯莱英(SZ002821)$我把这个卖了,216
44,2022/6/30,板块中的垃圾,133
45,2022/6/30,杂回事？,107
46,2022/6/30,市场还是新能源的,125
47,2022/6/30,$凯莱英(SZ002821)$拜拜，还是白酒香,132
48,2022/6/30,现在估计还是也是有问题啦！,145
49,2022/6/30,$凯莱英(SZ002821)$,219
