time,all_num_凯莱英,all_dic_score,凯莱英舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,2,2.00,1.00,2,2.00,0,0.00
2021-01-02,2,2.00,1.00,2,2.00,0,0.00
2021-01-03,7,5.00,0.75,6,6.00,1,-1.00
2021-01-04,34,18.00,0.77,26,26.00,8,-8.00
2021-01-05,23,17.00,0.97,20,20.00,3,-3.00
2021-01-06,18,14.00,0.81,16,16.00,2,-2.00
2021-01-07,27,15.00,0.65,21,21.00,6,-6.00
2021-01-08,40,32.00,0.87,36,36.00,4,-4.00
2021-01-09,9,1.00,0.17,5,5.00,4,-4.00
2021-01-10,19,15.00,0.93,17,17.00,2,-2.00
2021-01-11,28,16.00,0.75,22,22.00,6,-6.00
2021-01-12,30,16.00,0.48,23,23.00,7,-7.00
2021-01-13,22,12.00,0.77,17,17.00,5,-5.00
2021-01-14,29,11.00,0.10,20,20.00,9,-9.00
2021-01-15,12,4.00,0.48,8,8.00,4,-4.00
2021-01-16,8,2.00,0.30,5,5.00,3,-3.00
2021-01-17,10,8.00,0.90,9,9.00,1,-1.00
2021-01-18,25,15.00,0.67,20,20.00,5,-5.00
2021-01-19,9,7.00,0.88,8,8.00,1,-1.00
2021-01-20,37,21.00,0.71,29,29.00,8,-8.00
2021-01-21,32,26.00,0.93,29,29.00,3,-3.00
2021-01-22,45,33.00,0.75,39,39.00,6,-6.00
2021-01-23,6,6.00,1.00,6,6.00,0,0.00
2021-01-24,27,17.00,0.60,22,22.00,5,-5.00
2021-01-25,47,33.00,0.70,40,40.00,7,-7.00
2021-01-26,40,24.00,0.55,32,32.00,8,-8.00
2021-01-27,27,19.00,0.70,23,23.00,4,-4.00
2021-01-28,26,24.00,0.94,25,25.00,1,-1.00
2021-01-29,50,22.00,0.57,36,36.00,14,-14.00
2021-01-30,8,8.00,1.00,8,8.00,0,0.00
2021-01-31,7,7.00,1.00,7,7.00,0,0.00
2021-02-01,30,4.00,0.48,17,17.00,13,-13.00
2021-02-02,31,21.00,0.91,26,26.00,5,-5.00
2021-02-03,36,24.00,0.72,30,30.00,6,-6.00
2021-02-04,11,5.00,0.39,8,8.00,3,-3.00
2021-02-05,27,15.00,0.71,21,21.00,6,-6.00
2021-02-06,2,2.00,1.00,2,2.00,0,0.00
2021-02-07,5,5.00,1.00,5,5.00,0,0.00
2021-02-08,19,11.00,0.41,15,15.00,4,-4.00
2021-02-09,50,38.00,0.89,44,44.00,6,-6.00
2021-02-10,40,26.00,0.75,33,33.00,7,-7.00
2021-02-12,1,1.00,1.00,1,1.00,0,0.00
2021-02-13,1,1.00,1.00,1,1.00,0,0.00
2021-02-14,8,4.00,0.10,6,6.00,2,-2.00
2021-02-15,2,2.00,1.00,2,2.00,0,0.00
2021-02-16,3,3.00,1.00,3,3.00,0,0.00
2021-02-17,2,0.00,0.38,1,1.00,1,-1.00
2021-02-18,38,24.00,0.90,31,31.00,7,-7.00
2021-02-19,8,8.00,1.00,8,8.00,0,0.00
