time,no,review,score,read_volume,label
2022/6/30,1,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '回调', '几天', '，', '我', '等', '你', '[', '呲', '牙', ']', '[', '呲', '牙', ']']",-1.0,313,1
2022/6/30,2,"['就', '这个', '接', '大宗', '交易者', '压盘', '一直', '不', '涨', '，', '落地', '了', '也', '就', '开始', '涨', '了']",0.0,673,1
2022/6/30,3,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '$', '新城', '控股', '(', 'SH601155', ')', '$', '今天', '骚', '操作', '又']",-1.0,944,1
2022/6/30,4,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '吵', '什么', '呢', '，', '持股', '34%', '，', '减持', '个', '1', '.', '多', '，']",-1.0,125,-1
2022/6/30,5,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '明天', '跌停', '开']",-1.0,262,-1
2022/6/30,6,"['透视', '大宗', '交易', '：', '6', '月', '30', '日共', '成交', '244', '笔', ' ', '凯莱', '英', '成交', '3.45', '亿']",0.0,1098,1
2022/6/30,7,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '股东', '减持', '结束', '了', '，', '可以', '拉升', '啦', '涨停', '[']",1.0,122,1
2022/6/30,8,"['不是', '减持', '，', '是', '减持', '完', '了']",0.0,279,-1
2022/6/30,9,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '哈哈哈', '，', '大宗', '交易', '折价', '这么', '多', '，', '就', '说']",-1.0,660,1
2022/6/30,10,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '为什么', '都', '是', '天津', '营业部']",0.0,238,1
2022/6/30,11,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '大', '股东', '不要', '公司', '，', '要', '跑路', '了', '。', '后面', '还']",1.0,322,1
2022/6/30,12,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '每天', '都', '上', '冲洗', '盘', '，', '明天', '绝对', '还有', '上冲']",0.0,172,1
2022/6/30,13,"['大宗', '机构', '接盘', '，', '站上', '近期', '高点', '289', '，', '明天', '向', '半年线', '突击', '，', '3']",0.0,259,1
