time,no,review,score,read_volume,label
2022/6/30,28,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '恶心', '回落']",-6.0,237,-1
2022/6/30,35,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '挣扎', '的', '盘', '，', '没用']",-6.0,135,-1
2022/6/30,37,"['主力', '赶紧', 'godie']",7.0,128,1
2022/6/30,38,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '新能源', '和', '新', '能车', '的', '主力', '大佬', '借着', '小拉']",8.0,622,1
2022/6/30,50,"['002821', ' ', '现在', '的', '主心骨', '没', '了', '，', '要', '看', '别人', '多余', '的', '肉', '才', '有', '此股']",8.0,125,1
2022/6/30,66,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '哈哈', '，', '蓄势待发', '，', '这', '两天', '过', '300', '…', '在']",7.0,169,1
2022/6/30,71,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '主力', '还', '在', '等', '什么', '？', '等', '除权', '除息', '时间', '？']",7.0,264,1
2022/6/30,83,['丢人现眼'],-7.0,142,-1
2022/6/30,86,"['主力', '洗盘', '，', '坚定', '持有']",12.0,268,1
2022/6/30,90,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '丢人现眼']",-7.0,144,-1
2022/6/30,102,"['抛压', '极其', '大', '，', '同', '板块', '个股', '都', '比', '他', '强', '，', '还是', '因为', '前', '几年', '涨幅']",9.0,142,1
2022/6/30,103,"['抛压', '极其', '大', '，', '同', '板块', '个股', '都', '比', '他', '强', '，', '还是', '因为', '前', '几年', '涨幅']",9.0,128,1
2022/6/30,104,"['抛压', '极其', '大', '，', '同', '板块', '个股', '都', '比', '他', '强', '，', '还是', '因为', '前', '几年', '涨幅']",9.0,107,1
2022/6/30,109,"['看到', '有人', '造谣', '美国', '晓龙', '公司', '收购', '失败', '，', '我', '不得不', '辟个', '谣', '，']",-5.0,1210,-1
2022/6/29,119,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '今天', '市场', '是', '一片', '哀嚎', '啊', '，', '情绪', '杀', '。', '啥']",-10.0,143,-1
2022/6/29,130,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '疯狂', '的', '震荡', '，', '不', '把', '大家', '震', '出去', '是', '不会']",-7.0,183,-1
2022/6/29,138,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '多空', '博弈', '激烈', '！', '好', '事情', '，', '等待', '战事', '明']",7.0,166,1
2022/6/29,143,"['凯莱', '英', '6', '月', '29', '日', '快速', '反弹']",6.0,225,1
2022/6/29,151,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '来个', '涨停', '给', '大家', '开心', '一下']",6.0,134,1
2022/6/29,154,"['认真', '的', '吗']",5.0,271,1
2022/6/29,155,['主力'],7.0,163,1
2022/6/29,159,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '主力', '装癫', '是', '吧']",7.0,324,1
2022/6/29,170,"['相对', '底部', '才', '出现', '攻击', '信号', '就', '疯狂', '踢', '，', '当心', 'T', '飞', '了', '[', '大笑', ']', '[', '呲']",-7.0,331,-1
2022/6/29,173,"['凯莱', '英', '底部', '疯狂', '的', '炒', '了', '一波', '，', '利润', '28', '个点', '各位', '一定', '要敢', '跌']",-7.0,404,-1
2022/6/28,182,"['明天', '能', '再', '回', '踩下', '就', '好', '了', '，', '估计', '是', '不会', '了', '，', '主力', '太', '着急', '了', '。']",-14.0,161,-1
2022/6/28,197,"['天天', '拖后腿']",-7.0,145,-1
2022/6/27,216,"['要', '调整', '几天', '才能', '[', '看多', ']']",6.0,295,1
2022/6/27,218,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '明天', '能', '突破', '吗', '？']",7.0,274,1
2022/6/27,230,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '必须', '拿到', '分红', '！']",7.0,446,1
2022/6/27,247,"['突破', '短期', '平台', '，', '拿', '好', '筹码', '，', '剩下', '的', '交给', '时间', '吧']",7.0,182,1
2022/6/27,251,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '板块', '要', '想', '走强', '必须', '得', '有', '2', '板', '带动']",9.0,165,1
2022/6/27,252,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '医疗', 'cro', '能', '不能', '爆发', '，', '就', '看凯子', '能', '不']",7.0,156,1
2022/6/27,253,"['相信', '师父', '的', '不用', '做', '韭菜', '，', '快', '回本', '了']",12.0,167,1
2022/6/27,254,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '主力', '高度', '控盘', '，', '这', '波动', '只能', '说', '牛']",6.0,166,1
2022/6/26,278,"['放心', '吧', '兄弟', '们', '！', '周一', '我出', '60', '个', '亿拉个', '涨停', '！']",8.0,189,1
2022/6/26,285,"['凯莱', '英', ':', '关于', '聘任', '公司', '高级', '管理人员', '的', '公告']",5.0,1260,1
2022/6/26,287,"['各位', '主力', '大户', '们', '看', '过来', '，', '大', '黑马', '底部']",8.0,309,1
2022/6/25,299,"['忽悠', '谁', '呢', '？', '这么', '大', '的', '量', '，', '你', '拉', '涨停', '？', '继续', '回调']",-5.0,319,-1
2022/6/25,303,"['$', '凯莱', '英', '(', 'SZ002821', ')', '$', '不理', '的', '板块', '也', '爆发', '了', '！', '果然', '帽子', '哥说']",-8.0,527,-1
2022/6/24,308,"['我', '减仓', '导致', '美股', 'CXO', '大跌', '？', '哈哈']",6.0,413,1
