time,all_num_国信证券,all_dic_score,国信证券舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,1,1.00,1.00,1,1.00,0,0.00
2021-01-02,1,1.00,1.00,1,1.00,0,0.00
2021-01-03,5,5.00,1.00,5,5.00,0,0.00
2021-01-04,29,5.00,0.46,17,17.00,12,-12.00
2021-01-05,41,7.00,0.40,24,24.00,17,-17.00
2021-01-06,36,10.00,-0.02,23,23.00,13,-13.00
2021-01-07,21,1.00,0.19,11,11.00,10,-10.00
2021-01-08,18,8.00,0.82,13,13.00,5,-5.00
2021-01-09,5,-1.00,0.10,2,2.00,3,-3.00
2021-01-10,4,4.00,1.00,4,4.00,0,0.00
2021-01-11,20,2.00,0.25,11,11.00,9,-9.00
2021-01-12,48,2.00,0.25,25,25.00,23,-23.00
2021-01-13,65,-1.00,0.48,32,32.00,33,-33.00
2021-01-14,24,12.00,0.67,18,18.00,6,-6.00
2021-01-15,14,8.00,0.80,11,11.00,3,-3.00
2021-01-16,2,0.00,0.40,1,1.00,1,-1.00
2021-01-17,5,5.00,1.00,5,5.00,0,0.00
2021-01-18,38,-4.00,-0.07,17,17.00,21,-21.00
2021-01-19,24,4.00,0.32,14,14.00,10,-10.00
2021-01-20,19,-3.00,0.23,8,8.00,11,-11.00
2021-01-21,53,-7.00,0.00,23,23.00,30,-30.00
2021-01-22,36,-4.00,0.01,16,16.00,20,-20.00
2021-01-23,5,3.00,0.73,4,4.00,1,-1.00
2021-01-24,5,-1.00,0.13,2,2.00,3,-3.00
2021-01-25,39,15.00,0.53,27,27.00,12,-12.00
2021-01-26,34,10.00,0.68,22,22.00,12,-12.00
2021-01-27,29,9.00,0.45,19,19.00,10,-10.00
2021-01-28,33,9.00,0.51,21,21.00,12,-12.00
2021-01-29,31,17.00,0.76,24,24.00,7,-7.00
2021-01-30,7,-1.00,-0.46,3,3.00,4,-4.00
2021-01-31,6,0.00,0.09,3,3.00,3,-3.00
2021-02-01,136,-30.00,-0.10,53,53.00,83,-83.00
2021-02-02,36,8.00,0.49,22,22.00,14,-14.00
2021-02-03,30,4.00,0.27,17,17.00,13,-13.00
2021-02-04,27,3.00,0.17,15,15.00,12,-12.00
2021-02-05,17,1.00,0.29,9,9.00,8,-8.00
2021-02-06,2,2.00,1.00,2,2.00,0,0.00
2021-02-07,2,0.00,-0.00,1,1.00,1,-1.00
2021-02-08,36,6.00,0.29,21,21.00,15,-15.00
2021-02-09,51,1.00,0.22,26,26.00,25,-25.00
2021-02-10,27,3.00,0.33,15,15.00,12,-12.00
2021-02-11,2,0.00,-0.10,1,1.00,1,-1.00
2021-02-13,1,1.00,1.00,1,1.00,0,0.00
2021-02-15,4,2.00,0.48,3,3.00,1,-1.00
2021-02-16,1,1.00,1.00,1,1.00,0,0.00
2021-02-17,4,0.00,0.21,2,2.00,2,-2.00
2021-02-18,39,-1.00,0.41,19,19.00,20,-20.00
2021-02-19,23,-3.00,0.04,10,10.00,13,-13.00
2021-02-20,2,0.00,-0.84,1,1.00,1,-1.00
2021-02-21,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-22,15,1.00,-0.43,8,8.00,7,-7.00
2021-02-23,30,-8.00,-0.17,11,11.00,19,-19.00
2021-02-24,29,3.00,-0.62,16,16.00,13,-13.00
2021-02-25,19,-3.00,-0.72,8,8.00,11,-11.00
2021-02-26,20,-4.00,-0.68,8,8.00,12,-12.00
2021-02-27,3,-1.00,-0.16,1,1.00,2,-2.00
2021-02-28,3,1.00,0.32,2,2.00,1,-1.00
2021-03-01,15,3.00,0.39,9,9.00,6,-6.00
2021-03-02,18,14.00,0.96,16,16.00,2,-2.00
2021-03-03,13,7.00,0.97,10,10.00,3,-3.00
2021-03-04,16,6.00,0.95,11,11.00,5,-5.00
2021-03-05,22,6.00,0.41,14,14.00,8,-8.00
2021-03-06,5,3.00,0.68,4,4.00,1,-1.00
2021-03-07,4,2.00,0.40,3,3.00,1,-1.00
2021-03-08,18,0.00,0.50,9,9.00,9,-9.00
2021-03-09,17,3.00,-0.63,10,10.00,7,-7.00
2021-03-10,17,1.00,0.79,9,9.00,8,-8.00
2021-03-11,30,6.00,0.35,18,18.00,12,-12.00
2021-03-12,18,2.00,0.82,10,10.00,8,-8.00
2021-03-13,1,1.00,1.00,1,1.00,0,0.00
2021-03-14,5,1.00,0.27,3,3.00,2,-2.00
2021-03-15,38,18.00,0.24,28,28.00,10,-10.00
2021-03-16,20,-2.00,0.02,9,9.00,11,-11.00
2021-03-17,14,2.00,0.60,8,8.00,6,-6.00
2021-03-18,16,-4.00,-0.04,6,6.00,10,-10.00
2021-03-19,22,6.00,0.37,14,14.00,8,-8.00
2021-03-20,2,-2.00,-1.00,0,0.00,2,-2.00
2021-03-21,7,1.00,0.29,4,4.00,3,-3.00
2021-03-22,16,-4.00,-0.30,6,6.00,10,-10.00
2021-03-23,16,0.00,0.20,8,8.00,8,-8.00
2021-03-24,14,-6.00,-0.35,4,4.00,10,-10.00
2021-03-25,12,4.00,0.33,8,8.00,4,-4.00
2021-03-26,14,0.00,0.05,7,7.00,7,-7.00
2021-03-27,1,1.00,1.00,1,1.00,0,0.00
2021-03-28,2,2.00,1.00,2,2.00,0,0.00
2021-03-29,15,1.00,0.32,8,8.00,7,-7.00
2021-03-30,8,2.00,0.51,5,5.00,3,-3.00
2021-03-31,9,-1.00,-0.04,4,4.00,5,-5.00
2021-04-01,46,30.00,0.79,38,38.00,8,-8.00
2021-04-02,53,3.00,0.65,28,28.00,25,-25.00
2021-04-03,2,2.00,1.00,2,2.00,0,0.00
2021-04-04,3,3.00,1.00,3,3.00,0,0.00
2021-04-05,3,3.00,1.00,3,3.00,0,0.00
2021-04-06,38,-6.00,-0.10,16,16.00,22,-22.00
2021-04-07,38,2.00,0.10,20,20.00,18,-18.00
2021-04-08,49,5.00,0.44,27,27.00,22,-22.00
2021-04-09,100,-4.00,-0.01,48,48.00,52,-52.00
2021-04-10,8,2.00,0.44,5,5.00,3,-3.00
2021-04-11,6,-2.00,-0.47,2,2.00,4,-4.00
2021-04-12,30,-8.00,0.03,11,11.00,19,-19.00
2021-04-13,44,-2.00,0.10,21,21.00,23,-23.00
2021-04-14,43,-7.00,-0.12,18,18.00,25,-25.00
2021-04-15,47,1.00,0.03,24,24.00,23,-23.00
2021-04-16,37,1.00,0.18,19,19.00,18,-18.00
2021-04-17,2,2.00,1.00,2,2.00,0,0.00
2021-04-18,3,3.00,1.00,3,3.00,0,0.00
2021-04-19,36,4.00,0.23,20,20.00,16,-16.00
2021-04-20,34,4.00,0.30,19,19.00,15,-15.00
2021-04-21,33,-5.00,0.00,14,14.00,19,-19.00
2021-04-22,28,4.00,0.58,16,16.00,12,-12.00
2021-04-23,85,-23.00,-0.14,31,31.00,54,-54.00
2021-04-24,17,5.00,0.64,11,11.00,6,-6.00
2021-04-25,10,4.00,0.51,7,7.00,3,-3.00
