time,no,review,score,read_volume,label
2022/6/30,8,"['去年', '7.1', '国信', '大涨', '，', '其他', '证券', '大跌', '，', '怎么回事', '，', '原来', '是', '中']",5.0,258,1
2022/6/30,13,"['天天', '丢人现眼', '！']",-7.0,229,-1
2022/6/30,15,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '尽显', '渣', '男', '本色']",5.0,235,1
2022/6/30,16,"['120', '线', '压制', '，', '兄弟', '们', '干', '上去', '，', '让', '我', '解套', '先走']",-6.0,333,-1
2022/6/30,20,"['垃圾', '，', '在', '你', '这里', '浪费', '了', '时间', '和', '金钱']",-8.0,215,-1
2022/6/30,28,"['开工', '没有', '回头', '箭', '！', '[', '呲', '牙', ']', '[', '赞', ']']",-5.0,217,-1
2022/6/30,39,"['突然', '明白', '这个', '股', '为什么', '炒', '不', '起来', '？', '因为', '使用', '了', '机器人', '智能']",-7.0,258,-1
2022/6/30,45,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '经典', '吊车', '尾']",9.0,210,1
2022/6/29,61,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '题材股', '下去', '，', '相信', '证券', '股得', '补涨', '，']",8.0,241,1
2022/6/29,62,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '套', '了', '一批', '又', '一批', '，', '我大', 'a', '专治', '嘴硬']",-5.0,320,-1
2022/6/29,64,"['哈哈', '又', '会', '除权', '价了']",7.0,193,1
2022/6/29,82,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '经典', '挨打']",8.0,376,1
2022/6/28,89,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '华泰', '证券', '拖累', '大家', '了', '，', '抱歉', '！', '给', '大']",-5.0,326,-1
2022/6/28,94,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '好', '热闹']",10.0,152,1
2022/6/28,96,"['系统', '里', '的', '票', '随便', '买个', '都', '能', '涨', '一个点', '，', '买', '了', '你', '这个', '货倒', '亏', '1']",-5.0,358,-1
2022/6/28,111,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '赚钱', '如', '，', '赔钱', '如']",-5.0,115,-1
2022/6/28,114,"['国信', '证券', '6', '月', '28', '日', '快速', '上涨']",6.0,218,1
2022/6/28,128,"['经典', '低开', '低', '走']",8.0,188,1
2022/6/27,142,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '完美', '错过', '上涨', '的', '垃圾']",8.0,196,1
2022/6/27,144,"['MD', '你', '个', '垃圾']",-8.0,205,-1
2022/6/26,154,"['你们', '随便', '折腾', '，', '反正', '不到', '12', '以上', '我', '不会', '考虑', '出售', '，', '而且', '每']",-5.0,557,-1
2022/6/24,160,"['昨天', '恐高', '正朗特', '智能', '盈利', '卖', '了', '买入', '了', '这', '垃圾', '大错特错', '[', '龙']",-9.0,213,-1
2022/6/24,164,['无语'],-5.0,292,-1
2022/6/24,166,"['换股', '的', '没有', '，', '我换', '的', '涨', '了', '百分之', '20', '，', '哈哈']",6.0,210,1
2022/6/24,170,"['减持', '公告', '，', '哈哈']",6.0,221,1
2022/6/24,171,['哈哈'],7.0,174,1
2022/6/24,178,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '昨天早上', '挂', '9.54', '卖不掉', '[', '惊吓', ']', '想', '睡']",-5.0,346,-1
2022/6/24,180,"['哈哈', '，', '好股']",8.0,175,1
2022/6/23,201,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '股友们', '，', '大家', '一起', '给', '国信', '主力', '烧香']",7.0,251,1
2022/6/23,203,"['走', '了', '，', '走', '了', '，', '这个', '垃圾股', '真的', '，', '没用', '的', '留下来', '的', '发财']",-6.0,190,-1
2022/6/23,207,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '哈哈', '，', '最近', '连', '板块', '一半', '都', '没', '了', '。', '你']",7.0,132,1
2022/6/23,209,"['最', '恶心', '的', '券商', '，', '没有', '之一', '。']",-15.0,173,-1
2022/6/23,215,"['这货', '走', '的', '稳如', '狗', '[', '傲', ']', '，', '适合', '散户', '3', '-', '5', '天才', '看', '一次', '盘', '的', '[', '哭', ']']",10.0,217,1
2022/6/23,218,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '今天', '要', '偷袭', '拉升', '注意', '了', '同志', '们']",-6.0,453,-1
2022/6/23,223,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '做', '时间', '的', '朋友', '，', '今天', '倒数第一', '[', '旺']",8.0,152,1
2022/6/23,224,"['做', '狗', '还是', '国信', '在行']",7.0,195,1
2022/6/22,232,"['什么', '叫', '分红', '，', '拿', '股民', '自己', '的', '钱', '去', '分', '等于', '骗人', '！']",-9.0,265,-1
2022/6/22,244,"['吸血鬼', '公司', '！', '！', '你', '吹牛', '逼', '第一个', '。']",-11.0,166,-1
2022/6/22,245,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '哈哈', '，', '又', '是', '今天', '最低价', '收盘', '。', '666']",7.0,168,1
2022/6/22,246,"['牛牛', '牛', '啊', '，', '给', '个', '实习生', '玩弄', '于', '股掌', '之间', '。']",-5.0,321,-1
2022/6/22,250,"['下周', '国信', '独领风骚']",7.0,1122,1
2022/6/22,254,"['分红', '就是', '重大', '利空', '，', '分', '股民', '自己', '的', '钱', '，', '这', '叫', '抢劫']",-6.0,335,-1
2022/6/22,261,"['哈哈哈', '哈哈', '，', '等', '分红', '买股', '的', '傻眼', '没有', '[', '捂脸', ']']",7.0,185,1
2022/6/22,265,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '我大', 'A', '专制', '头铁', '的']",-5.0,161,-1
2022/6/22,278,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '分', '自己', '户里', '的', '钱', '，', '还要', '交税', '！', '真TM']",-5.0,533,-1
2022/6/21,301,"['没有', '高度', '，', '今天', '买', '了', '，', '明天', '暴跌', '，', '哈哈']",8.0,336,1
2022/6/21,309,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '哈哈', '，', '了']",7.0,200,1
2022/6/20,313,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '稳稳', '的', '幸福']",7.0,397,1
2022/6/20,325,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '主力', '跑路', '了', '！']",6.0,213,1
2022/6/20,331,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '今天', '板块', '不行', '他', '肯定', '好', '不了', '，', '明天']",-7.0,253,-1
2022/6/18,336,"['针', '无双', '头尖', '，', '但', '券商', '就是', '双头', '尖', '，', '做多', '赚钱', '，', '做空', '也', '赚钱']",9.0,392,1
2022/6/17,349,"['开启', '补跌', '模式', ' ', '炒股', '呢', ' ', '你', '要', '先', '了解', '一只', '股', '的', '股性', ' ', '才能', '买']",5.0,374,1
2022/6/17,356,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '涨', '不', '跟', '光大', '，', '跌', '真不', '落下', '。', '可以', '呀']",-6.0,372,-1
2022/6/17,358,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '不怕', '券商', '其他', '赚钱的', '资金', '抢', '筹码']",6.0,189,1
2022/6/17,363,['人才'],7.0,189,1
2022/6/17,366,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '华西', '证券', '：', '重要', '的', '事情', '说', '三遍', '？', '底']",7.0,402,1
2022/6/17,367,"['底部', '，', '大底', '，', '喊', '抬轿', '人', '。', '。', '。', '愿者上钩', '[', '得意', ']', '[', '得意', ']', '[', '得']",10.0,195,1
2022/6/17,374,"['感觉', '今天', '可以', '入手', '了', ' ', '哈哈', ' ', '不', '知道', '盘感', '对', '不对', ' ', '尾盘', '看看']",10.0,341,1
2022/6/17,388,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '连续', '两天', '解放', '洗', '走', '60', '日', '套牢', '盘', '，', '加']",6.0,248,1
2022/6/16,390,"['有时候', '韭菜', '之所以', '是', '韭菜', '确实', '是', '有', '道理', '的', '，', '股', '吧', '人均', '亿万']",5.0,389,1
2022/6/16,393,"['今天', '怎么', '这么', '顽强', '，', '是', '底部', '起来', '涨幅', '太小', '吗']",15.0,385,1
2022/6/16,399,"['光大', '天', '地板', ' ', '参照', '光大', '14', '年', '牛市', '最高点', '天', '地板', ' ', '宣告', '这波券']",13.0,774,1
2022/6/16,406,"['七年', '没涨', '了', '，', '赶紧', '吧', '，', '光大', '就是', '你', '的', '榜样']",11.0,206,1
2022/6/16,413,"['下午', '拉板', '国信', '证券', '救', '光大', '？']",6.0,212,1
2022/6/16,421,"['国信', '证券', '6', '月', '16', '日', '快速', '反弹']",6.0,225,1
2022/6/16,422,"['光大', '都', '5', '、', '6', '个板', '了', '，', '你', '毛利', '净利', '都', '比', '光大', '好', '怎么', '涨', '一点', '这']",14.0,396,1
2022/6/16,428,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '光大', '证券', '涨', '了', '百分之', '70', '，', '你', '也', '就', '百']",7.0,216,1
2022/6/15,458,"['坚守', '国信', '的', '还', '有信心', '坚守', '不', '，', '券商', '行情', '到', '鱼尾', '了', '，', '国信', '还']",14.5,304,1
2022/6/15,460,"['几点', '不涨', '的', '理由', '：', '1', '.', '老派', '券商', '，', '盘子', '大', '，', '业务', '发展', '相对', '新']",-5.0,896,-1
2022/6/15,463,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '都', '不能', '硬气', '一回', '啊']",-5.0,164,-1
2022/6/15,465,"['看看', '人家', '光大', '证券', '！']",6.0,162,1
2022/6/15,488,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '光大', '证券', '六天', '五个', '板', '了', '！', '！', '！', '！', '！']",6.0,235,1
2022/6/15,501,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '都', '不能', '硬气', '一回', '啊']",-5.0,167,-1
2022/6/15,503,"['国信', '证券', '6', '月', '15', '日', '快速', '上涨']",6.0,235,1
2022/6/15,505,"['支持', '国家']",5.0,161,1
2022/6/15,518,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '我', '就', '问稳', '不稳', '，', '那些', '天天', '嘴硬', '看多']",-5.0,327,-1
2022/6/14,532,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '都', '是', '国家队', '看看', '光大', '，', '你', '好像', '男足']",6.0,199,1
2022/6/14,535,"['新', '董事长', '到任', '首年', '业绩', '大增', ' ', ' ', '国信', '证券', '跻身', '净利润', '百亿', '梯']",6.0,1193,1
2022/6/14,541,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '妥妥', '的', '拖后腿', '[', '哭', ']']",-7.0,164,-1
2022/6/14,555,"['我们', '怕', '不是', '买', '了', '个', '假', '证券', '吧', '，', '你', '看看', '人家', '光大', '证券']",-6.0,327,-1
2022/6/14,558,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '券商', '股中', '最', '臭', '不要脸', '的']",-10.0,296,-1
2022/6/14,561,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '又', '是', '不要脸', '的', '一天']",-7.0,196,-1
2022/6/14,564,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '涨', '的', '时候', '不行', '，', '但', '跌', '的', '时候', '可比', '谁']",-7.0,318,-1
2022/6/14,566,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '光大', '五十个', '点', '了', '，', '兄弟']",6.0,210,1
2022/6/13,573,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '接下来', '持续', '缩量', '创新', '低', '，', '继续', '割', '韭']",5.0,203,1
2022/6/13,577,"['每天', '板块', '倒数', '前十名', '保证', '有', '这个', '这', '主力', '确实', '有点', '憨']",13.0,233,1
2022/6/13,578,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '什么', '时侯', '硬', '一下', '，', '丢人', '。']",-7.0,356,-1
2022/6/13,583,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '上周五', '涨', '的', '那', '点估计', '不够', '今天', '跌', '的']",-5.0,282,-1
2022/6/13,585,"['主力', '砸', '跌停', '吧', '，', '好人', '一生', '平安', '。']",13.0,211,1
2022/6/13,587,"['的', '涨时', '向', '乌龟', '，', '跌时', '向', '兔子']",-7.0,217,-1
2022/6/13,590,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '今天', '回调', '，', '你', '一马当先', '吧', '[', '旺柴', ']', '[']",6.0,180,1
2022/6/11,600,"['跟', '光大', '证券', '比', '明显', '高估']",6.0,475,1
2022/6/11,602,"['光大', '成交额', '25', '亿', '，', '你', '4000', '万']",6.0,561,1
