time,no,review,score,read_volume,label
2022/6/30,1,"['10.52', '的', '路过', '，', '不知', '啥时候', '能', '回本', '？']",-1.0,881,-1
2022/6/30,2,"['国信', '证券', ':', '第五届', '董事会', '第九次', '会议', '决议', '公告']",0.0,389,0
2022/6/30,3,"['这', '换手率', '，', '成交量', '，', '我', '呸']",-1.0,342,-1
2022/6/30,4,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '今天', '大盘', '如此', '红', '，', '明天', '继续', '大红', '，']",0.0,246,0
2022/6/30,5,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '我', '有', '个', '想法', '，', '社保', '养老金', '入市', '大家']",0.0,448,0
2022/6/30,6,"['国信', '证券', ':', '2019', '年', '非', '公开', '发行', '公司债券', '(', '第三期', ')', '2022', '年', '兑']",-1.0,308,-1
2022/6/30,7,"['期待', '明天', '7.1', '日', '券商', '集体', '涨停', '。', '和', '前', '几年', '那次', '一样', '。', '[', '大笑']",2.0,443,1
2022/6/30,8,"['去年', '7.1', '国信', '大涨', '，', '其他', '证券', '大跌', '，', '怎么回事', '，', '原来', '是', '中']",5.0,258,1
2022/6/30,9,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '去年', '的', '7', '月', '1', '日']",0.0,259,0
2022/6/30,10,"['明天', '大跌', '？']",-1.0,159,-1
2022/6/30,11,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '玛德', '，', '是', '真的', '烦', '啊', '，', '买', '这个', '吊', '玩意']",-1.0,256,-1
2022/6/30,12,"['减', '持股', '，', '玩', '不了', '，', '一', '拉高', '立马', '卖', '[', '大笑', ']']",1.0,186,1
2022/6/30,13,"['天天', '丢人现眼', '！']",-7.0,229,-1
2022/6/30,14,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '作孽', '啊']",-1.0,192,-1
2022/6/30,15,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '尽显', '渣', '男', '本色']",5.0,235,1
2022/6/30,16,"['120', '线', '压制', '，', '兄弟', '们', '干', '上去', '，', '让', '我', '解套', '先走']",-6.0,333,-1
2022/6/30,17,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '昨天', '融资', '走', '了', '5000', '多万', '，', '就', '这', '速度']",0.0,236,0
2022/6/30,18,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '5', '日线', '守', '不住', '，', '明天', '直接', '吃大面']",-1.0,205,-1
2022/6/30,19,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '清仓', '，', '走人', '，', '火兰货']",-2.0,223,-1
2022/6/30,20,"['垃圾', '，', '在', '你', '这里', '浪费', '了', '时间', '和', '金钱']",-8.0,215,-1
2022/6/30,21,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '现在', '卖', '的', '是不是', '脑袋', '进水', '，', '券商', '后']",0.0,297,0
2022/6/30,22,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '让', '我', '解套', '走人', '。']",0.0,222,0
2022/6/30,23,"['烂', '到', '根', '了', '，', '就', '这样', '的', '票', '也', '不', '缺乏', '唱', '多者', '，', '其心', '可', '诛']",0.0,244,0
2022/6/30,24,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '大盘', '都', '到', '年线', '了', '，', '你', '还', '在', '半年线', '，']",0.0,222,0
2022/6/30,25,"['他', 'm', '的', '，', '追', '在', '最高点']",0.0,277,0
2022/6/30,26,"['国信', '证券', '会', '创新高', '！']",1.0,235,1
2022/6/30,27,"['国信', '证券', ':', '中信证券', '股份', '有限公司', '关于', '国信', '证券', '股份有限']",0.0,711,0
2022/6/30,28,"['开工', '没有', '回头', '箭', '！', '[', '呲', '牙', ']', '[', '赞', ']']",-5.0,217,-1
2022/6/30,29,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '国信', '太弱', '，', '和', '仙股', '一样', '，', '千亿', '市值']",-1.0,291,-1
2022/6/30,30,"['Nm', '大', '市值', '里', '最弱', '的', '一个']",-1.0,272,-1
2022/6/30,31,"['整个', '证券', '版', '最', '臭', '就是', '你', '了', '。']",-3.0,242,-1
2022/6/30,32,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '倒数第一', '，', '恭喜', '恭喜', '，', '那些', '疯狂', '唱']",2.0,284,1
2022/6/30,33,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '又', '倒数第一']",-1.0,309,-1
2022/6/30,34,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '融资', '偿还', '了', '5000', '多万', '，', '一年', '多', '的', '新']",-1.0,230,-1
2022/6/30,35,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '外面', '1.4', '，', '你', '0.6', '，', '，', '，', '争当', '后排', '？']",0.0,458,0
2022/6/30,36,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '今天', '，', '我', '把', '几个', '股灾', '深套', '至今', '的', '股']",-2.0,233,-1
2022/6/30,37,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '我', '也', '是', '醉', '了', '，', '这么', '多', '证券', '，', '每次', '买']",0.0,225,0
2022/6/30,38,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '这', '股', '十大', '都', '锁定', '仓位', '了', '其实', '它', '就', '没']",0.0,353,0
2022/6/30,39,"['突然', '明白', '这个', '股', '为什么', '炒', '不', '起来', '？', '因为', '使用', '了', '机器人', '智能']",-7.0,258,-1
2022/6/30,40,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '华鑫板', '了', '！']",0.0,224,0
2022/6/30,41,"['服了', '，', '又', '倒数']",0.0,225,0
2022/6/30,42,"['没有', '比', '你', '烂', '的', '了']",0.0,234,0
2022/6/30,43,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '融资', '狂卖', '，', '看不到', '吗', '？', '还', '在', '骗', '自己']",-0.5,167,-1
2022/6/30,44,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '板块', '倒数', '的', '，', '作孽', '啊']",-1.0,212,-1
2022/6/30,45,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '经典', '吊车', '尾']",9.0,210,1
2022/6/30,46,"['国信', '证券', '：', '融资', '净', '偿还', '5733.18', '万元', '，', '创近', '一年', '新高', '（', '06', '-']",0.0,320,0
2022/6/30,47,"['天天', '走', '的', '一样', '，', '太', '垃圾', '了']",-2.0,199,-1
2022/6/30,48,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '这种', '行情', '都', '没法', '填权', '？', '还', '分红', '呢', '。']",-1.0,158,-1
2022/6/30,49,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '争当', '倒数', '后', '三名', '[', '大笑', ']', '[', '大笑', ']', '[', '大']",0.0,149,0
2022/6/30,50,"['国信', '证券', '06', '月', '29', '日', '被', '深', '股通', '减持', '18.25', '万股']",-1.0,266,-1
2022/6/29,51,"['明天', '估计', '银行', '，', '卷商', '，', '又', '要', '出来', '护盘', '了', '…', '…', '今年', '股票', '不好']",0.0,368,0
2022/6/29,52,"['国信', '补涨', '结束', '，', '大盘', '第一阶段', '上涨', '到头', '，', '国信', '里面', '的', '资金']",2.0,362,1
2022/6/29,53,"['哎', '，', '看错', '了', '，', '只有', '清仓', '换', '电力', '了']",-1.0,403,-1
2022/6/29,54,"['拿', '了', '两天', '了', '，', '今天', '本来', '可以', '出', '，', '还是', '贪', '了', '[', '捂脸', ']', '，', '这种', '图']",-1.0,300,-1
2022/6/29,55,"['国信', '证券', ':', '中国', '银河证券', '股份', '有限公司', '关于', '国信', '证券', '股份']",0.0,470,0
2022/6/29,56,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '什么玩意', '，']",0.0,368,0
2022/6/29,57,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '还', '没', '低于', '五日', '线', '，', '慌', '啥', '，', '加仓干', '，']",0.0,279,0
2022/6/29,58,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '这好', '几次', '的', '500', '手', '谁', '挂', '的', '！']",0.0,359,0
2022/6/29,59,['草'],0.0,233,0
2022/6/29,60,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '发誓', '再也', '不玩', '券商', '，']",0.0,344,0
2022/6/29,61,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '题材股', '下去', '，', '相信', '证券', '股得', '补涨', '，']",8.0,241,1
2022/6/29,62,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '套', '了', '一批', '又', '一批', '，', '我大', 'a', '专治', '嘴硬']",-5.0,320,-1
2022/6/29,63,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '这根', '大', '天线', '，', '补涨', '结束', '了']",1.0,513,1
2022/6/29,64,"['哈哈', '又', '会', '除权', '价了']",7.0,193,1
2022/6/29,65,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '大单', '出货', '，', '不', '跑', '没', '机会', '了', '！']",1.0,194,1
2022/6/29,66,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '你', '个', '垃圾', '，', '昨天', '涨', '的', '今天', '都', '跌', '回去']",-1.0,164,-1
2022/6/29,67,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '看样子', '昨天', '的', '信号', '很', '明显', '了']",2.0,169,1
2022/6/29,68,['垃圾'],-1.0,202,-1
2022/6/29,69,"['谁', '说', '国信', '没有', '分红', '的', '？', '站', '出来', '！', '[', '呲', '牙', ']']",0.0,273,0
2022/6/29,70,"['等', '调整', '下来', '再', '分红', '多', '一次', '！', '[', '偷笑', ']', '[', '赞', ']']",0.0,249,0
2022/6/29,71,"['留', '了', '9', '毛']",0.0,257,0
2022/6/29,72,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '的', '垃圾']",-1.0,181,-1
2022/6/29,73,"['国信', '证券', '有', '机器人', '概念', '，', '2020', '年', '年报', '显示', '公司', '深入', '金融', '科']",1.0,352,1
2022/6/29,74,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '继续', '拉', '垮', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']']",0.0,157,0
2022/6/29,75,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '就是', '风水', '轮流转', '也', '该轮', '到', '了', '。', '。', '。']",0.0,383,0
2022/6/29,76,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '哪里', '来', '的', '哪里', '去']",0.0,272,0
2022/6/29,77,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '今天', '创新高', '！']",1.0,259,1
2022/6/29,78,"['国信', '证券', '：', '连续', '3', '日', '融资', '净', '偿还', '累计', '3543.64', '万元', '（', '06', '-', '28']",-1.0,311,-1
2022/6/29,79,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '故意', '冲高回落', '甩人', '！']",-2.0,392,-1
2022/6/29,80,"['大盘', '这么', '好的', '行情', '我', '重仓', '9.6', '买入', '了', '现在', '连续', '四天', '了', '如果']",1.0,535,1
2022/6/29,81,"['国信', '证券', '06', '月', '28', '日', '被', '深', '股通', '减持', '245.29', '万股']",-1.0,261,-1
2022/6/29,82,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '经典', '挨打']",8.0,376,1
2022/6/29,83,"['尾盘', '的', '动作', '很', '不', '寻常']",0.0,218,0
2022/6/29,84,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '据', '老一辈', '的', '人', '说', '国信', '证券', '8', '泰然', '九']",0.0,579,0
2022/6/28,85,"['国信', '下午', '两点', '是', '最先', '拉升', '的', ' ', '结果', '收盘', '还', '落后', '华西', '和', '东北', ' ']",0.5,936,1
2022/6/28,86,"['等', '冲', '上', '10', '元', '再说']",0.0,147,0
2022/6/28,87,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '只要', '国信', '证券', '不', '涨停', '，', '指定', '会', '挨骂']",-1.0,545,-1
2022/6/28,88,"['晚上', '涨停', '，', '白天', '-', '5%']",1.0,350,1
2022/6/28,89,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '华泰', '证券', '拖累', '大家', '了', '，', '抱歉', '！', '给', '大']",-5.0,326,-1
2022/6/28,90,"['手握', '400', '亿', '的', '国信', '必将', '成为', '下', '一轮', '的', '金牌', '券商']",1.0,684,1
2022/6/28,91,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '10.45', '来', '接盘']",0.0,160,0
2022/6/28,92,"['有', '追高', '的', '吗', '？']",0.0,339,0
2022/6/28,93,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '个人', '养老金', '要', '入市', '，', '39', '家', '承销', '机构']",0.0,308,0
2022/6/28,94,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '好', '热闹']",10.0,152,1
2022/6/28,95,"['我', '感觉', '事出', '原因', '必有', '妖', '，', '毕竟', '尾盘', '证券', '拉', '了', '，', '肯定', '对', '证券']",0.0,231,0
2022/6/28,96,"['系统', '里', '的', '票', '随便', '买个', '都', '能', '涨', '一个点', '，', '买', '了', '你', '这个', '货倒', '亏', '1']",-5.0,358,-1
2022/6/28,97,"['$', '国信', '证券', '(', 'SZ002736', ')', '$', '上次', '那根', '是', '射击', '之星', '，', '这根', '是', '仙人']",0.0,330,0
2022/6/28,98,"['华西', '证券', '，', '第一', '创业']",4.0,185,1
2022/6/28,99,"['仙人指路', '后', '又', '仙人指路', '？']",0.0,202,0
2022/6/28,100,"['咋', '走', '出来', '这么', '个', '鬼']",0.0,153,0
