time,all_num_圣邦股份,all_dic_score,圣邦股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,5,-1.00,-0.32,2,2.00,3,-3.00
2021-01-02,5,1.00,0.32,3,3.00,2,-2.00
2021-01-03,5,1.00,-0.18,3,3.00,2,-2.00
2021-01-04,28,8.00,0.47,18,18.00,10,-10.00
2021-01-05,30,10.00,0.14,20,20.00,10,-10.00
2021-01-06,52,8.00,0.24,30,30.00,22,-22.00
2021-01-07,45,7.00,0.36,26,26.00,19,-19.00
2021-01-08,30,-2.00,0.27,14,14.00,16,-16.00
2021-01-09,4,-2.00,-0.88,1,1.00,3,-3.00
2021-01-10,9,1.00,0.21,5,5.00,4,-4.00
2021-01-11,127,3.00,0.10,65,65.00,62,-62.00
2021-01-12,45,-1.00,-0.72,22,22.00,23,-23.00
2021-01-13,39,11.00,0.49,25,25.00,14,-14.00
2021-01-14,59,9.00,0.34,34,34.00,25,-25.00
2021-01-15,46,-4.00,0.11,21,21.00,25,-25.00
2021-01-16,6,2.00,0.49,4,4.00,2,-2.00
2021-01-17,5,1.00,0.55,3,3.00,2,-2.00
2021-01-18,46,6.00,0.16,26,26.00,20,-20.00
2021-01-19,34,18.00,0.58,26,26.00,8,-8.00
2021-01-20,33,11.00,0.39,22,22.00,11,-11.00
2021-01-21,28,2.00,0.13,15,15.00,13,-13.00
2021-01-22,33,13.00,0.58,23,23.00,10,-10.00
2021-01-23,6,-2.00,-0.74,2,2.00,4,-4.00
2021-01-24,7,3.00,-0.31,5,5.00,2,-2.00
2021-01-25,17,7.00,0.39,12,12.00,5,-5.00
2021-01-26,27,5.00,0.21,16,16.00,11,-11.00
2021-01-27,31,7.00,0.38,19,19.00,12,-12.00
2021-01-28,95,27.00,0.38,61,61.00,34,-34.00
2021-01-29,123,19.00,0.31,71,71.00,52,-52.00
2021-01-30,10,2.00,0.68,6,6.00,4,-4.00
2021-01-31,11,3.00,0.63,7,7.00,4,-4.00
2021-02-01,45,11.00,0.37,28,28.00,17,-17.00
2021-02-02,23,11.00,0.70,17,17.00,6,-6.00
2021-02-03,23,9.00,0.94,16,16.00,7,-7.00
2021-02-04,22,0.00,0.85,11,11.00,11,-11.00
2021-02-05,24,8.00,0.79,16,16.00,8,-8.00
2021-02-06,3,1.00,0.27,2,2.00,1,-1.00
2021-02-07,3,1.00,0.87,2,2.00,1,-1.00
2021-02-08,21,9.00,-0.63,15,15.00,6,-6.00
2021-02-09,31,9.00,0.43,20,20.00,11,-11.00
2021-02-10,39,7.00,0.28,23,23.00,16,-16.00
2021-02-11,2,0.00,-0.24,1,1.00,1,-1.00
2021-02-12,2,0.00,-0.05,1,1.00,1,-1.00
2021-02-16,2,0.00,0.56,1,1.00,1,-1.00
2021-02-17,2,2.00,1.00,2,2.00,0,0.00
2021-02-18,21,9.00,0.89,15,15.00,6,-6.00
2021-02-19,19,-1.00,0.01,9,9.00,10,-10.00
2021-02-20,2,-2.00,-1.00,0,0.00,2,-2.00
2021-02-22,10,8.00,0.98,9,9.00,1,-1.00
2021-02-23,11,5.00,0.61,8,8.00,3,-3.00
2021-02-24,20,6.00,0.30,13,13.00,7,-7.00
2021-02-25,17,7.00,0.74,12,12.00,5,-5.00
