time,no,review,score,read_volume,label
2022/6/30,1,"['明天', '看涨']",1.0,441,1
2022/6/30,2,"['七月', '底', '之前', '填权', '完成', '，', '拭目以待', '吧']",2.0,285,-1
2022/6/30,3,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', 's', '庄家', '就', '么', '特耗', 's', '你']",-1.0,407,-1
2022/6/30,4,"['跟不上', '恩瑞浦', '的', '节奏', '呀']",-1.0,1001,-1
2022/6/30,5,"['别装', '了', '，', '绿', '吧', '，', '太', '磨叽', '了']",0.0,245,-1
2022/6/30,6,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '你', '这', '是', '要', '自己', '跳水', '呗']",-1.0,242,1
2022/6/30,7,"['刚', '看到', '广州', '有个', '地方', '发布', '了', '“', '强芯', '九条', '”', '，', '要', '大', '搞', '芯片', '封']",0.0,383,1
2022/6/30,9,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '芯片', '半导体', '卷土重来']",-3.0,251,1
2022/6/30,10,"['能', '不能', '来', '点', '作用', '啊', '，', '我', '急', '了', '！']",0.0,386,-1
2022/6/30,12,"['马上', '回调', '了']",-1.0,223,1
2022/6/30,13,"['看着', '斯达华创', '，', '这次', '他', '就', '太弱', '了']",-1.0,1208,-1
2022/6/30,14,"['真是', '垃圾']",-1.0,221,-1
2022/6/30,15,['垃圾'],-1.0,207,1
2022/6/30,16,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '一换', '就', '拉', '牛逼']",0.0,214,1
2022/6/30,17,"['全球', '很多', '工厂', '因为', '芯片', '短缺', '，', '导致', '停产', '，', '这', '反而', '给', '了', '我们']",-2.0,355,1
2022/6/30,20,"['你', '个', '垃圾']",-1.0,217,1
2022/6/30,21,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', 'ST', '圣邦']",0.0,220,1
2022/6/30,23,"['候选', '了', '几个', '科技', '，', '为啥', '偏偏', '选', '了', '你']",0.0,221,1
2022/6/30,24,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '真能', '墨迹']",-1.0,160,1
2022/6/30,25,"['圣邦', '股份', '：', '融资', '净', '偿还', '880.87', '万元', '，', '融资', '余额', '2.49', '亿元', '（']",-1.0,297,1
2022/6/29,26,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '$', '达意', '隆', '(', 'SZ002209', ')', '$', '达意', '隆', '均线', '粘']",0.0,331,-1
2022/6/29,27,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '明天', '收盘', '涨', '5', '个点', '左右']",1.0,422,1
2022/6/29,28,"['明天', '要', '跌', '了']",-1.0,401,1
2022/6/29,29,"['明天', '看涨']",1.0,170,1
2022/6/29,30,"['圣邦', '股份', '股东', '户数', '增加', '50.15%', '，', '户均', '持股', '295.86', '万元']",1.0,1055,1
2022/6/29,31,"['正常', '调整', '。', '涨', '了', '好', '几天', '了', '，', '也', '该', '调整', '了', '[', '大笑', ']']",2.0,305,1
2022/6/29,32,"['新型', '储能', '已经', '可', '作为', '独立', '储能', '参与', '电力', '市场', '，', '加快', '推动', '独']",4.0,303,1
2022/6/29,33,['飞流直下'],0.0,215,-1
