time,no,review,score,read_volume,label
2022/6/30,8,"['你', 'NND', '是', '属于', '十三', '不', '搭', '呀', '。']",-5.0,227,-1
2022/6/30,11,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '真的', '不要脸', 'b']",-7.0,205,-1
2022/6/30,18,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '真', '吗', '它', '恶心']",-5.0,176,-1
2022/6/30,19,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '一个点', '不到', '的', '要', '不要脸', '啊']",-7.0,174,-1
2022/6/30,22,"['创', '成长', 'ETF159967MACD', '和', 'kdj', '背离', '了', '，', '可能', '短期', '要', '回调', '吧', '，']",-7.0,235,-1
2022/6/29,34,"['朋友', '是', '华虹', '半导体', '的', '，', '说', '加班', '工资', '赚', '翻', '了', '，', '订单', '太多', '了', '，']",9.0,357,1
2022/6/29,37,"['2022', '年换', '电重', '卡', '将', '迎来', '爆发式', '增长', '，', '看样子', '以后', '是', '电动', '擎']",8.0,291,1
2022/6/29,40,"['圣邦', '股份', '6', '月', '29', '日', '快速', '反弹']",6.0,227,1
2022/6/28,50,"['市场', '上', '存储芯片', '需求量', '最高', '，', '增速', '远超', '行业', '均值', '，', '而', '在', '中']",5.0,295,1
2022/6/28,55,"['圣邦', '股份', '6', '月', '28', '日', '快速', '反弹']",6.0,272,1
2022/6/28,61,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '主力', '爸爸', '加油', '吧']",8.0,214,1
2022/6/27,67,"['混蛋', '外资', '和', '融资', '客', '又', '在', '做', '反向', '操作', '，', '今天', '外资', '不计成本', '卖']",-7.0,307,-1
2022/6/27,72,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '尾盘', '跳水', '，', '赶紧', '逃命']",-6.0,205,-1
2022/6/27,80,"['圣邦', '股份', '6', '月', '27', '日', '快速', '上涨']",6.0,270,1
2022/6/25,88,"['这股', '要', '有', '耐心', '，', '坚定', '持有', '。']",10.0,587,1
2022/6/24,93,"['不要买', '下跌', '趋势', '的', '股票', '，', '这个', '是', '完全', '空头', '趋势', '的', '，', '月', '周日']",-11.0,810,-1
2022/6/24,94,"['芯片', '成', '了', '鸡肋', '，', '资金', '都', '往', '新能源', '上面', '堆去', '了', '！']",-5.0,219,-1
2022/6/24,97,"['创业板', '调整', '时间', '长', '，', '可是', '每次', '熊市', '解除', '冲高', '都', '能', '突破', '上次']",6.0,306,1
2022/6/24,100,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '大好', '行情', '每天', '涨', '一点', '，', '回调', '一次', '直']",7.5,412,1
2022/6/24,109,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '逃命', '吧']",-5.0,201,-1
2022/6/23,132,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '底', '背离', '形态', '，', '股灾', '式', '下跌']",-9.0,352,-1
2022/6/23,137,"['大市', '不', '跟', '！', '板块', '不', '跟', '！', '被', '股市', '遗弃', '了', '！']",-5.0,443,-1
2022/6/23,138,"['主力', '撤', '了', '。', '回家', '睡午觉', '吧', '[', '大笑', ']']",7.0,186,1
2022/6/23,143,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '不要脸', '啊', '不要脸']",-14.0,384,-1
2022/6/23,145,"['因为', '疫情', '，', '导致', '全球', '供不应求', '，', '这样', '促使', '盈利', '能力', '不断', '提']",9.0,248,1
2022/6/23,150,"['$', '圣邦', '股份', '(', 'SZ300661', ')', '$', '你', '这', '叫', '不要脸']",-7.0,188,-1
2022/6/23,157,"['主力', '不少', '，', '没有', '一个', '是', '男儿', '，', '无语', '呀']",17.0,205,1
