time,no,review,score,read_volume,label
2022/6/30,2,"['弱弱', '问', '一句', '怎么', '就', '外资', '不在', '了', '[', '为什么', ']', '[', '为什么', ']']",0.0,490,1
2022/6/30,3,"['这', '几天', '量', '放', '的', '太大', '，', '还是', '有分歧', '，', '再', '观察', '观察', '！']",-1.0,411,1
2022/6/30,4,"['不过', '38', '线', '不', '收兵']",0.0,158,-1
2022/6/30,5,"['食', '之', '无味']",-1.0,264,-1
2022/6/30,6,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '继续', '潜伏']",0.0,175,1
2022/6/30,7,"['昨天', '走', '了', '没', '接回来', '有点', '小', '失落', '，', '还是', '等', '下周', '北向', '砸盘', '再', '买']",-1.0,472,-1
2022/6/30,8,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '这货有', '激光雷达', '吗']",0.0,441,1
2022/6/30,10,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '8', '月', '中', '才', '出', '中报', '。', '。', '有排', '等']",0.0,201,1
2022/6/30,11,"['啥时候', '大族', '激光', '的', '光刻机', '能', '应用', '到', '芯片', '领域', '那么', '肯定', '就是']",0.0,528,1
2022/6/30,12,"['看下', '德龙', '激光', '与', '帝尔', '激光', '，', '你', '惭愧', '不', '？']",-1.0,480,1
2022/6/30,15,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '让', '人', '失望', '一直', '注意', '东北', '股', '不碰', '，', '看']",-1.0,202,1
2022/6/30,16,"['明天', '还是', '没有', '外资', '，', '好好', '涨', '两天']",-1.0,175,1
2022/6/30,17,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '目前', '国家', '这么', '好的', '政策', '力度', '的', '宽松']",1.0,172,1
2022/6/30,18,"['38', '的', '本']",0.0,133,1
2022/6/30,20,"['[', '哭', ']']",0.0,123,-1
2022/6/30,21,"['巨轮', '跌停', '怪不得', '大族', '不起']",-2.0,460,1
2022/6/30,22,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '优质', '资产', '大涨', '，', '我', '看', '你', '怎么', '唱空']",4.0,171,1
2022/6/30,23,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '充分', '换手']",0.0,364,1
2022/6/30,24,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '真够', '稳', '的', '，', '每天', '都', '要', '摸', '5', '日线', '，', '大']",0.0,167,1
2022/6/30,25,"['50', '的', '本', '，', '还', '亏', '33', '个点']",-0.5,481,1
2022/6/30,27,"['记住', '股王', '我', '的话', '，', '今天', '收', '中阳', '或', '大阳', '，', '不要', '谢哥', '股王', '我夜']",0.0,558,1
2022/6/30,28,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '民族', '的', '希望', '，', '这种', '企业', '是', '国家', '的', '未']",0.0,159,1
2022/6/30,29,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '二', '溜子']",0.0,288,-1
2022/6/30,30,"['短线', '量', '能', '过大', '，', '观望', '为主']",-2.0,403,1
2022/6/30,33,"['昨日', '几乎', '以', '高点', '收盘', '，', '今日', '以', '最低点', '收盘', '，', '涨跌', '之间', '，', '是']",0.0,570,1
2022/6/30,34,"['温和', '放量', '，', '活跃度', '增强', '，', '即便', '所谓', '港资', '卖出', '亦', '无妨']",0.0,478,1
2022/6/30,36,"['买', '了', '半个', '多月', '了', '只能', '说', '没亏', '挣', '了', '四个', '点', '峨眉山', '我', '昨天', '买', '的']",0.0,296,1
2022/6/30,37,"['能', '跑', '就', '跑', '吧', ' ', ' ', '北向', '休市', '完', ' ', '继续', '砸']",0.0,297,1
2022/6/30,38,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '这货要', '迎接', '连板', '了', '，', '我进', '了']",1.0,373,1
2022/6/30,39,"['大佬', '们', '大族', '激光', '属', '半导体', '吗', '？']",1.0,497,1
2022/6/30,40,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '狗', '的']",0.0,133,-1
2022/6/30,41,"['追赶', '被套']",-1.0,140,1
2022/6/30,42,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '表现', '太弱']",-1.0,138,1
2022/6/30,44,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '这', '垃圾', '放', '了', '几年', '才', '賺', '一倍', '不到', '，', '可']",-1.0,150,-1
2022/6/30,45,"['大族', '激光', '06', '月', '23', '日', '获深', '股通', '增持', '224.8', '万股']",1.0,651,1
2022/6/30,46,['真弱'],0.0,122,-1
2022/6/30,47,"['今天', '补仓', '了', '，', '但愿', '有个', '不错', '的', '选择']",2.0,153,1
2022/6/30,48,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '看看', '特变', '电工', '。', '。', '。', '再', '看看', '你', '。', '。']",0.0,172,1
2022/6/30,49,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '走', '了', '，', '实在', '是', '浪费时间']",-2.0,146,1
2022/6/30,50,"['亲', '，', '雄起', '啊']",1.0,125,1
2022/6/30,51,"['买', '这个', '等于', '满仓', '踏空']",-1.0,327,1
2022/6/30,53,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '都', '去', '了', '光伏', '了', '，', '没人来']",0.0,316,1
2022/6/30,54,"['量', '太小', '，', '起不来', '的']",0.0,322,-1
2022/6/30,55,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '没量', '能', '，', '白', '瞎']",0.0,139,-1
2022/6/30,56,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '真烂']",0.0,144,-1
2022/6/30,57,"['$', '大族', '激光', '(', 'SZ002008', ')', '$']",0.0,136,-1
2022/6/30,59,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '什么', '时候', '开始', '拉', '啊', '？', '疫情', '结束', '制造']",0.0,309,1
2022/6/30,61,"['郁闷死', '了', '。', '换股', '买', '你', '，', '结果', '之前', '股', '涨停', '了', '[', '捂脸', ']', '[', '捂脸', ']']",1.0,347,1
2022/6/30,62,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '比亚迪', '合肥', '又', '建新厂', '，', '一汽', '奥迪', '也']",0.0,3453,1
2022/6/30,63,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '50', '的', '本']",0.0,157,1
2022/6/30,64,"['中午', '吃饱', '了', '，', '下午', '能', '不能', '冲一波']",0.0,147,-1
2022/6/30,65,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '这么', '多', '概念', '，', '今天', '不得', '拉个', '五个', '点']",0.0,140,1
2022/6/30,66,"['漫长', '的', '回', '血路']",0.0,122,-1
2022/6/30,67,"['跌', '就', '跟着', '大跌', '，', '升就阳委', '了']",-2.0,138,-1
2022/6/30,68,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '弱鸡', '，', '浪费时间', '行情', '不等', '人', '。', '888']",-1.0,134,1
2022/6/30,69,"['回', '不到', '34', '了']",0.0,131,-1
2022/6/30,70,"['这个', '票', '拿', '了', '一个月', '，', '给', '我', '的', '感觉', '是', '食', '之', '无味', '，', '弃之可惜', '。']",-1.0,337,1
2022/6/30,71,"['永远', '的', '垃圾']",-1.0,120,-1
2022/6/30,72,"['外资', '这', '几天', '跑', '了', '10', '个', '亿', '，', '有雷', '吗']",0.0,146,1
2022/6/30,73,"['没有', '外资', '，', '内资', '就', '像', '个', '无头', '的', '苍蝇', '！']",1.0,134,-1
2022/6/30,74,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '很', '让', '人', '失望']",0.0,139,1
2022/6/30,75,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '就', '你', '最拉垮']",0.0,134,-1
2022/6/30,76,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '三百', '亿', '的', '盘子', '拉', '着', '比', '600', '亿', '的', '都', '费']",0.0,240,1
2022/6/30,79,"['33', '这个', '烂', '泥坑', '是不是', '要', '墨迹', '三年']",-2.0,141,1
2022/6/30,80,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '怎么', '下来', '了', '。', '。', '。']",0.0,136,-1
2022/6/30,81,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '今天', '深股通', '还是', '大', '流出']",0.0,129,1
2022/6/30,82,"['开盘', '显', '了', '一下', '，', '现在', '又', '蔫', '了', '！']",0.0,140,1
2022/6/30,84,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '三百', '亿', '的', '盘子', '拉', '着', '比', '600', '亿', '的', '都', '费']",0.0,152,1
2022/6/30,85,"['身为', '股王', '的', '我', '，', '无时无刻', '都', '在', '关心', '大家']",1.0,133,1
2022/6/30,86,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '关键', '的', '压力', '位']",-1.0,166,1
2022/6/30,87,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '下午', '34', '能', '到', '吧']",0.0,152,1
2022/6/30,88,"['大族', '激光', '06', '月', '29', '日', '被', '深', '股通', '减持', '776.79', '万股']",-1.0,670,1
2022/6/30,89,"['技术', '分析', '是', '有', '一定', '的', '作用', '的']",0.0,153,1
