time,no,review,score,read_volume,label
2022/6/30,1,"['山顶', '上', '的', '朋友', '还有', '吗', '？']",9.0,621,1
2022/6/30,9,"['市值', '严重', '低估', '，', '正常', '3000', '亿', '市值', '不高', '，', '垃圾股', '都', '比', '你', '强十']",-7.0,504,-1
2022/6/30,13,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '帝尔', '激光', '市值', '都', '超过', '你', '了', '，', '丢人', '现']",-6.0,210,-1
2022/6/30,14,"['大族', '激光', '的', '工程师', '技术', '不行', '，', '激光机', '用', '几年', '就', '坏了', '，', '返厂']",-8.0,253,-1
2022/6/30,19,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '外资', '不在', '，', '主力', '也', '不', '拉高', '让', '外资', '接']",6.0,452,1
2022/6/30,26,"['这股', '跌时', '股性', '活跃', '，', '涨时', '股死']",5.0,151,1
2022/6/30,31,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '已经', '很', '不错', '了']",6.0,150,1
2022/6/30,32,"['谢谢', '大家', '支持', '，', '收', '了', '中', '阳线', '，', '明天', '早上', '准时', '和', '股王', '我', '交流']",9.0,423,1
2022/6/30,35,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '沿着', '漂亮', '的', '上升', 'K', '线', '一步', '一个', '台阶']",9.0,170,1
2022/6/30,43,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '北向', '资金', '太', '恶心', '了', '，', '天天', '几百万', '股']",-10.0,160,-1
2022/6/30,52,"['59.28', '大箱', '顶', '什么', '时间', '能', '突破', '啊', '。', '明年', '？', '后', '年', '？']",7.0,516,1
2022/6/30,58,"['表现', '不行']",-7.0,120,-1
2022/6/30,60,"['今天', '没有', '北向', '减持', '压力', '，', '应该', '会涨', '起来', '，', '最近', '每天', '都', '被', '北']",8.0,414,1
2022/6/30,77,"['大族', '不', '相信', '大盘', '会', '继续', '往上走', '，', '磨蹭', '是', '一种', '病']",-7.0,150,-1
2022/6/30,78,"['太', '恶心', '人', '了']",-10.0,123,-1
2022/6/30,83,"['造孽', '啊']",-5.0,400,-1
2022/6/30,91,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '太', '不要脸', '了', '，', '大单', '砸', '啊']",-14.0,191,-1
2022/6/30,93,"['相信', '股王', '我', '带', '你们', '飞']",7.0,236,1
2022/6/30,104,"['高端', '制造', '，', '大国', '之', '根本', '，', '生产', '力量', '的', '的', '代表', '，', '经济', '的', '运转']",6.0,434,1
2022/6/30,105,"['相信', '股王', '我', '，', '这', '几天', '一定', '带', '你们', '飞', '，', '拿', '好', '票别', '走', '丢']",7.0,344,1
2022/6/30,106,"['相信', '股王', '我', '能带', '你们', '飞', '，', '吃', '完', '早餐', '准备', '好', '了', '么', '[', '害羞', '羞', ']', '[']",7.0,148,1
2022/6/30,107,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '有', '重大', '利空', '，', '北向', '资金', '天天', '疯狂', '出']",-8.0,368,-1
2022/6/29,125,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '大家', '都', '知道', '有', '经济', '刺激', '政策', '的', '不断']",-5.0,873,-1
2022/6/29,126,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '明天', '主力', '准备', '了', '一大', '碗面', '给', '各位', '同']",7.0,428,1
2022/6/29,131,"['软件', '显示', '！', '主力', '出逃', '坚决', '！', '！', '套人戏', '开演', '！', '！', '！']",7.0,155,1
2022/6/29,133,"['30', '的', '本', '拿', '了', '这么久', '了', '，', '公司', '基本面', '也好', '，', '反正', '随便', '你', '洗', '不']",-5.0,173,-1
2022/6/29,140,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '大族', '激光', '绝对', '是', '一个', '好', '漂', '，', '坚定', '持']",30.0,181,1
2022/6/29,159,"['你们', '要', '相信', '股王', '我', '，', '这是', '最后', '一次', '上车', '机会']",8.0,328,1
2022/6/29,160,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '这', '大盘', '完蛋', '了']",-5.0,131,-1
2022/6/29,169,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '主力', '尾盘', '在', '做', 't']",7.0,134,1
2022/6/29,172,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '昨天', '有', '多', '开心', '，', '今天', '就', '有', '多', '悲伤']",15.0,305,1
2022/6/29,179,"['下午', '暴跌', '！', '套人', '大戏', '上演', '！', '！', '唱', '多', '的', '配合', '高潮', '完美的', '演绎']",19.0,215,1
2022/6/29,181,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '在', '宰小散', '，', '太', '缺德']",-14.0,291,-1
2022/6/29,184,"['题材', '独特', '，', '一旦', '拉升', '，', '会', '突破', '85.5', '元']",13.0,448,1
2022/6/29,187,"['你们', '要', '相信', '股王', '我', '说', '的话']",7.0,297,1
2022/6/29,195,"['下午', '我', '动用', '外汇储备', '拉盘', '，', '你们', '放心', '，', '有', '我', '在', '你们', '个个', '都']",7.0,337,1
2022/6/29,196,"['恶心', '人', '了']",-5.0,110,-1
2022/6/29,201,"['请', '大家', '相信', '股王', '我', '，', '这票', '是', '人中之龙', '，', '拿', '好哥', '带', '你们', '飞']",13.0,381,1
2022/6/29,202,"['你们', '要', '冷静', '听', '我', '股王', '说', '，', '下午', '一定', '拉', '涨停']",6.0,288,1
2022/6/29,206,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '，', '北向', '资金', '疯狂', '出逃']",-10.0,138,-1
2022/6/29,212,"['股', '吧', '一堆', '唱', '多', '的', '，', '跑', '了', '跑', '了', '[', '奸笑', ']', '，', '懂', '的', '自然', '懂']",-21.0,113,-1
2022/6/29,225,"['大族', '激光', '6', '月', '29', '日', '快速', '反弹']",6.0,252,1
2022/6/29,227,"['$', '大族', '激光', '(', 'SZ002008', ')', '$', '上下', '两个', '点', '使劲', '来', '几次', '[', '得意', ']']",5.0,118,1
