time,all_num_康龙化成,all_dic_score,康龙化成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,3,-1.00,0.18,1,1.00,2,-2.00
2021-01-02,1,-1.00,-1.00,0,0.00,1,-1.00
2021-01-03,6,6.00,1.00,6,6.00,0,0.00
2021-01-04,35,1.00,0.03,18,18.00,17,-17.00
2021-01-05,30,4.00,0.37,17,17.00,13,-13.00
2021-01-06,21,5.00,0.46,13,13.00,8,-8.00
2021-01-07,17,3.00,0.32,10,10.00,7,-7.00
2021-01-08,73,-7.00,0.14,33,33.00,40,-40.00
2021-01-09,10,2.00,0.69,6,6.00,4,-4.00
2021-01-10,19,5.00,0.43,12,12.00,7,-7.00
2021-01-11,36,10.00,0.30,23,23.00,13,-13.00
2021-01-12,35,13.00,-0.64,24,24.00,11,-11.00
2021-01-13,21,13.00,0.65,17,17.00,4,-4.00
2021-01-14,18,8.00,0.59,13,13.00,5,-5.00
2021-01-15,21,13.00,0.67,17,17.00,4,-4.00
2021-01-16,4,0.00,-0.28,2,2.00,2,-2.00
2021-01-17,10,4.00,0.64,7,7.00,3,-3.00
2021-01-18,19,1.00,0.05,10,10.00,9,-9.00
2021-01-19,13,7.00,0.55,10,10.00,3,-3.00
2021-01-20,58,8.00,0.29,33,33.00,25,-25.00
2021-01-21,26,10.00,0.87,18,18.00,8,-8.00
2021-01-22,36,4.00,0.18,20,20.00,16,-16.00
2021-01-23,6,2.00,0.32,4,4.00,2,-2.00
2021-01-24,13,1.00,0.10,7,7.00,6,-6.00
2021-01-25,46,16.00,-0.66,31,31.00,15,-15.00
2021-01-26,61,11.00,0.63,36,36.00,25,-25.00
2021-01-27,24,12.00,0.79,18,18.00,6,-6.00
2021-01-28,32,-2.00,0.26,15,15.00,17,-17.00
2021-01-29,19,11.00,0.72,15,15.00,4,-4.00
2021-01-30,9,1.00,-0.05,5,5.00,4,-4.00
2021-01-31,6,0.00,-0.06,3,3.00,3,-3.00
