time,no,review,score,read_volume,label
2022/6/30,1,"['康龙', '化成', '底部', '已经', '夯实', '，', '只能', '向上', '突破', '了']",11.0,432,1
2022/6/30,4,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '卖出', '，', '就是', '垃圾', '。', '浪费', '行情']",-8.0,377,-1
2022/6/29,27,"['康龙', '化成', '6', '月', '29', '日', '快速', '上涨']",6.0,188,1
2022/6/29,28,"['康龙', '化成', '6', '月', '29', '日', '快速', '反弹']",6.0,178,1
2022/6/28,49,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '医药', '，', '医疗', '，', '都', '是', '扶不起', '的', '阿斗', '，']",-7.0,229,-1
2022/6/28,50,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '医药', '，', '医疗', '，', '都', '是', '扶不起', '的', '阿斗', '，']",-7.0,221,-1
2022/6/28,51,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '垃圾', '，', '涨', '没', '看', '你', '第一', '，', '跌', '起来', '往', '倒']",5.0,185,1
2022/6/28,54,"['卖', '了', '的', '，', '抱怨', '涨', '的', '快', '。', '买', '了', '的', '，', '抱怨', '涨', '的', '慢', '。', '同一', '只', '股票']",-16.0,242,-1
2022/6/27,55,"['今天', '正好', '周五', '了', '，', '差点', '被', '主力', '打脸', '，', '哈哈哈', '，', '确实', '到', '95', '了']",12.0,1000,1
2022/6/27,64,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '还会', '起来', '的']",7.0,218,1
2022/6/27,69,"['康龙', '化成', '6', '月', '27', '日', '快速', '上涨']",6.0,208,1
2022/6/25,77,"['美股', 'CXO', '暴动', '，', '港股', 'CXO', '暴动', '，', 'A股', '周五', '也', '跟着', '暴动', '，', '那下']",-21.0,502,-1
2022/6/24,96,"['下', '周五', '之前', '，', '股价', '到', '95', '以上', '，', '立贴', '为证', '，', '欢迎', '主力', '打脸', '！']",7.0,1822,1
2022/6/24,99,"['今天', '康龙', '带领', 'CXO', '脱颖而出', '，', '龙跃', '飞天']",8.0,444,1
2022/6/24,108,"['康龙', '化成', '6', '月', '24', '日', '快速', '上涨']",6.0,183,1
2022/6/23,113,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '今天', '被', '大盘', '带', '起来', '可', '最后', '也', '没有', '翻']",7.0,213,1
2022/6/22,131,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '恶魔', '投降', '了']",-7.0,224,-1
2022/6/21,136,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '什么', '时候', '到', '888.88', '元', '？', '哈哈', '。']",7.0,429,1
2022/6/21,137,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '发发发', '也', '就算', '了', '还要', '再发', '[', '俏皮', ']']",5.0,241,1
2022/6/21,140,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '今天', '收盘价', '太', '完美', '了', '，', '坐等', '起飞', '吧']",19.0,545,1
2022/6/21,141,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '暗号', '88.88', '主力', '告诉', '散户', '他', '有能力']",16.0,220,1
2022/6/20,165,"['康龙', '化成', '6', '月', '20', '日', '快速', '上涨']",6.0,213,1
2022/6/20,168,"['$', '康龙', '化成', '(', 'SZ300759', ')', '$', '坐等', '突破', '125', '，', '立个', '贴']",7.0,192,1
2022/6/20,169,"['清洗', '掉', '叛徒', '，', '团结一致', '，', '向', '百元', '进攻', '。']",-5.0,192,-1
