time,no,review,score,read_volume,label
2022/6/30,3,"['新', ' ', '和', ' ', '成', '(', 'SZ002001', ')', '$', ' ', ' ', '我', '对', '你', '忍无可忍', '了']",-7.0,260,-1
2022/6/30,16,"['$', '新和成', '(', 'SZ002001', ')', '$', '我', '对', '你', '忍无可忍', '了']",-7.0,406,-1
2022/6/30,20,"['不等', '了', '，', '我', '一', '割肉', '就', '涨', '，', '祝愿', '各位', '好运', '，', '我', '割肉', '了', '，', '拿', '了']",5.0,384,1
2022/6/30,26,"['$', '新和成', '(', 'SZ002001', ')', '$', '必须', '绿给', '你', '看']",7.0,145,1
2022/6/30,29,"['福元', '上市', '，', '涨停', '牌', '啦', '，', '别', '被', '主力', '以', '维生素', '价格', '走低', '骗走', '筹']",-7.0,461,-1
2022/6/30,34,"['卖', '吧', '，', '大家', '快卖', '了', '吧', '，', '这个', '不争气', '的', '东西', '会', '浪费', '这波', '行情']",-10.0,156,-1
2022/6/30,39,"['$', '新和成', '(', 'SZ002001', ')', '$', '狗', '垃圾', '浪费', '行情']",-8.0,156,-1
2022/6/30,47,"['真特', '么', '人才']",7.0,156,1
2022/6/30,49,"['每天', '都', '是', '恶心', '人', '，']",-5.0,170,-1
2022/6/30,50,"['1', '-', '5', '月', '海关', '数据', '。', '主力', '坏的', '很']",6.0,483,1
2022/6/30,53,"['$', '新和成', '(', 'SZ002001', ')', '$', '太强了']",7.0,167,1
2022/6/30,54,"['$', '新和成', '(', 'SZ002001', ')', '$', '太', '恶心', '人', '了']",-10.0,169,-1
2022/6/30,60,"['又', '来', '忽悠', '了']",-5.0,166,-1
2022/6/30,63,"['你', '个', '没用', '的', '东西', '[', '捂脸', ']']",-6.0,552,-1
2022/6/29,74,"['大盘', '放量', '下跌', '，', '主力', '借', '利好', '出货']",7.0,382,1
2022/6/29,78,"['$', '新和成', '(', 'SZ002001', ')', '$', '这么', '点', '换手率', '，', '无量', '磨蹭', '磨蹭', '，', '小散']",7.0,183,1
2022/6/29,79,"['$', '新和成', '(', 'SZ002001', ')', '$', '漂亮', '！', '保持', '这样', '下月', '发工资', '再加', '仓']",6.0,345,1
2022/6/29,84,"['$', '新和成', '(', 'SZ002001', ')', '$', '这股', '就', '看', '主力', '的', '脸色', '！', '不看', '板块', '！', '也']",7.0,421,1
2022/6/29,86,"['$', '新和成', '(', 'SZ002001', ')', '$', '短线', '有', '补涨', '要求', '，', '可', '积极', '跟进', '。', '我', '已']",11.0,391,1
2022/6/29,87,"['$', '新和成', '(', 'SZ002001', ')', '$', '每次', '和', '大盘', '反着', '来', '，', '说明', '主力', '控制', '程']",6.0,376,1
2022/6/28,94,"['新', '和', '成桩', '家', '把舵', '放心', '持股', '，', '涨跌', '常在', '，', '上市', '以来', '分红', '送股']",7.0,632,1
2022/6/28,97,"['新和成', '的', '弟弟', '福元', '医药', '30', '日', '上市', '，', '欢迎', '大家', '来', '捧场', '[', '财力', ']']",-6.0,394,-1
2022/6/28,126,"['$', '新和成', '(', 'SZ002001', ')', '$', '请问', '豪杰', '春香', '维生素', '涨', '的', '时候', '新和成']",8.0,382,1
2022/6/28,127,"['上面', '套', '了', '那么', '多', '，', '哪个', '庄会', '好心', '给', '他们', '解套']",16.0,398,1
2022/6/28,128,"['理论', '上', '暴跌', '1', '个点', '，', '技术', '上', '讲', '上涨', '半个', '点', '[', '俏皮', ']', '[', '俏皮', ']']",10.0,194,1
