time,all_num_新和成,all_dic_score,新和成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,4,4.00,1.00,4,4.00,0,0.00
2021-01-02,5,1.00,0.40,3,3.00,2,-2.00
2021-01-03,5,5.00,1.00,5,5.00,0,0.00
2021-01-04,38,14.00,0.42,26,26.00,12,-12.00
2021-01-05,132,48.00,0.28,90,90.00,42,-42.00
2021-01-06,55,23.00,0.65,39,39.00,16,-16.00
2021-01-07,64,22.00,0.49,43,43.00,21,-21.00
2021-01-08,53,21.00,0.55,37,37.00,16,-16.00
2021-01-09,13,3.00,0.33,8,8.00,5,-5.00
2021-01-10,10,6.00,0.84,8,8.00,2,-2.00
2021-01-11,47,19.00,0.69,33,33.00,14,-14.00
2021-01-12,45,17.00,0.71,31,31.00,14,-14.00
2021-01-13,86,30.00,0.68,58,58.00,28,-28.00
2021-01-14,85,17.00,0.56,51,51.00,34,-34.00
2021-01-15,56,28.00,0.77,42,42.00,14,-14.00
2021-01-16,9,3.00,0.83,6,6.00,3,-3.00
2021-01-17,10,8.00,0.98,9,9.00,1,-1.00
2021-01-18,59,37.00,0.74,48,48.00,11,-11.00
2021-01-19,54,18.00,0.40,36,36.00,18,-18.00
2021-01-20,104,30.00,0.42,67,67.00,37,-37.00
2021-01-21,100,34.00,0.66,67,67.00,33,-33.00
2021-01-22,60,28.00,0.60,44,44.00,16,-16.00
2021-01-23,9,-1.00,0.62,4,4.00,5,-5.00
2021-01-24,14,10.00,0.93,12,12.00,2,-2.00
2021-01-25,66,20.00,-0.54,43,43.00,23,-23.00
2021-01-26,43,15.00,0.38,29,29.00,14,-14.00
2021-01-27,31,15.00,0.68,23,23.00,8,-8.00
2021-01-28,55,9.00,0.35,32,32.00,23,-23.00
2021-01-29,30,16.00,0.66,23,23.00,7,-7.00
2021-01-30,7,-1.00,0.07,3,3.00,4,-4.00
2021-01-31,7,1.00,0.35,4,4.00,3,-3.00
2021-02-01,20,10.00,0.74,15,15.00,5,-5.00
2021-02-02,29,13.00,0.87,21,21.00,8,-8.00
2021-02-03,27,3.00,0.22,15,15.00,12,-12.00
2021-02-04,30,8.00,0.34,19,19.00,11,-11.00
2021-02-05,107,-3.00,0.11,52,52.00,55,-55.00
2021-02-06,10,6.00,0.69,8,8.00,2,-2.00
2021-02-07,8,6.00,0.93,7,7.00,1,-1.00
2021-02-08,61,13.00,0.38,37,37.00,24,-24.00
2021-02-09,30,10.00,-0.49,20,20.00,10,-10.00
2021-02-10,35,11.00,0.67,23,23.00,12,-12.00
2021-02-12,3,1.00,0.46,2,2.00,1,-1.00
2021-02-14,1,1.00,1.00,1,1.00,0,0.00
2021-02-15,1,1.00,1.00,1,1.00,0,0.00
2021-02-16,7,1.00,0.17,4,4.00,3,-3.00
2021-02-17,6,2.00,0.75,4,4.00,2,-2.00
2021-02-18,58,10.00,0.31,34,34.00,24,-24.00
2021-02-19,41,13.00,0.56,27,27.00,14,-14.00
2021-02-20,14,0.00,-0.22,7,7.00,7,-7.00
2021-02-21,9,-1.00,0.09,4,4.00,5,-5.00
2021-02-22,60,22.00,0.18,41,41.00,19,-19.00
2021-02-23,51,5.00,-0.61,28,28.00,23,-23.00
2021-02-24,45,11.00,0.40,28,28.00,17,-17.00
2021-02-25,79,15.00,-0.05,47,47.00,32,-32.00
2021-02-26,40,14.00,-0.41,27,27.00,13,-13.00
2021-02-27,12,0.00,0.43,6,6.00,6,-6.00
2021-02-28,9,1.00,0.83,5,5.00,4,-4.00
2021-03-01,47,19.00,0.83,33,33.00,14,-14.00
2021-03-02,61,29.00,-0.13,45,45.00,16,-16.00
2021-03-03,57,7.00,0.73,32,32.00,25,-25.00
2021-03-04,107,25.00,0.82,66,66.00,41,-41.00
2021-03-05,56,20.00,0.42,38,38.00,18,-18.00
2021-03-06,11,5.00,0.50,8,8.00,3,-3.00
2021-03-07,13,7.00,0.70,10,10.00,3,-3.00
2021-03-08,39,9.00,-0.20,24,24.00,15,-15.00
2021-03-09,42,18.00,-0.13,30,30.00,12,-12.00
2021-03-10,44,12.00,0.72,28,28.00,16,-16.00
2021-03-11,43,11.00,0.77,27,27.00,16,-16.00
2021-03-12,49,25.00,0.78,37,37.00,12,-12.00
2021-03-13,7,5.00,0.82,6,6.00,1,-1.00
2021-03-14,7,5.00,0.69,6,6.00,1,-1.00
2021-03-15,31,13.00,0.59,22,22.00,9,-9.00
2021-03-16,66,-2.00,0.13,32,32.00,34,-34.00
2021-03-17,36,4.00,0.57,20,20.00,16,-16.00
2021-03-18,54,6.00,0.21,30,30.00,24,-24.00
2021-03-19,55,17.00,0.82,36,36.00,19,-19.00
2021-03-20,15,7.00,0.70,11,11.00,4,-4.00
2021-03-21,11,9.00,0.69,10,10.00,1,-1.00
2021-03-22,49,9.00,0.59,29,29.00,20,-20.00
2021-03-23,48,6.00,0.58,27,27.00,21,-21.00
2021-03-24,102,2.00,0.20,52,52.00,50,-50.00
2021-03-25,75,15.00,0.10,45,45.00,30,-30.00
2021-03-26,79,3.00,-0.17,41,41.00,38,-38.00
2021-03-27,6,4.00,0.89,5,5.00,1,-1.00
2021-03-28,6,6.00,1.00,6,6.00,0,0.00
2021-03-29,44,14.00,0.46,29,29.00,15,-15.00
2021-03-30,119,77.00,0.41,98,98.00,21,-21.00
2021-03-31,84,44.00,0.79,64,64.00,20,-20.00
2021-04-01,48,24.00,0.83,36,36.00,12,-12.00
2021-04-02,46,0.00,0.67,23,23.00,23,-23.00
2021-04-03,7,1.00,0.46,4,4.00,3,-3.00
2021-04-04,6,2.00,0.69,4,4.00,2,-2.00
2021-04-05,6,6.00,1.00,6,6.00,0,0.00
2021-04-06,41,5.00,0.34,23,23.00,18,-18.00
2021-04-07,54,6.00,0.11,30,30.00,24,-24.00
2021-04-08,41,1.00,-0.40,21,21.00,20,-20.00
2021-04-09,31,7.00,0.42,19,19.00,12,-12.00
2021-04-10,10,4.00,0.66,7,7.00,3,-3.00
2021-04-11,3,1.00,0.61,2,2.00,1,-1.00
2021-04-12,97,25.00,0.78,61,61.00,36,-36.00
2021-04-13,46,8.00,0.25,27,27.00,19,-19.00
2021-04-14,82,8.00,0.10,45,45.00,37,-37.00
2021-04-15,71,1.00,0.10,36,36.00,35,-35.00
2021-04-16,59,11.00,-0.30,35,35.00,24,-24.00
2021-04-17,4,0.00,-0.26,2,2.00,2,-2.00
2021-04-18,5,3.00,0.65,4,4.00,1,-1.00
2021-04-19,36,10.00,0.42,23,23.00,13,-13.00
2021-04-20,64,2.00,0.79,33,33.00,31,-31.00
2021-04-21,66,8.00,0.11,37,37.00,29,-29.00
2021-04-22,57,-7.00,0.06,25,25.00,32,-32.00
2021-04-23,57,23.00,0.67,40,40.00,17,-17.00
2021-04-24,7,5.00,0.88,6,6.00,1,-1.00
2021-04-25,11,5.00,0.73,8,8.00,3,-3.00
2021-04-26,77,27.00,0.75,52,52.00,25,-25.00
2021-04-27,23,9.00,0.82,16,16.00,7,-7.00
2021-04-28,74,30.00,0.58,52,52.00,22,-22.00
2021-04-29,72,16.00,0.60,44,44.00,28,-28.00
2021-04-30,88,16.00,0.58,52,52.00,36,-36.00
2021-05-01,15,7.00,0.67,11,11.00,4,-4.00
2021-05-02,3,-1.00,-0.52,1,1.00,2,-2.00
2021-05-03,2,2.00,1.00,2,2.00,0,0.00
2021-05-04,4,0.00,-0.03,2,2.00,2,-2.00
2021-05-05,5,1.00,0.91,3,3.00,2,-2.00
2021-05-06,30,0.00,0.58,15,15.00,15,-15.00
2021-05-07,43,17.00,0.69,30,30.00,13,-13.00
2021-05-08,7,1.00,0.05,4,4.00,3,-3.00
2021-05-09,6,4.00,0.68,5,5.00,1,-1.00
2021-05-10,51,1.00,0.13,26,26.00,25,-25.00
2021-05-11,63,11.00,0.51,37,37.00,26,-26.00
2021-05-12,45,-1.00,0.37,22,22.00,23,-23.00
2021-05-13,26,12.00,0.86,19,19.00,7,-7.00
2021-05-14,25,5.00,0.70,15,15.00,10,-10.00
2021-05-15,9,5.00,0.56,7,7.00,2,-2.00
2021-05-16,14,8.00,0.65,11,11.00,3,-3.00
2021-05-17,59,21.00,0.20,40,40.00,19,-19.00
2021-05-18,98,38.00,0.68,68,68.00,30,-30.00
2021-05-19,88,0.00,0.36,44,44.00,44,-44.00
2021-05-20,57,9.00,-0.00,33,33.00,24,-24.00
2021-05-21,44,8.00,0.43,26,26.00,18,-18.00
2021-05-22,7,7.00,1.00,7,7.00,0,0.00
2021-05-23,12,8.00,0.93,10,10.00,2,-2.00
2021-05-24,46,10.00,0.49,28,28.00,18,-18.00
2021-05-25,75,1.00,0.23,38,38.00,37,-37.00
2021-05-26,42,2.00,0.39,22,22.00,20,-20.00
2021-05-27,56,2.00,0.32,29,29.00,27,-27.00
2021-05-28,146,-12.00,0.16,67,67.00,79,-79.00
2021-05-29,12,6.00,-0.08,9,9.00,3,-3.00
2021-05-30,16,12.00,0.86,14,14.00,2,-2.00
2021-05-31,106,6.00,0.16,56,56.00,50,-50.00
2021-06-01,73,21.00,0.41,47,47.00,26,-26.00
2021-06-02,108,-4.00,0.06,52,52.00,56,-56.00
2021-06-03,55,15.00,0.43,35,35.00,20,-20.00
2021-06-04,82,-2.00,0.06,40,40.00,42,-42.00
2021-06-05,6,4.00,0.72,5,5.00,1,-1.00
2021-06-06,10,4.00,0.72,7,7.00,3,-3.00
2021-06-07,32,4.00,0.58,18,18.00,14,-14.00
2021-06-08,57,25.00,0.80,41,41.00,16,-16.00
2021-06-09,51,-7.00,0.07,22,22.00,29,-29.00
2021-06-10,130,-6.00,0.11,62,62.00,68,-68.00
2021-06-11,88,-6.00,0.12,41,41.00,47,-47.00
2021-06-12,5,3.00,0.63,4,4.00,1,-1.00
2021-06-13,4,2.00,0.64,3,3.00,1,-1.00
2021-06-14,14,6.00,0.72,10,10.00,4,-4.00
2021-06-15,66,8.00,0.36,37,37.00,29,-29.00
2021-06-16,47,5.00,0.29,26,26.00,21,-21.00
2021-06-17,140,-2.00,0.21,69,69.00,71,-71.00
2021-06-18,137,-1.00,0.15,68,68.00,69,-69.00
2021-06-19,6,-2.00,0.63,2,2.00,4,-4.00
2021-06-20,13,3.00,0.38,8,8.00,5,-5.00
2021-06-21,118,12.00,0.29,65,65.00,53,-53.00
2021-06-22,63,19.00,0.41,41,41.00,22,-22.00
2021-06-23,74,-6.00,0.05,34,34.00,40,-40.00
2021-06-24,68,0.00,0.21,34,34.00,34,-34.00
2021-06-25,60,0.00,0.45,30,30.00,30,-30.00
2021-06-26,7,-1.00,0.22,3,3.00,4,-4.00
2021-06-27,6,2.00,0.75,4,4.00,2,-2.00
2021-06-28,46,-8.00,0.16,19,19.00,27,-27.00
2021-06-29,146,0.00,0.13,73,73.00,73,-73.00
2021-06-30,95,-19.00,0.08,38,38.00,57,-57.00
2021-07-01,70,28.00,0.59,49,49.00,21,-21.00
2021-07-02,47,1.00,0.30,24,24.00,23,-23.00
2021-07-03,11,3.00,0.49,7,7.00,4,-4.00
2021-07-04,11,1.00,0.69,6,6.00,5,-5.00
2021-07-05,89,3.00,0.12,46,46.00,43,-43.00
2021-07-06,67,11.00,0.29,39,39.00,28,-28.00
2021-07-07,89,-5.00,0.09,42,42.00,47,-47.00
2021-07-08,143,11.00,0.40,77,77.00,66,-66.00
2021-07-09,66,6.00,0.34,36,36.00,30,-30.00
2021-07-10,15,9.00,0.60,12,12.00,3,-3.00
2021-07-11,15,1.00,0.46,8,8.00,7,-7.00
2021-07-12,106,20.00,0.39,63,63.00,43,-43.00
2021-07-13,60,14.00,0.26,37,37.00,23,-23.00
2021-07-14,37,9.00,0.46,23,23.00,14,-14.00
2021-07-15,77,15.00,0.34,46,46.00,31,-31.00
2021-07-16,48,6.00,0.16,27,27.00,21,-21.00
2021-07-17,5,5.00,1.00,5,5.00,0,0.00
2021-07-18,8,6.00,0.75,7,7.00,1,-1.00
2021-07-19,66,2.00,0.23,34,34.00,32,-32.00
2021-07-20,52,-10.00,-0.10,21,21.00,31,-31.00
2021-07-21,126,4.00,0.25,65,65.00,61,-61.00
2021-07-22,108,20.00,0.31,64,64.00,44,-44.00
2021-07-23,132,-2.00,0.20,65,65.00,67,-67.00
2021-07-24,12,-4.00,0.02,4,4.00,8,-8.00
2021-07-25,16,2.00,0.58,9,9.00,7,-7.00
2021-07-26,56,0.00,0.12,28,28.00,28,-28.00
2021-07-27,113,15.00,0.30,64,64.00,49,-49.00
2021-07-28,75,15.00,0.37,45,45.00,30,-30.00
2021-07-29,58,20.00,0.54,39,39.00,19,-19.00
2021-07-30,83,15.00,0.28,49,49.00,34,-34.00
2021-07-31,12,2.00,0.26,7,7.00,5,-5.00
2021-08-01,4,4.00,1.00,4,4.00,0,0.00
2021-08-02,68,14.00,0.25,41,41.00,27,-27.00
2021-08-03,66,10.00,0.27,38,38.00,28,-28.00
2021-08-04,47,3.00,0.34,25,25.00,22,-22.00
2021-08-05,52,0.00,0.51,26,26.00,26,-26.00
2021-08-06,98,8.00,0.22,53,53.00,45,-45.00
2021-08-07,7,5.00,0.64,6,6.00,1,-1.00
2021-08-08,17,11.00,0.81,14,14.00,3,-3.00
2021-08-09,67,15.00,0.32,41,41.00,26,-26.00
2021-08-10,58,14.00,0.36,36,36.00,22,-22.00
2021-08-11,52,14.00,0.43,33,33.00,19,-19.00
2021-08-12,70,10.00,0.37,40,40.00,30,-30.00
2021-08-13,129,21.00,0.30,75,75.00,54,-54.00
2021-08-14,12,8.00,0.47,10,10.00,2,-2.00
2021-08-15,20,2.00,0.49,11,11.00,9,-9.00
2021-08-16,119,29.00,0.42,74,74.00,45,-45.00
2021-08-17,122,20.00,0.20,71,71.00,51,-51.00
2021-08-18,78,24.00,0.29,51,51.00,27,-27.00
2021-08-19,175,61.00,0.46,118,118.00,57,-57.00
2021-08-20,129,39.00,0.53,84,84.00,45,-45.00
2021-08-21,26,14.00,0.77,20,20.00,6,-6.00
2021-08-22,25,17.00,0.76,21,21.00,4,-4.00
2021-08-23,149,25.00,0.48,87,87.00,62,-62.00
2021-08-24,86,28.00,0.57,57,57.00,29,-29.00
2021-08-25,73,27.00,0.46,50,50.00,23,-23.00
2021-08-26,74,18.00,0.65,46,46.00,28,-28.00
2021-08-27,66,6.00,0.28,36,36.00,30,-30.00
2021-08-28,9,3.00,0.49,6,6.00,3,-3.00
2021-08-29,23,15.00,0.86,19,19.00,4,-4.00
2021-08-30,69,13.00,0.61,41,41.00,28,-28.00
2021-08-31,66,16.00,0.56,41,41.00,25,-25.00
2021-09-01,61,9.00,0.14,35,35.00,26,-26.00
2021-09-02,71,9.00,0.47,40,40.00,31,-31.00
2021-09-03,64,20.00,0.59,42,42.00,22,-22.00
2021-09-04,6,2.00,0.53,4,4.00,2,-2.00
2021-09-05,13,11.00,-0.11,12,12.00,1,-1.00
2021-09-06,83,23.00,0.42,53,53.00,30,-30.00
2021-09-07,43,9.00,0.40,26,26.00,17,-17.00
2021-09-08,78,-2.00,0.22,38,38.00,40,-40.00
2021-09-09,57,15.00,0.29,36,36.00,21,-21.00
2021-09-10,70,26.00,0.74,48,48.00,22,-22.00
2021-09-11,7,-1.00,0.07,3,3.00,4,-4.00
2021-09-12,13,5.00,0.58,9,9.00,4,-4.00
2021-09-13,58,-6.00,-0.09,26,26.00,32,-32.00
2021-09-14,49,11.00,0.20,30,30.00,19,-19.00
2021-09-15,37,13.00,0.60,25,25.00,12,-12.00
2021-09-16,65,29.00,0.73,47,47.00,18,-18.00
2021-09-17,49,-7.00,0.19,21,21.00,28,-28.00
2021-09-18,3,1.00,0.51,2,2.00,1,-1.00
2021-09-19,3,3.00,1.00,3,3.00,0,0.00
2021-09-20,2,2.00,1.00,2,2.00,0,0.00
2021-09-21,5,3.00,0.88,4,4.00,1,-1.00
2021-09-22,96,16.00,0.30,56,56.00,40,-40.00
2021-09-23,60,18.00,0.78,39,39.00,21,-21.00
2021-09-24,139,19.00,0.34,79,79.00,60,-60.00
2021-09-25,16,6.00,0.15,11,11.00,5,-5.00
2021-09-26,19,15.00,0.77,17,17.00,2,-2.00
2021-09-27,154,8.00,0.13,81,81.00,73,-73.00
2021-09-28,94,16.00,0.25,55,55.00,39,-39.00
2021-09-29,78,10.00,0.39,44,44.00,34,-34.00
2021-09-30,44,22.00,0.68,33,33.00,11,-11.00
2021-10-01,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-02,1,1.00,1.00,1,1.00,0,0.00
2021-10-03,2,2.00,1.00,2,2.00,0,0.00
2021-10-04,3,1.00,0.48,2,2.00,1,-1.00
2021-10-05,2,2.00,1.00,2,2.00,0,0.00
2021-10-06,2,0.00,0.53,1,1.00,1,-1.00
2021-10-07,6,4.00,0.12,5,5.00,1,-1.00
2021-10-08,70,20.00,0.54,45,45.00,25,-25.00
2021-10-09,5,-1.00,-0.43,2,2.00,3,-3.00
2021-10-10,6,0.00,-0.03,3,3.00,3,-3.00
2021-10-11,42,4.00,0.22,23,23.00,19,-19.00
2021-10-12,81,1.00,0.30,41,41.00,40,-40.00
2021-10-13,56,14.00,0.68,35,35.00,21,-21.00
2021-10-14,70,-8.00,-0.05,31,31.00,39,-39.00
2021-10-15,106,0.00,0.11,53,53.00,53,-53.00
2021-10-16,10,-2.00,-0.12,4,4.00,6,-6.00
2021-10-17,15,-3.00,-0.06,6,6.00,9,-9.00
2021-10-18,45,-1.00,0.11,22,22.00,23,-23.00
2021-10-19,65,-5.00,-0.02,30,30.00,35,-35.00
2021-10-20,40,18.00,0.67,29,29.00,11,-11.00
2021-10-21,35,7.00,0.42,21,21.00,14,-14.00
2021-10-22,42,-4.00,0.10,19,19.00,23,-23.00
2021-10-23,8,6.00,0.72,7,7.00,1,-1.00
2021-10-24,5,5.00,1.00,5,5.00,0,0.00
2021-10-25,41,-3.00,0.22,19,19.00,22,-22.00
2021-10-26,37,-7.00,-0.11,15,15.00,22,-22.00
2021-10-27,25,9.00,0.64,17,17.00,8,-8.00
2021-10-28,58,18.00,0.41,38,38.00,20,-20.00
2021-10-29,48,16.00,0.70,32,32.00,16,-16.00
2021-10-30,11,7.00,0.89,9,9.00,2,-2.00
2021-10-31,8,8.00,1.00,8,8.00,0,0.00
2021-11-01,25,5.00,0.34,15,15.00,10,-10.00
2021-11-02,58,4.00,0.45,31,31.00,27,-27.00
2021-11-03,48,10.00,0.53,29,29.00,19,-19.00
2021-11-04,117,19.00,0.36,68,68.00,49,-49.00
2021-11-05,38,-6.00,0.08,16,16.00,22,-22.00
2021-11-06,4,2.00,0.45,3,3.00,1,-1.00
2021-11-07,8,8.00,1.00,8,8.00,0,0.00
2021-11-08,48,16.00,0.35,32,32.00,16,-16.00
2021-11-09,46,6.00,0.55,26,26.00,20,-20.00
2021-11-10,42,8.00,0.45,25,25.00,17,-17.00
2021-11-11,40,20.00,0.66,30,30.00,10,-10.00
2021-11-12,25,1.00,0.14,13,13.00,12,-12.00
2021-11-13,5,5.00,1.00,5,5.00,0,0.00
2021-11-14,6,6.00,1.00,6,6.00,0,0.00
2021-11-15,45,-3.00,0.09,21,21.00,24,-24.00
2021-11-16,46,12.00,0.64,29,29.00,17,-17.00
2021-11-17,101,41.00,0.70,71,71.00,30,-30.00
2021-11-18,97,23.00,0.62,60,60.00,37,-37.00
2021-11-19,44,10.00,0.62,27,27.00,17,-17.00
2021-11-20,9,1.00,-0.71,5,5.00,4,-4.00
2021-11-21,16,0.00,0.04,8,8.00,8,-8.00
2021-11-22,106,6.00,0.24,56,56.00,50,-50.00
2021-11-23,94,4.00,0.39,49,49.00,45,-45.00
2021-11-24,69,27.00,0.49,48,48.00,21,-21.00
2021-11-25,59,17.00,0.56,38,38.00,21,-21.00
2021-11-26,28,8.00,0.52,18,18.00,10,-10.00
2021-11-27,10,0.00,0.15,5,5.00,5,-5.00
2021-11-28,10,2.00,0.47,6,6.00,4,-4.00
2021-11-29,44,24.00,0.73,34,34.00,10,-10.00
2021-11-30,62,4.00,0.42,33,33.00,29,-29.00
2021-12-01,50,4.00,0.25,27,27.00,23,-23.00
2021-12-02,47,7.00,0.32,27,27.00,20,-20.00
2021-12-03,55,1.00,0.14,28,28.00,27,-27.00
2021-12-04,5,3.00,0.57,4,4.00,1,-1.00
2021-12-05,5,3.00,0.69,4,4.00,1,-1.00
2021-12-06,58,6.00,0.35,32,32.00,26,-26.00
2021-12-07,44,26.00,0.78,35,35.00,9,-9.00
2021-12-08,26,8.00,0.71,17,17.00,9,-9.00
2021-12-09,52,0.00,0.24,26,26.00,26,-26.00
2021-12-10,66,18.00,0.49,42,42.00,24,-24.00
2021-12-11,7,1.00,0.37,4,4.00,3,-3.00
2021-12-12,13,7.00,0.82,10,10.00,3,-3.00
2021-12-13,47,1.00,0.84,24,24.00,23,-23.00
2021-12-14,30,-2.00,-0.10,14,14.00,16,-16.00
2021-12-15,61,5.00,0.48,33,33.00,28,-28.00
2021-12-16,55,7.00,0.17,31,31.00,24,-24.00
2021-12-17,42,14.00,0.41,28,28.00,14,-14.00
2021-12-18,2,2.00,1.00,2,2.00,0,0.00
2021-12-19,5,3.00,0.69,4,4.00,1,-1.00
2021-12-20,14,4.00,0.23,9,9.00,5,-5.00
2021-12-21,23,13.00,0.65,18,18.00,5,-5.00
2021-12-22,45,11.00,0.39,28,28.00,17,-17.00
2021-12-23,58,0.00,0.26,29,29.00,29,-29.00
2021-12-24,33,15.00,0.57,24,24.00,9,-9.00
2021-12-25,2,2.00,1.00,2,2.00,0,0.00
2021-12-26,17,11.00,0.73,14,14.00,3,-3.00
2021-12-27,49,9.00,0.58,29,29.00,20,-20.00
2021-12-28,61,29.00,0.64,45,45.00,16,-16.00
2021-12-29,31,15.00,0.78,23,23.00,8,-8.00
2021-12-30,46,6.00,0.65,26,26.00,20,-20.00
2021-12-31,32,10.00,0.44,21,21.00,11,-11.00
2022-01-01,9,5.00,0.82,7,7.00,2,-2.00
2022-01-02,6,4.00,0.80,5,5.00,1,-1.00
2022-01-03,4,4.00,1.00,4,4.00,0,0.00
2022-01-04,38,12.00,0.33,25,25.00,13,-13.00
2022-01-05,36,14.00,0.13,25,25.00,11,-11.00
2022-01-06,26,4.00,0.30,15,15.00,11,-11.00
2022-01-07,35,11.00,0.59,23,23.00,12,-12.00
2022-01-08,9,1.00,0.28,5,5.00,4,-4.00
2022-01-09,5,5.00,1.00,5,5.00,0,0.00
2022-01-10,35,7.00,0.19,21,21.00,14,-14.00
2022-01-11,46,8.00,0.33,27,27.00,19,-19.00
2022-01-12,30,6.00,0.34,18,18.00,12,-12.00
2022-01-13,41,-7.00,0.07,17,17.00,24,-24.00
2022-01-14,29,-3.00,-0.01,13,13.00,16,-16.00
2022-01-15,5,1.00,0.44,3,3.00,2,-2.00
2022-01-16,3,1.00,0.43,2,2.00,1,-1.00
2022-01-17,130,46.00,0.45,88,88.00,42,-42.00
2022-01-18,62,26.00,0.53,44,44.00,18,-18.00
2022-01-19,72,22.00,0.55,47,47.00,25,-25.00
2022-01-20,46,26.00,0.77,36,36.00,10,-10.00
2022-01-21,52,16.00,0.39,34,34.00,18,-18.00
2022-01-22,2,2.00,1.00,2,2.00,0,0.00
2022-01-23,6,6.00,1.00,6,6.00,0,0.00
2022-01-24,37,23.00,0.76,30,30.00,7,-7.00
2022-01-25,47,17.00,0.69,32,32.00,15,-15.00
2022-01-26,38,22.00,0.83,30,30.00,8,-8.00
2022-01-27,29,17.00,0.70,23,23.00,6,-6.00
2022-01-28,46,20.00,0.52,33,33.00,13,-13.00
2022-01-29,6,6.00,1.00,6,6.00,0,0.00
2022-01-30,2,2.00,1.00,2,2.00,0,0.00
2022-01-31,2,2.00,1.00,2,2.00,0,0.00
2022-02-01,3,3.00,1.00,3,3.00,0,0.00
2022-02-02,2,2.00,1.00,2,2.00,0,0.00
2022-02-03,1,1.00,1.00,1,1.00,0,0.00
2022-02-04,1,-1.00,-1.00,0,0.00,1,-1.00
