time,no,review,score,read_volume,label
2022-06-30,1,"['尊敬', '的', '董秘', '你好', '：', '贵司', '投资', '的', '福元', '医药', '于', '6', '月', '30', '日', '上市', '，']",3.0,1477,1
2022-06-30,2,"['$', '新和成', '(', 'SZ002001', ')', '$', '拿', '着', '手机', '，', '盯', '着', '屏幕', '，', '盘', '了', '一天', '，', '盘']",0.0,394,-1
2022-06-30,3,"['新', ' ', '和', ' ', '成', '(', 'SZ002001', ')', '$', ' ', ' ', '我', '对', '你', '忍无可忍', '了']",-7.0,260,-1
2022-06-30,4,"['$', '新和成', '(', 'SZ002001', ')', '$', '今服', '美股', '大跌', '，', '大', 'A', '走向', '上', '独立', '行情']",0.0,171,1
2022-06-30,5,"['把', '票', '都', '拿', '好', '了', '，', '线', '开始', '走平', '了', '，', '接下来', '填权行情', '就要', '上演']",0.0,490,1
2022-06-30,6,"['$', '新和成', '(', 'SZ002001', ')', '$', '明天', '割肉']",-1.0,305,1
2022-06-30,7,"['这一波', '行情', '估计', '马上', '结束', '啦', '，', '不知', '套', '在', '新', '和', '成', '里面', '的', '伙伴']",-1.0,376,1
2022-06-30,8,"['$', '新和成', '(', 'SZ002001', ')', '$']",0.0,300,-1
2022-06-30,9,"['新和成', ':', '关于', '控股', '股东', '增持', '公司', '股份', '计划', '的', '公告']",1.0,6303,1
2022-06-30,10,"['董秘', '您好', '！', '随着', '公司', '板块', '的', '产品', '的', '发展', '和', '新', '产品', '的', '不断', '投']",0.0,1078,1
2022-06-30,11,"['董秘', '您好', '！', '请问', '公司', '在建', '薄荷醇', '5000', '吨', '产能', '目前', '是否', '已经']",0.0,731,1
2022-06-30,12,"['公司', '玉米', '原料', '每年', '大概', '需求量', '是', '多少', '？']",0.0,413,1
2022-06-30,13,"['尊敬', '的', '公司', '领导', '：', '请问', '今年', '试生产', '的', '维生素', 'B6', '、', 'B12', '以及']",3.0,490,1
2022-06-30,14,"['董秘', '你好', '！', '在', '潍坊', '滨海', '相关', '网站', '看到', '公司', '最近', '的', '环保', '公示']",0.0,3448,1
2022-06-30,15,"['新和成', '：', '没个', '尿性', '，', '怂', '了', '？', '绿帽子', '戴起来', '！']",0.0,323,1
2022-06-30,16,"['$', '新和成', '(', 'SZ002001', ')', '$', '我', '对', '你', '忍无可忍', '了']",-7.0,406,-1
2022-06-30,17,"['福元', '药业', '涨', '了', '44', '个点', '！', '你', '好歹', '涨', '4.4', '个点', '也', '行', '啊', '！']",2.0,290,1
2022-06-30,18,"['$', '新和成', '(', 'SZ002001', ')', '$', '几个', '星期', '都', '是', '横着', '压着', '没量', '能', '，', '冲风']",-1.0,408,1
2022-06-30,19,"['老福元', '吧']",0.0,147,-1
2022-06-30,20,"['不等', '了', '，', '我', '一', '割肉', '就', '涨', '，', '祝愿', '各位', '好运', '，', '我', '割肉', '了', '，', '拿', '了']",5.0,384,1
2022-06-30,21,"['$', '新和成', '(', 'SZ002001', ')', '$', '上不去', '就', '崩', '了', '吧', '，', '磨磨', '唧唧', '看得', '累', '，']",0.0,206,1
2022-06-30,22,"['为什么', '压着', '不涨']",0.0,262,-1
2022-06-30,23,"['$', '新和成', '(', 'SZ002001', ')', '$', '像', '只', '趴在', '地下', '的', '一样']",0.0,157,-1
2022-06-30,24,"['$', '新和成', '(', 'SZ002001', ')', '$', 'MACD', '马上', '死叉', '，', '下跌', '继续', '回调', '，', '最近']",-3.0,343,1
2022-06-30,25,"['$', '新和成', '(', 'SZ002001', ')', '$', '这', '成交量', '，', '这', '换手率', '，', '怎么', '跟个', '要', '退']",0.0,152,1
2022-06-30,26,"['$', '新和成', '(', 'SZ002001', ')', '$', '必须', '绿给', '你', '看']",7.0,145,1
2022-06-30,27,"['一个点', '都', '收', '不', '回来', '还特', '么', '的', '龙头', '维生素']",-1.0,172,-1
2022-06-30,28,"['$', '新和成', '(', 'SZ002001', ')', '$', '清仓', '走人', '[', '抓狂', ']']",-2.0,160,1
2022-06-30,29,"['福元', '上市', '，', '涨停', '牌', '啦', '，', '别', '被', '主力', '以', '维生素', '价格', '走低', '骗走', '筹']",-7.0,461,-1
2022-06-30,30,"['这', '垃圾', '东西', '缩量', '第二天', '都', '是', '跌', '，', '走人', '了']",-4.0,143,-1
2022-06-30,31,"['$', '新和成', '(', 'SZ002001', ')', '$', '绿', '了', '绿', '了']",0.0,149,-1
2022-06-30,32,"['$', '新和成', '(', 'SZ002001', ')', '$', '狗', '垃圾']",-1.0,143,-1
2022-06-30,33,"['走', '了']",0.0,222,-1
2022-06-30,34,"['卖', '吧', '，', '大家', '快卖', '了', '吧', '，', '这个', '不争气', '的', '东西', '会', '浪费', '这波', '行情']",-10.0,156,-1
2022-06-30,35,"['$', '新和成', '(', 'SZ002001', ')', '$', '都', '抓着不放', '没量', '也', '就', '这样', '大家', '磨蹭', '磨']",0.0,159,1
2022-06-30,36,"['我己', '经忍', '你', '很久', '了', '！']",0.0,140,-1
2022-06-30,37,"['$', '新和成', '(', 'SZ002001', ')', '$', '一会', '就', '绿', '给', '你', '看', '[', '鼓掌', ']']",0.0,213,1
2022-06-30,38,"['最近', '小新', '的', '尿性', '，', '就是', '跟', '跌', '不', '跟涨', '[', '捂脸', ']']",-2.0,153,1
