time,no,review,score,read_volume,label
2022/6/30,4,"['星宇', '股份', '6', '月', '30', '日', '快速', '反弹']",6.0,263,1
2022/6/24,23,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '感谢', '主力', '给', '机会', '半年', '了', '，', '终于', '回', '本']",11.0,449,1
2022/6/24,24,"['星宇', '股份', '6', '月', '24', '日', '快速', '反弹']",6.0,284,1
2022/6/23,29,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '你', '是', '真', '没用']",-5.0,439,-1
2022/6/23,31,"['星宇', '股份', '6', '月', '23', '日', '快速', '上涨']",6.0,261,1
2022/6/21,41,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '来个', '跌停', '多', '快活', '啊', '，', 'b']",20.0,391,1
2022/6/14,64,"['星宇', '股份', '6', '月', '14', '日', '快速', '上涨']",6.0,268,1
2022/6/14,65,"['星宇', '股份', '6', '月', '14', '日', '快速', '反弹']",6.0,273,1
2022/6/13,68,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '今天', '表现', '不够', '好', '啊']",-5.0,611,-1
2022/6/13,73,"['星宇', '股份', '6', '月', '13', '日', '快速', '反弹']",6.0,270,1
2022/6/9,87,"['这么', '难', '起来']",7.0,516,1
2022/6/8,91,"['星宇', '股份', '6', '月', '8', '日', '快速', '反弹']",6.0,298,1
2022/6/6,98,"['黄金', '坑双', '锤打', '庄', '突破', '？', '银座', '股份', '遭游质', '抢筹', '天天', '堆', '巨量', '，']",12.0,431,1
2022/6/5,106,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '星宇', '股份', '的', '应对', '方案', '原来', '也', '说', '过', '16']",5.0,984,1
2022/6/2,117,"['星宇', '股份', '6', '月', '2', '日', '快速', '反弹']",6.0,275,1
2022/6/1,128,"['星宇', '股份', '6', '月', '1', '日', '快速', '上涨']",6.0,263,1
2022/5/30,143,"['星宇', '股份', '5', '月', '30', '日', '快速', '反弹']",6.0,281,1
2022/5/27,151,"['星宇', '股份', '5', '月', '27', '日', '快速', '上涨']",6.0,319,1
2022/5/26,163,"['星宇', '股份', '5', '月', '26', '日', '快速', '反弹']",6.0,308,1
2022/5/25,171,['完蛋'],-5.0,502,-1
2022/5/24,178,"['我', '朋友', '在', '星宇', '上班']",9.0,1156,1
2022/5/24,181,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '怎么', '封得', '犹犹豫豫', '的', '呢', '？']",-9.0,463,-1
2022/5/24,187,"['星宇', '股份', '5', '月', '24', '日', '快速', '上涨']",6.0,336,1
2022/5/20,199,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '星宇', '某些', '采购', '已经', '完全', '无视', '公司', '章']",-9.0,537,-1
2022/5/18,211,"['星宇', '股份', '5', '月', '18', '日', '快速', '反弹']",6.0,284,1
2022/5/17,217,"['星宇', '股份', '5', '月', '17', '日', '快速', '反弹']",6.0,260,1
2022/5/16,221,"['缺口', '必须', '得', '补', '了']",6.0,711,1
2022/5/12,233,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '真惨', '报团', '股', '瓦解', '，', '第二个', '科沃', '斯']",-5.0,530,-1
2022/5/10,241,"['星宇', '股份', '5', '月', '10', '日', '快速', '反弹']",6.0,505,1
2022/5/10,242,"['老', '吹牛', '？', '不', '，', '银座', '股份', '遭', '多家', '知名', '游猪', '摁', '锤', '。', '底部', '抢筹', '出']",-13.0,772,-1
2022/5/5,255,"['2022Q1', '业绩', '环比', '改善', '，', '在手', '订单', '饱满']",6.0,1364,1
2022/5/5,256,"['星宇', '股份', '5', '月', '5', '日', '快速', '反弹']",6.0,265,1
2022/4/29,268,"['主力', '都', '去', '哪里', '玩', '了']",7.0,741,1
2022/4/29,271,"['2022Q1', '业绩', '好于', '预期', '，', '车灯', '龙头', '依旧', '优秀']",7.0,1333,1
2022/4/29,275,"['星宇', '股份', '4', '月', '29', '日', '快速', '反弹']",6.0,277,1
2022/4/29,280,"['一季度', '归母', '净利润', '环比', '增长', '28%', '，', '盈利', '能力', '环']",8.0,1446,1
2022/4/28,287,"['谁', '在', '一直', '出货', '，', '主力', '都', '不敢', '拉', '，', '一拉', '他', '就', '出货']",7.0,734,1
2022/4/28,302,"['系列', '点评', '之十', '：', '毛利率', '环比', '回升', ' ', '车灯', '自主', '龙']",6.0,1018,1
2022/4/28,305,"['庄股', '无量', '拉升']",8.0,519,1
2022/4/28,306,"['星宇', '股份', '4', '月', '28', '日', '快速', '上涨']",6.0,265,1
2022/4/27,333,"['星宇', '股份', '4', '月', '27', '日', '快速', '上涨']",6.0,220,1
2022/4/26,345,"['大家', '别慌', '，', '主力', '在', '炼九阴', '白骨', '爪', '，', '练好', '了', '就', '开始', '涨', '，', '练', '不']",8.0,655,1
2022/4/26,349,"['沪', '港通', '再', '休息', '的', '时候', '对比', '一下', '走势', ' ', '公司', '可以', '适当', '权衡', '沪']",5.0,448,1
2022/4/26,355,"['倡议', '永久', '持有', '星宇']",6.0,426,1
2022/4/22,367,"['星宇', '股份', '4', '月', '22', '日', '快速', '上涨']",6.0,486,1
2022/4/21,375,"['星宇', '股份', '4', '月', '21', '日', '快速', '反弹']",6.0,414,1
2022/4/19,387,['变态'],-7.0,316,-1
2022/4/18,395,"['星宇', '股份', '4', '月', '18', '日', '快速', '反弹']",6.0,358,1
2022/4/18,398,['精彩'],7.0,385,1
2022/4/15,404,"['601799', ':', '董事', '、', '监事', '和', '高级', '管理人员', '所持', '本', '公司', '股份', '及其']",5.0,392,1
2022/4/15,413,"['星宇', '股份', '4', '月', '15', '日', '快速', '上涨']",6.0,300,1
