time,no,review,score,read_volume
2022/6/30,1,['转发'],0,363
2022/6/30,2,"['星宇', '股份', '6', '月', '30', '日', '盘中', '涨幅', '达', '5%']",1,268
2022/6/30,3,"['汽车', '上半场', '锂电', '，', '下半场', '是', '汽车', '电子', '智能化', '：', '经纬', '恒润', '，']",0,415
2022/6/30,4,"['星宇', '股份', '6', '月', '30', '日', '快速', '反弹']",6,263
2022/6/30,5,"['星宇', '股份', '06', '月', '29', '日', '被', '沪', '股通', '减持', '8.34', '万股']",-1,586
2022/6/30,6,"['星宇', '股份', '：', '融资', '净', '偿还', '122.8', '万元', '，', '融资', '余额', '5019.64', '万元']",-1,289
2022/6/29,7,"['听说', '星宇', '研究院', '的', '项目', '黄了', '，', '研究院', '已经', '凉', '了', '？']",0,620
2022/6/29,8,['转发'],0,275
2022/6/29,9,"['一汽', '销量', '下滑', '，', '业绩', '肯定', '大不如前', '，', '价格', '还', '这么', '高']",-1,582
2022/6/29,10,['转发'],0,256
2022/6/29,11,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '今天', '创新高']",1,630
2022/6/29,12,"['星宇', '股份', '06', '月', '28', '日获', '沪', '股通', '增持', '2.76', '万股']",1,279
2022/6/29,13,"['星宇', '股份', '：', '融资', '净', '买入', '303.48', '万元', '，', '融资', '余额', '5142.44', '万']",0,296
2022/6/28,14,"['顶背离', '，', '明天', '低开', '！', '后续', '难', '新高', '，', '等', '回调', '几天', '在', '进', '[', '笑', '哭', ']']",-1,735
2022/6/28,15,"['星宇', '股份', '06', '月', '27', '日', '被', '沪', '股通', '减持', '1.42', '万股']",-1,313
2022/6/28,16,"['星宇', '股份', '：', '融资', '净', '偿还', '134.97', '万元', '，', '融资', '余额', '4838.96', '万']",-1,306
2022/6/26,17,"['昨日', '163', '减', '，', '明天', '155', '增']",0,1304
2022/6/26,18,"['融资', '融券', '周', '汇总', '：', '星宇', '股份', '本周', '融资', '净', '偿还', '21.44', '万元']",-1,534
2022/6/26,19,"['星宇', '股份', '本周', '沪', '股通', '持股', '市值', '增加', '7122.56', '万元', '，', '居', '汽车']",1,593
2022/6/25,20,"['星宇', '股份', '06', '月', '24', '日', '被', '沪', '股通', '减持', '15.22', '万股']",-1,375
2022/6/25,21,"['星宇', '股份', '：', '融资', '净', '偿还', '211.7', '万元', '，', '融资', '余额', '4973.92', '万元']",-1,365
2022/6/24,22,"['啥时候', '能', '上', '170', '[', '为什么', ']']",0,985
2022/6/24,23,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '感谢', '主力', '给', '机会', '半年', '了', '，', '终于', '回', '本']",11,449
2022/6/24,24,"['星宇', '股份', '6', '月', '24', '日', '快速', '反弹']",6,284
2022/6/24,25,"['星宇', '股份', '06', '月', '23', '日获', '沪', '股通', '增持', '15.9', '万股']",1,294
2022/6/24,26,"['星宇', '股份', '：', '融资', '净', '买入', '77.73', '万元', '，', '融资', '余额', '5185.63', '万元']",0,309
2022/6/23,27,"['汽车', '上半场', '玩', '锂电', '，', '下半场', '是', '汽车', '电子', '智能化', '：', '浙江', '世宝']",0,504
2022/6/23,28,"['废物', '一个']",-1,594
2022/6/23,29,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '你', '是', '真', '没用']",-5,439
2022/6/23,30,"['星宇', '股份', '6', '月', '23', '日', '盘中', '涨幅', '达', '5%']",1,231
2022/6/23,31,"['星宇', '股份', '6', '月', '23', '日', '快速', '上涨']",6,261
2022/6/23,32,"['星宇', '股份', '06', '月', '22', '日获', '沪', '股通', '增持', '26.01', '万股']",1,263
2022/6/23,33,"['星宇', '股份', '：', '融资', '净', '偿还', '135.15', '万元', '，', '融资', '余额', '5107.9', '万元']",-1,288
2022/6/22,34,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '巴比', 'Q', '啦']",0,686
2022/6/22,35,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '没', '实力', '就别', '装逼']",-2,404
2022/6/22,36,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '美股', '大涨', '，', '新能源', '车', '大涨', '，', '明天', '咋']",2,583
2022/6/22,37,"['星宇', '股份', '06', '月', '21', '日获', '沪', '股通', '增持', '8.25', '万股']",1,294
2022/6/22,38,"['星宇', '股份', '：', '连续', '5', '日', '融资', '净', '买入', '累计', '799.99', '万元', '（', '06', '-', '21', '）']",0,331
2022/6/21,39,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '会', '不会', '来个', '反转', '。', '[', '为什么', ']', '[', '为什']",0,671
2022/6/21,40,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '会', '不会', '来个', '反转', '[', '为什么', ']', '[', '为什么', ']']",0,258
2022/6/21,41,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '来个', '跌停', '多', '快活', '啊', '，', 'b']",20,391
2022/6/21,42,['垃圾'],-1,489
2022/6/21,43,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '敢不敢', '回', '踩', '136', '，', '敢', '吗', '？', '不要', '天天']",0,679
2022/6/21,44,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '我', '的', '天', '，', '一买', '就', '套', '，', '一卖', '就', '涨', '，', '主']",1,724
2022/6/21,45,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '鉴定', '完毕', '，', '这波', '行情', '不看好', '。', '大盘']",4,220
2022/6/19,46,"['融资', '融券', '周', '汇总', '：', '星宇', '股份', '本周', '融资', '净', '买入', '160.82', '万元']",0,484
2022/6/19,47,"['星宇', '股份', '本周', '沪', '股通', '持股', '市值', '增加', '2774.5', '万元', '，', '居', '汽车', '零']",1,545
2022/6/19,48,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '那位', '大神', '，', '能', '指点', '下', '吗', '？', '成本', '160']",0,699
2022/6/18,49,"['星宇', '股份', '06', '月', '17', '日获', '沪', '股通', '增持', '19.44', '万股']",1,390
2022/6/17,50,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '厉害', '，', '这', '什么', '情况']",0,859
2022/6/17,51,"['汽车', '下乡', '政策', '已经', '落地', '了', '，', '下', '一个', '热点', '是', '家电', '下乡', '政策', '。']",1,495
2022/6/17,52,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '大盘', '这么', '好', '，', '太', '让', '我', '失望', '了']",0,442
2022/6/17,53,"['星宇', '股份', '06', '月', '16', '日获', '沪', '股通', '增持', '2.76', '万股']",1,325
2022/6/17,54,"['星宇', '股份', '：', '融资', '净', '买入', '71.66', '万元', '，', '融资', '余额', '4833.52', '万元']",0,360
2022/6/16,55,"['星宇', '股份', '06', '月', '15', '日获', '沪', '股通', '增持', '13.62', '万股']",1,295
2022/6/16,56,"['星宇', '股份', '：', '融资', '净', '买入', '318.8', '万元', '，', '融资', '余额', '4761.86', '万元']",0,326
2022/6/15,57,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '关注']",0,452
2022/6/15,58,"['星宇', '股份', '06', '月', '14', '日', '被', '沪', '股通', '减持', '10.41', '万股']",-1,313
2022/6/15,59,"['星宇', '股份', '：', '连续', '4', '日', '融资', '净', '偿还', '累计', '796.8', '万元', '（', '06', '-', '14', '）']",-1,313
2022/6/14,60,"['T', '飞', '了', '，', '上午', '-', '3', '加', '了', '1', '手', '，', '下午', '将近', '平盘', '卖飞', '了', '。', '。', '。']",0,747
2022/6/14,61,"['今年', '要', '大', '裁员', '么']",-1,1038
2022/6/14,62,"['星宇', '股份', '6', '月', '14', '日', '盘中', '涨幅', '达', '5%']",1,226
2022/6/14,63,"['汽车', '上半场', '锂电', '，', '下半场', '是', '汽车', '电子', '智能化', '：', '浙江', '世宝', '，']",0,526
2022/6/14,64,"['星宇', '股份', '6', '月', '14', '日', '快速', '上涨']",6,268
2022/6/14,65,"['星宇', '股份', '6', '月', '14', '日', '快速', '反弹']",6,273
2022/6/14,66,"['星宇', '股份', '06', '月', '13', '日', '被', '沪', '股通', '减持', '8.34', '万股']",-1,300
2022/6/14,67,"['星宇', '股份', '：', '连续', '3', '日', '融资', '净', '偿还', '累计', '677.66', '万元', '（', '06', '-', '13', '）']",-1,323
2022/6/13,68,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '今天', '表现', '不够', '好', '啊']",-5,611
2022/6/13,69,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '韭菜', '们', '，', '能', '不', '被', '割', '吗']",0,433
2022/6/13,70,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '你', '别装', '了', '，', '该', '向上', '冲一冲', '了']",3,842
2022/6/13,71,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '庄家', '早就', '跑', '了', '，', '庄家', '230', '元', '清仓', '了']",-3,712
2022/6/13,72,"['$', '星宇', '股份', '(', 'SH601799', ')', '$', '小宇', '，', '今天', '是', '咋', '回事', '啦', '！']",0,305
2022/6/13,73,"['星宇', '股份', '6', '月', '13', '日', '快速', '反弹']",6,270
2022/6/12,74,"['星宇', '股份', '本周', '融资', '净', '偿还', '444.28', '万元', '，', '居', '汽车', '零部件', '板块']",-1,487
2022/6/12,75,"['星宇', '股份', '本周', '沪', '股通', '持股', '市值', '增加', '2100', '万元', '，', '居', '汽车', '零部']",1,572
2022/6/11,76,"['星宇', '股份', '06', '月', '10', '日', '被', '沪', '股通', '减持', '3.8', '万股']",-1,395
2022/6/11,77,"['星宇', '股份', '：', '融资', '净', '偿还', '403.28', '万元', '，', '融资', '余额', '4672.7', '万元']",-1,398
2022/6/10,78,"['我', '是', '4s店', '的', '现在', '汽车', '大灯', '都', '缺']",0,1966
2022/6/10,79,"['汽车', '上半场', '是', '锂电', '，', '下半场', '汽车', '电子', '智能化', '：', '万安', '科技', '，']",0,671
2022/6/10,80,"['星宇', '股份', '6', '月', '10', '日', '盘中', '涨幅', '达', '5%']",1,283
2022/6/10,81,"['拉拉', '喂']",0,445
2022/6/10,82,"['星宇', '股份', '06', '月', '09', '日', '被', '沪', '股通', '减持', '6.56', '万股']",-1,311
2022/6/10,83,"['星宇', '股份', '：', '融资', '净', '偿还', '163.88', '万元', '，', '融资', '余额', '5075.98', '万']",-1,332
