id,time,review,read_volume
1,2022/6/30,转发,363
2,2022/6/30,星宇股份6月30日盘中涨幅达5%,268
3,2022/6/30,汽车上半场锂电，下半场是汽车电子智能化：经纬恒润，,415
4,2022/6/30,星宇股份6月30日快速反弹,263
5,2022/6/30,星宇股份06月29日被沪股通减持8.34万股,586
6,2022/6/30,星宇股份：融资净偿还122.8万元，融资余额5019.64万元,289
7,2022/6/29,听说星宇研究院的项目黄了，研究院已经凉了？,620
8,2022/6/29,转发,275
9,2022/6/29,一汽销量下滑，业绩肯定大不如前，价格还这么高,582
10,2022/6/29,转发,256
11,2022/6/29,$星宇股份(SH601799)$今天创新高,630
12,2022/6/29,星宇股份06月28日获沪股通增持2.76万股,279
13,2022/6/29,星宇股份：融资净买入303.48万元，融资余额5142.44万,296
14,2022/6/28,顶背离，明天低开！后续难新高，等回调几天在进[笑哭],735
15,2022/6/28,星宇股份06月27日被沪股通减持1.42万股,313
16,2022/6/28,星宇股份：融资净偿还134.97万元，融资余额4838.96万,306
17,2022/6/26,昨日163减，明天155增,1304
18,2022/6/26,融资融券周汇总：星宇股份本周融资净偿还21.44万元,534
19,2022/6/26,星宇股份本周沪股通持股市值增加7122.56万元，居汽车,593
20,2022/6/25,星宇股份06月24日被沪股通减持15.22万股,375
21,2022/6/25,星宇股份：融资净偿还211.7万元，融资余额4973.92万元,365
22,2022/6/24,啥时候能上170[为什么],985
23,2022/6/24,$星宇股份(SH601799)$感谢主力给机会半年了，终于回本,449
24,2022/6/24,星宇股份6月24日快速反弹,284
25,2022/6/24,星宇股份06月23日获沪股通增持15.9万股,294
26,2022/6/24,星宇股份：融资净买入77.73万元，融资余额5185.63万元,309
27,2022/6/23,汽车上半场玩锂电，下半场是汽车电子智能化：浙江世宝,504
28,2022/6/23,废物一个,594
29,2022/6/23,$星宇股份(SH601799)$你是真没用,439
30,2022/6/23,星宇股份6月23日盘中涨幅达5%,231
31,2022/6/23,星宇股份6月23日快速上涨,261
32,2022/6/23,星宇股份06月22日获沪股通增持26.01万股,263
33,2022/6/23,星宇股份：融资净偿还135.15万元，融资余额5107.9万元,288
34,2022/6/22,$星宇股份(SH601799)$巴比Q啦,686
35,2022/6/22,$星宇股份(SH601799)$没实力就别装逼,404
36,2022/6/22,$星宇股份(SH601799)$美股大涨，新能源车大涨，明天咋,583
37,2022/6/22,星宇股份06月21日获沪股通增持8.25万股,294
38,2022/6/22,星宇股份：连续5日融资净买入累计799.99万元（06-21）,331
39,2022/6/21,$星宇股份(SH601799)$会不会来个反转。[为什么][为什,671
40,2022/6/21,$星宇股份(SH601799)$会不会来个反转[为什么][为什么],258
41,2022/6/21,$星宇股份(SH601799)$来个跌停多快活啊，b,391
42,2022/6/21,垃圾,489
43,2022/6/21,$星宇股份(SH601799)$敢不敢回踩136，敢吗？不要天天,679
44,2022/6/21,$星宇股份(SH601799)$我的天，一买就套，一卖就涨，主,724
45,2022/6/21,$星宇股份(SH601799)$鉴定完毕，这波行情不看好。大盘,220
46,2022/6/19,融资融券周汇总：星宇股份本周融资净买入160.82万元,484
47,2022/6/19,星宇股份本周沪股通持股市值增加2774.5万元，居汽车零,545
48,2022/6/19,$星宇股份(SH601799)$那位大神，能指点下吗？成本160,699
49,2022/6/18,星宇股份06月17日获沪股通增持19.44万股,390
50,2022/6/17,$星宇股份(SH601799)$厉害，这什么情况,859
51,2022/6/17,汽车下乡政策已经落地了，下一个热点是家电下乡政策。,495
52,2022/6/17,$星宇股份(SH601799)$大盘这么好，太让我失望了,442
53,2022/6/17,星宇股份06月16日获沪股通增持2.76万股,325
54,2022/6/17,星宇股份：融资净买入71.66万元，融资余额4833.52万元,360
55,2022/6/16,星宇股份06月15日获沪股通增持13.62万股,295
56,2022/6/16,星宇股份：融资净买入318.8万元，融资余额4761.86万元,326
57,2022/6/15,$星宇股份(SH601799)$关注,452
58,2022/6/15,星宇股份06月14日被沪股通减持10.41万股,313
59,2022/6/15,星宇股份：连续4日融资净偿还累计796.8万元（06-14）,313
60,2022/6/14,T飞了，上午-3加了1手，下午将近平盘卖飞了。。。,747
61,2022/6/14,今年要大裁员么,1038
62,2022/6/14,星宇股份6月14日盘中涨幅达5%,226
63,2022/6/14,汽车上半场锂电，下半场是汽车电子智能化：浙江世宝，,526
64,2022/6/14,星宇股份6月14日快速上涨,268
65,2022/6/14,星宇股份6月14日快速反弹,273
66,2022/6/14,星宇股份06月13日被沪股通减持8.34万股,300
67,2022/6/14,星宇股份：连续3日融资净偿还累计677.66万元（06-13）,323
68,2022/6/13,$星宇股份(SH601799)$今天表现不够好啊,611
69,2022/6/13,$星宇股份(SH601799)$韭菜们，能不被割吗,433
70,2022/6/13,$星宇股份(SH601799)$你别装了，该向上冲一冲了,842
71,2022/6/13,$星宇股份(SH601799)$庄家早就跑了，庄家230元清仓了,712
72,2022/6/13,$星宇股份(SH601799)$小宇，今天是咋回事啦！,305
73,2022/6/13,星宇股份6月13日快速反弹,270
74,2022/6/12,星宇股份本周融资净偿还444.28万元，居汽车零部件板块,487
75,2022/6/12,星宇股份本周沪股通持股市值增加2100万元，居汽车零部,572
76,2022/6/11,星宇股份06月10日被沪股通减持3.8万股,395
77,2022/6/11,星宇股份：融资净偿还403.28万元，融资余额4672.7万元,398
78,2022/6/10,我是4s店的现在汽车大灯都缺,1966
