time,no,review,score,read_volume,label
2022/6/30,2,"['趋势', '起来', '了', '明天', '突破', '不了', '压力', '位', '就', '撤']",13.0,200,1
2022/6/30,9,"['特一', '药业', '：', '聘任', '高级', '管理人员', '、', '董事会', '秘书', '、', '财务总监', '、']",5.0,821,1
2022/6/30,11,"['我来', '唱个', '多', '，', '明天', '高开', '后', '快速', '封板', '，', '然后', '在', '2', '个', '1', '字板', ' ', ' ', '结']",15.0,447,1
2022/6/30,13,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '明天', '放量', '突破', '[', '上涨', ']', '[', '上涨', ']', '[', '上涨', ']']",10.0,206,1
2022/6/30,15,"['14', '元', '买', '了', '就', '别管', '它', '，', '收获', '必定', '是', '满满的', '。', '。', '。']",10.0,198,1
2022/6/30,16,"['孙子', '们', '别', '在', '唱', '什么', '奇珍异宝', '了']",-7.0,468,-1
2022/6/30,18,"['明天', '是', '个', '好日子', '，', '个股', '即将', '普涨', '，', '拭目以待', '。']",6.0,394,1
2022/6/30,22,"['抖音', '里面', '天天', '在', '奇珍异宝', '哈哈', '一些', '韭菜', '一听', '全特', '么', '买', '进来']",14.0,306,1
2022/6/30,30,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '下午', '起来', '干活']",7.0,169,1
2022/6/30,36,"['这', '大盘', '真牛', '，', '牛市', '的', '味道']",8.0,312,1
2022/6/30,37,"['特一', '药业', '6', '月', '30', '日', '快速', '上涨']",6.0,281,1
2022/6/30,42,"['天天', '直播间', '叫', '的', '飞', '起来']",7.0,206,1
2022/6/29,50,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '耐心', '等待', '，', '必有', '大阳']",5.0,619,1
2022/6/29,55,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '天天', '量化', '交易', '，', '送', '主力', '五个', '半字', '“']",7.0,203,1
2022/6/29,56,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '原来', '这货', '是', '跟着', '医美', '板块', '涨', '的']",6.0,211,1
2022/6/29,58,"['钱', '多', '的', '土豪', '，', '拜托', '下午', '抢个', '筹', '追个', '高', '。', '主力', '画图', '不易', '。', '且']",-8.0,329,-1
2022/6/29,59,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '走', '了', '，', '希望', '留下', '的', '朋友', '吃', '肉']",9.0,340,1
2022/6/29,62,"['大盘', '调整', '，', '药是', '机会', '。', '主力', '出动', '，', '筹码', '进入', '主力', '口袋', '中', '。']",15.0,354,1
2022/6/28,76,"['特一', '药业', '业绩', '好', '没用', '股票', '不涨']",-10.0,230,-1
2022/6/28,77,"['现在', '都', '是', '低吸', '机会', '，', '明后', '两天', '估计', '要大涨', '了', '[', '上涨', ']', '[', '主力', ']']",10.0,554,1
2022/6/28,79,"['现在', '都', '是', '低吸', '机会', '，', '明后', '两天', '估计', '要大涨', '了', '[', '上涨', ']', '[', '主力', ']']",10.0,554,1
2022/6/28,81,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '突破', '在', '即']",7.0,179,1
2022/6/28,89,"['就', '这', '垃圾', '一直', '拖', '着', '不死不活']",-6.0,188,-1
2022/6/27,105,"['特一', '药业', ':', '关于', '聘任', '高级', '管理人员', '、', '董事会', '秘书', '、', '财务', '总']",5.0,575,1
2022/6/27,131,"['主力', '借', '调研', '之名', '出货', '了']",7.0,525,1
2022/6/27,141,"['特一', '药业', '6', '月', '27', '日', '快速', '上涨']",6.0,222,1
2022/6/26,144,"['佩奇', '队长', '偷偷', '打卡']",-9.0,265,-1
2022/6/24,157,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '专注', '特色', '中药', '拓展', '医美']",7.0,219,1
2022/6/24,163,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '主力', '天天', '自娱自乐']",7.0,215,1
2022/6/24,164,"['主力', ' ', '真能', '洗', ' ', ' ', '就', '洗', '时间', ' ', ' ', '洗', '心态', ' ', ' ', '磨', '着', '吧']",7.0,218,1
2022/6/24,165,"['一起', '把', '他', '骂', '起来']",6.0,209,1
2022/6/24,173,"['特一', '的', '狗庄', '喜欢', '特立独行', '吗', '？']",10.0,492,1
2022/6/23,178,"['成交额', '不足', '8000', '万', '，', '主力', '资金', '流出', '840', '万', '，', '你', '说', '能', '涨', '吗', '？']",19.0,466,1
2022/6/23,179,"['浪费', '那么', '好的', '行情']",-6.0,191,-1
2022/6/23,185,"['浪费', '这么', '好的', '行情']",-6.0,185,-1
2022/6/23,192,"['今天', '一举', '突破', '120', '均线']",8.0,396,1
2022/6/22,196,"['$', '特一', '药业', '(', 'SZ002728', ')', '$', '主力', '上班', '没', '，', '没上', '我', '过', '几天', '再来']",7.0,193,1
2022/6/22,197,"['放心', '做', 'T', '吧', '，', '因为', '涨停', '也', '不过', '了', '前面', '几天', '高点', '，', '所以', '不会']",8.0,572,1
