id,time,review,read_volume
1,2022/6/30,ti看什么所谓的抖音来买这票的人都是垃圾炒股都要看别,822
2,2022/6/30,趋势起来了明天突破不了压力位就撤,200
3,2022/6/30,$特一药业(SZ002728)$最近很多老师推荐此股，很简单的,532
4,2022/6/30,跌不动,487
5,2022/6/30,尾盘拉升明日必涨,459
6,2022/6/30,$特一药业(SZ002728)$我今天才买的，小仓位试试水，医,178
7,2022/6/30,全特么韭菜听抖音直播过来买的老子虽然持股一直但希望,539
8,2022/6/30,$特一药业(SZ002728)$明天必大涨,378
9,2022/6/30,特一药业：聘任高级管理人员、董事会秘书、财务总监、,821
10,2022/6/30,都别猜了，明天开始连续涨停直奔30,391
11,2022/6/30,我来唱个多，明天高开后快速封板，然后在2个1字板  结,447
12,2022/6/30,$特一药业(SZ002728)$别人的股票怎么涨，那是别人的事,631
13,2022/6/30,$特一药业(SZ002728)$明天放量突破[上涨][上涨][上涨],206
14,2022/6/30,什么时候群里没声音了，估计股价调整结束了。,430
15,2022/6/30,14元买了就别管它，收获必定是满满的。。。,198
16,2022/6/30,孙子们别在唱什么奇珍异宝了,468
17,2022/6/30,按道理今天或者明天涨停了，所以我今天买在了最高点[,1069
18,2022/6/30,明天是个好日子，个股即将普涨，拭目以待。,394
19,2022/6/30,你们怕不怕，要不要跑,168
20,2022/6/30,盘后没消息的话，明天凉了,354
21,2022/6/30,明天满仓干,159
22,2022/6/30,抖音里面天天在奇珍异宝哈哈一些韭菜一听全特么买进来,306
23,2022/6/30,$特一药业(SZ002728)$真是G庄就差那么点股票吗？刚卖,165
24,2022/6/30,$特一药业(SZ002728)$真是G庄就差那么点股票吗？刚卖,166
25,2022/6/30,$特一药业(SZ002728)$你买，G庄亳不留情的卖给你！,162
26,2022/6/30,垃圾,149
27,2022/6/30,$特一药业(SZ002728)$想减持的这个价位大量减持吧！,147
28,2022/6/30,$特一药业(SZ002728)$想减持的这个价位大量减持吧！,135
29,2022/6/30,$特一药业(SZ002728)$叼，庄在玩散户呢！闪人！你自己,162
30,2022/6/30,$特一药业(SZ002728)$下午起来干活,169
31,2022/6/30,最近能到15.5吗……这一年多太苦了,352
32,2022/6/30,$特一药业(SZ002728)$最后上车机会,376
33,2022/6/30,直播间把它吹上天了,196
34,2022/6/30,还是龙头华东医药强，这个垃圾走了，历史走势很不好。,199
35,2022/6/30,站不上分时均线，可以走了,186
36,2022/6/30,这大盘真牛，牛市的味道,312
37,2022/6/30,特一药业6月30日快速上涨,281
38,2022/6/30,绳已挂好，等待脖子。,183
39,2022/6/30,$特一药业(SZ002728)$今天下班了，各位散了，尾盘再来,186
40,2022/6/30,$特一药业(SZ002728)$中药板块应该会迎来一波小行情了,222
41,2022/6/30,能不能来个涨停,398
42,2022/6/30,天天直播间叫的飞起来,206
43,2022/6/30,业绩和盘子在这放着呢，向上加油吧，不能对不起股价,194
44,2022/6/30,$特一药业(SZ002728)$今天估计又是长上影线收盘,191
45,2022/6/30,垃圾货,165
46,2022/6/30,$特一药业(SZ002728)$医疗美容股，机会来了，不要等到,618
47,2022/6/30,这么小的盘子 没有必要这么洗吧,391
48,2022/6/30,转债和正股都是同一个人 在操盘吧， 同一秒撤单，这么,213
49,2022/6/29,庄家控盘太厉害。14.440.770.11,200
50,2022/6/29,$特一药业(SZ002728)$耐心等待，必有大阳,619
51,2022/6/29,特一药业:2022年第一次临时股东大会决议公告,957
52,2022/6/29,$特一药业(SZ002728)$还好上午全部卖掉了换了长安汽车,612
53,2022/6/29,不到四十一股不卖，立帖为证[大笑],653
54,2022/6/29,$特一药业(SZ002728)$韭菜买入,192
55,2022/6/29,$特一药业(SZ002728)$天天量化交易，送主力五个半字“,203
56,2022/6/29,$特一药业(SZ002728)$原来这货是跟着医美板块涨的,211
57,2022/6/29,$特一药业(SZ002728)$差不多是时候入场了[想一下],423
58,2022/6/29,钱多的土豪，拜托下午抢个筹追个高。主力画图不易。且,329
59,2022/6/29,$特一药业(SZ002728)$走了，希望留下的朋友吃肉,340
60,2022/6/29,这就是个渣渣,160
61,2022/6/29,拖得时间太长 都没有人气了,192
62,2022/6/29,大盘调整，药是机会。主力出动，筹码进入主力口袋中。,354
63,2022/6/29,$特一药业(SZ002728)$就差点火做龙头了[火箭],215
64,2022/6/29,$特一药业(SZ002728)$那里升起就会跌回那里,339
65,2022/6/29,再加把油，我出货了,323
66,2022/6/29,大盘回调跟着一起回调吧,425
67,2022/6/29,日，周，月都调整完成，启动马上到。,401
68,2022/6/29,调整了好久，应该是要启动了。,383
69,2022/6/29,来个涨停吧,289
70,2022/6/29,$特一药业(SZ002728)$建仓,195
71,2022/6/29,特二药业，哈哈哈，不错，买了,485
72,2022/6/29,这几天应该会来点真的,184
73,2022/6/29,搞它,175
74,2022/6/29,跑,178
75,2022/6/29,单峰密集,321
76,2022/6/28,特一药业业绩好没用股票不涨,230
77,2022/6/28,现在都是低吸机会，明后两天估计要大涨了[上涨][主力],554
78,2022/6/28,14.29是买高了吗？[哭],343
79,2022/6/28,现在都是低吸机会，明后两天估计要大涨了[上涨][主力],554
80,2022/6/28,14.29是买高了吗？[哭],343
81,2022/6/28,$特一药业(SZ002728)$突破在即,179
82,2022/6/28,$特一药业(SZ002728)$几毛钱玩了这么久,163
83,2022/6/28,$特一药业(SZ002728)$猪力出货1000万，没有猪力玩呀，,183
84,2022/6/28,$特一药业(SZ002728)$这个股起不来了,169
85,2022/6/28,都上3400了还不起飞,165
