time,all_num_特一药业,all_dic_score,特一药业舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,4,4.00,1.00,4,4.00,0,0.00
2021-01-03,2,2.00,1.00,2,2.00,0,0.00
2021-01-04,10,2.00,0.54,6,6.00,4,-4.00
2021-01-05,5,1.00,0.18,3,3.00,2,-2.00
2021-01-06,9,-3.00,-0.34,3,3.00,6,-6.00
2021-01-07,13,3.00,0.31,8,8.00,5,-5.00
2021-01-08,19,-1.00,-0.07,9,9.00,10,-10.00
2021-01-10,3,1.00,0.39,2,2.00,1,-1.00
2021-01-11,11,1.00,0.13,6,6.00,5,-5.00
2021-01-12,6,2.00,-0.41,4,4.00,2,-2.00
2021-01-13,19,7.00,0.52,13,13.00,6,-6.00
2021-01-14,6,4.00,0.73,5,5.00,1,-1.00
2021-01-15,3,1.00,0.19,2,2.00,1,-1.00
2021-01-16,1,1.00,1.00,1,1.00,0,0.00
2021-01-17,1,1.00,1.00,1,1.00,0,0.00
2021-01-18,6,0.00,0.24,3,3.00,3,-3.00
2021-01-19,9,3.00,0.34,6,6.00,3,-3.00
2021-01-20,12,6.00,0.58,9,9.00,3,-3.00
2021-01-21,14,2.00,0.91,8,8.00,6,-6.00
2021-01-22,5,3.00,0.99,4,4.00,1,-1.00
2021-01-24,2,2.00,1.00,2,2.00,0,0.00
2021-01-25,17,-1.00,0.93,8,8.00,9,-9.00
2021-01-26,10,-2.00,0.27,4,4.00,6,-6.00
2021-01-27,19,7.00,0.39,13,13.00,6,-6.00
2021-01-28,37,-3.00,0.19,17,17.00,20,-20.00
2021-01-29,26,2.00,0.15,14,14.00,12,-12.00
2021-01-30,4,-2.00,0.42,1,1.00,3,-3.00
2021-01-31,1,1.00,1.00,1,1.00,0,0.00
2021-02-01,12,0.00,0.59,6,6.00,6,-6.00
2021-02-02,8,-4.00,-0.17,2,2.00,6,-6.00
2021-02-03,6,0.00,0.33,3,3.00,3,-3.00
2021-02-04,12,-6.00,-0.27,3,3.00,9,-9.00
2021-02-05,5,1.00,0.08,3,3.00,2,-2.00
2021-02-07,1,1.00,1.00,1,1.00,0,0.00
2021-02-08,6,2.00,0.23,4,4.00,2,-2.00
2021-02-09,7,3.00,0.95,5,5.00,2,-2.00
2021-02-10,2,0.00,0.03,1,1.00,1,-1.00
2021-02-14,1,1.00,1.00,1,1.00,0,0.00
2021-02-17,1,1.00,1.00,1,1.00,0,0.00
2021-02-18,2,0.00,0.28,1,1.00,1,-1.00
2021-02-19,3,1.00,0.58,2,2.00,1,-1.00
2021-02-20,3,3.00,1.00,3,3.00,0,0.00
2021-02-21,3,3.00,1.00,3,3.00,0,0.00
2021-02-22,4,4.00,1.00,4,4.00,0,0.00
2021-02-24,2,-2.00,-1.00,0,0.00,2,-2.00
2021-02-25,5,1.00,-0.94,3,3.00,2,-2.00
2021-02-26,6,2.00,0.12,4,4.00,2,-2.00
2021-02-27,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-01,3,1.00,0.10,2,2.00,1,-1.00
2021-03-02,5,1.00,0.21,3,3.00,2,-2.00
2021-03-03,3,1.00,0.77,2,2.00,1,-1.00
2021-03-04,4,2.00,0.98,3,3.00,1,-1.00
2021-03-08,4,2.00,0.79,3,3.00,1,-1.00
2021-03-09,1,1.00,1.00,1,1.00,0,0.00
2021-03-11,4,0.00,0.95,2,2.00,2,-2.00
2021-03-12,1,1.00,1.00,1,1.00,0,0.00
2021-03-16,2,0.00,-0.04,1,1.00,1,-1.00
2021-03-17,5,1.00,0.22,3,3.00,2,-2.00
2021-03-18,3,-3.00,-1.00,0,0.00,3,-3.00
2021-03-19,9,1.00,0.89,5,5.00,4,-4.00
2021-03-21,2,2.00,1.00,2,2.00,0,0.00
2021-03-22,4,-2.00,-0.47,1,1.00,3,-3.00
2021-03-24,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-25,2,2.00,1.00,2,2.00,0,0.00
2021-03-26,3,3.00,1.00,3,3.00,0,0.00
2021-03-27,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-29,4,0.00,0.28,2,2.00,2,-2.00
2021-03-30,4,0.00,-0.06,2,2.00,2,-2.00
2021-03-31,1,-1.00,-1.00,0,0.00,1,-1.00
2021-04-01,7,3.00,0.62,5,5.00,2,-2.00
2021-04-02,10,2.00,0.91,6,6.00,4,-4.00
2021-04-05,1,1.00,1.00,1,1.00,0,0.00
2021-04-06,8,8.00,1.00,8,8.00,0,0.00
2021-04-07,8,4.00,0.70,6,6.00,2,-2.00
2021-04-08,2,0.00,-0.92,1,1.00,1,-1.00
2021-04-09,2,2.00,1.00,2,2.00,0,0.00
2021-04-11,1,1.00,1.00,1,1.00,0,0.00
2021-04-13,4,0.00,0.45,2,2.00,2,-2.00
2021-04-14,4,2.00,0.98,3,3.00,1,-1.00
2021-04-15,2,0.00,0.01,1,1.00,1,-1.00
2021-04-16,11,-1.00,0.89,5,5.00,6,-6.00
2021-04-17,1,-1.00,-1.00,0,0.00,1,-1.00
2021-04-18,4,4.00,1.00,4,4.00,0,0.00
2021-04-19,7,1.00,0.22,4,4.00,3,-3.00
2021-04-20,36,32.00,0.92,34,34.00,2,-2.00
2021-04-21,51,23.00,0.64,37,37.00,14,-14.00
2021-04-22,80,30.00,0.51,55,55.00,25,-25.00
2021-04-23,99,21.00,0.53,60,60.00,39,-39.00
2021-04-24,11,5.00,0.48,8,8.00,3,-3.00
2021-04-25,18,6.00,0.57,12,12.00,6,-6.00
2021-04-26,97,13.00,0.62,55,55.00,42,-42.00
2021-04-27,64,24.00,0.77,44,44.00,20,-20.00
2021-04-28,49,-1.00,-0.01,24,24.00,25,-25.00
2021-04-29,27,11.00,0.62,19,19.00,8,-8.00
2021-04-30,27,11.00,0.63,19,19.00,8,-8.00
2021-05-01,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-04,2,-2.00,-1.00,0,0.00,2,-2.00
2021-05-05,2,0.00,0.11,1,1.00,1,-1.00
2021-05-06,23,13.00,0.69,18,18.00,5,-5.00
2021-05-07,17,5.00,0.44,11,11.00,6,-6.00
2021-05-08,4,2.00,0.24,3,3.00,1,-1.00
2021-05-09,1,1.00,1.00,1,1.00,0,0.00
2021-05-10,6,2.00,0.44,4,4.00,2,-2.00
2021-05-11,28,4.00,0.52,16,16.00,12,-12.00
2021-05-12,23,15.00,0.78,19,19.00,4,-4.00
2021-05-13,51,21.00,-0.29,36,36.00,15,-15.00
2021-05-14,30,14.00,0.84,22,22.00,8,-8.00
2021-05-16,8,-2.00,-0.10,3,3.00,5,-5.00
2021-05-17,25,9.00,0.81,17,17.00,8,-8.00
2021-05-18,39,31.00,0.83,35,35.00,4,-4.00
2021-05-19,109,63.00,0.67,86,86.00,23,-23.00
2021-05-20,233,53.00,0.38,143,143.00,90,-90.00
2021-05-21,231,63.00,0.42,147,147.00,84,-84.00
2021-05-22,24,10.00,0.57,17,17.00,7,-7.00
2021-05-23,40,8.00,0.28,24,24.00,16,-16.00
2021-05-24,207,59.00,0.34,133,133.00,74,-74.00
2021-05-25,126,38.00,0.54,82,82.00,44,-44.00
2021-05-26,179,49.00,0.51,114,114.00,65,-65.00
2021-05-27,235,87.00,0.53,161,161.00,74,-74.00
2021-05-28,215,77.00,0.49,146,146.00,69,-69.00
2021-05-29,31,15.00,0.68,23,23.00,8,-8.00
2021-05-30,32,16.00,0.58,24,24.00,8,-8.00
2021-05-31,195,57.00,0.43,126,126.00,69,-69.00
2021-06-01,147,59.00,0.52,103,103.00,44,-44.00
2021-06-02,199,73.00,0.57,136,136.00,63,-63.00
2021-06-03,194,56.00,0.45,125,125.00,69,-69.00
2021-06-04,61,17.00,0.36,39,39.00,22,-22.00
2021-06-05,16,6.00,0.47,11,11.00,5,-5.00
2021-06-06,19,11.00,0.59,15,15.00,4,-4.00
2021-06-07,126,26.00,0.25,76,76.00,50,-50.00
2021-06-08,53,17.00,0.20,35,35.00,18,-18.00
2021-06-09,104,18.00,0.33,61,61.00,43,-43.00
2021-06-10,68,36.00,0.60,52,52.00,16,-16.00
2021-06-11,88,32.00,0.25,60,60.00,28,-28.00
