time,no,review,score,read_volume,label
2022/6/30,1,"['可以', '小小的', '欢呼', '一下子', '[', '坏', '笑', ']', '[', '坏', '笑', ']']",5.0,404,1
2022/6/30,2,"['爽歪歪', '，']",7.0,388,1
2022/6/30,8,"['防疫', '政策', '迟早', '逐步', '放开', '，', '病毒', '致死率', '已经', '跟', '流感', '差距', '不大']",-6.0,549,-1
2022/6/30,15,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '担心', '个', '锤子', '，', '定心丸']",7.0,172,1
2022/6/30,31,"['卧槽', '，', '无情']",-7.0,146,-1
2022/6/30,35,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '开心', '，', '今天', '两票', '涨停']",6.0,157,1
2022/6/30,40,"['热', '搜', '第一', '！', '知名', '牛奶', '不合格', '检出', '低毒', '物质', '！', '刚刚', '股价', '立马']",5.0,215,1
2022/6/30,49,"['垃圾股', '最好', '别碰']",8.0,173,1
2022/6/30,58,"['28.60', '买', '进去', '，', '涨到', '29', '笑眯眯', '的', '去', '睡', '了', '，', '睡醒', '一看', '，', '27.60']",5.0,493,1
2022/6/30,59,"['百润', '股份', '6', '月', '30', '日', '快速', '上涨']",6.0,220,1
2022/6/29,78,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '上窜下跳', '的', '，', '心累']",-5.0,303,-1
2022/6/27,109,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '这', '换手率', '很', '无语', '啊', '，', '吃', '不到', '怎么', '涨']",-9.0,529,-1
2022/6/27,112,"['百润', '和顺', '鑫', '走势', '一样', '呢', '？']",5.0,522,1
2022/6/27,114,"['百润', '股份', '6', '月', '27', '日', '快速', '上涨']",6.0,264,1
2022/6/24,122,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '割', '了', '就', '涨', '真', '漂亮']",7.0,764,1
2022/6/24,126,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '今天', '海底', '捞', '啊', '，', '主力', '资金', '牛', '，', '请坚']",7.0,248,1
2022/6/24,127,"['天猫', '发布', '618', '报告', '，', '显示', '低度酒', '增长', '迅猛', '！']",7.0,276,1
2022/6/24,131,"['最', '恶心', '的', '一只', '票']",-15.0,301,-1
2022/6/24,145,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '神经病', '等', '下', '又', '绿']",-5.0,211,-1
2022/6/24,150,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '这股', '散户', '太', '害人', '了', '，', '害人害己', '。']",-14.0,214,-1
2022/6/23,157,"['大家', '远离', '各种', '老师', '，', '相信', '自己']",6.0,360,1
2022/6/23,162,"['涨', '了', '几个', '星期', '，', '调整', '几天', '就', '有', '一群', '人', '大呼小叫', '的', '，', '这', '不适']",-7.0,435,-1
2022/6/23,176,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '一年', '了', '这票', '真', '恶心']",-5.0,198,-1
2022/6/23,188,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '恶心', '，', '想', '卖', '了', '，', '太', '垃圾', '了']",-7.0,192,-1
2022/6/22,203,"['$', '科远', '智慧', '(', 'SZ002380', ')', '$', '抄底', '了', '，', '即将', '起飞', '$', '百润', '股份', '(', 'SZ00']",8.0,439,1
2022/6/22,210,"['百润', '股份', '，', '太平', '鸟', '，', '中长线', '趋势', '确立', '，', '开启', '慢牛', '行情', '，', '想']",6.0,797,1
2022/6/21,229,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '涨', '了', '出', '利好', '，', '主力', '借机', '出货', '，', '不然']",9.0,243,1
2022/6/20,242,"['什么玩意', '？', '乌龟', '崽子', '，', '走', '了', '，', '你', '挖坑', '把', '自己', '埋', '了', '吧']",-15.0,188,-1
2022/6/20,250,"['兄弟', '们', '我', '华尔街', '的', '朋友', '说', '，', '下午', '翻红', '涨', '三个', '点', '。', '[', '想', '一下', ']']",11.0,480,1
2022/6/20,252,"['黄金', '坑见', '金针', '要', '井喷', '？', '银座', '股份', '二姑', '东茂', '业举', '牌', '8', '年后', '突']",11.0,215,1
2022/6/18,273,"['其实', '我', '就是', '主力']",7.0,437,1
2022/6/17,294,"['10', '转', '4', '派', '5', '真的', '很', '霸气', '的', '好', '吗', '？', '我', '是', '感受', '到', '了', '满满的', '诚意', '，']",8.0,726,1
2022/6/17,295,"['百润', '股份', '6', '月', '17', '日', '快速', '反弹']",6.0,287,1
2022/6/17,298,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '大盘', '真牛', '，', '上午', '大跌', '，', '下午', '一路', '高']",6.0,1287,1
2022/6/17,302,"['公司', '深度', '研究', '：', '预调', '酒', '如日方升', '，', 'RIO', '蓄力', '前']",8.0,7794,1
2022/6/16,308,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '回购', '均价', '28.03', '，', '不怕']",5.0,432,1
2022/6/16,313,"['主力', '异动', '。', '百润', '介入', '基金', '庄家', '。', '出货', '私募', '散户']",5.0,1924,1
2022/6/16,320,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '全天', '被', '均线', '压制']",-7.0,204,-1
2022/6/16,341,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '。', '。', '。', '。', '。', '无语', '啊']",-5.0,178,-1
2022/6/16,343,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '除权', '后', '33', '的', '成本', '，', '原来']",5.0,383,1
2022/6/16,345,"['这个', '避雷针', '真是', '恶心']",-5.0,186,-1
2022/6/16,348,"['百润', '股份', ':', '关于', '股东', '股份', '质押', '变动', '的', '公告']",-5.0,876,-1
2022/6/16,362,"['百润', '股份', '6', '月', '16', '日', '快速', '上涨']",6.0,217,1
2022/6/16,366,"['朋友', '们', '，', '新', '的', '一天', '，', '新', '的', '起点', '，', '新', '的', '希望', '，', '点赞', '富', '三代', '，']",10.0,414,1
2022/6/15,400,"['昨天', '出', '了', '百润', '，', '买进', '了', '光大']",6.0,222,1
2022/6/15,404,"['百润', '股份', '6', '月', '15', '日', '快速', '上涨']",6.0,246,1
2022/6/15,406,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '要', '起来', '了', '吗', '？', '50', '还', '在']",7.0,337,1
2022/6/14,423,"['必定', '套死', '一批']",8.0,160,1
2022/6/14,434,"['百润', '股份', '6', '月', '14', '日', '快速', '上涨']",6.0,211,1
2022/6/14,435,"['$', '百润', '股份', '(', 'SZ002568', ')', '$', '高点', '越来越', '高', '应该', '要', '突破', '了']",7.0,192,1
