time,all_num_百润股份,all_dic_score,百润股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,4,2.00,0.60,3,3.00,1,-1.00
2021-01-02,4,2.00,0.54,3,3.00,1,-1.00
2021-01-03,6,6.00,1.00,6,6.00,0,0.00
2021-01-04,29,15.00,0.65,22,22.00,7,-7.00
2021-01-05,24,8.00,0.54,16,16.00,8,-8.00
2021-01-06,19,13.00,0.84,16,16.00,3,-3.00
2021-01-07,13,13.00,1.00,13,13.00,0,0.00
2021-01-08,17,13.00,0.82,15,15.00,2,-2.00
2021-01-09,3,3.00,1.00,3,3.00,0,0.00
2021-01-10,7,5.00,0.79,6,6.00,1,-1.00
2021-01-11,14,10.00,0.86,12,12.00,2,-2.00
2021-01-12,20,10.00,0.71,15,15.00,5,-5.00
2021-01-13,35,19.00,0.79,27,27.00,8,-8.00
2021-01-14,33,17.00,0.66,25,25.00,8,-8.00
2021-01-15,38,10.00,0.64,24,24.00,14,-14.00
2021-01-16,10,6.00,0.82,8,8.00,2,-2.00
2021-01-17,6,4.00,0.68,5,5.00,1,-1.00
2021-01-18,48,16.00,0.56,32,32.00,16,-16.00
2021-01-19,40,6.00,0.49,23,23.00,17,-17.00
2021-01-20,25,11.00,0.64,18,18.00,7,-7.00
2021-01-21,14,6.00,0.58,10,10.00,4,-4.00
2021-01-22,22,12.00,0.56,17,17.00,5,-5.00
2021-01-23,2,2.00,1.00,2,2.00,0,0.00
2021-01-24,5,5.00,1.00,5,5.00,0,0.00
2021-01-25,22,2.00,0.65,12,12.00,10,-10.00
2021-01-26,20,14.00,0.69,17,17.00,3,-3.00
2021-01-27,17,7.00,0.57,12,12.00,5,-5.00
2021-01-28,20,-2.00,0.08,9,9.00,11,-11.00
2021-01-29,25,-5.00,-0.20,10,10.00,15,-15.00
2021-01-30,8,2.00,0.63,5,5.00,3,-3.00
2021-01-31,11,7.00,0.65,9,9.00,2,-2.00
2021-02-01,20,8.00,0.67,14,14.00,6,-6.00
2021-02-02,26,8.00,0.00,17,17.00,9,-9.00
2021-02-03,57,15.00,0.33,36,36.00,21,-21.00
2021-02-04,23,-1.00,0.80,11,11.00,12,-12.00
2021-02-05,17,7.00,0.44,12,12.00,5,-5.00
2021-02-06,13,1.00,0.60,7,7.00,6,-6.00
2021-02-07,8,2.00,0.40,5,5.00,3,-3.00
2021-02-08,19,7.00,0.73,13,13.00,6,-6.00
2021-02-09,18,4.00,0.48,11,11.00,7,-7.00
2021-02-10,19,9.00,0.79,14,14.00,5,-5.00
2021-02-11,4,4.00,1.00,4,4.00,0,0.00
2021-02-12,3,1.00,0.14,2,2.00,1,-1.00
2021-02-13,5,1.00,0.72,3,3.00,2,-2.00
2021-02-14,8,4.00,0.63,6,6.00,2,-2.00
2021-02-15,5,1.00,0.36,3,3.00,2,-2.00
2021-02-16,5,1.00,0.65,3,3.00,2,-2.00
2021-02-17,3,-1.00,0.33,1,1.00,2,-2.00
2021-02-18,26,8.00,0.90,17,17.00,9,-9.00
2021-02-19,19,-3.00,-0.09,8,8.00,11,-11.00
2021-02-20,8,2.00,0.39,5,5.00,3,-3.00
2021-02-21,3,-3.00,-1.00,0,0.00,3,-3.00
2021-02-22,112,8.00,-0.57,60,60.00,52,-52.00
2021-02-23,65,23.00,-0.46,44,44.00,21,-21.00
2021-02-24,38,18.00,0.60,28,28.00,10,-10.00
2021-02-25,57,-5.00,-0.11,26,26.00,31,-31.00
2021-02-26,61,7.00,-0.33,34,34.00,27,-27.00
2021-02-27,8,2.00,0.65,5,5.00,3,-3.00
2021-02-28,9,3.00,0.58,6,6.00,3,-3.00
2021-03-01,111,27.00,0.69,69,69.00,42,-42.00
2021-03-02,46,10.00,0.28,28,28.00,18,-18.00
2021-03-03,18,6.00,0.94,12,12.00,6,-6.00
2021-03-04,36,8.00,0.87,22,22.00,14,-14.00
2021-03-05,22,4.00,0.14,13,13.00,9,-9.00
2021-03-06,3,1.00,0.67,2,2.00,1,-1.00
2021-03-07,3,3.00,1.00,3,3.00,0,0.00
2021-03-08,42,-6.00,-0.01,18,18.00,24,-24.00
2021-03-09,31,21.00,0.67,26,26.00,5,-5.00
2021-03-10,40,2.00,0.32,21,21.00,19,-19.00
2021-03-11,17,11.00,0.74,14,14.00,3,-3.00
2021-03-12,21,5.00,0.80,13,13.00,8,-8.00
2021-03-13,2,0.00,-0.54,1,1.00,1,-1.00
2021-03-14,4,2.00,0.44,3,3.00,1,-1.00
2021-03-15,13,7.00,0.82,10,10.00,3,-3.00
2021-03-16,5,1.00,0.39,3,3.00,2,-2.00
2021-03-17,6,2.00,-0.69,4,4.00,2,-2.00
2021-03-18,23,15.00,0.75,19,19.00,4,-4.00
2021-03-19,21,5.00,0.40,13,13.00,8,-8.00
2021-03-20,6,4.00,0.88,5,5.00,1,-1.00
2021-03-21,8,2.00,0.52,5,5.00,3,-3.00
2021-03-22,14,4.00,0.83,9,9.00,5,-5.00
2021-03-23,14,-4.00,-0.64,5,5.00,9,-9.00
2021-03-24,16,-2.00,0.50,7,7.00,9,-9.00
2021-03-25,16,6.00,0.70,11,11.00,5,-5.00
2021-03-26,19,-3.00,-0.41,8,8.00,11,-11.00
2021-03-28,7,3.00,0.58,5,5.00,2,-2.00
2021-03-29,12,4.00,0.31,8,8.00,4,-4.00
2021-03-30,18,12.00,0.86,15,15.00,3,-3.00
2021-03-31,38,18.00,0.74,28,28.00,10,-10.00
2021-04-01,27,11.00,0.56,19,19.00,8,-8.00
2021-04-02,22,12.00,0.79,17,17.00,5,-5.00
2021-04-03,3,1.00,0.91,2,2.00,1,-1.00
2021-04-04,1,1.00,1.00,1,1.00,0,0.00
2021-04-05,5,3.00,0.87,4,4.00,1,-1.00
2021-04-06,22,4.00,0.38,13,13.00,9,-9.00
2021-04-07,7,-1.00,-0.25,3,3.00,4,-4.00
2021-04-08,17,5.00,0.55,11,11.00,6,-6.00
2021-04-09,19,1.00,0.32,10,10.00,9,-9.00
2021-04-10,1,1.00,1.00,1,1.00,0,0.00
2021-04-11,3,1.00,-0.30,2,2.00,1,-1.00
2021-04-12,68,-2.00,0.59,33,33.00,35,-35.00
2021-04-13,39,-3.00,0.34,18,18.00,21,-21.00
2021-04-14,31,5.00,-0.51,18,18.00,13,-13.00
2021-04-15,17,13.00,0.84,15,15.00,2,-2.00
2021-04-16,14,2.00,0.23,8,8.00,6,-6.00
2021-04-17,7,3.00,0.52,5,5.00,2,-2.00
2021-04-18,4,4.00,1.00,4,4.00,0,0.00
2021-04-19,22,10.00,0.49,16,16.00,6,-6.00
2021-04-20,30,20.00,0.96,25,25.00,5,-5.00
2021-04-21,63,39.00,0.69,51,51.00,12,-12.00
2021-04-22,39,19.00,0.63,29,29.00,10,-10.00
2021-04-23,21,11.00,0.78,16,16.00,5,-5.00
2021-04-24,4,0.00,0.60,2,2.00,2,-2.00
2021-04-25,5,-1.00,-0.36,2,2.00,3,-3.00
2021-04-26,17,3.00,0.64,10,10.00,7,-7.00
2021-04-27,17,3.00,-0.13,10,10.00,7,-7.00
2021-04-28,9,5.00,0.71,7,7.00,2,-2.00
2021-04-29,41,21.00,0.72,31,31.00,10,-10.00
2021-04-30,16,4.00,0.55,10,10.00,6,-6.00
2021-05-01,2,2.00,1.00,2,2.00,0,0.00
2021-05-02,1,1.00,1.00,1,1.00,0,0.00
2021-05-03,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-05,3,3.00,1.00,3,3.00,0,0.00
2021-05-06,15,11.00,0.81,13,13.00,2,-2.00
2021-05-07,16,8.00,0.81,12,12.00,4,-4.00
2021-05-08,3,1.00,0.34,2,2.00,1,-1.00
2021-05-10,6,4.00,0.92,5,5.00,1,-1.00
2021-05-11,16,6.00,0.48,11,11.00,5,-5.00
2021-05-12,24,12.00,0.66,18,18.00,6,-6.00
2021-05-13,28,8.00,0.36,18,18.00,10,-10.00
2021-05-14,19,11.00,0.70,15,15.00,4,-4.00
2021-05-15,5,5.00,1.00,5,5.00,0,0.00
2021-05-16,8,6.00,0.87,7,7.00,1,-1.00
2021-05-17,32,8.00,0.22,20,20.00,12,-12.00
2021-05-18,24,10.00,0.55,17,17.00,7,-7.00
2021-05-19,15,7.00,0.65,11,11.00,4,-4.00
2021-05-20,16,4.00,0.60,10,10.00,6,-6.00
2021-05-21,19,7.00,0.50,13,13.00,6,-6.00
2021-05-22,7,1.00,-0.08,4,4.00,3,-3.00
2021-05-23,3,-1.00,-0.39,1,1.00,2,-2.00
2021-05-24,15,3.00,0.29,9,9.00,6,-6.00
2021-05-25,19,3.00,0.22,11,11.00,8,-8.00
2021-05-26,78,8.00,0.20,43,43.00,35,-35.00
2021-05-27,39,17.00,0.71,28,28.00,11,-11.00
2021-05-28,31,11.00,0.32,21,21.00,10,-10.00
2021-05-29,3,1.00,0.15,2,2.00,1,-1.00
2021-05-30,9,5.00,0.66,7,7.00,2,-2.00
2021-05-31,53,13.00,0.25,33,33.00,20,-20.00
2021-06-01,78,6.00,0.21,42,42.00,36,-36.00
2021-06-02,86,-14.00,0.22,36,36.00,50,-50.00
2021-06-03,37,13.00,0.42,25,25.00,12,-12.00
2021-06-04,44,16.00,0.35,30,30.00,14,-14.00
2021-06-05,8,0.00,0.13,4,4.00,4,-4.00
